Mój procesor się już smaży — WARHAMMER 3 IMMORTAL EMPIRES (przedpremiera)
🔗 https://www.youtube.com/watch?v=ilokg9yEaGo

115:  KONIEC!
372:  Muzyka Muzyka
528:  Witam!
529:  Witam wszystkich!
531:  Witam tą wyjątkową, środową porą!
534:  Witam w wyjątkowy stream środowy!
537:  Witam podczas streamu, kiedy będziemy wreszcie poznawać IMMORTAL EMPIRES!
542:  Z Warhammera 3 grać różnymi frakcjami!
545:  Witam serdecznie Anię Kaźmierczak, Ona Grusa, Piotra Reja, Tydiena, Sebulbe, Kawe Filtona, Van Zanda, Michała Raczyńskiego, MD, Sajmona, Jezwika Onufrego, Adusa Cytrusa, Indrik Boreal, Mateusza Modzelewskiego, Black Cat, Dygresywnego Wilka, Bydysko z MagdaM1, wszystkich przybyłych, wszystkich nieprzybyłych, witam grono moderatorskie, witam Stalowego Guźca, który też jest moderatorem,
570:  Witam Kacpra Krzysztofka, Radek Brożynę, Utaku, Slabogoksza, Roż, Dawid Wojacki, Kaparacka, Zantyro, Krzysztof Milański, Mrówa, Sektant, Będzie Pozdrowieni, Kacper Sapkowski, niech będzie także pozdrowiony, Iweles,
586:  i Bujo 2K, i Smocini, i Seronox, i Duku, i Marek Aureliusz, sam Marek Aureliusz, Jezwik, Jagodzianka z grzybami, Julia Berezińska, i Bierny Obserwator, i Skredek, i JJ, i Grzybnia Pierwotna, Wojtox, Lukasz Majewski, Cesaria Magento,
608:  Gregor232, Zbój, Prokrust, Nemor, Folen, Szymon Półtorak, Skawiak, Wąski, Bartosz Gromko, Sanity, Kagrald, Oskar Drauz, Angelika,
623:  Wszyscy, którzy będą oglądać zapis tego streamu, wszyscy, którzy nie będą oglądać zapisu tego streamu, bo będą z nami!
630:  Będą poznawać Warhammera Total War!
633:  Będą cieszyć się z intryg klanu Eshin!
638:  Będą radować się z gromienia chaosytów!
641:  Będą rozprzestrzeniać Imperia!
647:  I działać!
648:  Moi mili, witam serdecznie!
