🔴 Najszczursza podróż — WARHAMMER 3: IMMORTAL EMPIRES Skaven #1
🔗 https://www.youtube.com/watch?v=JryqJVu1cLc

243:  KONIEC!
415:  Co możemy zrobić przeciwko tak niebezpiecznej ochronie?
564:  stream rzecz tak tak skriven tak klan bracia tak witam czaty rzeczy na streamie z kampanii ikita klaw tak
582:  Pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa
604:  Popper, Karol Korol, Sariel, Palitkeus, Mazopka, Kangames, Gierny, Obserwator i wszyscy stali i nie stali.
613:  Widzowie kanału, którzy nie wiedzą, że tak, tak, mówią Skaveni, tak!
620:  Ikit, Ikit, gdzie, tak, tu, Ikit, drużyna, spaczeń, tak!
627:  Moi drodzy, gramy dzisiaj w Warhammera, witam serdecznie wszystkich, będziemy grać z kawenami, będą się działy dziwne rzeczy, niepoczytalne rzeczy, witam Pomelo, Lucifera, Noob, Serenoksa, Atomowego Gościa, Balroga72, Wąski, Natalia, Aure, Cherix, IamFreedom66, Gniewkin, Klaudagata, Mando, Katsi,
645:  Demini, Karol Łukaszewski, Raciaveli, Burek, Bigomeza, X403, Aśku i cała reszta naszych moderatorów, Jerz Serlenwaldu, Janek Żółtko, Elberf, Dziewięcioogoniasta, jakże adekwatnie będziemy chwalić wspólnie Rogatego Szczura, Mazopka, Suzy Diamond, Kagrald, Mlekolak, Atomowy Gość, Serenox, Janek Żółtko, Adam Budel,
665:  Wtysiu Różowy, Mon Daisy, Szaman Dzikich Bobrów, Fany Walentine, Kapłanka Chaosu, Krystian, Jaksa Utsendari, Grzegorz Sikora, Pralinka, Janek Żółtko, Julia Berezińska, Szwagier, Wampirzakt, Szeptcieni, Katokamasz, Grim Lukas, Stupid Thingy,
683:  Mezopka, Gatonefist, Joan, Szymon Zajdel, Fat Pandalf, Natela, Sybin, Bear, Płaczka, Natalia, Wiktoria Kulińska, Nia Kaźmierczak, Martyna, Groin Stomper, następna Natalia, Nia Doris, Mikołaj Trąd,
698:  Mruwa, MJ Modena, Mikołaj Siworski, Darek Masiejczyk i wszyscy moi drodzy, którzy dołączyli podczas naszych dwóch ostatnich szalonych jakże streamów, które mieliśmy.
709:  To był stream środowy i stream piątkowy, kiedy wpadł Rysław i Filip bez schematu tudzież bez życia, więc jeśli nie widzieliście to nadróbcie, bo się dzieją ciekawe rzeczy.
718:  W przyszły czwartek swoją drogą będziemy mieli Wiedźmina a propos ciekawych rzeczy.
722:  Nieśmieszne.
723:  Michał Estonawski, Michał Łuczyszczyn, Katarzyna Zygmunt, Śniadrwy, Barbeluk Akremański, Pingwin, Monday Z, Arti, Karol Adamczyk, Drunk Chaos Mind, Krystian i wszyscy przybyli, moi drodzy, w tę wspaniałą, jakże wspaniałą niedzielę, kiedy to Tauron zdecydował mi się odciąć prąd.
745:  Nie lubię Tauronu.
746:  Nie polecam.
