Największa z uraz do pomszczenia — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=1-_JZpCZ0kk

251:  Wyjątkowy stream środowy.
255:  Któż by przypuszczał?
257:  Zbliżają się ferie, więc jest szansa, że będzie więcej śród Warhammerowskich.
261:  Witam serdecznie.
262:  Soywitch, Emeriu, Goonie, Morphe, 65 kilogramów Korol, TheGrefgStynnyMilk, Gosia Ośka, TheCleverOne, TheVolay, Cesaria Magento, Pusia Fistaszek, KręciBółkaPrzepiękne,
273:  x403, Deet, Firebone, Bidiskos, TheClever1.pl, Joan, Nadia Lewi, Kagral, Distotarzująca, Wenzant, Sanka Sasanka, Alejandra, Jeddorenki, Bandyta, Sebastian, Szczerba Karolitka, Deep879, Morawski, Jamnikado, Maciej Zięba, Maciek, Szymon Pawlik, Żółw, Usunięto, Kordemon, Miłosz Maniecki, Wilkel, Kafrin, Lejtman,
299:  Bydyskos, Bear, Jowu, Wiwi, Berserker, Floki, Cóż za miana na czatach, moi drodzy, Etme, Stanisław, Klapczyk, Kaznodzieja, Milczącej Żaby, Wspaniałości, Magda M1, Miłosz Maniecki, ponownie Porucznik, Miauczkin, Kuba, Pakucza, Bear, Bierny Obserwator, Dominik Stopka, Psychobobi, Natiuny, Lord, Anarg, Lufenrel i Alegator, moi drodzy.
327:  Będziemy kontynuować oczywiście naszą dumną kampanię DAWIH, bo ostatnio się podobała i wam i mnie.
333:  Adriana Włodarczyka, takoż witam, Giliadera, Wojtka Pszczelarza, Annę, Darknaur, JCBVV, Solwich, moi drodzy, moi drodzy, i Żabcia też przybyła do nas, Żabcia i Kaznodzieja Milczącej, żeby mojego już założyć wspólną denominację religijną.
352:  I Scaler, witam także, Grzegorz Sabura, Etme, moi drodzy, without feather, edu, będziemy przechodzić do naszego radosnego Warhammera, ja już w przestrachu,
362:  Na początku stwierdziłem, że nie będę odpalał Warhammera zanim się zacznie z tym, bo wszystko mi się zawiesi.
