Nigdy nie utrzymamy Karaku Osiem Szczytów — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=stFzwr85yxk

236:  Dzięki za oglądanie!
347:  © PTA & TVP
410:  Witam, witam wszystkich po problemach technicznych, których być nie powinno!
416:  Witam najserdeczniej!
421:  Witam Koniunkcję Sfer, witam Julię Berezińską, witam Jerza z Erlenwaldu, witam Żuwia, Krumjoy, Wenzant, Nadia Lewiosa, Belwerter, Kazerkoł, Adept Jamniczego Ognia, Agatka, Majer Fawran, Olaku, Strajkiczo, Analea, Michał Łuszczyn, Dori, Palitkeusz, wszyscy przybyli, wszyscy stali i nie stali widzowie, wszyscy, którzy mają problemy techniczne z YouTubem i wszyscy, którzy nie mają problemów technicznych z YouTubem, wszyscy, którzy czekają na komputer o godzinie nie wiem której jeszcze we wtorek, czyli ja i cała reszta.
456:  Biernego Obserwatora witam, Portowo Pomarańczy, Grim Lucas, Killer Clean, Sam Wit, Pretty Creepy Dolls, Simba Shini, Kashana, Zgredek95, Pusia Okrusia, Szlachetne Grono Moderatorskie, DW, Wieszcz Pingwy, Hex, Zosia Wilman, Duka, Monday Z, Kojot, Krzysztof Medecki, Grzybendeask, Dominik865, Vag Varanus, Ziomek Kekalu, No One, Mighty Bartomil,
492:  Niech żyje metal instrumentalny!
494:  Metal instrumentalny jest ważny!
498:  Bear, Jednoręki Bandyta, Aradel, Łaciaty, Coltis, Daria Suchora, Rafał P, Pełcio, Gosia Ośka, Lukas P, Victor Winter, Panika, Konrad Lechowski, Asmodeus, Vito Corleone, Daniel Ratajczak, Fok, Kacper Eł, Szymon Zajdel, Dave i wszyscy przybyli!
518:  Moi drodzy, przepraszam jeszcze raz za straszliwe problemy techniczne, które mam.
524:  One już potwierdziłem milion razy, są spowodowane procesorem.
528:  Najprawdopodobniej przy obciążeniu procesora wszystko szlag trafia.
531:  W związku z powyższym, biorąc pod uwagę fakt, że Warhammer 3 Total War jest procesor ożerny, to mogą się dzisiaj dziać ciekawe rzeczy.
538:  Uprzedzam z góry, ale mam nadzieję, że będziemy sobie w stanie spokojnie pograć.
542:  W każdym razie wszystko na to wskazuje.
547:  Jutro, jutro nie wiem co jeszcze będzie, ale że we wtorek przybywa nowy comp moi drodzy, to możemy się spodziewać, że w przyszłym tygodniu już na 1000% będzie Hogwarts Legacy.
558:  Równocześnie w przyszłym tygodniu w środę, jak już sobie zapowiadamy rzeczy, będzie rozmowa na bez schematu.
563:  Ważna rozmowa, która może się wam spodobać w kontekście streamów z Hogwarts Legacy.
567:  Polecam!
569:  Nie mam pojęcia, co nie wydala w kompie, szczerze powiedziawszy, ale na pewno to jest kwestia hardware'owa i bardzo mnie to denerwuje.
575:  Tak czy siak, w nowym kompie będzie chłodzenie wodne, więc już powinno być wszystko w porządku.
578:  Znaczy nie, tam nie powinno być wszystko w porządku.
580:  Przy 13900K i RTX'ie 4090 wszystko musi być w porządku.
