Ogrze Królestwa Opilstwa i Oźralstwa — OGRE KINGDOMS Livestream #1
🔗 https://www.youtube.com/watch?v=c8kik-tNNFc

201:  KONIEC
239:  Dzień dobry.
311:  Witam, witam, witam wszystkich zgromadzonych na, jak się okazuje, jak się okazuje, jeszcze jednym przedpremierowym streamie z Warhammera Total War 3.
323:  Discordianie pytali i Discordianie prosili z holistycznej agencji eskapistycznej.
327:  Krzysztof, może Ogry?
328:  Krzysztof opanował.
330:  Nie Ogry!
331:  Magia!
331:  Potęga umysłu!
333:  Discordianie obstawali cały czas Krzysztofomocze Ogry, Królestwa Ogrów, więc tak zmieniamy się dzisiaj w prymitywne istoty, które będą strzec swych bagien przed zazdrosnym okiem wszystkich innych.
347:  Będą bronić oblężonego bagna i będą mieć syndrom oblężonego trzęsawiska.
351:  Haha, witajcie serdecznie, witam, trybutariuszy, a nie łożą sandbox, erin, gazowane mleko, stalowego guźca, Bartka Litowskiego, Adama Wikinga,
361:  Odin with me, Ona Grusa, arcykolege Palitke, Mikasa, Red Fox, Roberta Górskiego przy monumentalnych dźwiękach, Warhammera Total War 3, który muzykę ma w menu, może nie tak dobrą jak w Dark Souls 3, ale równie dobrą.
378:  Witam Slabogokrze, witam bardzo złośliwego człowieka Miss Jesionkę, witam
385:  Waniewskiego!
386:  Witam stałych widzów streamu!
387:  Szokera wyłapuje!
389:  Wyłapuje Anuki takoż!
391:  Witam Sue Caulfield!
393:  Fallen!
394:  Muminek!
394:  Zwykłego kolesia!
395:  Krzyżowca niepraktykującego!
397:  I nigdy nie przestanę witać!
399:  Witam Mikę!
402:  WARHAMMER!
404:  Nareszcie!
405:  Gangalfa!
406:  Takoż!
407:  Witajcie serdecznie!
410:  Kampanie!
413:  Królestwa Ogrów!
416:  Prymitywne istoty, czas na nie.
419:  Ogry.
421:  Ogry!
422:  Ogry!
423:  Ogry to rasa ogromnych, twardych, bezwzględnych...
430:  Dlaczego myśmy grali tym Slaneszem?
433:  I wiecznie głodnych humanoidów.
434:  Zrzeszone w plemiona prowadzą z natury nomadyczny tryb życia.
439:  Gilles Deleuze lubi to i można je spotkać, gdy siłą torują sobie drogę.
443:  Każdy ogrrr, choćby zabrrrnął nawet na drugi koniec świata.
447:  Za swoją prawowitą, mozolnie wywalczoną ojczyznę uważa rozproszone, plemienne królestwa położone na zboczach i rzecznych dolinach Gór Lamentu.
458:  Jako oprychy rozbójnicy i najemnicy rrwą się do walki zarówno z silnymi, jak i słabymi przeciwnikami, wojując z potężnymi wrogami, bezkresnymi królestwami tysiące mil od domu, skuszeni obietnicą złota, łupów i przede wszystkim mięsa.
475:  Nic tak nie zaspokaja nieposkromionego apetytu ogra i wielkiej paszczy, jego nienasyconego bóstwa jak nieskończona destrukcja i grabież.
485:  Czego poświata nie jest zielona?
486:  Bo nie gramy z skawenami, moi drodzy.
492:  Zielona poświata tylko dla skawenów.
494:  Mamy ledy w kolorze mięsa i foliowej czapeczki na głowie tłuściosza złotego ząba.
502:  Wszechtyrana zęba.
504:  Wszechtyrana najgrubszego i najsilniejszego spośród wszystkich ogrzych plemion.
510:  Dzięki swej smykałce do przekupstwa i sporemu zasobowi bogactw
515:  tłuściosz, tłusty ząb, złoty ząb, jest zawsze w stanie siać zamęt i skłócać swoich wrogów.
525:  Jednak oszałamiające sukcesy tłuściosza, tłustego zęba nie zstępiły ani jego chciwości, ani przytłaczającej żądzy podboju.
534:  Witam słonego cukra także i Filipa Gałczyka, Koltisa, Pawła Madeje, Kairos Francizinie Perie, Cesarię Magento,
544:  Dołączacie.
545:  Agnieszka już od sześciu miesięcy wspiera.
549:  To jest szaleństwo, Agnieszko.
551:  Jamniki dla ciebie.
555:  Niesamowicie driftuje, prawda?
557:  Nasz tłuściorz złoty ząb, żre mięso, beka, driftuje, jeździ.
563:  Dokładnie tym, z czym identyfikuje całą kulturę fetyszyzacji samochodów.
573:  Krzysztof zaczyna sobie grabić.
575:  Masa jednostki, to jest rzecz, która została prowadzona w Warhammerze, masa jednostki determinuje to, jak szybko jesteśmy w stanie się przedzielać przez szeregi wroga.
582:  Dobra rzecz.
582:  Rozpoczynamy kampanię.
587:  Tak źle go przetłumaczyli.
588:  Jak jest w oryginale tłuściorz złoty ząb Teridax?
595:  Wygląda jak gruby Mikołaj.
597:  Łukasz Dziedzic zdaje sprawę.
598:  Raport z pola walki na temat rejestracji na przedmioty na ososie.
601:  Pierwszy raz w życiu udało mi się wszystko zarejestrować.
603:  Usos się nie zawiesił.
604:  Gratuluję Ci.
605:  Właśnie dzisiaj sobie przypomniałem, jak to próbowałem się zarejestrować na seminarium.
609:  Jedno jedyne.
609:  U jednego specjalisty, który był w stanie pociągnąć moje magisterium.
612:  Z całego wydziału polonistyki UJ.
615:  I logowałem się za pośrednictwem dwóch laptopów, jednego telefonu i peceta.
621:  I tylko dlatego mi się udało uzyskać miejsce na 8-osobowym seminarium.
627:  Królestwa ogrów znajdują się w górach Lamentu.
629:  Przejęły one szczyty należące do dziś już wmarłej rasy podniebnych tytanów.
633:  Rozumiecie?
634:  Góry Lamentu przejęły.
635:  Ta górzysta kraina wprost roi się od strzaskanych skał, ogryzionych kości i wielkich dzikich bestii czekających na pożarcie lub poskromienie.
642:  Słowo królestwa może być nieco mylące, bo królestw ani królów tu nie ma.
646:  Jest za to wszechtyran sprawujący swą władzę żelazną ręką i wyczekujący daniny od wszystkich plemion w postaci mięsa i złota.
651:  Nazywa się Tłuściarz Złoty Ząb.
653:  Chociaż czaty twierdzą, że w oryginale lepiej.
656:  Czy widziałem Devilman Crybaby?
658:  Niezusko, nie widziałem.
659:  Warto?
661:  Rozpoczynamy od pięknego ujęcia na ogrzyzat, prawda?
664:  Czy teraz też powiemy dadas, jak przy Slaneszu?
667:  Powiemy tak?
668:  Nie powiemy, otóż.
669:  Przede mną daleka droga, bowiem góry Lamentu leżą na wschód od mrocznych ziemi.
