🔴 Ostatnia ekspedycja Yuan-bo — WARHAMMER 3 Yuan-bo #5
🔗 https://www.youtube.com/watch?v=o1FAr7-B3Fc

11:  muzyka muzyka muzyka
52:  Muzyka Muzyka
85:  Muzyka Muzyka
122:  KONIEC
199:  Dzięki za oglądanie!
248:  Zdjęcia i montaż
281:  © PTA & TVP
382:  Dzięki za uwagę!
415:  Szybko!
449:  Wszystko jest w porządku.
470:  Gdy piasek przemieszcza się swobodnie po marmurowym krześle, tego dnia dłużą się godziny.
490:  Żmija kąsa tych, którzy chodzą bez butu.
513:  Witam w brzmieniu bębnów wszystkich zgromadzonych o 16 na streamie młotkowym!
520:  Witam najserdeczniej, albowiem dzisiaj będziemy wypróbować patch 4.2 do Warhammera Shadow of Change!
527:  Witam wszystkich przybyłych!
529:  Lucifer, Wesper, Moczt, czwarty, may you have a great day 2137, B Gomeza, Wiktor Winter, Kamil Romanowski, Grzegorz Sikora, Delta Firenz, niestatystyczna Astro i Grzegorz, jeszcze raz, Kamil Romanowski, Serenoks, Grim Lukas, Jacky Left, Krzysztof S, Gojo, Katoru, Szejk Truskawkowy, Jakub Haleta, Nix Nix, Mats.
552:  oraz Pan Lusterko, nie, Pan, tak, Pan Lusterko, dobrze przeczytałem, Delta Rua, Jurame49, Einar Onion of Onion i GrimHawkTalexX, wszyscy stali i nie stali widzowie kanału, wszyscy, którzy dowiedzieli się o tym z karty społeczności, że będzie Mikołaj Marcela w środę o godzinie, moi drodzy, 16, dobrze mówienie, 18, przepraszam, z tą książką, która będzie w obniżce 50% wyłącznie dla jamniczych widzów kanału,
581:  Jutro, moi drodzy, dla każdego, co przyszedł do Dwemer, TheSkyrim, Dawid Wojacki, niech będzie także powitany Wesper, CzerwonyLis, Bartek Litowski, Michał Walczak, GraphicWitch iiii... Jesionka oraz Active86, Szejk, Kazia Kazanowska, nie wiem, czy była wyczytana, ale MaxWu na pewno nie był, Jurama49, Ditfa Ebon,
601:  I Adusz Cytrus, Ewa, Delta, Posolona, Bartłomiej Milczarek, wszyscy moi drodzy, także nie będą powitani, którzy śledzą boję biednego Niedomagajamniksa, to w zasadzie nie jest Niedomagajamniks, nie wiem kto to jest, w Hollow Knight'cie nawet nie nazwaliśmy jeszcze tego bohatera, co to się dzieje, Pademifernes niech będzie powitany, Damian Niedziółka, Drakon...
621:  94, i Wróbel, i Panda Panda, i Angelo997, Kafin, i Talex, oraz Keftin, i Einar, i wszyscy nasi wspaniali oraz dzielni moderatorzy, i Wesper, i Joglol, i wszyscy lormistrzowie, którzy się pojawiali, wszyscy, którzy będą słuchać tego odcinka w zapisie, ponieważ nie mogli się pojawić w sobotę 16, gdyż mieli...
644:  Rzeczy, życie i inne rzeczy na rzet.
647:  Po stronie nie będzie powitana także Ulkiorra.
650:  Dziękuję za dołączenie do grona wspierających.
653:  Z jamnikiem.
655:  Moi drodzy.
656:  Moi drodzy.
657:  Ja już nie mogę dłużej czekać.
660:  Musimy leczyć do Warhammera.
661:  Nie ma innej opcji.
664:  Nie ma innej opcji.
666:  Patch 4.2 jest nie byle jaki, bo dołącza...
671:  Wspaniałe jednostki do armii Kitaju.
