🔴 Podróże małe i duże — WARHAMMER 3 Malakai Makaisson #1
🔗 https://www.youtube.com/watch?v=bO1vjqUAndQ

10:  Muzyka
118:  KONIEC!
196:  Dzięki za oglądanie!
284:  Witam wszystkich zgromadzonych w ten oto nasz czwartkowy dzień, wyjątkowy dzień czwartkowy i wyjątkowy dzień Warhammerowy.
292:  Będziemy grać w dodatek Thrones of Delay, Decay, dalej kampanią krasnoludzią i jeszcze obejrzymy sobie na sam początek lore'owy film, który dla was specjalnie znalazłem, to znaczy tak naprawdę to będzie Bitwa i Cinematic.
304:  Witam wszystkich najserdeczniej.
306:  Mats Liliovein, Grzegorz Sikora, Funcia Frogett67, Nikola Maksymilian, Łachgancu Bear, który pisze potwalony na wieki jego wsparczeń, Imperialny Skryba, Niestatystyczna, Garbus94, Funcia, Karol Kowal, Wesper, Filip Chrzanowski, Todig Webad,
323:  Knurr Maciek, Martyna, Grzegorz Sikora, Imperialny Skryba, Ania Szymańska, Ditwa Ebon, Grzegorz Sikora, Simon, Szeptucha Black, Ked Wegeta, 60, lata 1332, ja nie umiem czytać liczb, Czerwony Lis, Pepe1990, Irena, Dariusz Tokarczuk, Karol Kowal, Paweł Świnarski, Cyprian Wieczorek, Majestic Dwarves and Majestic They Will Be, Simon, Bigomeza,
348:  Marian Beczkowski, Wojtas, Byku, Ewerest, Michał Papałek, Szagrael, Nani Nani, Grzegorz Sikora, Jesio, Your Brain, Kuba Burzyński, Sara Gawrońska, Diobuń, Mats, Szagrael, Nani Nani, Patryk Huć, Jesus26, Ruła, Wespel, Ignej, Skazerką Mak, Piekielno, Jamniczego Ognia, Michał Pęksa, Basia Kozak, Marian Wojtek i Michałek oraz Szagrael i Jastur Król.
377:  Kalila Glyzat, Wesper, Grzegorz Sikora, Jesus26 i Franek Niemiecki, Simigami, witajcie moi drodzy na Insterdecie, witam wszystkich stałych i niestałych widzów kanału, jak zawsze witam wspierających trybutariuszy i wszystkich, którzy w tym momencie jeszcze trawią karkówkę.
396:  Co powiedziawszy, obiecałem moi drodzy i od samego początku zaglądamy na wspaniały cinematic, który został uczyniony przez dobrego człowieka nazwiskiem Engaging Bear, który ma za mało subskrypcji.
410:  W związku z powyższym polecam wam cinematic Engaging Bear, zaangażowany niedźwiedź innymi słowy.
416:  Jest wspaniały.
424:  Ona, która przygotowuje serce, która oszczędza nasze rolnictwa.
437:  Wiesz, kim jestem?
437:  Widzę za mną błyskawicze twarze i twarze.
442:  Najlepszy jest dzień, by strzelić wiele grudzeń z wielkiego książki.
444:  Wielkie książki!
450:  Widzę Cię, skum!
450:  Z kłopotem Phileas'a będę miał każdą ostatnią błotnicę twojej twarzy na terenie!
453:  Zgromadzenie twoich dwóch brzegów!
455:  Zróbmy to!
456:  Daj te słodkie skum wielkie podniebienie!
473:  Obiecałem, że w tym miejscu będzie silny talerz, a ja nie jestem w stanie zniszczyć takiego ołka!
478:  Krudzież będzie zakończona!
479:  Chodźcie!
480:  Ratniki, żołnierze!
480:  Będziecie umarli!
488:  A, Steven!
488:  Tak, tak, tak!
489:  Uwaga!
489:  Uwaga!
489:  Uwaga!
489:  Uwaga!
490:  Uwaga!
490:  Uwaga!
490:  Uwaga!
490:  Uwaga!
490:  Uwaga!
507:  Ha!
527:  It's a game!
527:  Bring it on!
527:  Engaging bear!
528:  Najlepszy!
530:  I would have worked with you, scum!
542:  Jest i to!
545:  Jest i nasz serowiec!
553:  Pomyśleć, że to było zrobione do Warhammera Total War 2, a my jesteśmy w Warhammerze Total War 3, przecież coś wspaniałego absolutnie.
560:  Ja się od razu, moi drodzy, czuję zagrzany do walki.
564:  A walkę my mamy przed sobą.
567:  Oj mamy!
568:  Jest lito walka, do której doprowadziłem szybkie dopowiedzenie.
572:  Po ostatniej absolutnej katastrofie wczytałem save i doprowadziłem do walki, którą mieliśmy mieć, ale która została ustawiona w niewłaściwy sposób, więc teraz, teraz będziemy myścili się właściwie i adekwatnie.
585:  Co powiedziawszy, wszystko jest na poziomie najtrudniejszym, lecimy.
592:  Jestem świadomy, że na kanale Lulu & Friends jest pięć jamników.
595:  Niestety jestem świadomy.
596:  Musiałem tę tragedię w postaci porodu ominąć.
599:  Bardzo mnie drażnią tego rodzaju obrazy.
602:  W związku z tym czekam, aż te jamniki wreszcie będą w stanie poporodowym i właściwym.
607:  Przestałem oglądać Lulu & Friends.
609:  Co to jest za dramat?
611:  Czy ten nowy tytuł, którego nie ujawniłeś, ma związek ze szczurami?
614:  Ooo, Frogett już jest zapowiedziany.
616:  Jest zapowiedziany już live na niedzielę.
619:  Będziemy grali w Dog's Tail Impudence.
622:  Indolence.
624:  Obsolescence.
625:  To właśnie.
630:  Ania Szmańska pisze, że kilka dni temu wróciła z narzeczonymi z Hiszpanii, było super dużo miejsc, zwiedzili bardzo dobrze, mam nadzieję, że wypoczęliście.
638:  Już są dwa materiały z małymi bierbeciami w takim stanie, pisze B, polecam nadrobić.
641:  Proszę bardzo, czyli na kanale Lulu and Friends, miałem powiedzieć Szczuru and Friends.
645:  Popatrzcie, jacyś śmieszni przeciwnicy wszystkich zgładzimy teraz.
648:  Dzisiaj jestem w... Ooo!
652:  I to jest dobra mapa!
654:  Proszę, mamy pierwszą dobrą mapę dzisiaj.
657:  Dla tych, którzy nie wiedzą, o co chodzi, możemy sobie nawet tutaj się ustawić.
662:  Mianowicie mamy nowe jednostki.
666:  To są jednostki wkurwione.
668:  Dał ich.
669:  Dlatego są na czerwono.
671:  Zobaczcie jaka jest różnica w statystykach.
672:  Zasięg 120, tutaj 80.
673:  159, 156.
673:  No ale ten jest awansowany, więc naprawdę będzie nieźle.
