🔴 Przybyli krasnoludowie chaosu! — WARHAMMER 3 Chaos Dwarves #1
🔗 https://www.youtube.com/watch?v=_N5u-yzSDxo

234:  KONIEC!
266:  KONIEC
293:  Dzięki za oglądanie!
324:  Na podbój!
325:  Sar na grunt!
329:  Nóże, zbierajmy nasze chówce!
332:  W ogniu, w trwodze i w pożodze!
335:  Witam wszystkich dzisiaj!
337:  Witam złego czarownika Ola Kustra, Tyron, Katokamasz, Detos, Aseer, Tomrz, Grzegorz, Sikora, Mendoz, Sławupierdliwy, Tarael, Sagan,
346:  No 96 Grimhog, Palitkeusz, Astrzej, Wróżka Zębuszka, Pseudoartystka, Patrycja, Łaszczka, Rolitka, Jamnik Chaosu, Senting, Julka Opaczewska i pozostali nasi moderatorzy Kamil, Howard, Siny, Young, Upa, Dawid Wojacki, Józ, Pusia, Okrusia, Durży, Anwilas, Anna Graczek, Grimhog,
369:  Grabol, Katokamasz, Michał Z., Karol, Badziowan, Vetek, wspierający nas Szymon, od nowa dziękuję za wsparcie, Karolan, Likojak, Rikon, Garden War, Pełcio, Suzy, Diamond, X403MR, Judawit, Wojacki, Patrycja, Odkowiak, Budowniczy, Pylonów!
387:  Witam wszystkich!
391:  Będziemy grać krasnoludami chaosu w Warhammera Total War 3.
395:  Ileż czekania było, moi drodzy, na to pierwsze DLC, które wychodzi właśnie.
400:  JebakkaMD, TheClever1, Graf, witamy serdecznie, Jerex, Karolina Busk, TikTak, Nadia Lewi, TomŻ, Jazoneus, Nagrywa, Karolan Takoś, Dawid Wojacki-Anna, Serenox, Kati Snape, Grzegorz Sikora.
417:  Flamingel, Grzegorz Lupa, kogo jeszcze nie czytałem?
420:  Stupid Thingy, Skylares, Bodzio PB, Jakak, Vity, Szymon Zajdel, Jędrzej Molenda, Cuki, Cubane, Wojtek Pszczelarz, Rokit, Agata Warsińska, AdusCytrus,
435:  Moi drodzy, będą się wspaniałe rzeczy dzisiaj działy.
438:  Mówię wam, wczoraj się działy jeszcze ciekawsze rzeczy, to znaczy była radosna debata i chciałem podziękować niniejszym Stowarzyszeniu Umarłych Statutów nie tylko za zaproszenie, ale także za zrobienie jamniczego identyfikatora.
451:  To ja.
453:  Było fajnie, będzie, moi drodzy, film na ten temat.
455:  Wojtek Pszczelarz, dzięki za wsparcie od 6 miesięcy.
458:  Jak szybko minęło, tajemnicze pół roku, to prawda!
461:  Robert Fajny, Romek Walikoń, Venzant Sinastei, Mirek Wlarzyński, witajcie także, bierny obserwator Jakub Momot, Yuki Sane, Miłosz Szawerdak, ponownie Cię wyczytuję, Nolmendil, Daniel Mazur, Waskiń, Romek, Golden Rose, Sarah North, Złodziej, Vegeta232,
486:  Nie ma jak metal instrumentalny!
487:  Za mało jamników!
487:  Nareszcie, nareszcie mamy w duelce!
492:  Tak, moi drodzy!
497:  Wybierzemy się dzisiaj na ruinę Zarduk i podbijemy stolicę krasnoludów chaosu!
503:  Zar ma grunt, tak będzie!
506:  Więcej jamników czaty wytrzymają!
527:  Dobrze, dobrze!
530:  Dobrze, moi drodzy, tyle naszych powitań dzisiejszych, ha!
535:  Przechodźmy, moi drodzy, in medias res, w środek rzeczy, tak?
540:  Dzieją się krasnoludowie, dzieje się ogień, będziemy zaprowadzać industrializację przemysłu, górnictwo i hutnictwo do starego świata.
551:  Oddaj muzykę.
554:  Zastanawiam się nad tymi starymi sejwami, pisze Maciej Kryś.
556:  Informacja o niekompatybilności nie sprawia, że nie można odpalić tego sejwa, tylko informuje o możliwych problemach.
561:  No, to jest prawda, ale nie podoba mi się to.
566:  Nice, 69 tur.
568:  Nie można obejrzeć tę debatę.
569:  Jest link, Nadio, na karcie społeczności.
572:  Mateusz de Kujawia, witamy cię i witam w rolnie Trybutariuszu, dzięki za wsparcie.
578:  Dlaczego czat był wyłączony?
579:  A to nie do mnie pytanie, moi drodzy.
581:  U mnie zawsze jest czat włączony.
583:  Ja nie mam problemu z pytaniami, jak wiecie dobrze.
