🔴 Rasputin wiecznie żywy — WARHAMMER 3 Kostaltyn #1
🔗 https://www.youtube.com/watch?v=Y8SrdmHvH00

7:  KONIEC!
94:  Muzyka
270:  Witam wszystkich najserdeczniej niedzielnego wieczoru przy bębnach kislewickich!
275:  Ruszamy, moi drodzy, na podbój całej północy!
278:  Wybijamy dzikie ludy norskańskie!
282:  Odbijamy Polskę!
284:  Polskę z rąk Moskwidów!
288:  Odbijamy i będziemy niszczyć i wypalać!
291:  Niech będzie podpalony w imieniu Konstaltyna!
295:  Witam najserdeczniej wszystkich!
296:  Bartek Litowski, Urszula, Giewon, Majster, Piotr Z., Grzegorz, Sikora, Wiridian, Aredel, Katarzyna, Vegary, Kuba!
303:  Miejsce na twoją reklamę!
305:  Naszą reklamę!
306:  Nie tam jakąś burżuazyjną, zagramaniczną, naszą polską reklamę!
312:  Misiek, Witaj, Adus, Cytrus, Kurowania, Kaźmierczak, Fat Pandalf, Lord Andry, Krystian, Active86, Melanta, Iga, Nieciekawy Człowiek, Jerzer, Lenvaldu, N. Severn, Kapłanka Chaosu, Zbigniew, Wazia, Kapłanka Chaosu, Kostaltyn, Rusza, Wypalać, Wiktoria, Newrast, Venzant, Funcia, Zofia, Zawadzka, Estol, Latek, Yuki, Sanne, Simon, Małgorzata, Piłat,
336:  Aldona K., Cywilizowany Druid, Raksogajson Kain, któremu dziękuję za bycie jam Nikołajem, Łukasz G., Radosław Rrrrr, Arti Niezłomny, Zbigniew Wasiak, Jakub Kołodko, Jamnicza Kapłanka Zalenstein, wspiera od 10 miesięcy, za to dziękuję, odbijamy, tak jest, Marek, Hapko, Jakub, Posolona, Szymon Nalewajko, Adam Borkowski, Ania Szymańska, Adrian Steplowski,
360:  oraz Baldwin IV i Sezam117, Szymon Zajdel, JJ straszliwy, Paweł Ejdechnik, wszyscy, którzy kontentowali się Dune'ą II, jeżeli nie, to koniecznie obejrzyjcie Wasago, Sandra, a jeżeli obejrzeliście, to będzie dyskusja bez schematu epicka o 21 we wtorek.
376:  Już teraz zapraszam Lovely Flames, Grzegorz i Wasago i Michał Pęksa i Wojciech Hareński.
382:  Moi drodzy, jeżeli myślicie, że zakończymy na wspaniałej muzyce,
387:  To tak nie będzie, ponieważ przygotowałem na Was na sam początek, dlatego też odpalimy sobie raz jeszcze muzykę One With The Tribe.
394:  Rzecz, której nie mogę Wam niestety puścić razem z muzyką, ale za to jest to animacja na kanale.
401:  Zaraz powiem wam, jaki to kanał.
