🔴 Thrones of Delay — WARHAMMER 3 (frakcja Dawich i Imperium)
🔗 https://www.youtube.com/watch?v=httWILQnfRQ

73:  Czemu?
246:  © PTA & TVP
462:  Dzięki za oglądanie!
531:  Dzięki za oglądanie!
570:  Dziękuje.
599:  Tak, moi drodzy, wyglądają rektorskie!
602:  Witam wszystkich najserdeczniej na tym wyjątkowym streamie o godzinie 20 we wtorek, kiedy normalnie mam seminarium powitać, bo dzisiaj premiera Thrones of Delay, DK, DK, DK właśnie te, właśnie tak.
616:  Witam najserdeczniej Jamnika Matematycznego, Kubę, Megafukę, Blakkę, Tangnieszkę, Saran, Raku, Posejdona,
622:  Jesion Medic, Todi DeBart, dziękuję za dołączenie do gier wspierających, araściście, odnowienie wspierania, Arkadiuszowi Cybulakowi, Todik, Jeż Zerenwaldu, Mrówa Funcia, Zekrom, Luka Senpai, Sori Kyras, Kacper Trebikowski, Mintaj, Króżynka, Iska, Czerwony List, Selenox, Knur Maciek, Pan Lusterko, Płonące Lilie, Skarpety Szatana, Bartłomiej Milczarek, Płonące Lilie, przekazuję pozdrowienia, pozdrowienia dla wszystkich, którzy się szykują, moi drodzy, do świętowania najlepszego miesiąca,
648:  W historii wszystkich miesięcy, to znaczy maja i majówki, bardzo dobrze i adekwatnie.
653:  Gerwazy 1, Laura, Mega Fucha, Albert Krasnolębski, Mintaj, Artur Urbański, Lovely Flames, Taj Kalwi oraz Froget 67 i Mateusz Pralinga, Jakub, o mało nie przeczytałem własnej wypowiedzi przez przypadek, Fanny Robert 227, Agnieszka Ori, Agnieszka Styczyńska, Abdulwi Simulacha, Wojtek W.,
670:  Ja cały czas skądś kojarzę tego Abdula Wisi-Mulacha.
672:  To był sultan Abdul Wisi-Mulacha i ja sobie przypomnę skąd to było.
676:  To nie jest Niziurskie, ale to coś jest.
678:  Ja sobie przypomnę.
679:  Skłamał Krzysztof Zekron, Pralinka, Bujok, Misiek Milan, Patryk Huć, Jaolin, Aleksandra Szewczyk, Xardas, Diobuń oraz Hejs Studio, Rakuł.
690:  Delfin, Zekrom, Kazerkow, Mak, Pikielno, Jamniczego Ognia, Adrian Steplewski, Kuba, Erhard, Raksokajson i Dawid Wojacki, Janomin, Kamil, Fen oraz Jam Szczurwica.
704:  I Dewilek66, Cordi, Krzysztof w lekkiej uzbroi, tak jest, moi drodzy, bo zbliża się gorąc.
710:  Ogólnie rzecz biorąc, strasznie jest gorąc.
712:  Fen, Bartek, Iga, Black Cat, oryginalna nazwa, Kapiks, nie Kapiks, Szczurak, Salazar, Wampizda.
722:  Wojtek W., Agnieszka Styczyńska, Agnieszka Ori, Fajny Robert227, Croxello, Akkarin, Goatfroy Akkarin, to jest mój ulubiony mag, i Jesion Medic.
736:  Maj nie będzie najlepszy, bo w tym miesiącu mam ćwiczenia rezerwy, pisze Jesion Medic.
739:  To faktycznie i Bulbatozaurek i raz Moloch95.
743:  Moi drodzy, witam najserdeczniej.
745:  Raz jeszcze od razu idziemy do Warhamca.
747:  Będziemy słuchać rzeczy.
749:  Niech zadmą rogi Daoui, albowiem Daouimi będziemy grać.
754:  W połowie możemy sobie zrobić tak, moi mini, że zmienimy sobie frakcje, żeby wypróbować wszystkie, bo w Thrones of Delay, dla tych, którzy nie wiedzą, o co chodzi, zostały dodane trzy frakcje w sumie.
764:  To znaczy frakcja Nelga, którą nie chce mi się grać, ale przede wszystkim jest tak, Elspeth von Drachen, którą może zagramy o 22, jeżeli okaże się, że kampania nam nie pójdzie z Daoimi.
777:  Następnie właśnie w ramach Daoich, czyli krasnoludów.
780:  Gdzie są krasnoludowie?
783:  Krasnoludowie.
785:  Został dodany Malakai Mikosson.
789:  To nie jest Makajson, tylko Mikosson.
791:  To jest ważne, żeby było Maj na początku, który boostuje Slayersów, zabójców krasnoludzich.
798:  I w ogóle jest rework zarówno frakcji krasnoludziej, jak i imperialnych.
802:  Wspaniałe rzeczy się dzieją.
805:  Baltazar Geltz, swoją drogą, też jest interesujący, bo się przeniósł do Kitaju, z tego co pamiętam.
809:  Laura, dzięki za dołączenie grona wspierających.
811:  Wszystkiego jamniczego dla ciebie.
814:  Proszę bardzo.
814:  I Kubo, dziękuję za wsparcie od 21 miesięcy już.
818:  Zima nie jest głupia, kiedy mamy prawdziwą zimę z mrozem i śniegiem, a to swoją drogą.
821:  Nie lubię takiej zimy, która jest błotna i paskudna i brudna.
825:  Wiecie, to jest taka krakowska.
832:  Dobrze.
833:  Witam szanowne towarzystwo i awesla leszpisze lili wrows.
836:  Gdzie jesteśmy na mapie?
837:  W Krakadrak i to jest wspaniałe.
839:  Tam długo, długo była taka frakcja, która nawet się doczekała w tym momencie fanowskiego moda, więc wiecie.
845:  Ustawienia, bardzo trudny, bardzo trudny, po to, żebyśmy mogli sobie zapisać w zasadzie.
850:  Jeżeli chodzi o kryzysy, to whatever.
853:  Nie sądzę, żeby ta kampania, a może, może ta kampania się rozwinie, kto wie.
857:  I jakie sobie włączymy?
859:  Bez o jednej urazy za daleko, ponieważ musi być lore'owo zgodnie.
862:  Poza tym wszystko okej, rozpoczynamy kampanię.
865:  Co sądzę o cenie tego dodatku?
866:  Jest skandaliczna.
869:  Prosta sprawa.
871:  Ale to jest Creative Assembly, moi drodzy.
873:  Cena nigdy nie była adekwatna do tego, co otrzymujemy, chociaż tutaj jest i tak zdecydowanie lepiej niż przy Shadows of Change.
882:  Ja już nie mam współpracy Miłoszka, nie wierzę mieć współpracy z Creative Assembly, to trzeba robić wyłącznie kontent Warhammerowski.
887:  Kiedyś było tak, że robiliśmy dużo streamów, a teraz robimy inne gry i Creative Assembly współpracuje na zasadzie takiej, że informuje mnie o rzeczach, natomiast nie ma żadnych kodów dostępowych.
906:  Czy Henryk Cavill jest również fanem Warhammera?
908:  Henryk Cavill jest fanem Warhammera czterdziestki, ale przypuszczam, że fantasy też.
914:  Więc cena dodatku straszna.
917:  Co tu się dzieje?
918:  Ooo!
920:  Film!
921:  W najprzedniejszym wieku zespołu inżynierów, Dawid stworzył maszyny wojny.
930:  Światła, brzmienie gromadzi i złota.
933:  Ufalne plany, złożone przez wieki.
936:  Jednak są tam ci, którzy nie poddają się tradycji.
950:  Wypuścił się z kościoła za jego wyjątkowe pomysły.
956:  Malachy Makison teraz próbuje powstrzymać swój szanowni.
961:  Zdjęcie jego ślady zostało spełnione przez mroczność, grę i święto.
973:  No i to rozumiem!
974:  Ja chcę części tego rodzaju filmy przy tej kampanii, bo w kampanii Immortal Empires są rzadziej zdecydowanie.
980:  Są tylko takie durne właśnie zjazdy kamery, a... Aaa, lubię takie rzeczy!
987:  Serious work to do!
989:  Aaa, tak!
990:  Malakai Makaesu!
991:  Malakai Ma... Okej, już jestem skłonny go nawet nazywać tak, jak się chce.
997:  Nie można zmienić nazwy, straszne, bohater jest zabójcą.
999:  Tak, tak, dostajemy, moi drodzy, Gotreka i Feliksa na początek.
1004:  Natomiast niezależnie jest bardzo dużo nowości akurat w przypadku DAWI.
1009:  Ja sam teraz będę to sprawdzał na własną rękę.
1011:  Jest rework całego drzewka technologicznego, gdzie wreszcie wydajemy złoto przysięgi na coś innego niż tylko wyroby kuźniowe.
1020:  Wielka Księga Uraz jest zmieniona teraz, proszę bardzo.
1023:  Kiedy grasz kasną nadal, niech panel wielkich księgi uraz umożliwia przeglądanie najważniejszych celów związanych z urazami.
1027:  To wiemy.
1028:  W zakładce legendarnych uraz widoczne są ważne cele, czyli musimy podbić te prowincje na przykład, czyli wiesz, że istnieje Wódka Jamnik, Pytal, Dieter, Skról.
1034:  Nie wiedziałem.
1035:  Dziękuję za wsparcie od 15 miesięcy.
1037:  Teraz już wiem.
1039:  rozmaite legendarne urazy, jasna sprawa.
1041:  O, i to jest świetne, to znaczy w miarę wypełniania Wielkiej Księgi Uraz i skreślania kolejnych uraz z jej stronic, będziemy otrzymywali szanse na konfederację, co naprawdę jest dobre, nie w naszym świecie, ale w świecie Warhammera, z tego względu, że tutaj strasznie ciężko się konfederuje, ale to potwornie.
1058:  To jest mniej więcej tak, jakbyście chcieli sobie wyobrazić, no nie wiem, koalicję
1063:  Nie, nie da się powiedzieć o koalicji skrajnej lewicy z skrajną prawicą, ponieważ w Polsce to jest w sumie możliwe.
1068:  Więc wycofuję się z tej analogii.
1070:  Więc jest bardzo ciężko zrobić konfederację.
1072:  Bardzo ciężko jest, krótko mówiąc, z tymi wszystkimi frakcjami paktować.
1075:  Nie wiem z jakiego powodu.
1077:  Są niektórzy ludzie, którzy uważają, że to jest możliwe.
1078:  Mnie się to nigdy praktycznie nie udaje.
1080:  I dostajemy, to jest super, w zakładce mścicieli nowe jednostki, które będziemy w stanie rekrutować z tego, co pamiętam, prawie natychmiast.
1088:  Nawet można całą armię powołać natychmiast.
1091:  To jest w ogóle niesamowite i super.
1094:  Malakaj złożył przysięgę zabójcy, pisze Dawid Wojacki, ale teraz wycofał komentarz, więc nie wiem, co pisał.
1100:  I trafiamy, moi drodzy, do Krakadrak.
1103:  Miejsce, gdzie zawsze chciałem być.
1105:  Co tutaj jest?
1105:  Srebrny dwór, przychody 500, chcemy to bezwzględnie.
1108:  Chcemy również to.
1111:  Siodraken.
1115:  Little Shrew pisze, że w Krakowie jest do kupienia wódka Jamnik.
1118:  I teraz mi domówisz, jak ja już nie mogę pijać alkoholu.
1120:  Pięknie.
1121:  Droga gildii, stosunki dyplomatyczne plus 10 z krasnoludami, pieśni marszowe.
1124:  Dobra, dobra, dobra.
1125:  Boostujemy wojsko, boostujemy piechociarzy.
1130:  Uuu.
1134:  A to jest no... My dosłownie mamy sterowiec.
1139:  Czyli z tego, co widzę, frakcja Malakaya będzie działała mniej więcej tak, jak frakcja Piratów Wampirzych, to znaczy może sobie rozwijać moi mini,
1150:  Sterowiec tak jak możemy statek normalnie.
1152:  Kruszynko, Isko, dziękuję Ci za trybut.
1153:  Jeśli nigdy nie grałem w Total War Warhammer, chciałbym zacząć uczyć się, to brać drugą część, drugą czy trzecią.
1157:  Już Ci mówię.
1158:  Trzecia, z bardzo prostego powodu, tutaj dostaniesz tutorial.
1161:  W pozostałych częściach nie musiałabyś się salvować YouTubem.
1164:  Wszystkie kosztują tyle samo.
1165:  Poza tym dwójka to już jest w tym momencie scam, ponieważ do trójki możesz sobie dokupować o wiele wygodniej DLC.
1171:  Natomiast wszyscy, którzy kupowali na przykład DLC do dwójki i teraz przeszli do trójki, no to mieli czasem takie sytuacje, że zapłacili więcej finalnie.
1178:  Więc i tak to druga impreza, ale zdecydowanie lepiej od trójki zaczynać.
1183:  Zawsze można wylać wódeczkę, do butelki wlać to, co lubisz.
1186:  Wiecie, jak to się skończy?
1190:  To się skończy tym.
1192:  To znaczy manierką.
1196:  Ale się cieszę, że gramy w Warhammera.
1198:  Moi drodzy, jamniki serdeczne dla rektora AGH-u za ogłoszenie rektorskie.
1204:  Wam pizd!
1205:  Jest jamnikołajem jeszcze w tak zwanym międzyczasie.
1207:  Cordi otrzymuje wsparcie Adrian Steplewski, wróżka zębuszka.
1212:  Oraz, oraz Hejs Studio.
1214:  Stali bywalcy strumyków.
1216:  Niuch!
1218:  Ej, co się dzieje z niuch?
1221:  Czekajcie, już wiem.
1222:  Niuch!
1223:  Pomyliłem sobie kadry kamery, jak bardzo jest to żenujące.
1228:  Będzie chwała rektorowi, prawda?
1230:  Prawda?
1230:  Dobrze.
1233:  Walczymy.
1237:  Haha, dobrze, dobrze, bardzo dobrze.
1239:  Ciekawy jestem, czy są jakieś zmiany w poszczególnych jednostkach.
1242:  Tu już widzę nową jednostkę.
1245:  Tylko nie wiem jeszcze, co to jest za jednostka.
1246:  Zaraz zobaczymy wszystko.
1248:  Niespodziewany stream Szybtuło, tak.
1250:  Niespodziewane rektorskie na AGQ, niespodziewany stream.
1253:  Zaczarowana doroszka, zaczarowany doroszkarz, zaczarowany koń.
1255:  Niespodziewany stream, niespodziewane rektorskie, niespodziewany dodatek do Warhammera Total War 3.
1260:  Doomslayer są, mówicie?
1263:  Wow!
1266:  Jest więcej hichopterów!
1271:  Więcej hichopterów to więcej radości!
1278:  Bardzo dobrze!
1280:  Co za radość, ale są piękne te hichoptery.
1283:  Co jeszcze?
1288:  Uuuu... Skokszeni slayerzy, moi drodzy.
1296:  Nieźle.
1298:  Naprawdę nieźle.
1300:  Tu starszy znajomi, to znaczy Gotrek i Felix.
1303:  Tu jest nasz Lord.
1305:  Dobrze, Mike Asson, pamiętajmy.
1307:  No tu standardowe jednostki, dał ich.
1311:  Aaa, wspaniałość, wspaniałość.
1315:  Górnicy z ładunkami wybuchowymi, to jest jednostka do wyrzucenia jak najszybciej, bo nic nam nie da.
1322:  Hmm, dobra.
1324:  Tu powinniśmy mieć...
1326:  Na!
1327:  Tu się rozłożymy.
1328:  Jesteśmy dawymi!
1330:  Nie cofamy się!
1333:  Dobra.
1334:  Minus!
1337:  Strzelcy tutaj.
1339:  Ładnie, dobrze.
1344:  Tutaj Slayers, tu nasi bohaterowie.
1347:  Jest pięknie.
1348:  Stream dzisiaj, ja też jestem w szoku, Lejnat.
1349:  Jeszcze w czwartek będzie i też Warhammer.
1352:  Jutro mamy, moi drodzy, stream nasz pierwszy o fantastyce, Q&A.
1357:  SFNF, science fiction, fantasy, rzeczy.
1360:  Będzie to wstępny stream, zorientujemy się też, czego chcemy, co będziemy robić.
1364:  Będę mieć parę różnych niespodzianek dla was i podziałamy.
1368:  A w czwartek świętujemy długi weekend majowy.
1371:  Czy Star Blade mam zamiar ogrywać?
1373:  Trochę nie w moim stylu gra, znaczy ja nie gram w action-RPG do tego stopnia krzępit.
1378:  Jaolin dziki ze wsparcia od 15 miesięcy, hihihoptery jamniczych sił specjalnych, jamior, tak jest!
1384:  Ten sim jest jak kartkówka niezapowiedziany, nie denerwujcie mnie z kartkówkami.
1387:  Dobra, zobaczymy jak teraz są skuteczne.
1391:  Przede wszystkim hikoptery, to mnie interesuje najbardziej.
1395:  Nosiciele zarazy nagla, tak, oni są najniebezpieczniejsi.
1399:  Dobra, jak to wygląda?
1408:  To są miotacze, to są miotacze ognia!
1411:  To są, to są fruwające miotacze ognia!
1417:  Tak!
1418:  Tak!
1421:  Tak!
1423:  Boże, mamy wcześniej gwiazdkę!
1428:  I to jeszcze ma bombunię!
1431:  O, jak cudownie!
1438:  Nie, no rewelacja, że oni mają szansę.
1444:  Dobra.
1446:  Gotrek.
1448:  Jaki gnojoryj.
1450:  Gotrek, a to jest gnojoryj, ja się dbałem co tu się dzieje.
1456:  Dobra.
1458:  Szaleńcza amunicja.
1464:  Strzelać, strzelać.
1466:  Dobrze.
1467:  A my tymczasem zrobimy najlepszą rzecz jaką możemy.
1469:  Spad... Bombunie!
1472:  Ojojojoj, ale bombuń dużo.
1476:  Tutaj też spuścimy bombunie.
1484:  Dobra, zobaczymy jak oni sobie radzą.
1490:  Wyślemy też... Minus!
1497:  Całkiem sobie dobrze radzi.
1500:  Gotrek, walgo.
1504:  Dobra.
1506:  Minus!
1508:  Ej, nieźle sobie radzą.
1516:  Good!
1518:  Potęga!
1520:  Potęga i sława.
1522:  Wycofamy ich leciutko.
1526:  I... Dobra, strzelaj, strzelaj, strzelaj!
1534:  Goooo!
1536:  Dobrze, dobrze, dobrze, bardzo dobrze.
1540:  Miners!
1543:  Wielkie nieba, Cobraj Blade jest Jan Nikołajem, Vegarik, Erwazy, Delfin, Krzępit, Wiktor Wilk, No One, Zekrom, Kapiks, Niekapik, Katriona, Gawron, Wiedźma, Postapo i Marcin Kruczek.
1558:  I Kizorkę... Kizorkę, przepraszam, otrzymują wsparcie.
1562:  Dziękuję serdecznie za wsparcie społeczności kanału.
1565:  Niuch!
1566:  Potężne niuch!
1567:  Oddał ich Kazukan Kazakitha!
1572:  Ja mam sterowiec?
1574:  Ja mogę przyzwać sterowiec?
1576:  Okej, moi drodzy, to jest serowiec.
1578:  To jest serowiec.
1579:  Będziemy przywoływać serowiec, który będzie szerzył.
1583:  Serzył.
1583:  Serzył i szerzył pożogę.
1588:  Seżył pożogę.
1591:  Tak.
1592:  Wspaniałe.
1593:  Boże drogi.
1594:  Przecież to jest pierwszy raz widzę, żeby te bombunie zebrały tyle zabitych.
1598:  Rewelacja absolutna.
1602:  Złoto przysięgi.
