🔴 Yuan-bo zwiedza terrarium z Mazdamundim — WARHAMMER 3 Yuan-bo #2
🔗 https://www.youtube.com/watch?v=Xd5wxHcz938

193:  Witam wszystkich najserdeczniej!
197:  Witam!
199:  Z wspaniałego Warhammera powiedział Krzysztof, który wie, że nie gra muzyka.
206:  Zaraz zacznie znowu grać muzyka.
208:  Zatrzymać stream!
209:  Zatrzymać stream!
214:  Gra muzyka, wszystko działa.
219:  Teraz już, moi drodzy, będzie, więc witam wszystkich najserdeczniej.
223:  Witam najserdeczniej przy dźwiękach Packs of Savage Dogs, moi drodzy, będzie, obiecuję.
229:  Juki Sanep, Tyś Różowy, Tonia Tub, Ewa Filipa Karolitka, Dominik, niech będą powitani.
235:  Czekajcie, a już wiem, dlaczego teraz nic nie gra.
237:  Byest, Victoria Saturnus, jednoręki bandyta, kazerką ma kielnojamniczego ognia, Sebastian Lovely Flames, Siosik, Michał Kędzierski, Sebulba, w ogóle to bądźcie powitani ze stosowanej kamery, Lorelin, Poprostum, Filippo, Balerock72, Luca Senpai, wyznawca rogatego szczura, tak, tak, Jerex, Jukis, Anek, Xenofenes, Grzegorz Sikora, Pademi Fernes, Filippo, Suzy Diamond oraz Diet Firebone, Grzegorz Sikora, Czerwony Lis, Brontos, Karol,
266:  45, Grimcock, Gerwazy 1, Tonia Tubb oraz wszyscy, którzy słuchali rozmowy z Anną Szulc.
272:  Wszyscy, którzy nie słuchali rozmowy z Anną Szulc, marsz słuchać rozmowy z Anną Szulc, ponieważ jest znakomita, najlepsza rozmowa na tym kanale.
279:  Coś wspaniałego, jaki gość nam się trafił.
281:  Grimcock, White Key, Serenox, Arti Niezłomny.
285:  Wszyscy nasi moderatorzy, wszyscy, którzy nie moderują, wszyscy, którzy wspierają kanał, wszyscy, którzy nie wspierają kanał, wszyscy, którzy się nie odzywają na czatach i wszyscy, którzy się odzywają na czatach.
294:  Pom, Matthew, Erin, Jednoręki, Pandyta, Borda, Pomranicza, Bigomeza, Shana, Koyomi, Bubr, Kleptoman.
300:  Takich chcemy mieć ludzi.
302:  Chcemy mieć więcej bobrów kleptomanów.
304:  Yuki Sane, Lucas Senpai, Yuki Sane pisze, drugi raz uważaj, żeby nie było trzeciego razu, ponieważ overstimulation wpierdoli się na pełnej.
311:  Jest to prawda.
312:  Tomasz Skrzypczak, Ruszka Zębuszka, Karolitka, Magiczny Proszek oraz Karol Korol, Helena i wszyscy przybyli, moi drodzy.
318:  Nie graj o bębny, ponieważ Warhammer jest wojenny młot.
322:  Będziemy okładać wojennym młotem tępe jaszczurki.
325:  W osobliwie głównie Mazda Mandiego, który nam przeszkadzał straszliwie, ponieważ, moi drodzy, kontynuujemy wspaniałą kampanię, a jest to kampania nie byle kogo, ponieważ Juanbo, moi drodzy, tak jest.
338:  I pierwsze, co usłyszeliśmy, to rżenie konia.
342:  Dlaczego?
343:  Pierwsze, co usłyszeliśmy, to było, moi drodzy, rżenie konia.
348:  Ale widzicie, już wszystko powolutku działa, tak?
351:  Nie wiem jak, ale działa.
353:  Czekajcie, mówcie mi, jeżeli będzie gra za głośna na przykład, bo to sobie musimy wysterować dobrze.
359:  Ale śpieszę was poinformować, że mamy również... Upokorzony.
364:  Proszę bardzo, jest soundboard, wszystko powróciło.
368:  I dzięki temu, moi drodzy, będziemy mieli znacznie lepszą sytuację niż wcześniej, ponieważ teraz jest soundboard, a równocześnie jest także...
381:  Zbierać Torfuna z tępych ludziaków!
386:  Są rzeczy, których nie było i są rzeczy, które są i są rzeczy, które będą.
390:  Na przykład może będzie zwycięstwo dzisiaj.
393:  Nie wiemy tego absolutnie.
394:  Dostaję reklamą w pysk.
396:  A przepraszam, tego nie zmieniłem, ponieważ obecnie youtuberzy nie mają możliwości, niestety moi drodzy, jako i streamerzy, usuwać reklam na żywo.
406:  Tak jest, nie mają takiej możliwości.
408:  Nie wierzycie mi?
408:  Proszę uprzejmie, oto dowód.
411:  Macie reklamy włączone.
412:  Określ, jak się mają wyświetlać reklamy.
414:  Zaplanuj sam, tak?
416:  Sam.
417:  Czyli wstaw ręcznie.
418:  Won mi z tym.
420:  Won.
421:  Wyłącz.
421:  Gotowe.
422:  Zapisz.
424:  Tak nam odbierają władzę, moi drodzy.
428:  Tu jest, będzie, moi drodzy, dużo, dużo głosów nowych.
432:  W końcu słuchać prawdziwy głos bez filtrów, tak, Matko z 13?
436:  Reklama wyjątkowo bezstrzelna wbiła się w środek wypowiedzi.
438:  Jak tak można?
440:  Wyłączone, wyłączone reklamy są.
442:  Armia Wieprza jest najlepsza?
445:  Mówicie?
447:  A armia wiepsza jest najlepsza.
451:  Nie wiem jak to wyszło, nie mam włączonego na słuchu.
454:  Dobrze, moi drodzy, Yuan Bo jest zasadzony w zasadce na Lorda Mazdamandiego.
461:  Surprise, motherfucker.
463:  I kto to jest?
465:  To jest, moi drodzy, astromanta, którym się możemy poruszać.
469:  To znakomicie.
471:  Soundboard, najlepsza inwestycja.
472:  Dzięki wam, moi drodzy, są te chore inwestycje.
475:  Dzięki wam.
476:  O czym Bart myśli.
477:  Właśnie.
479:  Właśnie.
480:  Ja się bardzo cieszę.
482:  Ja się bardzo cieszę, że znacie klasykę.
484:  Bardzo mnie ten fakt cieszy, moi drodzy.
487:  Tak brzmi polonista opętany duchem ujotu.
