Jak walczyć z wypaleniem
🔗 https://www.youtube.com/watch?v=rvnoWRo1gno

0:  Mawia się, że najcenniejszą z walut jest czas.
3:  No oczywiście są jeszcze ludzie, którzy mówią, że są to pieniądze, ale możemy jedynie ubolewać nad ich ograniczonymi horyzontami.
13:  Czas natomiast to jest coś, czego rzeczywiście mamy mało na tym łezpadole, ale jest jedna rzecz moim zdaniem jeszcze cenniejsza.
23:  i ta, którą nam się odbiera, w odróżnieniu od w wielu przypadkach czasu.
27:  Bo żeby nam odebrać czas, zwykle trzeba gdzieś nas zamknąć, odizolować, pozbawić nas swobód i wolności.
35:  Natomiast o wiele częściej
37:  dzieje się to, że ktoś nam odbiera iskrę kreatywności.
42:  Ten płomień, który u człowieka trzeba nieustannie podsycać, nie wystarczy wykrzesać go raz, trzeba cały czas dbać o to, żeby płonął jasno i wyraźnie.
53:  Dlatego niezniszczalny płomień w Silmarillionie J.R.
57:  Tolkiena był tak wyjątkowy, był domeną wyłącznie Eru Iluvatara, praojca rzeczy, który był w stanie wytwarzać rzeczy z niczego,
65:  i cały czas podsycać w tym, co stworzył, gorąc, ciepło życia i istnienia.
71:  To jest powód, dla którego w uniwersum ardy nikt inny nie był w stanie tworzyć.
76:  To jest powód, dla którego Tolkien sam nazywał ludzi, pisarzy, artystów, stwórcami pomniejszymi, bo byli w stanie jedynie naśladować to, co zobaczyli, przyszedłszy już na świat.
87:  Dlatego jak dużo pedagogów mówi, że do szkół przychodzimy jako pytajniki, a opuszczamy je jako kropki, prawda jest taka, że mówi coś więcej ponad tylko to, że jesteśmy w jakiś sposób kanalizowani, że ogranicza się nam horyzonty.
103:  To zdanie mówi także nam coś o wiele bardziej, moim zdaniem, doniosłego i przerażającego.
109:  To znaczy, że zatracamy w sobie tą iskrę ciekawości.
114:  A od zatracenia iskry ciekawości jest krótka droga, którą ja niestety przeszedłem, do wypalenia.
120:  I nie, to nie jest jeden z tych filmów, gdzie twórca przedawkował granulat dla youtuberów i mówi, że się wypalił i że nie zrobi już następnego filmu, a tak naprawdę jest to clickbait, ponieważ robi tydzień później inny.
133:  To jest ośmieszanie problemu, wydaje mi się.
136:  Wypalenie dotyka w tym momencie nie tylko branżę kreatywną, dotyka bardzo dużą liczbę w ogóle ludzi pracy, ale także studentów i uczniów.
146:  Co mnie osobiście przeraża, jest to jeden z motorów napędowych mojej działalności tutaj.
151:  Przerażenie faktem, że odbierana jest nam iskra kreatywności.
155:  Wyobraźcie sobie świat Dark Souls, w którym nie ma już ognisk.
160:  W którym są tylko potwory i ciemność i mrok.
164:  Nie chcemy takiej rzeczywistości, nie?
167:  Ja przeżyłem wypalenie w swoim życiu, głównie dlatego, że absolutnie nikogo nie słuchałem, kto mówił mi, Krzysztof, najważniejsze jest zdrowie, rodzina, bliscy.
181:  Twój czas na tej ziemi, jak go spędzasz.
185:  Ważne jest to, żeby poznawać sztukę, żeby jeździć w różne miejsca na świecie, w miarę możliwości finansowych oczywiście, żeby słuchać muzyki, żeby zażywać każdego dnia, ponieważ to może być nasz ostatni dzień.
199:  Ja tego wszystkiego nie słuchałem i miałem bardzo dobry argument.
203:  Mój argument brzmiał, jeżeli ja nie będę ciężko pracował, to przy moim profilu zainteresowania, była to literatura, sztuka, gry komputerowe, no, nie znajdę za bardzo pracy.
217:  Jedyna w zasadzie opcja, jaką widziałem od dłuższego czasu, jak się zacząłem nad tym zastanawiać, to był uniwersytet.
224:  Opowiadałem wiele razy na live'ach, jak zdecydowałem się, jak okazało się, że mam 20% matury trudnej z polskiego, że wszystkie swoje siły kreatywne przekierowuję do tego, żeby zostać w nauce.
237:  Bo wiedziałem, że w zasadzie żadna inna opcja po studiach polonistycznych dla mnie nie będzie dobra.
243:  Być może też byłem o tyle uprzywilejowany, że to faktycznie wjeżdżałem na poziomie liceum i na poziomie studiów i już miałem plan na najbliższe 10 lat praktycznie, który to plan zrealizowałem co do Joty, ale gigantycznym kosztem.
258:  I bardzo starannie uważam, za każdym razem jak pracuję z kimkolwiek, kto chce mojej rady i o nią prosi lub przysługuje mu ona z urzędu, bo jest studentem, studentką, osobą studiującą, żeby nie za bardzo
276:  przyciskać tej śruby, żeby nie zachęcać za bardzo do zatracenia się w tej spirali, bo spirala jak to spirala, wiecie, wciąga nas coraz bardziej i wywiera na nas presję.
288:  Ciężko się w którymś momencie poddać już tej sile i dać jej opór, zwłaszcza jeżeli dochodzimy do koniuszka tej spirali.
296:  Wyrwać się z czegoś takiego później jest niesamowicie ciężko.
300:  Dla mnie to było ciężkie właśnie z takiej pragmatycznej perspektywy.
303:  To znaczy, ilekroć z kimś rozmawiałem i w bardzo racjonalny sposób wykładałem, słuchaj, muszę zrobić to, to i to.
309:  Jeżeli nie napiszę tylu, a tylu tekstów, nie dostanę stypendium.
312:  Jak nie dostanę stypendium, nie będę mieć pieniędzy.
313:  Jak nie będę mieć pieniędzy, nie będę mógł jeździć za granicę.
315:  Jak nie będę mógł jeździć za granicę, to nie będę mógł robić tekstów, nie będę miał konferencji, wtedy nie dostanę na uczelni.
321:  Ja miałem taką litanię, którą wypuszczałem za każdym razem wściekły.
326:  Jadowity.
327:  Do każdej osoby, która usiłowała mi pomóc.
332:  I wiecie na czym polega straszny problem?
337:  Poniekąd miałem rację.
340:  Ale poniekąd.
342:  To znaczy, miałem rację, że w tym toksycznym środowisku, do którego trafiłem, to była jedyna opcja.
349:  I mój błąd gigantyczny polegał na tym, że dałem się wypalić.
354:  To jest proces, moi drodzy.
355:  To nie jest tak, że z dnia na dzień się budzicie i czujecie w sobie pustkę.
360:  I nie macie już tej iskry, nie możecie wykrzesać niczego z siebie.
364:  Nie ma niezniszczalnego płomienia w nas.
366:  Jest tylko płomień.
367:  Jak ten płomień zagaśnie, jak nie będzie dostępu tlenu,
372:  To koniec.
374:  Nie ma już kto rozkrzesać tej iskry na nowo.
378:  Bo to jest coś, co pochodzi od was, z wewnątrz.
381:  To musi być wewnętrzna motywacja.
383:  Z zewnątrz oczywiście mogę wam pomóc ludzie, jasna sprawa.
387:  Ale w ostatecznym rozrachunku to jest nasza decyzja.
389:  I ja nie podjąłem decyzji wycofania się z wyścigu szczurów, kiedy mogłem i pójścia w innym kierunku.
396:  Każdy oczywiście może powiedzieć, no Krzysztof, nie wiadomo, czy byłbyś tutaj, gdzie jesteś i tak dalej, bo może to były negatywne doświadczenia, ale nabrałeś ich, teraz się możesz dzielić z ludźmi i ostrzegać.
406:  Czy ja wiem, czy ja mogę ostrzegać?
408:  Czy ja wiem, czy...
410:  do końca mnie posłuchacie, to jest też wasza sprawa, nie?
413:  Możecie właśnie spojrzeć na czysto liczby i punkciki.
417:  Możecie zobaczyć na liczbę cytowań publikacji, możecie zobaczyć na liczbę wyświetleń filmu, możecie zobaczyć na jakąkolwiek inną liczbę lub metrykę związaną z moją skromną osobą.
428:  i wyciągnąć wnioski na własną rękę, które nie będą zgodne z tym, co ja mówię, a ja mówię od samego początku jedno.
435:  To, gdzie jestem, tutaj, w tym momencie, to jest seria nieszczęśliwych zdarzeń, z których jedno było szczęśliwe.
445:  I oczywiście, no, w którymś momencie się fuksnęło, ale wiecie, nie powinniśmy, skoro już i tak cały nasz system ekonomiczny jest jednym wielkim kasynem, to nie powinniśmy jeszcze grać w kolejną loterię, to znaczy o nasze własne życie.
458:  Wydaje mi się, że to, co w wielu filmach się nam mówi, że powinniśmy, no, wszystko na jedną kartę postawić, bo na pewno się uda, bo od pucybuta do milionera, ha, ha, ha, i... Zbyt to hollywoodzkie i romantyczne, moim zdaniem.
478:  To znaczy, oczywiście, że zgodnie z rachunkiem prawdopodobieństwa co którejś osobie wyjdzie, ale...
485:  Brutalnie powiem, że ludzie, którym wyjdzie wygrana na takiej loterii, wyjdzie także wszystko inne.
492:  Bo to są już ludzie, którzy są zdolni, utalentowani, mają dryg, pasję, cokolwiek.
497:  I tak dotrą do jakiegoś momentu, w którym będą zadowoleni z tego, co robią.
501:  Natomiast ta narracja, którą sprzedajemy, wypala mnóstwo ludzi, którzy chcą od razu już mieć sukces,
510:  od razu chcą zapłonąć i bardzo często po prostu się szybko wypalają.
516:  I w momencie, w którym już nie ma materiału, który można palić dalej, to co?
521:  Co nam zostaje?
524:  Myślę, że odpowiedzi znacie, nie do końca mogę o nich otwarcie mówić, ale też chyba nie warto, bo biorąc pod uwagę to, jak bardzo często się uciekamy do różnych sztucznych substancji, które mają nas wspomagać, albo do sztucznych bodźców, albo do jakichś dziwnych schematów, wzorców, które wdrażamy w życiu po to, żeby nam się żyło lepiej.
548:  Gdzie zaszliśmy?
550:  że potrzebujemy, bardzo często potrzebujemy listy to do, w której będziemy mówili o tym, co mamy zrobić, żeby wypocząć.
559:  To jest bardzo złe.
561:  Ja jestem daleki od też chwalenia różnych guru i coachy motywacyjnych, bieda coachy, umówmy się, którzy mówią, że tak, że kluczem do kreatywności jest to, żeby sobie założyć notatnik i ładnie w nim rysować i koniecznie nad latę.
578:  Bo to nic nie daje, to są rady uprzywilejowanych ludzi, którzy mają pieniądze i patrzą na swoje życie i myślą sobie, no to jak mogę jeszcze bardziej zarobić na tym swoim doświadczeniu.
588:  I nawet nie mówię, że mają złe intencje, bardzo często mają dobre intencje, ale to są intencje Marii Antoniny, która ludziom głodującym mówi, no jedzcie ciastka i też chcę dobrze.
602:  Więc wolę wam powiedzieć, że z wypalenia się nie wychodzi.
607:  Jak się wypalicie, to się wypalicie.
609:  To, co można zrobić wtedy, to znaleźć sobie nowe poletko do zabawy i mądrze je zagospodarować tym razem, żeby jego nie wyjałowić przedwcześnie, tak?
620:  To zrobiliśmy już z tym, co już nieuniknienie, nie będzie nigdy tą żyzną łąką, którą kiedyś mieliśmy.
630:  Ja mógłbym bardzo łatwo wpędzić się w czarny nastrój.
634:  Wiecie jak?
636:  Wystarczyłoby, żebym porównał swój dorobek naukowy z okresu 5 lat studiów doktoranckich versus 5 lat zatrudnienia na uczelni.
644:  Jest niższy o rząd wielkości.
648:  I gdybym patrzył na metryki, gdybym patrzył na statystyki, słupki, no to mógłbym jedyne, co sobie powiedzieć, to spojrzeć prosto do lustra i powiedzieć, że jesteś gorszy.
662:  niż byłeś.
663:  I co więcej, jeszcze robiłbym coś, co wam samym mówiłem, że jeżeli już się z kimś porównywać, to z samym sobą.
671:  Haha.
673:  Ale jak widać, są granice tego porównania, to znaczy, co nam da powiedzenie sobie czegoś takiego, że och, kiedyś byliśmy w stanie zrobić niesamowite rzeczy, a co jesteśmy w stanie zrobić teraz?
684:  To nie jest produktywne, to jest destruktywne.
687:  Jeszcze bardziej nas wpędza w te żałości, w ten dus, którego chcemy się rozpaczliwie wygrzebać.
695:  Więc w jaki sposób nie dać się wypalić?
699:  W jaki sposób powstrzymać ten proces?
704:  Jedyne rozwiązanie, które ja widzę, sensowne, które bym też doradził samemu sobie te x lat temu, to byłoby znalezienie czasu na to, żeby ze sobą samym porozmawiać.
714:  Egoistycznie.
716:  I jeżeli potrzebujecie do tego lustra w postaci terapeuty czy innego człowieka, super, ale może jest część osób spośród was, która już tego próbowała i nie działa.
