MARNA propaganda to wciąż PROPAGANDA (Wiadomości TVP 24.10.2020)
🔗 https://www.youtube.com/watch?v=xTP8CzwEdkY

1:  Dziś na poważnie dwie myśli, które podsuwam wam do zastanowienia się nad nimi.
7:  Pierwsza z nich będzie nawiązywać do tego, co dzisiaj się dzieje, w ostatnich dniach przynajmniej, i brzmi, gdyby mężczyźni musieli rodzić dzieci, to aborcja byłaby sakramentem.
20:  Niezależnie od waszego poglądu nad sprawę, od waszego światopoglądu, wyznawanego systemu religijnego, to zdanie poddaje się interpretacji.
29:  Interpretacja tego zdania nie prowadzi do wniosku
33:  Przedmiotowa sprawa jest zła, przedmiotowa sprawa jest dobra.
37:  Prowadzi do wniosku na temat tego, jak urządzony jest nasz świat, kto w nim decyduje i dlaczego niektórzy są zakneblowani.
46:  Dajcie szansę temu zdaniu, zastanówcie się nad nim.
49:  Natomiast druga rzecz dotyczy materiału, który został wyemitowany przez telewizję publiczną i ponieważ dostałem go całkiem niedawno i w swoje ręce i
62:  Uświadomiłem sobie, że bardzo dużo ludzi może sobie nie radzić z interpretacją tego, co tam się dzieje.
68:  Postanowiłem, że zaprzęgnę do tego swoje możliwości retoryczne i postaram się pokazać wam, gdzie leży problem, prawdziwy problem.
78:  w formułowaniu przekazu propagandowego, ponieważ nie ma żadnej i nigdy nie było totalitarnej władzy, która by nie funkcjonowała dobrze bez aparatu przymusu.
89:  Bez aparatu przymusu ideologicznego, światopoglądowego, bez narracji, która legitymizuje jego istnienie.
97:  Tak się składa, że w serialu The Handmaid's Tale, co jest tym bardziej ponure, takiej narracji dostarczyła kobieta.
104:  Kobieta apelująca o to, by inne kobiety sprostały ich biologicznemu przeznaczeniu.
110:  Embrace their biological destiny.
113:  Jeździła z wykładami, wykłady spotykały się z protestami, aż w końcu zasiane ziarno wykiełkowało i powstał Gilead.
122:  To jest oczywiście narracja dystopijna, fantastyczna, choć oczywiście byliby tacy, którzy by chcieli zapomnieć o tym, że dystopia to jest fantastyka.
131:  ale mówiąca nam coś bardzo ważnego na temat naszej rzeczywistości.
135:  To znaczy to, że nie ma żadnej dyktatury, niezależnie od tego, czy ona jest poważna, czy jest niepoważna, czy jest zagraniczna, czy jest polska i paździerzowa.
147:  Niezależnie od tego, czy zgodzimy się nawet z tym, że demokratycznie wybrany rząd może dryfować w kierunku dyktatury.
154:  To wszystko nie ma znaczenia.
155:  Znaczenie mają słowa, które fundują ten system.
160:  I
162:  Szlak mnie trafia, że polska edukacja nie daje nam narzędzi do tego, żebyśmy potrafili tę narrację rozebrać na czynniki pierwsze, rozebrać na części pierwsze, rozebrać na malutkie elementy wreszcie i zastanowić się nad tym, co one znaczą.
178:  Dziś postaram się coś takiego zrobić w ramach najbardziej żenująco smutnego reaction video, jakie kiedykolwiek chyba będzie mi dane zrobić.
186:  Mianowicie, tak, obejrzymy sobie fragment wiadomości w TVP.
