Musimy porozmawiać o odpoczynku
🔗 https://www.youtube.com/watch?v=iQMPYRA2ggA

0:  Na tapczanie siedzi leń, nic nie robi cały dzień.
6:  Ten początek wierszyka Jana Brzechwy, który urósł do całej scenki rodzajowej w psychotycznym filmie Akademia Pana Kleksa, mówi więcej o naszym stosunku do odpoczynku niż...
19:  Cokolwiek innego.
20:  Na pewno już badania naukowe.
23:  To znamienne zresztą, że akurat mowa o Akademii Pana Kleksa przy okazji, bo właśnie ten wiersz został zilustrowany tam scenami całkowicie i zgoła niewinnymi.
34:  Oto dzieci wypoczywają sobie, jedzą słodycze, bawią się, no ale właśnie nic nie robią.
42:  I co to znaczy nic nie robić?
46:  czy to znaczy po prostu nie pracować, czy to znaczy odpoczywać i kto jest tak naprawdę leniem.
53:  Jak zawsze uwielbiam sięgać w takich przypadkach do etymologii i jak zajrzymy sobie do słownika etymologicznego Aleksandra Brücknera, okaże się, że lenistwo bardzo często było kojarzone z gnuśnością, a jak się wczytamy w to, od czego pochodzi gnuśność, no to nie uwierzycie, mianowicie pochodzi od praindoeuropejskiego rdzenia gnuś,
72:  który kojarzony jest też w innych językach słowiańskich z robactwem, z gnidami, z brudem.
80:  Czyli to jest dokładnie to samo, co wesz, prawda?
83:  Czyli taki leń, który jest gnuśny, jest taką gnidą, jest wszoł, której się musimy pozbyć.
90:  To bardzo miła perspektywa, prawda?
93:  I dużo mówi o tym, jak...
96:  Imi konotacjami jest obarczone to słowo i w jaki sposób wypowiadamy się o ludziach, którzy wypoczywają.
104:  Bo znowu, jeżeli zdefiniujemy sobie lenia jako tego, który leży i odpoczywa,
110:  no to oznacza jedno i jedyne, to znaczy, że jest pasożytem, jest kimś, kto jest niepożądany w społeczeństwie i tak samo jak wszy wymaga wytępienia za pośrednictwem jakiegoś detergentu albo wody święconej.
124:  Bo jak sobie poczytamy chociażby u Maxa Webera w etyce protestanckiej duchu kapitalizmu,
130:  Okazuje się, że gnuśność i acedia, czyli próżniactwo, były wskazane właśnie przez Webera jako bardzo często występujące w etyce protestanckiej, która opowiadała się za takim etosem pracy, który w zasadzie funduje dzisiejszy kapitalizm.
147:  w którym to dzisiejszym kapitalizmie wystarczy na 5 sekund zanurkować na LinkedIna i dostaniemy artykuły motywacyjne, jak pracować efektywniej, jak zużywać czas właściwie, jak wykorzystywać każdą sekundę tego czasu po to, żeby więcej pracować i żeby się nie lenić właśnie.
169:  I jak zarządzać swoim czasem wolnym, żeby wtedy, jak nie pracujemy, w dalszym ciągu się rozwijać, żeby następnego dnia móc pracować lepiej i szybciej i osiągać milestone'y i kamienie milowe jeszcze lepiej niż nasi rówieśnicy, niż nasi współpracownicy, żeby w tym wyścigu szczurów być tym pierwszym, który się uda na otwarcie kanału w odświętnym stroju.
200:  A równocześnie mamy diagnozy lekarskie sypiące się jedna po drugiej, nawiasem mówiąc, nie wyłączając mnie, bo to była najczęstsza diagnoza lekarska jaką słyszałem, zredukować stres.
213:  Jeśli chcesz, żeby ci się poprawiło, stresuj się mniej, zażyj odpoczynku, sport, ruch.
222:  Aktywność, rozwijanie zainteresowań.
226:  To co jest z tym lenieniem się?
228:  Co jest z tymi dziećmi z Akademii Pana Kleksa, które spotykały się ze sobą i rozmawiały poza szkołą?
234:  Rozumiem, że ideałem naszym powinna być właśnie ta Akademia, do której przyjmowaliśmy wyłącznie chłopców...
240:  którzy mieli imiona zaczynające się na literę A po to, żeby móc podglądać jak kopią się nago w sadzawce pod drzewem, a następnie szprycować narkotykami, żebyśmy mogli sczytywać ich sny.
249:  To jest rozumiem idealnie, nie to lenienie się, tylko taki system edukacyjny wspaniały.
257:  I rozumiem, że ideałem jest również to, żeby 16, 20, 22 godziny dziennie pracować i jak najmniej spać.
264:  Czytałem kiedyś artykuł, w którym ktoś mówił, 25% naszego życia spędzamy na spaniu, cóż to za marnotrawstwo.
273:  A tymczasem może powinniśmy się zastanowić nad jedną rzeczą.
277:  Dlaczego nasz organizm biologicznie uwarunkowany jest do tego, żeby spać te 25% czasu naszego życia?
285:  Dlaczego zwierzęta zapadają w tzw.
287:  sen zimowy i się regenerują?
289:  Dlaczego w ogóle coś takiego jak sen występuje w naszej rzeczywistości?
294:  Dlaczego nasz dzień, nasze życie jest podzielone na czas właśnie regeneracji i czas aktywności?
303:  Mam wrażenie, że ani wierszyki Brzechwy, ani etymologia, ani podania ludowe, w tym na przykład to południcy, która atakuje chłopów wtedy, kiedy odpoczywają na miedzy zamiast pracować, nie powiedzą nam wiele na ten temat.
316:  I dlatego postanowiłem nakręcić ten dość osobisty vlog, w którym będę się dzielił z wami czymś, co...
323:  W pewnym sensie już jest ze mną identyfikowane, to znaczy umiejętnością wypoczynku.
328:  Ja wbrew pozorom, wbrew wszelkim pozorom i większość ludzi, z którymi rozmawiam od lat mi kompletnie nie wierzy, wypoczywam przez większość swojego czasu.
338:  Do rzadkości należały sytuacje, nawet wtedy, kiedy pracowałem bardzo intensywnie i niestety do dzisiaj odczuwam tego fakturę perkusję, żeby nie znaleźć tych dwóch, trzech, czterech godzin minimum dziennie na odpoczynek poza snem.
357:  I mówię tutaj o różnych rodzajach wypoczynku.
361:  I żeby nie być gołosłownym, odwołam się do mojego ulubionego ostatnimi czasy TED Talka, Sandra Dalton-Smith, to jest lekarka, doktorka, która zajmuje się właśnie kwestiami wypoczynku, bardzo polecam jej TED Talka, już go linkowałem przy ostatnim odcinku, dla każdego coś przykrego, ale teraz też pojawi się w opisie filmu i...
382:  Ona wymienia 7 aż rodzajów wypoczynku i co zabawne, ten pierwszy, który najbardziej kojarzymy z wypoczywaniem, czyli wypoczynek fizyczny, jest wymieniony tylko jako jeden z wielu, jeden z siedmiu.
394:  Wprawdzie na pierwszym miejscu, ponieważ sen jest bardzo istotny, ale jednak jako jeden z siedmiu.
401:  I oczywiście ten fizyczny wypoczynek, który może być realizowany albo w formie pełnego snu, minimum, przypominam, jakieś 7-8 godzin dziennie powinno to być,
413:  To może się odbywać także w formie drzemki.
416:  Napoleon był słynny z tego, że zażywał krótkotrwałych drzemek.
420:  Drzemki też mogą być godzinne, mogą być dwugodzinne i mają ten sam cel, to sen, zregenerowanie naszego umysłu.
428:  I to jest ciekawe, to znaczy ten nasz umysł się regeneruje w bardzo ścisły sposób, wbrew wszelkim pozorom.
434:  To znaczy istnieje w neurobiologii taka kategoria,
439:  która się nazywa badaniem aktywności układu stanu spoczynkowego.
443:  Ten układ stanu spoczynkowego to jest właśnie ten moment, kiedy nasz mózg wbrew wszelkim pozorom zaczyna właśnie bardzo intensywnie myśleć
454:  Tylko że, i tutaj mały trik, to myślenie nie jest indukowane przez naszą koncentrację.
459:  To jest ten stan, który możecie kojarzyć z tego, że błądzą wam gdzieś myśli.
464:  Przecież nie jest tak, że ten leń siedzący na kanapie i nic nie robiący cały dzień łapiący muchy nic nie robi.
471:  Jego mózg w dalszym ciągu wykonuje tysiące operacji na minutę.
476:  Różnica polega na tym, że
479:  U wrzeżleń poddaje się temu flow, temu pływowi myśli, temu strumieniowi świadomości, który przezeń przepływa i to mogą być albo wspomnienia z poprzedniego dnia, albo rozpamiętywanie tego, co się miłego przydarzyło w życiu, albo wręcz przeciwnie, tego, co się przydarzyło złego.
496:  Tak się składa, że osoby chorujące na depresję i generalnie cierpiące na różne przypadłości tego autoramentu właśnie charakteryzują się, co się bada przez mapowanie neuroobrazowe, podwyższonym stanem aktywności tego obszaru mózgu, który właśnie odpowiada za zespół stanu spoczynkowego.
516:  Co tylko pokazuje pewną korelację.
518:  Nie jestem neurobiologiem, więc nie będę wyciągał daleko idących hipotez.
522:  Między tym, do czego może prowadzić właśnie stres związany np.
526:  z pracą, wymieniany bardzo często przez lekarzy jako jedna z przyczyn depresji.
531:  No i wtedy podstawowe pytanie.
532:  W jaki sposób mam się nie stresować, skoro mnie praca stresuje?
535:  W jaki sposób leczyć depresję, która jest związana z pracą?
539:  Jeżeli w momencie, w którym się kładziemy do łóżka, lenimy jak te gnidy gnuśne,
548:  I wtedy przychodzą do nas dokładnie te myśli związane z tym, co nam nie wychodziło, te negatywne myśli.
