Po co uczyć się na PAMIĘĆ?
🔗 https://www.youtube.com/watch?v=j7qmMBu3oTE

0:  Odkąd tylko pamiętam, niewiele pamiętam.
3:  A że urodziłem się i uczyłem w epoce przedcyfrowej, analogowej, wszyscy absolutnie kładli mi do głowy, że albo się nauczę zapamiętywać, albo nie zrobię kariery, nie będę w stanie funkcjonować w społeczeństwie, będę mieć ciężkie życie.
17:  I hej, 35. mojego życia wiosna nadchodzi i nie obserwuję u siebie tych problemów, za to cały czas słyszę
25:  Wokół siebie różne osoby, które tłumaczą wszystkim to samo, że nauka to zapamiętywanie, że uczenie się to zapamiętywanie, że wreszcie zapamiętywanie informacji jest istotne.
37:  To jest film dla Was, jeżeli macie podobny problem jak ja, że zapamiętujecie obrazy, pamiętacie doświadczenia i przeżycia, natomiast wszelakiego rodzaju dane, daty, słowa, teksty, dłuższe partie wypowiedzi umykają Wam całkowicie.
55:  Gdybym na przykład napisał scenariusz tego filmu, chociaż nigdy tego od trzech lat funkcjonowania tego kanału nie robię, i gdybym się go nauczył na pamięć,
65:  to poniósłbym porażkę momentalnie, od razu bym się zaciął, zawiesił, nie wiedział, co powiedzieć dalej.
72:  I zresztą to właśnie się działo, jak uczono mnie, moim zdaniem niewłaściwie, referowania i wygłaszania dłuższych wypowiedzi.
79:  Ba, jak miałem obronę doktorską, zmuszono mnie do tego, żebym przeczytał swoją własną odpowiedź na recenzję, mimo że chciałem ją wygłosić, tak?
87:  Wygłaszam wszystkie swoje inne wypowiedzi i robię to bez przesadnego trudu.
92:  Wydaje mi się, że to ukierunkowanie w naszej kulturze na pamięć jest niesamowicie szkodliwe dla procesu uczenia się i równocześnie kompletnie nie bierze pod uwagę rozwoju technologii.
103:  W miarę rozwoju mianowicie naszej rzeczywistości, o czym pisze fenomenalnie francuski filozof Bernard Stiegler, wymyślaliśmy kolejne, jak to on nazywa, retencje.
114:  Zbiorniki retencyjne, tak sobie to wyobraźcie, w których osadzała się nasza wiedza.
118:  No i teraz w zależności od tego, z jakimi mieliśmy tymi zbiornikami retencyjnymi do czynienia, mogliśmy albo szybciej, albo wolniej nową wiedzę przyswajać.
128:  Bo z kolei, jak mówi inna badaczka i filozofka, dzisiaj będzie dużo filozofii, to znaczy Marianne Wolfe, nasze mózgi nie są dostosowane w 100% do czytania, to znaczy my wyewoluowaliśmy do innych czynności i nasz mózg
141:  Nie czytaj.
142:  We were never born to read, pisze Marianne Woolf w książce pod tytułem Proust and the Squid, czyli Proust i kałamarnica.
151:  A z kolei Bernard Stiegler w swoim komentarzu do tej książki zauważa, że ponieważ właśnie edukacja jest dla nas fundamentalna, ponieważ umożliwia rozwój społeczeństwa i transfer wiedzy z pokolenia na pokolenie, mamy taką potrzebę,
165:  Stworzenia korpusu elementarnych rzeczy, przekazujących elementy wiedzy, takie pakiety, bity informacji z pokolenia na pokolenie.
174:  Co oczywiście jest problematyczne.
176:  Dlaczego jest to problematyczne?
177:  Ono z bardzo prostego powodu.
179:  Zakłada mianowicie, że nie mamy żadnej technologii, która by to umożliwiała, że nie mamy żadnej wielkiej bazy danych, w której by znajdowała się już cała wiedza ludzkości i którą obecnie przeczesują duże modele językowe sztucznej inteligencji.
195:  I chodzą słuchy, że niebawem ta wiedza się skończy, ponieważ sztuczna inteligencja jest lepsza w opracowaniu tego rodzaju dużego materiału i jest w stanie zrobić to, czego nie był żaden człowiek w stanie uczynić w XX i XXI wieku, to znaczy ogarnąć swoim umysłem całości wiedzy, tak jak to marzyli ludzie renesansu, że oto będą być w stanie polihistorami, ludźmi, którzy zwiedzą wszystko z wszystkich dziedzin, erudytami,
222:  Znają mianowicie mnóstwo słów, znają różnego rodzaju dziedziny nauki i są w stanie je wszystkie naraz ogarnąć.
228:  Dzisiaj nauka specjalizuje się do tego stopnia, że to jest niemożliwe.
233:  A jednak w dalszym ciągu, zauważcie, i w edukacji, i w społeczeństwie utrzymuje się przekonanie, że musimy zapamiętywać.
239:  Utrzymuje się ono w związkach.
241:  Połowa kłótni we wszystkich związkach dotyczy tego, że ktoś coś zapamięta, a druga strona tego nie pamięta, a to przecież było.
247:  nieprawdopodobnie ważne.
249:  Ważne dlatego, że ja to zapamiętałem i przeżyłem w odpowiedni sposób, chociaż druga osoba mogła tego tak nie zapamiętać i wcale nie musi tak tego przeżywać.
