Rywalizacja szkodzi. Wszystkim
🔗 https://www.youtube.com/watch?v=zbWs55x_ISI

0:  Wyobraźcie sobie następującą sytuację.
2:  Dostaliście zadanie zrobienia filmu osób wspinających się na wysoką skałę.
8:  I przez cały czas za pośrednictwem takiego rachitycznego telefonu jak mój macie te dwie osoby, które są w peletonie na pierwszym i drugim miejscu.
16:  Cały czas filmujecie jak się ścigają.
18:  I jedna osoba jest wyżej, druga już za nią jest.
22:  No i w którymś momencie triumfalnie kończycie nagrywanie, ponieważ jedna wspięła się na skałę i jest już na szczycie.
30:  Tylko, że jest jeden problem.
32:  To, co wzięliście za szczyt, jest tylko półką skalną, a kadrowaliście cały czas w taki sposób, że nie zauważyliście, że powyżej tych dwóch osób, które się cały czas wspinały, była trzecia, która kontynuuje wspinaczkę na dalszej części wzgórza.
46:  To jest dokładnie rywalizacja.
48:  Wydaje się Wam...
50:  że wygrywacie, wydaje się wam, że jesteście tą drugą, trzecią osobą, a przed wami jest tylko ta pierwsza, którą trzeba zniszczyć i trzeba wygrać z nią i trzeba być na pierwszym miejscu.
60:  Ale nie zdajecie sobie sprawę z tego, że przed tą osobą są następne i następne i następne i następne i następne i nie ma końca tej wspinaczki, nie ma końca tej góry i nie ma końca tej chorej rywalizacji.
75:  Zawsze będzie ktoś lepszy.
78:  Na co jest to dobry przepis?
80:  Zawsze.
82:  To jest przepis na krótkotrwały sukces i to jest równocześnie przepis na długotrwałe konsekwencje psychosomatyczne w postaci stresu, niewydolności organizmu, depresji i innych skrajniejszych zachowań lub reperkusji.
99:  Równocześnie bardzo rzadko słyszymy o tego rodzaju reperkusjach z tego względu, że interesują nas sukcesy krótkoterminowe i krótkotrwałe ludzi, którymi się inspirujemy.
109:  Mogą być to celebryci, aktorzy, sportowcy, pisarze, artyści, influencerzy.
115:  A w momencie, w którym nagle się okazuje, że ktoś jest lepszy w tej konkurencji od nich, naturalnie przełączamy się na śledzenie sukcesów tej osoby, a o tamtym zawodniku już zapominamy.
127:  Nie wiemy, jakie są reperkusje tych jego krótkotrwałych sukcesów.
132:  Nie wiemy, co się przełożyło na teże sukcesy, nie wiemy, jakie były ich okoliczności, nie wiemy, co w zasadzie je spowodowało, jaka była przyczyna wzięcia udziału w tych zawodach.
145:  To jest, moi drodzy, rywalizacja.
147:  Rywalizacja, która znakomicie sprzyja rozwojowi firm i instytucji i wolnego rynku oraz kompetytywności w realiach wolnych gospodarek.
157:  Natomiast nie za bardzo sprzyja edukacji ludziom z tego prostego względu, że w odróżnieniu od firm i lokat kapitałowych ludzie mają coś, co się nazywa...
167:  Ja wiem, uczucia, psychika, umysł, którego nie do końca jeszcze umiemy rozeznawać, z którym nie za bardzo wiemy, co robić, jeżeli się zaczyna psuć, o którym niewiele lekarze nawet wiedzą, ponieważ w małym stopniu jest przebadany.
183:  Jeszcze wyobraźcie sobie, że te realia, do których jesteśmy wtłaczani, dotyczą absolutnie nas wszystkich, nie tylko ludzi, którzy wybierają los influencerów, aktorów, artystów, sportowców i piszą się na rywalizację, piszą się na toksyczną kompetytywność i piszą się również na uczestniczenie w tym wyścigu.
206:  To dotyczy bowiem nas wszystkich.
209:  Wszyscy na jakimś etapie życia jesteśmy zmuszani do tego, a w którymś momencie orientujemy się, że zadajemy sobie dziwne pytania, na które to poznacie odpowiedź w drugiej części materiału.
220:  Pytania w stylu, dlaczego właściwie...
225:  Ktoś jest lepszy ode mnie.
227:  Jak ja się czuję z tym, że inni są lepsi ode mnie?
232:  Dlaczego zadaję sobie ciągle pytanie, jak osiągnę jakiś sukces, czy na pewno na to zasługuję?
239:  W zasadzie dlaczego szukam walidacji i wartościowania z zewnątrz?
