Studia są dla wszystkich, ale nie dla każdego
🔗 https://www.youtube.com/watch?v=lxJtXwXHhRQ

0:  Jak nie pójdziesz na studia, to będziesz rowy kopać.
4:  O, do technikum to idą tylko ci, którzy się nie dostali do liceum.
9:  No chyba sobie nie wyobrażasz, że będziesz wykonywać jakąkolwiek dobrą pracę, jak nie będziesz mieć porządnej edukacji.
19:  To są wszystko uwagi, które każdy z nas słyszy i które we wszystkich przypadkach są absolutnie adekwatne tylko do jednej ścieżki kariery.
30:  Mianowicie do tej, która jest projektowana przez cały system szkolnictwa i niższego, podstawowego zatem, ponadpodstawowego i wyższego, a mianowicie ścieżki zawodowej naukowca, pracownika umysłowego,
46:  Pracownika kreatywnego, być może także kogoś, kto wykonuje zawody naprawdę wysokiej odpowiedzialności społecznej typu lekarz, prawnik lub też zawody wymagające naprawdę gigantycznych kwalifikacji, inżynier zatrudniony w elektrowni atomowej.
64:  Problem jednak polega na tym, że społeczeństwo nie składa się w 90% z ludzi, którzy potrzebują historyczno-literackiej wiedzy z zakresu XVIII-wiecznej literatury albo językoznawczej wiedzy z zakresu jerów i praindoeuropejskiego względnie wysoko zaawansowanej wiedzy dotyczącej reakcji chemicznych.
84:  Społeczeństwo jest o wiele prostsze, jeżeli chodzi o to, jakie ma zapotrzebowanie edukacyjne i czego potrzebuje.
91:  Ale problem polega na tym, że te wszystkie uwagi, które w teorii, zauważcie, mają wpływać na osoby podatne na tego rodzaju argumentacje, no bo jeżeli chce się zostać naukowcem, to zakładam, że może się nie chcieć wykonywać pracy fizycznej.
105:  Zakładam.
106:  Chociaż prawda jest taka, że jeżeli ktokolwiek długo popracował umysłowo, to wie, że praca fizyczna może być odpoczynkiem i vice versa.
112:  Niemniej.
114:  I tak uważam, że one są toksyczne, ponieważ później, prędzej czy później sprawiają, że ludzie, którzy pracują umysłowo, pracują kreatywnie, wyobrażają sobie, że ich praca to jest po prostu zabawa, życie usłane różami i tak naprawdę powinni zamknąć się i nie narzekać, ponieważ mają szczęście, że wygrali los na loterii.
134:  Tymczasem nie do końca jest to takie proste.
137:  Nie zmienia to jednak faktu, że niezależnie od tego, czy te uwagi potraktujemy jako pozytywne, czy jako właśnie negatywne i toksyczne, one się aplikują wyłącznie do ludzi, którzy mają właśnie tę ścieżkę zawodową.
151:  a nie do ludzi, którzy chcą założyć firmę, którzy chcą pracować fizycznie, którzy chcą eksperymentować z różnymi zawodami.
158:  Tacy potrzebują zupełnie innych kwalifikacji.
160:  Dlatego też za każdym razem, jak ktoś mnie pyta, Krzysztof, czy warto iść na studia?
165:  Krzysztof, czy powinienem po maturze iść na, nie wiem, jakiś kurs dodatkowy doszkalający?
169:  Krzysztof, czy warto iść na studia podyplomowe?
171:  Krzysztof, czy warto iść na studia zaoczne?
173:  To najchętniej odpowiadałbym na wszystkie te pytania, nie.
