Wiedza za kasę. Po co nam podręczniki w XXI wieku?
🔗 https://www.youtube.com/watch?v=4jhHdC3UEdk

0:  Antyszczepionkowcy, płaskoziemcy.
5:  Wydawałoby się, że w XXI wieku, w erze informacji i gigantycznego postępu technologicznego, który zapewnił nam wszystkim równy dostęp do wiedzy, tego rodzaju idee nie powinny w ogóle być krzewione.
18:  I bardzo dużo ludzi wypowiadało się na ten temat, a jeszcze więcej powtarza jak mantrę zdanie
24:  Trzeba było się uczyć w szkole, już w podręcznikach do liceum można znaleźć tego rodzaju informacje, wystarczyłoby przeczytać elementarz i tak dalej, i tak dalej.
34:  I to jest zdanie, do którego chciałem się przyczepić, także z tego względu, że powraca ono na profilu, który śledzą od jakiegoś czasu na fejsie, nie dla chaosu w szkole, utworzonego z racji tego, że większość z nauczycieli nie jest w stanie się przekonać do tego, że muszą w przyspieszony sposób odbyć edukację cyfrową.
53:  z którą zwlekali przez ostatnie kilkanaście lat, ale to temat na inny film.
57:  Dzisiaj mówimy sobie o podręcznikach.
59:  Skąd się wzięło w nas takie przekonanie, że podręczniki rzeczywiście zawierają sumę wiedzy koniecznej do tego, żebyśmy byli w stanie funkcjonować w społeczeństwie?
69:  Skoro mamy Internet.
72:  Może zacznijmy sobie od przywołania małej statystyki.
76:  To jest raport Biblioteki Narodowej z roku 2019 i za rok 2019 zarazem, za rok 2020 jeszcze się nie ukazał z przyczyn wiadomych, gdzie mamy bardzo ciekawą statystykę.
87:  Otóż okazuje się, że polski rynek książki to tak lekko licząc
92:  W połowie, jeśli zsumujemy sobie zarówno w zestawieniu za 2013, jak i za 2019 te wszystkie dane, to książki naukowe i popularnonaukowe i inne, w tym i podręczniki, które cały czas zajmują 5% segmentu sprzedażowego.
115:  I teraz zastanówmy się nad jedną rzeczą.
118:  Jeżeli w dalszym ciągu, nawet po tym, jak wprowadziliśmy już podręcznik darmowy, a było to już dobrych parę lat temu, wciąż 5% całego segmentu rynku książki wypełniają podręczniki, a prawie połowa wszystkich wydawanych w Polsce książek to książki naukowe, popularnonaukowe i podobnego autoramentu, to czy przypadkiem
146:  Nie byłoby jakiegoś małego lobbingu ze strony wydawców takich książek naukowych i ze strony księgarzy, którzy je sprzedają?
156:  Jak się składa, że parę razy miałem okazję rozmawiać z księgarzami prowadzącymi małe księgarnie i oni byli absolutnie spanikowani projektem wprowadzenia darmowego podręcznika, który by sprawił, że co wrzesień, co październik nie notowaliby gigantycznego wzrostu zysków ze sprzedaży podręczników.
173:  I teraz zauważmy jaka jest hipokryzja tego całego założenia, bo mówi się w Polsce, że edukacja jest darmowa.
180:  Mówi się cały czas, że teraz dzieci są pozbawione możliwości chodzenia do szkoły i jest ten przeklęty internet, który wsysa je jak czarna dziura poza horyzont zdarzeń, gdy równocześnie prawda jest taka, że rachunki za internet i nawet najwyższe,
198:  i tak nie są w stanie nawet dorównać do tego, co rodzice muszą rok rocznie wydawać na książki, ale nie tylko książki, bo pamiętajmy, że książki do szkoły to nie tylko podręczniki, to także zeszyty ćwiczeń, po których smarujemy ołóweczkiem, uwielbiałem to swoją drogą, jak chodziłem do szkoły, następnie książki dla nauczycieli, poradniki metodyczne, wady meka maturalne,
221:  książki przygotowujące do egzaminów.
223:  I to nie jest tak, że mamy na jeden przedmiot jedną książkę, tylko zazwyczaj tych książek jest N. I oczywiście po upływie roku te książki, zwłaszcza ćwiczenia, po których smarujemy tym ołóweczkiem, są niezdatne do użytku i do przekazania następnym pokoleniom.
237:  W istocie rzeczy podręczniki darmowe, które są zwracane przez dzieci do szkół po tym, jak ukończą edukację w toku danego roku kalendarzowego, czy szkolnego w tym konkretnym przypadku, najczęściej w jakiejś powiedzmy jednej trzeciej i tak są na tyle zniszczone, że rodzice muszą płacić za nie kaucję.
257:  No gdyby tak tylko był taki format cyfrowy książek, który można byłoby wgrać na Kindle'a albo na dowolny inny czytnik technologii e-ink, która nie męczy wzroku, albo gdyby istniały iPady i tablety, na które można byłoby wgrywać nieskończoną liczbę podręczników i które mogłyby być w szkole na stanie w sposób stały,
283:  I zarazem redukować o wiele większy problem niż dawno zwalczony już w Polsce analfabetyzm, a mianowicie problem wykluczenia cyfrowego, problem niedostosowania kompletnego edukacji do realiów świata cyfry, problem wreszcie nieumiejętności posługiwania się najprostszymi programami, softwerem, który się obserwuje coraz częściej u młodych ludzi, o gdybyż tylko...
306:  była taka możliwość, żeby zakupić takie.
309:  Oczywiście, że jest taka możliwość i oczywiście, że możemy kupić tego rodzaju tablety.
314:  Co więcej, nie obliczyłem tego, od razu mówię, ale dolary przeciw orzechom, że zamówienie tego rodzaju sprzętu do szkół w dłuższej perspektywie czasowej, z uwagi także na ich dłuższy czas eksploatacji niż w wypadku książki, która się niszczy średnio po roku,
332:  Czy przypadkiem nie wyszłoby to taniej?
335:  Zwłaszcza jeśli byśmy w dalszym ciągu utrzymali na przykład to moratorium, że jeżeli uczniowie zniszczą jakiś tablet albo czytnik, no to ich rodzice muszą rzecz odkupić.
349:  Myślę, że to jest całkowicie uczciwe postawienie sprawy, a równocześnie umożliwia nam zwalczenie z lobby wydawniczym i lobbym księgarskim.
358:  Bo widzicie, jest jeden problem i dlatego mówię o tym jako lobby.
362:  Mianowicie pisanie książek naukowych nie jest działalnością dochodową.
366:  Napisanie książki naukowej zasadniczo i jej wydanie wiąże się z koniecznością pozyskania dużego grantu średnio na książkę 16-17 arkuszy wydawniczych, czyli powiedzmy tak około 200-250 stron,
379:  W nakładzie 300 egzemplarzy potrzeba w Polsce od 15 do nawet 30 tysięcy złotych z grantu.
386:  Wydawnictwa do tego stopnia się rozbisurmaniły, że część z nich mieli albo pali cały nakład tak wydanej książki w modelu, który przypomina jako żywo Vanity Publishing, ponieważ po prostu nie opłaca im się nawet jej sprzedać, bo to wiąże się z marketingiem, dystrybucją i kosztami, a...
406:  Vanity Publishing to dla wydawcy czysty zysk.
408:  Ale jest jeden wyjątek, mianowicie naukowcom płaci się za... podręczniki.
415:  Także za reedycję tych podręczników.
420:  Widzicie, gdzie jest słaby punkt tego rozwiązania, mianowicie taki, że jeżeli napiszemy podręcznik, który będzie z tą wiedzą datowaną na lata 70., 80., co średnio rozgarnięty naukowiec jest w stanie ogarnąć w dwa miesiące przy odpowiednio wypracowanym warsztacie pisarskim, no to będzie wymagana później reedycja i poprawki i aktualizacja tej wiedzy o jakieś 10 lat następnych.
446:  Nauka bowiem ma to do siebie, że rozwija się dynamicznie i się zmienia.
452:  To nie jest tak jak w latach 70., 60. czy w XIX wieku, kiedy zaczynały funkcjonować podręczniki, że przyrost wiedzy był ogromny.
463:  tak samo wysoki jak teraz.
465:  No nie, był stopniowo, o pewien rząd, dwa rzędy wielkości niższy niż teraz.
471:  Dziś jest tak, że w jednym tygodniu zdarza się, że postęp naukowy zniwelował absolutnie osiągnięcia tygodnia poprzedniego.
479:  Jak myślicie, dlaczego na przykład najbardziej prestiżowe czasopismo medyczne The Lancet otwarło swoje łamy w dobie koronawirusa?
488:  po to, żeby umożliwić szybkie przesyłanie informacji.
490:  Myślicie, że drukują te lancety jeden za drugim?
493:  Nie.
493:  Publikują artykuły naukowe w sieci, w naukowych bazach danych, po to, żeby jak najszybciej dotrzeć do laboratoriów czy do koncernów farmaceutycznych zajmujących się szczepionkami
504:  czy syntetyzacją leku.
506:  I teraz dokładnie to samo dotyczy wszystkich innych dziedzin nauki.
510:  Więc jeżeli macie podręcznik wydany w roku 1995 albo nawet 2015, to on już jest nieaktualny w 2016 roku, a ten z 1995 jest nieaktualny w roku 1996.
522:  Teraz pokusiłbym się nawet o stwierdzenie, że nawet w humanistyce miesiąc czy dwa miesiące od wydania książki może sprawić, że będziemy mieli już do czynienia z zupełnie innym stanem faktycznym.
534:  I podręczniki, krótko mówiąc, się dezaktualizują.
537:  Więc ta misja szkoły, niesienia oświacenia i tak dalej idzie w gwizdek, bo internet zawsze będzie szybciej.
