Brat Jeremiasz ogniomiot — Warhammer 40 000: Mechanicus Livestream #4
🔗 https://www.youtube.com/watch?v=wJxeLpUO9hA

2:  Witam wszystkich na streamie.
6:  Nie zwlekajmy już, nie zwlekajmy dłużej.
8:  Witam wszystkich serdecznie.
10:  Natychmiast, natychmiast zajmujemy się bratem Jeremiaszem, który, przypomnę,
17:  Przypomnę, ma najcudowniejszą rzecz pod słońcem, a mianowicie nawet pod nekronim słońcem, mianowicie Incendine Combustor, który, zapomnijmy o tej dziwnej nazwie, tak naprawdę po prostu jest miotaczem ognia, który zadaje do sześciu zabrażeń fizycznych.
34:  Natychmiast, natychmiast zanurzajmy się w takim razie w misję, nie pierwszą z wielu, dokładnie tę, którą przerwaliśmy ostatnim razem.
43:  mianowicie polegającą na wytępieniu plagi i wypaleniu wszystkich odartych, wszystkich Flayed Ones.
53:  Brat Jeremiasz, tak jest.
56:  Tak jest.
57:  Nawet naszego nowego Magosa zatrudnimy.
61:  Kto wie?
63:  Kto wie, kim on może się okazać?
67:  Któż to może być?
69:  Zobaczymy.
69:  Trzeba będzie go też jakoś porządnie nazwać.
71:  Witam serdecznie gromadzących się na streamie wszystkich.
74:  Weźmiemy sobie jeszcze może jakiegoś... Ja wiem.
79:  Stać nas.
81:  Weźmiemy sobie aż trzech Skitar i Vanguard.
86:  I cóż, zaczynamy.
88:  Zaczynamy.
89:  Deploy.
90:  Dialog sobie pominiemy, mieliśmy go ostatnim razem.
95:  Ja już muszę użyć, muszę użyć koniecznie miotacza ognia.
100:  Herbatka zielona jest zaparzona zgodnie z tradycją streamu Warhammerowskiego w zielonych grobowcach nekronów.
108:  Niezgodnie z tradycją mam też truskawki.
114:  The tomb of Umjajo is infested and the atmosphere is toxic.
123:  Burn the heretic!
124:  Tak!
126:  Tak!
126:  Tak!
126:  Tak!
126:  Zgadzam się!
127:  Zgadzam się!
150:  Więc mamy wybór, albo pójdziemy tutaj, albo pójdziemy tutaj.
153:  Oczywiście, że pójdziemy tutaj, ponieważ to jest szansa na zgładzenie wrogów.
157:  Truskawki czerwone jak ogień, dziękuję.
160:  Jest spójność dzięki temu, tak.
162:  Jestem uspokojony.
164:  Nawet jedna, chociaż jedna z nich była zielona w środku, więc ją pominąłem.
169:  O, zobaczmy, co tu się dzieje.
173:  Magos Barbossa, Magos... Nie, Magos Jeremiasz.
