40,000 powodów, by być bratem Cokolwiek | WARHAMMER INQUISITOR Livestream
🔗 https://www.youtube.com/watch?v=zhxjKzYZ2G0

13:  Muzyka Muzyka
62:  KONIEC
193:  KONIEC!
264:  Dzięki za oglądanie!
426:  Vita...
430:  Witam serdecznie!
432:  Witam wiernych poddanych Imperatora Ludzkości!
438:  Witam Fomkę!
439:  Witam Nesiobesia!
440:  Witam Willela!
440:  Witam Rzucawkę!
442:  Witam Stachuchadza!
443:  Jednorękiego bandytę!
444:  Witam Słonego Cukra!
445:  Jarka Kaźmierczaka!
446:  Witam Ulyzyw Men!
448:  Bidiskos!
448:  Wiktim!
449:  Tydzien!
450:  Mika!
451:  Fantastyczne książki!
452:  Jak je znaleźć?
454:  Kwanding Onufry!
456:  Daw!
458:  Bądźcie powitani, Anselm niech będzie podpinany, i StormDragon takoż, i Kamil, i Mota Kume, i Kesi Kisi, historyk, SG Dawid Małek, Stalowy Guziec, Michalina Kamieńska, Sam Wit, Żabcia, Umberto, ale nie Eko, dygresywny wilk Cezaria Margento, Brofwar, DJ Zaurus, Sepulba, Grzypnia Pierwotna, Dworzanin Ariksowaty, witam wszystkich, którzy przybyli z ziem pomiędzy,
486:  Witam wszystkich, którzy są pomiędzy jednym dniem wolnym a drugim.
491:  Witam wszystkich, którzy zobaczyli ten stream.
493:  Witam wszystkich, którzy zobaczyli ten stream, ponieważ służą Cinchowi, bogowi przemian, chaosu.
499:  Przenieśli się w przyszłość, ale my ich dorwiemy!
503:  For the Emperor!
505:  Witam Urszula Giewon, Arcanum, Mario, Bigomeza, Arkadiusza, Cybulaka, Degresywnego Wilka i Aśku!
513:  Aśku!
513:  Tekbrz będzie powitana!
515:  Siostra Bitwy Aśku, jak mniemam!
518:  Juliusz niech będzie również powitany!
520:  Radosław Gajda, Magda M1, Ser Movento, Storm Dragon, Tomasz Maleńczyk!
527:  Dzisiaj będziemy się witać w nieskończoność!
530:  Punish the Demon!
532:  Mówi Pemon i słusznie mówi!
535:  Dla Imperatora!
538:  Tak!
545:  Illegal Death!
547:  Autysta w świecie!
548:  Nawet Krzysztof Maj jest na czatach!
550:  Co to się dzieje?
552:  Odynus, Amef, Tomasz Szklarz i Shopeak i Interdimensional Conglomerate!
563:  Moi drodzy,
564:  Plan jest taki, że odpalamy grę od samego końca, żebyście zobaczyli przepiękną animację, która ją rozpoczyna.
576:  Mam nadzieję, że będzie działało wszystko radośnie.
580:  Działaj gro radośnie, gra działa radośnie.
584:  Moi drodzy.
590:  Za dziesięć tysięcy lat imperatorzy Inquisicji walczyli w tajemniczej wojnie, aby chronić ludzkość.
599:  Mamy widok w tajemnicy, szukamy w tajemnicach.
604:  Zabieramy zezwolenie na mutantów, traktatów i przywódców.
610:  Zbawiamy świat tajemnic w tajemnicach.
614:  My...
615:  Poważne rzeczy!
616:  Nie ma to tamto!
618:  Wraca brat Jeremiasz!
641:  Z przedwieczy!
643:  Z czasu, kiedy graliśmy na streamach w Warhammera Mechanicusa.
647:  Swoją drogą, jeżeli nie znacie Warhammera Mechanicusa, mega polecam.
651:  Tak samo mega polecam muzykę Geoma Davida do tegoż.
654:  Ale byśmy jej słuchali, gdybym miał do niej prawa.
657:  Moi kochani.
658:  Tak, Krzysztof jest dzisiaj po lewej.
661:  A zobaczcie dlaczego.
662:  Tak jest...
665:  Had, ułożony, że nie dało się inaczej.
667:  From the moment when I understood the weakness of my flesh.
669:  Oh wait, nie ta gra!
670:  Właśnie, właśnie.
672:  Ale trzeba powiedzieć, że te animacje, które otwierają gry warhammerowskie są niesamowite.
677:  Ja chcę coś takiego wreszcie w kinach.
679:  Ja chcę coś takiego na Netflixie.
681:  Pa!
682:  Kupię Apple TV+, czy jak, whatever to się nazywa, jeżeli będzie tam cokolwiek warhammerowskiego.
687:  I tak wiem o istnieniu Warhammera+, ale jest tego za mało.
695:  Inkwizytorzy i czaty, pomóżcie Amgrir do ogrania milion.
698:  Pisze Illusive Man.
700:  Bloodborne, Yakuza czy Death of the Outsider?
702:  Nie no, Bloodborne, jeżeli masz możliwość, to Bloodborne, potem Death of the Outsider, Yakuza na koniec.
707:  Ale jak to po lewej?
708:  Zobaczycie.
710:  Na czym kolega to gra?
711:  Diablo, ale lepsze.
712:  Zresztą zaraz się dowiemy.
714:  Nigdy w nią nie grałem.
716:  Jak zawsze.
717:  Grałem tylko we fragment ze studentami.
723:  Imersja.
725:  Jest czterdziesty pierwszy milenium, a gwiazdy nie znają spokoju.
729:  Ludzkie imperium jest oblegane z wszystkich stron przez rasy Xenos i powoli gnije od środka, skażone przez bogów chaosu.
737:  Inkwizytorzy są niezależnymi, potężnymi agentami, którzy prowadzą wielką, sekretną wojnę dla ludzkości.
742:  Walczą w cieniu i sprawują kontrolę nad wszystkim.
745:  Są sędziami i katami.
749:  Tak jak sędzia z Gret... DRET!
753:  Inquisitor's log.
755:  Klasowy raport na późniejszy transmisja.
757:  Zakończyłem na źródłach sygnału dystrybucji inkwizytoryjnej, który miałem zaangażować do rozwinięcia.
765:  Ma on antykrypcję używanej przez Święte Orki.
769:  Jest autentyczna, ale bardzo stara.
772:  Intensywność szkodów Caligarii jest mniejsza, niż co doświadczyłem.
775:  Było wiele przeszkodów podczas podróży.
