Brother, get the flamer. THE. HEAVY. FLAMER | WARHAMMER CHAOS GATE: DAEMONHUNTERS Livestream #2
🔗 https://www.youtube.com/watch?v=u4wbMaTzEYM

127:  Muzyka Muzyka
175:  Dzięki za oglądanie!
323:  Dzięki za oglądanie!
410:  KONIEC!
468:  Muzyka
593:  Witam!
595:  Witam wszystkich najserdeczniej w ten oto wspaniały sobotni poranek!
603:  Witam Mikę, witam Onufrego, witam Skrów i Fówi, malenie Blood of Mikkela, witam Samuita, witam Julkę Opaczewską, Palitkę, ale przede wszystkim witam Stalowego Guźca.
618:  Witam Aleksander Żakiewicz, witam Drege Zul, witam Sanji Mikasa, Ty Dziena, bardzo złośliwego człowieka, witam Dorkę, witam Iskora, witam Adama Pabieńczyka, witam Drega Zul, Stachu Łuchaca, Martynę Łopuszyńską, Michała, witam Einara, witam Kingę Wolską, witam Random Tech Priest, randomowych rycerzy, również witamy wśród nas, witam Słonego Cukra, witam Kamila, witam jednorękiego bandytę, witam Szynek, Tomka Szklarza,
649:  Nawet akcentuję dobrze.
650:  Witam Vincent, witam Kishi.
653:  Witajcie, moi drodzy, w ten oto wspaniały, wspaniały dzień, kiedy będziemy wracać do uniwersum Warhammera 40 tysięcy.
660:  I przy okazji zapowiedź, jeżeli ktoś z was nie widział.
662:  Jutro, już jutro wraca Dishonored 2.
666:  A jeśli się myślą, wraca świat Dishonored, a my wkroczymy do Dishonored 2 na białym rumaku, jako Emily Caldwin.
674:  Ha!
674:  I będziemy grać Low Chaos.
678:  i wszystko się zgadza.
679:  Z jednej strony dbamy o obniżenie poziomu chaosu w Warhammerze i później mamy niski poziom chaosu w Dishonored.
684:  Witamy proroka kaczk, któremu oddajemy cześć.
687:  Witamy Matyaksa, witamy Lisiastego, witamy Ariksowatego, witamy Brontos, Fanciana, witamy Adama Pawieńczyka, witamy Nixnix, witamy Palitkę Miraski, Mateusza Stacewicza.
699:  Tak!
700:  For the Emperor of...
704:  Brother, get thy flamer!
708:  The heavy flamer!
712:  Tak, moi drodzy!
715:  Warhammer!
716:  Wreszcie!
722:  Warhades kiedyś będzie, ale nie teraz.
728:  Dobrze, bębny są radosne i bębny są wspaniałe, ale...
733:  Niech zabrzmią organy, bo przecież jesteśmy w świecie Warhammera po to, żeby wyprówać organy wewnętrzne ludziom.
741:  Przepraszam, chaosytom.
743:  Tak odnośnie Dizona 2, ja bym przeszedł posiadłość Jindoszy ze swoją orientacją w terenie.
748:  Posiadłość Jindoszy jest przerażająca.
751:  Czy będzie coś na temat Dr. Wanda 2 na bez schematu?
754:  Tak!
755:  Oczywiście, że będzie.
756:  Ukaże się ta rozmowa niebawem.
758:  Ona się już nie ukazała?
761:  Mam wrażenie, że ona się już ukazała.
763:  To było porównanie Doctor Strange 2 i Wszystko wszędzie naraz.
770:  Jest mój ulubiony zakon Marines.
773:  Zawsze mam problem z tym, ale wydaje mi się, że właśnie Szarzy Rycerze.
776:  Czy polecam tę grę?
776:  Mało powiedziane.
779:  Moi drodzy, jak nie widzieliście, będziecie zachwyceni tym, co zobaczycie.
782:  Przede wszystkim...
784:  Mamy Justytiusza Kalmara, szarego rycerza, który ma wyjątkowe upodobanie i żywi je względem owoców morza.
793:  Mamy brata Harata Zajebusa, który jest Interceptorem.
797:  Mamy również Jeremiasza Ignatiusa, który wypala.
802:  Mamy również brata Koncyliarza, który nie zrozumiał wyrażonej kiedyś w wysokim gotyku maksymy medice curate ipsum i niestety nie zdołał siebie uleczyć.
818:  W związku z powyższym będziemy prawdopodobnie musieli odczekać te 16 dni.
823:  Jeszcze nie rekrutujemy nowych braci.
824:  Jeżeli będziemy rekrutować nowych braci, moi drodzy, to tylko wtedy.
828:  Wtedy i tylko wtedy, jak mawiają matematycy, jak wymyślicie dla nich miano.
832:  Typowe XCOMy przez ten L4.
834:  Przez ciebie, Przemika, mam ochotę pograć w Warhammer Chaos Gate.
837:  Słusznie.
838:  Tylko to kosztuje tyle pieniążku, zamiast tego odpaliłem po latach leżenia XCOM 2.
842:  Ale w razie czego pamiętajcie, że są takie rzeczy jak G2 i pochodne, gdzie można...
849:  ominać problem pieniążków.
853:  Projekt badawczy ukończony.
855:  Pozwoliłam sobie przestudiować chwalebne kroniki Wielkiego Mistrza Janusa.
859:  Wielki Mistrz Janus to dlatego, że
861:  Patrzy w dwie strony naraz, ale nie widzi tego, co jest z przodu, w związku z powyższym bez przerwy wpada w słupy.
866:  Co prawda nie można go nazwać poetą, ale jego proza zawiera kilka intrygujących zasad dotyczących tłumienia sygnałów psjonicznych.
872:  To zupełnie jak proza Ol... Czuk również tłumi wszystkie sygnały psjoniczne i intelektualne, jak się próbuje je uczytać.
877:  Dlatego ludzie zasypiają.
879:  Zastosowałem już jego doktrynę, aby pomóc prognostykom edyktu wyciszyć pogłosy psjoniczne wytwarzane przez waszych rycerzy-snyzerzy podczas wkraczania na tereny skażone przez wykwit.
887:  Rozpoczynamy nowe badania natychmiast.
896:  Oj, Ravolo, śpiewając po latynsku zawsze brzmi tak strasznie.
922:  Dobra, nie ma na razie niczego, znaczy nie, jest, przepraszam.
926:  Teoretycznie moglibyśmy zbadać te dwa obszary wykwitu, ale nasz jedyny brat jest niedysponowany wciąż chyba.
933:  Tak, to jeszcze 12 dni.
937:  Nie zaryzykujemy pójścia tam bez brata naszego.
943:  Dzięki serdeczne za trybut.
944:  Ulubiona łycha to, w kolejności następującej.
946:  Lagavulin, 16 i wyżej.
947:  Bunahabyn, 14 i wyżej.
971:  i Kulaila 14 i wyżej.
978:  Jak lecę, to czas też mija.
979:  Wiem, ale problem polega na tym, że musimy mieć absolutnie nasz pełen skład.
987:  O, teraz mamy pełen skład i to jest dobra sytuacja.
994:  Dobrze.
996:  Może przemieścimy się w centrum?
998:  W ten sposób będzie nam łatwiej dostać się we wszystkie sektory galaktyki.
1004:  Wolf Leftman, dzięki za wsparcie od 9 miesięcy nie będzie podpalony na wieki wieków spaczeń.
1009:  Jak odnoszę się do Backseat Gaming... Ja na to nie zwracam uwagi po prostu, ale jeżeli ktoś potrzebuje radzić, to w porządku.
1018:  Prawda jest też taka, że ja bardzo często z rad korzystam, po prostu to jest kwestia dobrego ich filtrowania.
1024:  Prawdopodobnie przecież Brontos w tej grze gramy tylko z szarymi templariuszami.
1027:  Do wersji Deluxe jest dodawana figurka szarego Marinisa, ale można ją sobie pomalać na dowolny kolor.
1031:  Nawet nie widziałem, no proszę.
1033:  Matematycy piszą Nadia Lewi.
1034:  Wtedy i tylko wtedy.
1035:  Spoko.
1036:  Poloniści tylko i wyłącznie.
1037:  Kultur.
1038:  Aaa, tak, uwielbiam to, tak, tak.
1040:  Nie wolno mówić tylko i wyłącznie.
1046:  Domawianie do przejścia Planescape Torment.
1049:  O nie.
1050:  Mamy nową wykwitność.
1051:  Widzicie?
1052:  Widzicie?
1053:  W dobrym miejscu jesteśmy.
1055:  I lecimy do aktywności wykwitu.
1058:  Popatrzcie, jak ładnie lecimy do aktywności wykwitu.
1061:  Wreszcie będzie jakieś ładne mordobicie.
1063:  Wspaniale.
1066:  Jaka interwencja?
1067:  Tremenda, mam zaskoczącą wiadomość.
1069:  Ranking engine Seer w Manufakturze został pochłonięty akceptacją restrykcyjnych archiwów granitowych.
1076:  To pewnie jest praca naszego przeciwnika.
1079:  Nie nazywaj mnie Shirley.
1080:  Przeciwna skala korupcji powstaje negatywna, a interwencja nie dostarczyła danych oczywistych.
1085:  Przeciwna transgresja prawdopodobnie powstała w błędach.
1087:  Serdze Nurgle są niebezpieczne.
1089:  Powinien być zniszczony razem z jakimikolwiek swoimi bliskimi przyjaciółmi.
1093:  Przeciwna skala democji i restrykcji.
1098:  Ok, jak zawsze.
1100:  Bookworm pyta, czym jest wykwit, bo jest nowa w tej grze.
1103:  Spokojnie, my też dopiero zaczęliśmy.
1105:  Wykwit to jest interwencja boga z... czy to nie jest bóg z paczenia, ale raczej...
1113:  gnicia i odżywania na nowo, Nurgle, którego domena jest zwana ogrodem nie bez powodu.
1119:  To jest ogród, w którym wszystko gnije, obumiera i wzrasta na nowo w chaosie, bo jest to jeden z bóg chaosów.
1125:  I wykwit to jest takie miejsce, w którym przedostaje się jego spaczenie do naszego świata i pojawiają się tam kultyści Nurgla.
1133:  Prosta lekarstwo, to jest coś, co musimy wypalić.
1138:  Jak po prostu poradziłem ze scenariuszem na złapanie źródła spaczenia i zostawienie go przy życiu, tego nie wiem.
1145:  W grze jest nazwany Plague God, Bóg Plagi, o właśnie.
1148:  Więc tak, mamy trzy opcje.
1149:  Możemy zdegradować inży proroka.
1151:  Strasznie to źle brzmi.
1153:  Możemy go stracić, ale bieżący projekt zostanie anulowany.
1156:  Fatalnie.
1157:  Możemy go przeobrazić w serwitora, jeszcze gorzej.
1160:  Możemy go też zlecić... My lubimy naszą inkwizytorkę.
1167:  Zlećmy przesłuchanie.
1175:  O, prożynier byłby to lepszy.
1181:  Projekt statku ukończony, wstępne naprawy komory wspomagania dobiegu końca, mechadendryty w komorze są sprawne, a ostrogi neuronowo, lobotomizujące, nie ma to jak dobra, radosna lobotomia po południu, działają z wydajnością 56, bardzo dużo liczb, cyfr, co stanowi granice akceptowalności i zapewni minimalny dopływ serwitorów.
1201:  Technodendryty, mechadendryty to są takie manipulatory, które wystawiają na przykład z korpusu członków Ad Mechu, czyli Adeptus Mechanicus, bardzo precyzyjne, coś powiedzmy w rodzaju ramion modliszkowych w cyberpunku.
1218:  Czy to prawda, że są kradzione klucze na G2?
1219:  No tak, tak, ale szybko tacy ludzie są wyłapywani, więc jeżeli się traktuje to jako marketplace, tak, giełdę, gdzie, nie wiem, jest na przykład sprzedawca kluczy, który ma 32 tysiące pozytywnych głosów, no to to jest dokładnie tak samo na Allegro.
1231:  Na Allegro też ludzie się zdarzają, którzy nie mają dobrych intencji i skamują ludzi.
1238:  Natomiast to nie jest powód do powiedzenia, nie należy korzystać z Allegro, bo to nieetyczne!
1243:  więc strasznie mnie bawią takie głosy w odniesieniu do G2A, czy Instant Gaming, czy Kinguina i innych tego typu serwisów.
1249:  Instant Gaming ma generalnie mniej problemów niż G2A.
1252:  G2A jest trochę shady z tego względu, że oni mają taki system rekomendacji,
1260:  że jeżeli się poleci komuś i on coś kupi, to wtedy dostaje się od tego procent i to, co się niektórym ludziom nie podobało i zresztą trochę słusznie.
1268:  Dobrze, mamy status statku, bardzo dobra wiadomość.
1270:  Czy jesteśmy w stanie coś ulepszyć?
1273:  Ooo, prędkość okrętu, świetnie!
