Ordo Iamnicorum | WARHAMMER CHAOS GATE: DAEMONHUNTERS Livestream #4
🔗 https://www.youtube.com/watch?v=SAfx6T20tlU

219:  Fitam!
226:  Witam wszystkich ku chwale imperatora ze świętej terry na złotym stolcu posadzonym.
233:  Witam Misję Sionkę, witam Agatę, witam Prelinkę, witam Juliusza, witam Alefku, witam Bartka Litowskiego, Tomasza Waleńczyka, Żabcie, Jamnika, Roberta Gru...
244:  Górskiego, Krucyferiusza, Pijko Meza, Natalia NN, IllegalDev, Artuditum, Adin, Matt Petersona, Serenoxa, PepeShi, Mateusza Stacewicza, witam Franka, witam jednorękiego Patek, Kubę Krawczyka, witam Slapa, Huchwale Imperatora, Vovembror!
263:  Rozstawić!
264:  Adeptus Jamnicus!
266:  Ordo Maleus!
268:  Witam MCNO Krataka!
270:  Witam Neomara!
270:  Witam Katoczny Jandy!
271:  Witam Nadie Lewi!
272:  Witam Ona Grusa!
273:  Witam Red Angel!
275:  Witam Grabke444!
278:  Witam Pepesi!
279:  Witam Wilkera i Lewajatana oraz Erin!
281:  Portowo Pomarańczy i Aleksandrę Takosz!
285:  Pesto!
285:  Michałaja Boźniaka!
287:  Witajcie w tę mroczną niedzielę w świecie Grimdak!
293:  Where there is only war.
297:  Będą się działy dzisiaj straszne rzeczy.
298:  Przyrzekam!
299:  Przyrzekam wam, moi mili.
304:  Podejmujemy tam, gdzie skończyliśmy.
305:  Mam nadzieję, że spędzacie niedzielę dobrze.
308:  Mam nadzieję, że obejrzeliście cały sezon Stranger Things 4.
311:  Znaczy wiem, to nie jest cały sezon, ale nie kończy się na Cliffhangerze, to jest istotne.
315:  Obejrzałem też dwa odcinki Kenobi'ego.
330:  Mam bardzo dużo do powiedzenia nad Matt Kenobiak.
332:  Dobra, jedną jedyną zaletą jest to, że gra tam Iwan McGregor.
342:  Ciekawe, Stranger Things bez Cliffhanger'a, prawda?
344:  To się rzadko zdarza.
349:  Moi drodzy, nie mam pojęcia, co się działo ostatnio, ale wiem, że mamy bardzo dużo do porozmawiania.
356:  Badania trwają nad tym, żeby nasz statek był jeszcze bardziej stateczny.
361:  Badania trwają.
362:  Nie, tutaj nie trwają badania.
363:  Będzie to trzeba natychmiast nadrobić.
365:  Czy chcemy badać macki?
369:  Będziemy chcieli badać macki.
370:  Mikasa, dziękuję za trybut.
372:  Ogromnie.
374:  Nie, nie, żadnych spoilerów ze Strzeń Rzeźwinks.
376:  Absolutnie, moi kochani.
378:  Czy ja widzę urodzinowe torty jamnicze?
381:  Czy ktoś świętuje dzisiaj urodziny?
386:  Agata pisze, że cały dzień pisała research paper na angielsku, analizowała dlaczego gry nadal nie są uważane za sztukę i musi powiedzieć, że cytowała Krzysztofa, like crazy.
394:  Krzysztof to ja.
397:  Cieszę się, że mogłem się przydać.
399:  Chcemy badać szczurzą technologię?
401:  Oczywiście, że tak.
402:  Natomiast na razie, na razie jest jakaś macka.
404:  To jest taka Stranger Thingsowa macka.
406:  Temp.
410:  Hahaha!
413:  Czy wy to widzicie?
415:  Ktoś zapomniał, że trzeba uzupełnić napisy na interfejsie.
421:  Temporary title!
426:  Zawsze się coś znajdzie dziwnego.
429:  Mateusz pisze, że nie będą się działy straszne rzeczy, tylko będą się działy chwalebne czyny.
432:  O!
433:  W końcu będziemy mordować heretyków i kultystów.
435:  Słuszna uwaga.
438:  To troszkę za głośna muzyka, muzyka nigdy nie jest za głośna.
440:  Ja żartuję.
441:  Siszymy troszeczkę.
443:  Więc babamy, moi kochani, Temporary Title, źródło wykwitu.
447:  To jest sprawka Epomy Level Intelligence.
450:  Hmm, Temptile, najlepsza rzecz do zbadania.
455:  Tak, powiało apką HBO, dajcie spokój, apka HBO to jest dramat.
458:  Ale co?
460:  Chcemy zbadać Temporary Title, dobrze, dobrze, badamy.
466:  Nek mors, nek rekwies astartes.
469:  Pięknie.
470:  Chocki, klocki, myszka, miki.
471:  Yes, yes.
473:  Cóż za komentarz.
474:  Coltis, dzięki za wsparcie od 8 miechów.
479:  Nemor pisze, że widział Obi-Wana, tylko widząc, że zrobili tam kolejną silnę niezależniową, Disneyował kobitę czarną skórę, a potem się okazało, że tak toją jak szmatę, to nie wiem, czy taka niezależna.
487:  A to swoją drogą prawda jest, że jest tam taki wątek, ale ona w którymś momencie będzie grała pierwsze skrzypce.
494:  Powiem tak, ja mam nic przeciwko, jak zawsze, wyborom castingowym, natomiast mam bardzo dużo przeciwko inkwizytorom, którzy się tam pojawiają.
502:  Oni zostali wprowadzeni, jeśli mnie pamięć nie myli, w Wojnach Klonów, chyba.
508:  Natomiast jest jeden zasadniczy problem.
509:  W którymś momencie, to nie jest spoiler, ale inkwizytorka odwołuje się do Darth Vadera jako Anakin Skywalker.
519:  Gdzie jest powiedziane, że nikt tego nie wiedział poza Imperatorem.
523:  Jak można zrobić taki błąd?
525:  A, w Rebelsach byli wprowadzeni.
527:  To kompletnie mnie nie dziwi, dlaczego mi to tak nie odpowiada, bo Rebelsi u mnie są tutaj, a Clone Wars są tutaj.
533:  Więc właśnie, skąd ona to mogła wiedzieć?
534:  Ona nie mogła tego wiedzieć.
536:  Bo Darth Vader tego nikomu nie mówił, bo krył się z tą swoją poprzednią, nie wiem, egzystencją, tożsamością, natomiast Imperator też tego nikomu nie mówił, więc to jest jakaś kompletna katastrofa.
547:  To nie jest spoiler z Obi-Wana, przysięgam!
551:  Słucham rycerzu.
551:  Jak ziarna mogą nam pomóc w odnalezieniu Nexusa?
554:  Wątpisz mnie, komanderze?
575:  Anakin był w propagandzie Imperium jako poległy bohater Republiki.
579:  Właśnie.
