Pielęgnacja ogródka Nurgle'a | WARHAMMER CHAOS GATE: DAEMONHUNTERS Livestream #3
🔗 https://www.youtube.com/watch?v=e8iJQVnXxA4

123:  Muzyka
374:  KONIEC!
436:  Muzyka Muzyka
484:  KONIEC
570:  Dzięki za oglądanie!
719:  Witam!
721:  Witam wszystkich zgromadzonych!
724:  Witam przybyłych na skraj galaktyki, by odpierać inwazję haosytów, by zasklepiać cicatrix maledictum!
734:  Witam Matt Petersona, witam Dory, witam Magdę Miedny, witam Samuita, witam Tydiena, witam Lewajatana, witam Urszulę Giewon,
743:  Witam Tydiena, witam Mikę, witam Janika, witam Stalowego Głyżca Seronoks, witam Illegal Death, witam Natalię NN, Michalinę Kamieńską, Nanikę, Motakumę, Tuni, Sundżej, Lucyfera... Sześć, sześć, sześć!
758:  Portowo Pomarańcze, Adama Pabiańczyka, Fade to Black, Jakuba Sikore, Sukolfi Takosz, Maxjorvusa, Erin!
766:  Moi drodzy, bardzo złośliwego człowieka witam, jednorękiego bandytę, Otto von Bismarcka nawet!
772:  mimo że nie lubimy tutaj pruskiego systemu szkolnictwa, Cezaria Magento, Lisicę, Czonk Frog, Alcuna, Metal Boy, Guni, 3353, Kluchen, Muchen, witamy, Bartka Wojcieszaka, Takosz, Suzy Diamond, Nadia Lewi, Wileda, Martynę Łopuszyńską, Żabcie, Olgę, wszystkich członków samozwańczej
796:  Gildii Przyjaźni Międzygatunkowej, jeśli mnie pamięć nie myli, zrzesza ona wszystkich awatarów zwierzęcych na czatach.
803:  Witam Szymona Nalewajko, witam Oskara Drausa, Radosława Gajdę, Wilsona, dzisiaj wszystkich czytam!
808:  Witam Klarę Kluszczykowską, Jagodziankę z grzybami, Pani H2O, Willy2001, Radosława Gajdę, Widłę, Flashdrone, Pawła Choraczego, Badana, Gazowane Mleko i Filipa Żuka.
822:  Moi drodzy, cóż za wspaniały dzień!
826:  To będzie Warhammer!
828:  Tak!
834:  Do hymnu!
838:  Waleczne jamniki!
850:  Witam Uriotv, Krasa, Tuni, Jan Aguska, Krzypnie Pierwotną, Corneliusza, Jedręgiego Bandytę, Roberta, Martynę, Sepulbę!
867:  Tak!
873:  To jest sobota!
879:  Dzisiaj zwyciężymy, moi drodzy Motokume, dzięki za wsparcie od trzech miesięcy Ten jamnik znalazł, wypluje wnętrzności To jest prawda, moi drodzy To jest prawda Dobrze byłoby zostać z tą muzyką Ze smutkiem się z nią żegnamy Albowiem, moi drodzy, albowiem Czas najwyższy Czas najwyższy Tak Wracamy
906:  Wracamy do Warhammera Chaos Gate, moi kochani.
910:  Dzisiaj nie niedziela, skąd?
912:  Bardzo oczywiście człowiek ubolewa, że nie taki wspaniały dzień, bo spukła mu bateria w telefonie.
916:  O nie, o nie, nie słyszałem takich rzeczy.
920:  Moi drodzy, zdrowie wasze.
922:  Wznaszam świeżo zakupioną łychał, haha.
927:  Mniam.
931:  Lucyfer do nas dołączył, moi drodzy.
933:  Teraz nic już na mnie jest straszne.
935:  Czy zajamniczymy się na rzecz księcia ciemności?
937:  Ja myślę.
938:  A ścicie mówiąc niosącego światło.
941:  Witam, Jurgiekicz.
942:  Pozdrowienia z krakowskiej kolejki Natula.
944:  Aaa, dziś koncert.
946:  No tak, no tak, no tak.
950:  Oj, smaczne, lewajatan, oj, smaczne.
953:  Dobra.
955:  Czy my w ogóle pamiętamy, co tutaj było do zrobienia, moi kochani?
958:  Absolutnie nie wiem, ale mój, mój best guest tak zwany jest, że wypalamy.
964:  Będziemy kogoś wypalać.
965:  O!
966:  Mamy adekwatną emoji na powitanie niosącego światło.
970:  O tak, o tak, o tak.
973:  Dobrze, kochani.
974:  Dzięki za wsparcie, Lucyfer.
976:  Wielkie, wielkie dzięki.
977:  Co robimy, moi drodzy?
979:  Czy tutaj zdążymy?
980:  Nie.
980:  Czy tutaj zdążymy?
981:  Nie.
981:  Jest, nie, jest tam mamy przerąbane.
983:  Ale zauważyłem, że zagłada została oddalona.
986:  Bałem się strasznie, że to będzie tak, że musimy pięć bitew stoczyć i tutaj będzie jakiś obrzydliwy timer.
992:  Wszystko wskazuje na to, że nie będzie timeru.
994:  Dori pyta, co sądzimy o kolejnych informacjach nad Madlotra i Wiedźminowskiego...
1001:  Netflixowskiego Wiedźmina, choć w sumie to jest Wiedźminowski Netflix.
1007:  Czate, czy to może być moja oficjalna reakcja?
1015:  Niech to wsiąknie.
1017:  Żabcia pisze, że jechała autobusem i piękny jamnik usiadł jej na kolanach.
1021:  Jak to się dzieje?
1022:  Dlaczego takie rzeczy się wam dzieją?
1023:  To wspaniałe.
1026:  To wspaniałe wiadomości.
1028:  Podróżujemy.
1032:  Nasze tradycje wymagają więcej niż skomplikowanej efektywności, komendantze.
1036:  Byłem zaskoczony.
1070:  Być może gdyby ich pancerze działały, to byłoby troszeczkę łatwiej.
1078:  Maxjorwus pisze, że bardzo się cieszy, że udało mu się w końcu trafić na stream z Warhammera.
1082:  My też się ciszymy!
1083:  Zapisy z poprzednich, które oglądamy, zachęciły mnie do zakupu.
1086:  Bardzo dobrze!
1087:  Syndrom jeszcze jednej misji wchodzi srogo.
1088:  To prawda.
1090:  To prawda.
1093:  Metalboy opowiada anegdotkę, że jego ciocia miała jamnika, którego zostawiła u niego, jak pojechała na wakacje.
1098:  Jamnik jadł jedzenie kota, a kot jadł z miski jamnika.
1100:  To się nazywa przyjaźń międzygatunkowa.
1103:  Czy dowiedzimy naszej wartości?
1107:  Święty Mistrz jest prawidłowy.
1108:  Użyjemy duchów naszego brata, ułatwiając tę rzeczywistą rzeczywistość Warp Spore.
1118:  To zrobimy.
1119:  Byłem na live'ach Filipa, pewnie, że byłem na live'ach Filipa i bardzo kibicuję.
1123:  Wprawdzie utwierdziłem się w przekonaniu, że nie chcę wracać do pierwszego Bioshocka i drugiego Bioshocka, ponieważ Bioshocki wszystkie cierpią na problem złego skalowania walki i poziomu trudności oraz informacji lore'owych.
1137:  Oskarze, dzięki serdeczne za trybut.
1140:  Witaj Warhammerze wąsko w bojami.
1141:  Wreszcie ktoś się cieszy z tego.
1145:  Jak oceniam Filipowe streamy, taki poemat dygresyjny, jak dla mnie wspaniałe wejście, absolutnie wspaniałe wejście.
1149:  Zresztą ja gadałem też z Filipem, że bardzo brakuje na scenie polskiej streamingowej, zwłaszcza streamingowej z gier, streamów, które są skoncentrowane na rozgrywce, prawda?
1160:  I jeszcze w moim przypadku ważnym komponentem jest rozmowa z czatami.
1165:  Ja się nie ukrywam, zawsze inspirowałem Lowko, jak w swoich streamach, no i Azmon Goldem naturalnie.
1170:  Azmon Gold jest typem człowieka, który jest taki your best buddy, nie?
