🔴 WIEDŹMIN (SEZON 3) — odcinek 3-5 | Recenzja ze spojlerami #2
🔗 https://www.youtube.com/watch?v=Wiw-Gb3mWek

196:  Wiecie co, w sumie odcinek trzeci nie jest taki zły.
200:  Ale potem, potem się dzieją już niedobre rzeczy.
203:  Moi drodzy, zanim w ogóle zaczniemy nasze omówienie odcinków 3, 4 i 5 i serialu Wiedźmin i naszej wspólnej przygody z nim, pozwólcie mi, że poskarżę się wam.
216:  Mianowicie musiałem to obejrzeć po raz drugi, ponieważ po tych prawie dwóch tygodniach, jak się widzieliśmy ostatnim razem, ja już nic nie pamiętałem.
225:  I jeszcze, żeby było śmiesznie, okazało się, że jak obejrzałem ponownie,
230:  No niewiele to dało, to znaczy, żeby nie było, żeby nie było, ja specjalnie zacząłem, ponieważ wszyscy mi później w komentarzach słusznie mówili, że Krzysztofowi się samemu wszystko miesza, ja dalej utrzymuję, że jednak serial powinien być kręcony w taki sposób, żeby widzom się nie mieszało, zwłaszcza takim widzom, którzy znają sagę, na podstawie której podobno tenże serial jest, więc ja na wszelki wypadek stworzyłem sobie dokument Google i żeby nie był raz pierwszy w życiu chyba, zrobiłem notatkę do live'a, więc wyglądało to w ten sposób, na początku Krzysztof
258:  Na początku Krzysztof zaczął notować sporo, to był pierwszy odcinek.
262:  Oto Radowid jest łyżką, wierzcie mi, to jest istotne.
264:  Potem był już drugi odcinek, to były tylko cztery zapisy, kończące się na spektakularnym CO?
272:  W trzecim odcinku już nic nie zapisałem, więc wierzcie mi, próbowałem, starałem się, starałem się przygotować porządnie do tego wszystkiego, tak?
281:  Pilny student w trakcie sesji.
283:  Zawiodłem was, zawiodłem was, ale za to mam dzisiaj jeden tekst, który może się wam spodobać i też może rzucić cień.
291:  na to, w jaki sposób, a rzeczywiście mówiąc, rzuci snop światła na to, w jaki sposób Loren Hissrich, którą będziemy wiekuiście nazywać Fistech, myśli o adaptacjach, myśli o tym, w jaki sposób tworzyć uniwersum Wiedźmina i jak to się jej spektakularnie, moi drodzy, nie udaje.
307:  Witam wszystkich przy okazji na naszym live'ie, witam radośnie naszych wspierających, witam widzów w stałych niestach, witam wszystkich, którzy są gnuśni, spóźnili się na live'a i będą oglądać zapis,
318:  Dla Was również mam przygotowane jamniki, ja szczerze mówiąc, tego jamnika, ale nikt Was to nie zwiedzie, moi drodzy, to są ostatnie momenty, kiedy będzie miło, ponieważ without further ado, czyli bez zbędnego pierdolenia, moi mili, przechodzimy do naszego wspaniałego obrazu.
332:  Tak należy tytułować, wybitne dzieła sztuki, postanowiłem, że migruję Wam na górę, żebyście widzieli napisy.
337:  Tak należy nazywać dzieła sztuki, to znaczy jeżeli mamy do czynienia nie z taką mierną, wiecie, adaptacją, która by brała książkę i tak słowo po słowie adaptowała, tak jak sama nazwa wskazuje, czyli robiła taki przekład intersemiotyczny z jednego języka znaków na inny język znaków, to tutaj mamy do czynienia z...
355:  artyzmem.
356:  I też artyzm wyraża się w tym, że należy mówić o tym dziele jako o obrazie.
360:  To tak samo jak o wierszu powiecie, jeżeli będziecie odpowiednio nadęci, w tychże strofach można wyczytać, tak samo my, moi drodzy, będziemy wyczytywać, ale z obrazu.
370:  Więc pierwszy obraz, jaki się naszym oczom ukazuje,
373:  To jest obraz owłosionej pachy Jaskra, ale wcześniej panny kwestionowanego afektu, która z owłosioną pachą Jaskra przestaje.
383:  Jest to, moi drodzy, jeden z najwybitniejszych dialogów, jaki powstał na potrzeby tejże, tegoż produkcji, a ściślej mówiąc, winienem był rzec obrazu, mianowicie Jaskier duma tutaj nad bardzo zasadniczą kwestią.
394:  Ja myślę, że nawet możemy fragment puścić, chociaż Netflix nas może tak właśnie zdemonetyzować.
400:  Rozniesiesz owsiankę i zostaniesz z niczym.
402:  To jest, moi drodzy, ważne bardzo.
405:  Potem będzie jeszcze ważniejszy fragment tego dialogu.
407:  Rozwiązanie zatem wymaga, mówi dalej Jaskier, który ma stosownie owłosioną pachę i jak wiemy również ma niesamowicie zabudowane mięśnie klatki piersiowej, ponieważ jak wiadomo powszechnie bardzi charakteryzują się tym, tudzież bardowie.
421:  że stoją w pierwszych szeregach, tak, to znaczy paladyni gdzieś tam siedzą sobie cichutko z tyłu, magowie zawsze siedzą z tyłu, ponieważ są sprytni i wiedzą, żeby się wycofać z walki i z party, jeżeli tankowie wszystko biorą na siebie, natomiast Bard, Bard jest wcześniej, on tą swoją mamboliną zasłania, zasłania rycerza krzyżowego albo zasłania innego wspaniałego paladyna z olbrzymim pawężem, żeby nie został uszkodzony, a zatem rozwiązanie wymaga, mówi Jaskier, innego narzędzia.
448:  I nie mylicie się, moi drodzy, właśnie w tym też dialogu wspaniałym pojawi się wzmianka pierwsza o Radowidzie, ponieważ musimy tutaj ustanowić jakiś związek pomiędzy jaskrem rzeczonym a Radowidem.
461:  Barb to inny typ barbarzyńcy, tak.
463:  Po prostu to nie jest Bard, tylko Bard, moi drodzy.
465:  Radowid jest łyżką!
474:  Byście się zastanawiali, moi drodzy, nad tym, czy na przykład wziąć najlepszą rzecz z tej powieści, jaka w niej jest.
480:  Naprawdę, bo Sapkowski, jeżeli chodzi o światotwórstwo, to momentami kwestionowałbym różne rzeczy.
485:  Tu mu się myliły, gdzie są jakie krainy.
488:  Tutaj nie zrobił w zasadzie żadnego słownika.
