🔴 Genshin Simpact dla WOŚP, cz. 2 | Wielka Pożoga Jamniczej Pomocy
🔗 https://www.youtube.com/watch?v=QQNmXJwG-yY

119:  KONIEC!
241:  Nabuchodonozor wzdłużony!
308:  Muzyka Muzyka
325:  muzyka
359:  Muzyka
396:  Muzyka
411:  Witam wszystkich najserdeczniej!
413:  Witam na najbardziej jamniczej spiełce w polskim internecie!
417:  Witam wszystkich darczyńców, widzów stałych i niewstałych!
421:  Wspaniałe dusze, które doprowadziły do tego, że wczoraj zebraliśmy... Niech werble zabrzmią! 30!
432:  Pięć tysięcy polskich złotych!
436:  To wy, kochani!
437:  To wyście to uczynili!
439:  A dzisiaj będziemy walczyć o jeszcze więcej!
441:  Tak, moi drodzy, witam wszystkich najserdeczniej, niech będą powitani trybutariusze, niech będą powitani wszyscy wspierający kanał, wszyscy, którzy tu po prostu przybyli, wszyscy, którzy wpisują się,
452:  W tytuły poszczególnych utworów, jakich słuchamy, jako to Army of Angels, albo Run With Your Heart, Witam Serdecznie, Istota Żyjąca, Pełcio, Trojan, Wojtek Pszczelarz, Hałas, Akura Szymon, Zed, Sariel, Egzemplar, Kacper Sapkowski, Wiktor Winter, Jółki Sane, Bartek Listowski, Litowski.
470:  Bartek Chrzostak, Santana Murawska, Maszka, I'm Freedom 66, Małgorzata Peola, Kustra, Wiktor Winter, jeszcze raz Basia Mufi, Ada Cyndia, Wojciech Franciszek, Żurawski, Zuza O, Ewa Kowalewska, Bubolek, jamnik matematyczny, jamnik matematyczny, potrzebujemy dwóch jamników, żeby móc je dodać ze sobą, Gosia Ośka, Doze of Harmony, Bartek Lidowski, Małgorzata Peola,
490:  Kapcadka, Szymiks, Julka Obaczewskiej, szlachetne grono moderatorskie, które jest razem z nami, Emeriu, Wieszcz, Pingw, ambasador naszej tłustości, Pingwa, Cuki, Tsubane, Lizu, Sus, Soywitch, Batrus, Szept, Sieni, Sariel...
506:  B. Gomez'a, Aleksandra, Michał Pietowski, Marta F. Zjeżdżam na dół czatów, żeby zobaczyć jeszcze więcej ludzi, którzy przybyli jako to Mieszko Świerczyński, Witchcraft Volpe, Xan, Bordowa Pomarańcza, Joanne, Cuki, Tsubane, Aleksandra Krzemień, Gaśnica, Serenox, Pusia, Huask, Tinagiku, Paweł, Beto, Theon, Mitterjam, Maśsena, Sigrid, Antares, Słoń, Bear, Don Wendlin, Aleksandra Krzemień,
532:  I jeszcze przy okazji dziękuję kontra za wsparcie od 16 miesięcy i memiczne niech płoną z twierdzy, którego niestety nie usłyszymy z tego względu, że nie działa polska wersja, niech to szlag trafi i udźwiękowienie w niej, ale nic to, będziemy grać dalej w Genshin Simpact, przepraszam, Genshin Impact.
550:  Bierny obserwator Justyna Tomicka.
553:  Saan już był witany, ale i tak dygresywny Wilk, Losiełł, GekiGaming, Julian, Just Stop Motions, Wugopykotka, Green Axe, Asorun, Jakub Buczek, Paliczkeusz,
567:  Muszę zjechać jeszcze niżej.
568:  Jeszcze więcej potrzebuję, powitam!
570:  Ask Grimdziki za wsparcie od 10 miesięcy!
572:  Wilczarz!
573:  Kinagiku!
574:  Nesio!
574:  Besio!
575:  Huask!
575:  Któż było?
576:  Jesa!
576:  Kluchen!
577:  Muchen!
577:  Witamy!
578:  Jebeka!
