🔴 Gramy w Hollow Knight! | WIELKA POŻOGA JAMNICZEJ POMOCY 2024 (cz. 1)
🔗 https://www.youtube.com/watch?v=kr1gRn8E9YY

166:  🎵🎵🎵
238:  muzyka
308:  Dzięki.
484:  Muzyka
537:  Muzyka
655:  KONIEC!
711:  KONIEC
791:  muzyka
819:  Zaczynamy wielką poszogę jamniczej pomocy!
825:  W tym momencie w naszej skarbonie jest już ponad półtora tysiąca złotych!
829:  Let's go!
845:  Witam wszystkich zgromadzonych na czacie.
848:  Witam trybutariuszy wspierających, ale przede wszystkim darczyńców oraz wszystkich widzów, którzy stwierdzili, że będą robić zasięgi temu szalonemu jamniczemu live'owi i się pojawili tutaj, żeby oglądać Krzysztofa, który się będzie męczył w Hollow Knight.
866:  Dużo rzeczy dzisiaj w planach.
869:  Będzie, moi drodzy, wizyta w holistycznej agencji eskapistycznej, będzie niespodzianka od Dominiki Jamnik, o twórczyni Klimczak, ale to zdradzimy pod sam koniec i będzie krańsko, będzie rozmawiańsko i wszystko, ale przede wszystkim będzie dużo swingu.
923:  Witam serdecznie wszystkich.
925:  Póki jeszcze, moi drodzy, jest tak, że Krzysztof jest w stanie tak zatańczyć, to będziemy w ten sposób się witać co roku podczas wielkiej pożogi jamniczej pomocy.
936:  I skoro już to zaawansowałem, moi drodzy, w tym momencie, w naszej skarbonie,
943:  Mamy 2533 zł.
946:  Czy wyście kompletnie poszaleli?
947:  Przecież myśmy dopiero zaczęli wszystko.
950:  Jak to jest w ogóle możliwe?
952:  Nie mam zielonego pojęcia, ale dziękuję wam wszystkim najserdeczniej, moi drodzy.
959:  Wszystkie cele, które mamy, są rozpisane jakby co w skarbonie.
963:  To znaczy, będziemy po osiągnięciu naszego progu robić rzeczy jamnicze i niesamowite, ale to nie oznacza, że nie możemy sobie wcześniej wybrać jakichś progów własnych, więc dawajcie, moi drodzy, znać.
976:  Jeżeli będziecie mieli tego rodzaju knujące pomysły, to coś zrobimy.
980:  Na pewno w którymś momencie wkroczymy do Holistycznej Agencji Eskapistycznej, więc jeżeli...
985:  Jeżeli chcecie wrzucać tam jakieś swoje prace jamnicze, wrzucajcie prace jamnicze w twórczości artystycznej.
991:  Możemy spokojnie tam zajrzeć i przejrzeć wspaniałe rzeczy, które robicie.
995:  A tymczasem jeszcze raz, jeszcze raz dziękuję najserdeczniej.
999:  Mówicie, że miałem coś zaśpiewać.
1001:  Dobrze, moi drodzy, dobrze.
1002:  Będziemy śpiewać.
1003:  Ja jestem w stanie zaśpiewać tylko jedną rzecz.
1005:  Jest to mianowicie pieśń o dowakinie ze Skyrima.
1008:  Jak strzeli 20 tysięcy, to Krzysztof gra w Stray.
1011:  Tak też można zrobić.
1012:  Przypominam moi drodzy, że linki do naszej skarbonki są zarówno w przypiętym komentarzu na czatach, jak i są w opisie.
1020:  Link do Holistycznej Agencji Eskapistycznej też jest w opisie.
1022:  Śmiejemy się zwykle, że Holistyczna Agencja Eskapistyczna po prostu ma w nazwie link w opisie.
1026:  Tak jest.
1028:  Czy dzisiaj też powyżywam się z czatem GPT?
1030:  Nikt nie wie, co się dzisiaj będzie działo, moi drodzy.
1032:  Absolutnie nikt nie wie.
1034:  Zajrzyj czasem na Światotwórstwo na HE, pisze LBRF, dziewięcioogoniasta.
1038:  Przepraszam, kiedyś nauczę się ciebie właściwie czytać.
1041:  I może, może, nie ukrywam, może zrobimy to.
1043:  Nie wiadomo.
1045:  Panie Damianie z rekordową kwotą dorwał tutaj Pana właśnie, moi drodzy.
1048:  Demini się zaoferowała, jak również Tupacz z naszej Holistycznej Agencji Eskapistycznej, że będzie przygotowywać jakieś prace dla ludzi, więc pamiętajcie, żeby śledzić sprawę moderatorów naszych też zgromadzonych.
1060:  Tutaj będę prosił o wsparcie, a tymczasem, moi drodzy, nie ma to tamto.
1064:  Ja się zobowiązałem do jednej rzeczy, to znaczy zobowiązałem się do Grańska, więc będzie Grańsko.
1069:  Oczywiście postaram się w tak zwanym międzyczasie, oczywiście, moi drodzy,
1073:  śledzić to, co się dzieje na czacie, śledzić to, co się dzieje przede wszystkim na naszej zbióreczce.
1079:  W związku z powyższym będę, moi drodzy,
1084:  zaglądał na inny ekran, jak będziemy sobie kontrolować zbióreczkę.
1087:  Wiecie, będzie mi tutaj wygodniej.
1089:  3164.
1091:  No pięknie.
1092:  W tym momencie płynie już do waszych uszu muzyka z Hollow Knighta.
1096:  How cool is that?
1097:  How cool is that?
