🔴 Gramy w Twierdzę i Hollow Knight! | WIELKA POŻOGA JAMNICZEJ POMOCY 2024 (cz. 2)
🔗 https://www.youtube.com/watch?v=DUBwMRZed1g

1:  🎵🎵🎵
73:  Muzyka
143:  Muzyka
304:  Gdy piasek przemieszcza się swobodnie po marmurowym krześle, tego dnia dłużą się godziny.
311:  Muzyka
374:  Dzięki za uwagę!
437:  Mój Panie, do obsługi tego urządzenia potrzeba kilku wyszkolonych inżynierów.
446:  Żmija kąsa tych, którzy chodzą bez butu.
482:  KONIEC!
503:  Witam wszystkich najserdeczniej podczas drugiego dnia wielkiej poszuki jamniczej pomocy.
510:  Wczoraj, moi drodzy, zebraliśmy 25 tysięcy złociszy do naszej wośpowej skarbony.
517:  Dziękuję jeszcze raz za Grańsko w Holonaj i za waszą niesamowitą wojnę.
521:  I dzisiaj twierdza krzyżowiec i kwestie sułtana Abdullah oraz kalifa.
526:  Memiczne dla tych z was, którzy nie wiedzą, zobaczcie o co chodzi.
530:  A przede wszystkim, jak zawsze, kroto chwilę rozmowy i Grańsko.
534:  Witam najserdeczniej wszystkich przybyłych tradycyjnie.
537:  Dziękuję Wam najserdeczniej za tłumne przybycie.
540:  Będziemy działać, będziemy jamniczyć, będziemy robić dziwne rzeczy w zależności od tego, co wypadnie, jakie pomysły będą.
547:  Czy ja w tym momencie widzę już 28 tysięcy w naszej szkatule?
551:  To jest absolutnie niemożliwe.
552:  Zbiorcze witam wszystkich wspierających kanał.
556:  prowadzących również w osobie mojej.
557:  Witam wszystkich moderatorów, witam wszystkich, którzy nie wspierają kanał, ale wpadli tutaj i będą boostować nam zasięgi dla tej naszej wspaniałej zbióreczki.
566:  Tak, to jest ten jeden moment, kiedy Krzysztofowi będzie zależało na boostowaniu zasięgów.
571:  Dziękuję Wam najserdeczniej.
572:  W takim razie jeszcze raz cieszę się przeogromnie, że po pierwsze namówiliście mnie wczoraj na Hollow Knighta, a po drugie, że udało się tyle zebrać na cel słuszny,
581:  bo charytatywny, potrzeba drewna, tak jest, dzisiaj będzie potrzebowało na dużo drewna nasze wspaniałe królestwo, które się będzie piętrzyć na pustyni, gdzie, jak wiadomo, nie ma wody, nie ma wszystkiego i nie ma również drewna.
596:  Witam najserdeczniej, moi drodzy, Enny Agromorowy i dziękuję serdecznie za 19 miesięcy wsparcia Podpolna, wiek nieku wsparczeń, moi drodzy.
603:  28 tysięcy to jest, przypominam, kwota, od której zaczynamy dzisiaj ciłanie w naszej skarbonie wośpowej.
609:  Co powiedziawszy, od razu zapowiadam, że będą dzisiaj problemy techniczne, z tego prostego względu, że twierdza to starożytna rzecz, bardzo starożytna.
623:  ale przynajmniej możemy już zacząć tańczyć wedle dalekowschodnich fujarskich pieśni.
631:  Jeżeli coś takiego istnieje.
632:  Z pamięć balistami ogniowymi, oczywiście, że tak.
635:  Dori prosi o wspierającego jamnika we wtorek.
637:  Obrona pracy inżynierskiej.
638:  Stres, jak nie wiem.
640:  Wszystko jest, moi drodzy, pod kontrolą absolutnie.
642:  Pamiętajcie tylko, że... Potrzeba złota.
645:  Potrzeba więcej złota.
647:  Za mało złota, mój panie.
648:  To nieprawda.
650:  Nie jest za mało, jest bardzo dużo, ale wciąż potrzeba.
654:  Moi drodzy, będziemy dzisiaj robić kampanię, kampanię Krzyżowca.
657:  Na wypadek, gdyby ludzie nie znali, graliśmy już kiedyś w Twierdze na streamach, żeby nie było, dlatego teraz Twierdza Krzyżowiec.
665:  Niestety gramy w opcji, która jest pełnoekranowa, jak widzicie, niedoskalowana za bardzo.
670:  Przepraszam, nie ma innej.
672:  Misa Czan pisze, że nareszcie się doczekała Twierdzy.
674:  Proszę bardzo.
676:  Fujarskie pieśni, o nie.
679:  No mówiłem, że będzie piszczałka, moi drodzy.
682:  Swoją drogą, na pewno ma jakąś dobrą nazwę.
685:  Tymczasem dla was zadanie pierwsze, moi drodzy, żeby wymyślić, co będzie na 30 tysięcy.
691:  Bo wiecie, co może być na przykład na 40 tysięcy?
695:  Na 40 tysięcy możemy wrócić do gry w Hollow Knight.
699:  Od was zależy, czy to jest żart, czy nie.
701:  Moi drodzy, Szlak Krzyżowca Watchest.
704:  Nie wiem, co to jest.
705:  Nie grałem w Szlak Krzyżowca Watchest.
708:  Co to jest Szlak Krzyżowca Watchest?
710:  Nie znam tego.
711:  Znam Szlak Krzyżowca Normalny.
713:  Wiecie co?
714:  Zagram w coś, czego nie znam w takim razie.
716:  Proszę bardzo.
717:  Na 40 tysięcy Rydwan.
719:  Nie, nie będę walczyć z Rydwanem w Dark Souls 2.
722:  Nie ma takiej możliwości, moi drodzy.
725:  Boże drogi.
727:  Boże drogi.
729:  Przecież to jest w ogóle jakaś tragedia.
731:  A nie, już rozumiem.
731:  Watches to jest... Aaa, aaa.
735:  Dobrze.
736:  Ja przez przypadek odpaliłem ostatnią misję.
738:  A tu jest pierwsza.
739:  Pierwszy krok, moi drodzy.
741:  Za głośna muzyka.
742:  Oczywiście, że za głośna muzyka.
743:  Przepraszam, gra jest stara.
746:  Więc dlatego ciężko jest nad wszystkim zapanować, moi drodzy.
750:  Na 30 tysięcy Discord.
751:  Tak, możemy na pewno dzisiaj, moi drodzy, wskoczyć do holistycznej agencji eskapistycznej.
755:  Mamy powód, żeby wskoczyć do holistycznej agencji eskapistycznej, ponieważ tam dużo dobra się rozlało w holistycznej twórczości, czyli w miejscu, gdzie ludzie zamieszczają swoje prace różnego autoramentu.
765:  Przecież, proszę, fujarkę, przyciszonek i nagiku.
768:  Pamiętam, jak za dzieciaka grałem w twierdzę z tatą.
769:  Najlepsze czasy.
770:  Prawda?
771:  Absolutnie najlepsze.
772:  Na 35 tysięcy chcę barkę głosem trolla.
774:  Będę prosić do skutku, pisze Kuroi Okihime.
777:  Wczoraj była barka głosem, moi drodzy, Piotra Pokraśki.
780:  Przepraszam.
782:  Piotra Pokraśki.
785:  Zaczynamy, moi drodzy.
786:  Pierwszy krok.
786:  Już prawie 29 tysięcy.
788:  Nie inaczej.
789:  28 tysięcy 663 w naszej skarbonie.
793:  Niewidzialny krzyżowiec ma moc celtycką i poluje na dziki oraz łosie.
797:  Zobaczymy, moi drodzy, czy ja pamiętam cokolwiek z tej gry.
801:  Przepraszam, czy ja się mylę?
803:  Tu jest nasz przeciwnik już?
807:  To może być w takim razie prostsze niż myślałem.
811:  Jeżeli tu jest nasz przeciwnik... To się robi bardzo prosto w Twierdzy Krzyżowiec.
817:  Mianowicie wysyła się asasynów.
822:  I tyle w temacie.
825:  Dobrze, będzie trzeba chyba zagrać od samego początku kampanię, ponieważ inaczej będzie zbyt prosto.
839:  Cośmy pograli.
841:  Jaki ser.
842:  Legitna strategia.
846:  Tak, moi drodzy, musimy wziąć Szlak Krzyżowca, pierwsza edycja, bo inaczej będzie źle, szybko poszło.
853:  Jakby co, widzicie już, w jaki sposób można większość tych misji ogarnąć.
860:  28813 tymczasem.
861:  Proszę bardzo, legendarny, the man, the legend, the Sultan Abdul.
868:  Najlepsza postać, jaka istnieje.
870:  Swoją drogą, ja bym troszeczkę spowolnił rozgrywkę, bo jest troszeczkę zabawnie.
875:  Tak do 60 sobie spowolnimy, co?
878:  Tempo rozgrywki.
879:  Nie, nie chcę zakończyć misji, chcę wznowić grę.
881:  Dobrze, teraz jest normalnie.
884:  Na chwilę alt tab, co się stało.
886:  Z tego względu, moi drodzy, że to jest gra w pełnym ekranie, nie można niestety dzielić na dwa okna, jest to strasznie zasmucające.
894:  Nie jestem w stanie nic na to poradzić, niestety.
896:  Mam nadzieję za to, że dźwięk jest dobry.
899:  O, potrzebujemy bardzo.
901:  Na 40 tysięcy krzyżowców wymienia zalety polskiej edukacji.
903:  Chcecie, żeby to było jeszcze krótsze od pierwszej misji w Krzyżowca?
906:  Bo obawiam się, że może być wtedy.
908:  Obawiam się również, że nie ustoję długo.
910:  28 tysięcy 903, moi drodzy!
914:  I jeszcze prośba od Demili, żeby się zgłosili ludzie, którzy...
920:  Wpłacali zeszłym razem najwięcej.
923:  To najlepiej na Discordzie, moi drodzy.
924:  Skontaktujcie się z Deni.
926:  Na 30 tysięcy idziemy odwiedzić nuchaczy.
927:  Ja bym strasznie chciał, Natalio, ale wiesz, na czym polega problem?
930:  Mianowicie Hogwarts Legacy przestało działać.
932:  Ja nie jestem w stanie odpalić Hogwarts Legacy.
934:  Moi drodzy, mamy już krowy.
936:  Czego potrzebujemy więcej?
937:  Potrzebujemy drewna.
938:  Potrzeba drewna.
939:  Oczywiście, że potrzeba drewna.
941:  Potrzeba również jakiegoś suku, gdzie będziemy sprzedawać nasze towary wspaniałe.
946:  I oczywiście potrzeba kamienia.
948:  Na szczęście mamy możliwość zbudowania wieży, jednej jedynej wieży, która jest wymagana w Twierdzy Krzyżowiec, żeby wygrywać za każdym razem.
957:  Mianowicie jest to wieża wysoka.
959:  29 003 tymczasem.
959:  Proszę uprzejmie.
965:  Na 30 tysięcy męczymy AI jeszcze propozycja.
968:  Czemu chcecie męczyć AI?
970:  To jest okrutne z waszej strony.
972:  Dobrze.
973:  Zatrudnimy sobie w takim razie radosnych uczników.
977:  Mamy dużo pieniędzy.
978:  Bardzo dobrze.
979:  Bardzo dobra wiadomość.
981:  Proszę bardzo.
982:  Zobaczcie OP strategię, która zawsze się sprawdza.
988:  SKAWW, dziękuję serdecznie.
991:  Boże, 00, dziękuję serdecznie za wsparcie od 14 miesięcy.
994:  Dobry wieczór wszystkim, wita się z nami, SKAW.
998:  Intro Wiedźmina 1, ooo, o Jezu, intro Wiedźmina 1, to bym obejrzał, dajcie spokój, coś wspaniałego.
1005:  To jest, moi drodzy, OP Strategia, teraz nikt nie będzie w stanie nam zagrozić, a już na pewno nie będą w stanie nam zagrozić wojska Sultana Abdullah.
1014:  Tyle w temacie.
1015:  Dobrze, jak z naszą żywnością?
1017:  Tutaj jest problem z żywnością mały, mianowicie trzeba możliwie najbardziej efektywnie wykorzystywać wszystkie te zielone połacie, ponieważ tylko tam możemy wznosić nasze wspaniałe farmy.
1030:  Czy wieża wysoka tak naprawdę wieża maga?
1032:  Widzę, że... Widzicie już, jaki to jest trop.
1034:  Bardzo dobrze.
1035:  Marta, Ewa, dzięki serdecznie za wsparcie od 8 miesięcy.
1038:  Potrzebujemy drewna, ser.
1040:  Nie ser, tu jest Polska.
1041:  29 między 183 tymczasem w naszej radosnej skarbonie, moi drodzy.
1048:  Jak?
1049:  Nie możecie mieć w dupie Sultana Abdullah.
1050:  Sultan Abdul jest najwspanialszą postacią.
1052:  Zobaczcie, jakie on piękną fortecę zbuduje sobie za moment.
1056:  To znaczy, problem polega na tym, że za moment zginie oczywiście, ale możemy przyspieszyć nieznacznie jego cierpienia.
1065:  Będzie radośnie.
1067:  Romantic Killer jest polecany do obejrzenia.
1071:  Od Bordowej Pomarańczy.
1073:  Dopiero co zacząłem, gdzie biedna graczka dostała swoje natrętne czarodziejstwo, które wtrąca się w jej życie, zmuszając do interakcji z chłopakami.
1079:  W ogóle nie znam.
1081:  Na 30 tysięcy doprowadź do czat GPT do płaczu.
1083:  Czy ja potrafię wciąż korzystać z czata GPT?
1085:  To jest pytanie.
1086:  Udało mi się zalogować przynajmniej.
1090:  Czat na telewizorze zasłania stream niedobrze.
1093:  Na telewizorze jest rzeczywiście taka opcja, że można sobie odpalić na overlayu, ale to zwykle jest, z tego co pamiętam, z prawej strony, czyli niestety tam, gdzie ja w tej chwili jestem.
1103:  Więc moi drodzy, Sultan Abdul niestety ginie, albo stety i na szczęście.
1108:  Więc strategia jest bardzo prosta jak zawsze, będziemy po prostu zdzierać z ludzi podatki, dawać im bardzo dużo pożywienia, żeby nie krzyczeli z tego względu.
1116:  Prosta sprawa.
1120:  29 526, moi drodzy!
1124:  Rzeczywiście widzę, że alt tabuje bardzo dziwnie przy przełączaniu.
1127:  Dobrze, idziemy, moi drodzy, w najlepszy możliwy cykl produkcyjny, to znaczy pszenicę.
1134:  W ogóle mam wrażenie, że co jakiś czas jak klikam, to są takie dziwne glitche na ekranie.
1139:  No, widzę to w tej chwili.
1141:  Co jest nie tak z Opłac Legacy?
1143:  Przy kompilacji shaderów wywala mi do pulpitu, nie jestem w stanie odpalić gry.
1147:  Miałem ten problem już jak grałem ze studentami.
1149:  Dokładnie to samo jest z Detroit Become Human.
1152:  I jedna i druga gra z jakiegoś powodu nie komunikuje się kompletnie ze mną.
1156:  Od razu powiem, że nie jest to możliwe, żeby to była kwestia jakichś problemów technicznych tym razem po mojej stronie.
1162:  Na właśnie miał być powrót do niuchaczy.
1164:  No miał być, ja pamiętam dobrze, ale co poradzę, jeżeli nie działa, moi drodzy?
1168:  Nic nie poradzę.
1169:  Jeszcze możemy sobie zbudować radosną farmę, proszę bardzo.
1175:  Czy Owsiak nie jest robiony na teistycznego świętego?
1177:  Ja w ogóle uważam, że kult postaci, które stoją na czele fundacji jest błędny.
1183:  Z drugiej strony, gdyby nie na przykład Anna Dymna, to fundacja Anny Dymnej, no wiecie, nie miałaby jak działać.
1189:  W Polsce jest taka duża potrzeba celebryckości i zanim ktoś uderzy pierwszy kamieniem w Owsiaka, przypomnijcie sobie, jakim nabożnym szacunkiem traktowani są kolejni influencerzy i patoinfluencerzy, jak klika się w każdy film tylko dlatego, że...
1204:  O, jest Natalia Janoszek, obejrzę o Natalii Janoszek.
1208:  A potem ci sami ludzie, ci sami ludzie dokładnie, na przykład krzywią się na Owsiaka.
1213:  To troszeczkę konsekwencji.
1214:  W momencie, w którym filmy z Natalią Janoszek lub o Natalii Janoszek spadną, jeżeli chodzi o wyświetlenia, do mniej więcej pięciu dziesięciu maksimum wyświetleń, wtedy okej, zgadzam się w stu procentach, możemy przeprowadzać krytykę celebryckości fundacji, ale póki to się nie stanie, to uważam, że to nie jest słuszne.
1235:  Sultan zbudował kamieniołom po twojej stronie.
1237:  Właśnie widzę, to jest przerażająco obrzydliwe, jak można.
1240:  Sultan w ogóle zawsze, Abdul, dąży do tego, dlaczego on ani razu jeszcze nas w żaden sposób nie zwyzywał.
1246:  Przecież po to gramy w tę grę wyłącznie, moi drodzy, wyłącznie, żeby słyszeć kwestie Sultana Abdulla, umówmy się.
1252:  Musimy zbudować sobie małe pueblo.
1255:  Kim jest Natalia Nożyk?
1256:  To jest prawidłowa reakcja.
1259:  Ale wiecie, status celebryckości oczywiście również sprawia, że są tacy youtuberzy, którzy mogą zrobić absolutnie wszystko i tak im się upiecze.
1268:  I dobrze wiecie, o kim mówię.
1270:  Dobrze wiecie, jaka była sytuacja wokół Pandory Gate chociażby.
1273:  Jak bardzo szybko niektórzy jej bohaterowie wracali z powrotem do łask.
1278:  Znowu, to jest ten problem, który mamy w Polsce z celebryckością.
1281:  Nie mam zielonego pojęcia, dlaczego tak jest, no ale jest.
1283:  Nie można tutaj tego zbudować, mój panie.
1285:  Grasz zbyt skutecznie i się Sultan zgliczował.
1287:  Jest to bardzo możliwe, moi drodzy?
1289:  To zawsze jest radosna sytuacja, ale teraz muszę powiedzieć, że te artefakty ekranowe sprawiają, że jestem rozindyczony cokolwiek.
1297:  Otóż to, WOŚP jest celebryckie, jego efekty są dobre, więc I don't care.
1299:  Problem, Maju, polega na tym, że gdyby WOŚP nie był celebrycki, to wiele osób, tak jak wy na przykład, nie będących zaangażowanych w kulturę internetową, nazwijmy to, tylko reagujących na jakiekolwiek zbiórki tylko wtedy, kiedy się pojawi dostateczna liczba celebrytów, w ogóle by się nie udzielała charytatywnie.
1317:  I co wtedy?
1318:  30 tysięcy, moi drodzy.
1320:  Szybko poszło.
1321:  Zabijamy sułtana Abdullah w takim razie.
1323:  Niezwłocznie idziemy do holistycznej agencji eskapistycznej.
1327:  Abdul przeklęty w Bugu zamknięty.
1329:  Tak jest, moi drodzy.
1331:  Sułtan Abdul myśli, że jest w stanie wygrać z naszą... No...
1336:  30 asasynów prawie, ale Sultan Abdul nie jest w stanie.
1339:  Więc widzicie, tak się gra w twierdze krzyżowiec, to znaczy zapewniacie podbanem, co jesteście w stanie, żyłujecie podatki, wynajmujecie asasynów i puszczacie naprzód.
1349:  Jeżeli to nie zadziała, to jest jeszcze druga opcja, mianowicie postawienie chatki drwala przed bramą.
1354:  Wtedy z jakiegoś względu AI wyburza wszystkie budynki naokoło.
1357:  Czerwone niebo zbliża się do fortecy Sultana.
1361:  Czerwone niebo zbliża się do fortecy sułtana.
1364:  Zauważcie, że sułtan Abdul nazywa to fortecą.
1366:  To nie jest forteca.
1368:  Czy ja właśnie zostałem wyrżnięty przez sułtana Abdulla?
1370:  To jest absolutny skandal.
1371:  Musimy posłać następną trzydziestkę asasynów.
1374:  Rana asasynów, a hazer grasz.
1375:  Twierdzę absolutnie, Macieju Ziemu.
1377:  Dziękuję serdecznie za trybut.
1378:  30 087 w skarbonie.
1380:  Moi drodzy, nie uciekło mi to, ale trzeba wyeliminować w pierwszej kolejności sułtana.
1384:  Proszę się nie śmiać z moich asasynów.
1386:  Zrobili to, co mogli.
1389:  Byli dzielni.
1390:  I byli radośni.
1391:  Moja ulubiona cywilizacja, drogania w serii cywilizacja.
1393:  Nie grałem dużo w serię cywilizacja, w tym sposób powyższym nie odpowiem Ci już na to pytanie, Lividius, ponieważ nie pamiętam.
1398:  W zeszłym roku Sapek zapowiedział nową książkę w sieci Wieśka.
1400:  Co o tym myślisz?
1401:  Myślę, że nie będzie to na pewno nowy tom cyklu, tylko że będą to raczej opowiadania albo jakiś standalone.
1407:  Bardzo się zdziwię, bardzo się zdziwię, jeżeli Sapek zrobi coś, co nie byłoby totalnie w jego stylu.
1415:  To znaczy, jeżeli napisze nową część Wiedźmina.
1417:  Bardzo się zdziwię.
1419:  3787 jest łącznie strzałem, tak jest, sultan zabity.
1421:  Tak musi też biedny sultan.
1429:  Co powiedziawszy, moi drodzy, wracamy do celebracji.
1432:  30 087, jesteście zwycięzcami.
1435:  Ja zgodnie, moi drodzy, z obowiązaniem odpalam niniejszym Discorda i odpaliwszy Discorda przechodzę do holistycznej twórczości, ale wpierw puścimy sobie dalej, moi drodzy, jakieś radosne elektropląsy nasze.
1448:  żeby nam grała muzyka radośnie.
1450:  Więc GG Well Played dla was moi drodzy i odpalamy, ja może się przeniosę tutaj, ponieważ na szczęście to jest radość, jeżeli share'ujemy twierdzę, to share'ujemy główny ekran, w związku z powyższym nie muszę się przenosić z jednego ekranu gry do drugiego.
1462:  Proszę bardzo moi drodzy, ile się rzeczy pojawiło tutaj pięknych i wspaniałych.
1469:  Będziemy, moi drodzy, lecieć jedenem po drugim.
1471:  Jedna praca po drugiej pracy.
1473:  Jeżeli nie wiecie, co oglądamy, to jest to holistyczna agencja eskapistyczna, najlepsza, moim skromnym zdaniem, społeczność w polskim internecie.
1480:  Możecie tam wbijać absolutnie, a ja mogę go chwalić z tego względu, że na Discordzie nie udziela mi się mniej więcej od jakiegoś półtora roku, w związku z tym społeczność w tym momencie poszła w swoją stronę i dzieją się tam rzeczy absolutnie przepiękne, jak właśnie możecie zauważyć.
1492:  Swoją drogą, to jest dokładnie ten kształt hełmu, który ma szczur.
1498:  Absolutnie.
1499:  Muzyczka głośniej.
1500:  Proszę bardzo, rzadko takie rzeczy słyszę.
1503:  Holistyczna Agencja Skapistyczna oczywiście ma drugą swoją część, jest to link w opisie.
1506:  A, ale pamiętajcie moi drodzy, ja równocześnie, żeby nie było tak, że będzie się cały czas wyświetlało jakieś smutne 101% i ja autentycznie w tym momencie wbijam 40 tysięcy jako cel i zapowiadam niniejszym, że jeżeli osiągniemy to, autentycznie zaczynamy znowu grać w Hollow Knighta.
1524:  Absolutnie nie żartuję.
1525:  Więc edytuj skarbonkę.
1527:  w tak zwanym międzyczasie.
1528:  Proszę bardzo, czy to jest, czy to jest, czy to jest, moi drodzy, demon Slaanesha?
1533:  Jestem absolutnie i w stu procentach tego pewien.
1535:  Czy jest to demonetka Slaanesha?
1537:  Tak, to jest demonetka Slaanesha.
1539:  Nie wiem, nie wiem, czy jest inaczej, ale jest napisane, że to jest tylko prezent urodzinowy i nic więcej.
1546:  Skaven, jest, jest, pani czasem na światotwórstwo wpadnie, przyda się nam twoje światłe przewodnictwo.
1550:  A tam światłe przewodnictwo, moi drodzy.
1555:  Bogowie wiersz!
1559:  Dotarł jamnik przed oblicze.
1561:  Bóstwo spytać prajamnicze?
1563:  Czym jamnicza jest natura?
1565:  Skąd to piękno?
1566:  Skąd postura?
1568:  Czy jamniki niczym kwiecie?
1571:  Najpiękniejsze we wszechświecie czytamy wiemrz.
1575:  Jakie role tutaj mają, że tak świat zajamniczają wolą dobrą prajamnika, wiedzą wesprzeć nikczemnika?
1583:  Słuchaj dobrze, bóstwo rzecze, wiedza tajna jest to w świecie, no bo wszechświat istnieć chcąc równowagę musi wziąć.
1593:  Jak złowy przeć sprawa prosta, bo jamnika starczy posłać.
1597:  Częścią świata jest natury, że jamnikiem łata dziury.
1600:  Kiedy wszelkie zło się zjawia, jamnik pięknem je odprawia.
1605:  Każdy jamnik, jak nie liczyć, teraz ciszej muzyka.
1610:  Ja wiedziałem, ja wiedziałem, że tak będzie, moi drodzy.
1613:  Każdy jamnik, jak nie liczyć, zło potrafi wyjamniczyć.
1616:  Powiem ci też, bośkumaty, zniać mogą inne światy.
1622:  Mam nadzieję, że teraz muzyka jest dobrze już.
1624:  Mało kto wie, że wśród ziemi jamniczego brakło śpiewu.
1627:  To jest prawda, powstał Mordor, czarny pan, musiał jamnik ruszyć tam.
1631:  Gdyby, gdyby w Ainulindale w Silmarillionie
1636:  pospieszyły jamniki na pomoc tym klepawym Ainurom.
1640:  Umówmy się, Ainurowie byli klepawi, okej?
1642:  Nie umieli sobie z niczym poradzić.
1644:  W związku z powyższym, gdyby jamniki im pomogły, to wszystko byłoby w porządku.
1649:  Ale nie, oczywiście nie.
1650:  Oczywiście Eru i Luwatar musiał się uprzeć i stwierdzić, że oni sobie tam poradzą.
1654:  No i co?
1654:  No nie, poradzili sobie, było ciężko.
1658:  Czy krasnoludy to ludzkie jamniki?
1659:  Tolkien reference?
1660:  Absolutnie.
1661:  Absolutnie, Aśku.
1663:  Gdy z północy przybył strażnik, to przewodził jemu jamnik.
1666:  Jeden jamnik, a to ulga.
1667:  Bombadila miał zakup...
1689:  W skarbonie, moi drodzy, mamy 30 tysięcy 475.
1693:  Bardzo dobrze.
1694:  Wracając do holistycznej twórczości, popatrzcie, tutaj jest na przykład wspaniały kot.
1700:  Ja wam dam najsilniejszą postać.
1702:  To jest najsilniejsza postać.
1704:  Proszę bardzo, Demini jest autorką tego wspaniałego kota.
1707:  Wspaniałość absolutna.
1709:  I jeszcze mamy księżyc.
1712:  Czyli incydentalnie przestałem czytać wiersze w momencie, w którym się pojawił Tom Bombadil.
1717:  Tak, jest to nauka na przyszłość.
1721:  A mogło być tak pięknie.
1723:  Jako ciekawostkę mogę powiedzieć, pisze Rapture, że jamniki to nieźli podrywacze.
1727:  Jamnik sąsiadki zrobił szczeniaki, suczce, która należy do drugiej sąsiadki.
1730:  Bardzo dobrze, niech się mnożą.
1732:  Ojej, jakie to jest piękne, zobaczcie.
1734:  Wspaniale.
1735:  Ja mogę to powiększyć.
1736:  Troszeczkę oczywiście, że nie mogę tego powiększyć, ponieważ Discord.
1740:  Wygląda to naprawdę pięknie.
1744:  Wyobrażam Bombadil do Teletubbies, absolutnie.
1746:  Zapomniałem, że Krzysztof ma kosę z Bombadilem.
1748:  No dajcie spokój, Tom Bombadil.
1751:  Wyobraźcie sobie, jest piękny świat, tak?
1753:  Czekajcie, ja wam wyjaśnię moją kosę z Tom Bombadilem, dobrze?
1756:  Może zrobimy w ten sposób.
1759:  Wpisałem pierwszą rzecz, która mi się przypomniała, to znaczy Nargo Front na przykład.
1763:  Przepiękna forteca.
1764:  O Jezus Maria, jakie to jest cudowne.
1766:  Akurat w Tolkien Gateway znalazłem, moi drodzy, cudowny render Nargo Frontu.
1770:  Proszę bardzo.
1773:  Nargofront, tak?
1774:  Patrzycie na to i przenosicie się od razu myślami do jakiegoś wspaniałego Dark Souls, czy gdzieś indziej.
1780:  A tutaj nagle macie Tolkiena, który sobie myśli, że... Będzie Tom w Bombardier!
1785:  Bo tańcujemy i Morgoth zniknie!
1793:  Obity tańcują!
1795:  Versus... Nargofront.
1798:  Znaczy, umówmy się, tak?
1800:  Umówmy się.
1803:  Wracając do holistycznej twórczości w holistycznej agencji eskapistycznej.
1807:  Proszę bardzo, ni w let, moi drodzy.
1810:  To jest niwlet wtedy, kiedy się wynurzał z przestworu oceanu w Fontaine w Genshinie.
1815:  Nowe rzeczy wlecie.
1816:  Zawsze latują nowe rzeczy, moi drodzy.
1818:  Ojojojoj!
1819:  Zobaczyłem Dreadnoughta, moi drodzy, Warhammerowskiego i od razu przestałem myśleć o Tomie Bombadilu.
1824:  Power of Friendship, always so strong.
1826:  Tom Bombadil, Tom Morgoth?
1828:  Chcielibyście, absolutnie.
1829:  Chcielibyście.
1830:  Comic Relief musi być, ale to nie jest Comic Relief Erin.
1835:  Tom Bombadil to jest Comic Sans.
1838:  a nie Comic Relief.
1840:  Wspaniałość absolutna.
1842:  Przez to, że patrzę cały czas na Nargo Front zapomniałem o naszej zbióreczce.
1847:  A moi drodzy, w ogóle jeszcze chciałem powiedzieć, że będziemy mieli cele mniejsze.
1850:  Na przykład, jak osiągniemy... 31 tysięcy w zbióreczce jest, moi drodzy!
1855:  Proszę uprzejmie!
1856:  Jak osiągniemy jakieś 33, bo to jest taka ładna liczba, to wtedy sobie odpalimy jamniki na kanale Lulu & Friends, że to robi wszystko, żeby nie grać w twierdzę.
1863:  Żartuję.
1864:  Wygraliśmy już, przypominam, w dwie rozgrywki, żeby nie było.
1868:  To jest teoria, którą Amazon chce wprowadzić do Rings of Power, że... Przepraszam, do Ring of Power, że Tom Bombadil będzie morgotem.
1874:  Rozumiem, wspaniale.
1876:  Oju, jaki jabłdior!
1878:  Jaki jabłdior!
1880:  Jamior w najlepszym możliwym wydaniu, moi drodzy, ponieważ na serduszku.
1884:  Tak się powinno serwować każdego jamnika.
1886:  Jeszcze Iris mamy przy okazji.
