Każdy. Pytajnik. Na. Południu. Skellige — WITCHER 3 Livestream #23
🔗 https://www.youtube.com/watch?v=2H4-hKZWIMM

3:  Witajcie.
5:  Zanim rozpoczniemy nasz niedzielny stream wiedźmiński.
10:  Rękopis znaleziony w Smoczej Jaskini na powitanie wszystkich.
15:  Czarnobóg.
17:  Czernobog, najwyższy demon piekła, bóg absolutnego zła w wierzeniach Słowian, władca Czarnego Zamku w Navi, północnej krainie ciemności.
28:  Jego małżonko jest bogini śmierci Mara, to od jej imienia pochodzą określenia Nocna Mara i Zmora.
33:  Armia Czernoboga złożona z demonów, diabłów, wilkołaków, czarnych wołówków i wiedźm dowodzi Vii.
40:  Vii ma tak ciężkie powieki, że jego słudzy muszą je podtrzymywać widłami.
44:  Jeśli Vii
45:  Powieki uniesie i spojrzy na kogoś.
48:  Ten natychmiast umiera.
50:  Czarnobóg walczy z wszystkimi bogami i wszystkim, co żyje.
54:  Jego programem jest bowiem chaos i noc.
57:  Ciemność, w której panują mróz i wieczne zło.
60:  Do wierzeń germańskich Czarnobóg przeniknął jako Cernebok.
64:  Któż nie pamięta Ivanhoe Woltera Scotta?
67:  I pieśni, którą stara saksonka Ulryka śpiewa w podpalonym zamku.
71:  Ostrzcie stal, kracze kruk, zapalajcie pochodnie, wyje Czernebok.
76:  Ostrzcie stal, synowie smoka, zapal pochodnie, o curo hengsta.
80:  Niektórzy mniemają, że Słowianie takiego boga jak Czernobog w ogóle nie znali.
85:  Żeby wymyślił go Niemiec, holsztyński proboszcz Helmold, autor Kronikon Slovarum, Czernebok id est nigrum deum appellant.
94:  ale jak powiadają Włosi, seno ne vero e bentro vato!
99:  Witajcie wszyscy!
101:  Witajcie przybyli na stream, witajcie stali widzowie kanału, witajcie trybutariusze, jako to księże krokodylu Cluchen Muchenclaro, Elin z Gretku, Mateuszu, Erin, Babu Jago,
115:  Palitko, wszak wiadomo, Jacku, Jimmy, Jakobie, Zgonu, Aleksandrze, Aleksandro, Mateuszu, Alice in Poland, Mikkas, Kamilu, Miss Jesionko.
125:  Witam też.
126:  Fade to Black, witam.
127:  Żabcie, słonego cukra albo cukier, nigdy nie wiem, jak odmieniać.
132:  Elgiona, Seweryna Fatera, Wedeva Darius.
