Każdy. Pytajnik. Na. Skellige — WITCHER 3 Livestream #16
🔗 https://www.youtube.com/watch?v=4pCo34gbPZU

3:  Moi drodzy, witajcie.
5:  Cóż za tydzień?
7:  Cóż się dzieje w popkulturze?
9:  Wychodzi Dune'a, jeden z najwspanialszych filmów, jaki widziałem ostatnio.
13:  Nie widzieliście recenzji, to jest na kanale
16:  Oprócz tego Lock&Key wczoraj wyszedł, jeszcze nie zdążyłem zacząć nawet binge'ować, co dopiero skończyć.
24:  Witam wszystkich najserdeczniej.
26:  Dobry to czas dla kultury popularnej fantastyki, nie ukrywajmy.
30:  I świadectwem tego niech będą zajamniczające się czaty, które witają mnie i was wszystkich, którzy to oglądacie lub będziecie to oglądać w formie zapisu.
39:  Witajcie!
40:  Miło mi powitać wszystkich obecnych, ze szczególnym uwzględnieniem Trybutariuszy, Miss Jesionki, Tobiakona, Samawita, Jimmy'ego Jakoba, Kamila, Morcia, Aleksandry, Zgredka, Pawła, Dominiki, powtórzmy raz jeszcze, bo nigdy nie będzie za dużo, autorki naszych wspaniałych jamniczych emoji, które są dostępne dla wspierających, Prometa, Jędrzeja, Olgę,
61:  Koltisa, Jacko, Elina i całą resztę.
64:  Moi drodzy, jaki mamy plan niesamowity.
66:  Alice in Poland też niech dołączy do tego znacznego grona powitanych.
71:  Moi drodzy... Kontynuujemy.
75:  Kamila witamy też.
77:  Witajcie wszyscy przybyli.
80:  Tara, Tuba już wstawiając emoji serowe.
85:  ...lecz owym elfim czarodziejem, który towarzyszył Cili w ucieczce przed dzikim gonem.
90:  Moi drodzy, ale się będzie dzisiaj działo.
93:  Znaczy nie wiem, co się będzie dzisiaj działo.
95:  Jak zawsze nie wiem.
96:  Daję specjalnie, na wszelki wypadek, bo te pytania się powtarzają.
101:  Czy będziemy grać w dodatki?
104:  Tak, będziemy grać w dodatki, tylko że CD Projekt Red zablokował nam możliwość grania w Poselstwo z Krainy Wina i Miłe i Złego Początki, więc tutaj się będzie wyświetlać cały czas po prawej stronie, w trakcie jak będziemy questować, ten rzesz quest,
118:  I plan jest taki, że jak ta czaszunia zniknie, to nużę, nużę.
122:  Ach, nużę, nużę.
124:  No tu są.
126:  Orie Martegie, witamy.
128:  Moi drodzy, za moment będzie tylu trybutariuszy, że ja nie będę nic innego robił, tylko będę wszystkich witał.
134:  Cóż to jest?
135:  Pytajniczek.
136:  Pierwszy z pięciuset!
139:  bo taki niestety jest plan na dzisiaj, to znaczy będziemy odpytajniczać całą mapę.
143:  To oznacza też, że będzie do tej marnej łódeńki trzeba było tutaj przybyć.
148:  Myślę, że sobie na północ wpierw przybędziemy, a potem na zachód.
153:  Wielkie nieba.
154:  Tarael pisze, że odkąd zaczął grać w Battleship Gothic Armada 2 i zetknął się z tyraninami, nabrał szacunku do sera w grach.
161:  Nie dziwię się absolutnie.
163:  Herbatka uszykanowa... Uszykanowana!
166:  Hahaha!
167:  Uszykowana.
167:  Szykanowanko będzie później.
169:  Oczywiście, że jest uszykowana herbatka.
170:  Wasze zdrowie.
173:  Mmm.
174:  Jak zawsze pyszna.
176:  O nie, i syreny.
177:  Absolutnie, Olgo, tak.
178:  Będą nas dręczyć syreny.
180:  Ale pierdwej!
182:  Pierdwej będziemy zdążać tutaj.
186:  Gdzie jest płotka?
190:  Nie widziałem zwiastuna Uncharted, Stefanie, nawet nie wiedziałem, że wyszedł, znaczy wiedziałem, że jest w planach, muszę obczaić w takim razie, zawsze jak myślę, że jestem na bieżąco, uświadamiacie mi, jak bardzo jestem nie na bieżąco.
204:  Och, jak brakowało mi tej muzyki.
207:  Dawno nie byliśmy w świecie Wiedźmina, moi drodzy.
210:  Hahaha, kurwa mać, na dzień dobry.
214:  Nie, nie, nie, nie, nie, nie, nie, nie.
218:  Nie, nie, nie.
