Ostatnie życzenie — WITCHER 3 Livestream #14
🔗 https://www.youtube.com/watch?v=noK_qMwf7TI

2:  Sobota.
4:  To oznacza, że wracamy do świata Wiedźmina niezależnie od tego, jakie turbulencje dzieją się w świecie rzeczywistym.
12:  Na przykład rozpoczyna się rok akademicki, albo najwybitniejsza uczelnia we wszechświecie.
18:  Nie, przepraszam.
20:  W Multiversum, bo jestem tuż po obejrzeniu What If Marvela, jest najwybitniejsza uczelnia Multiversum.
27:  Daje najwyższe oznaczenie.
29:  Dishonoris causa.
31:  Dla najwybitniejszej
33:  Pisarki Multiwersum.
35:  Więc dużo się dzieje.
37:  Dużo nas omija.
39:  Ale wszyscy wiemy, że wszystko mija, nawet najdłuższa żmija, prawda?
42:  Więc moi drodzy, witam serdecznie czaty.
45:  Zajamnicza się na czatach wielkie nieba.
49:  Mrowi jamników, witam trybutariuszy, którzy niektórzy już nawet mają glif magii wody drugiego stopnia.
58:  Wielkie nieba, co to się dzieje?
61:  Witajcie, witajcie najserdeczniej, kontynuujemy nasze chwackie przygody.
69:  Och, jak pięknie.
82:  Witam Aleksandrę, Sermowęto, Morcia, Erina, Martynę, Dominikę, Taraela, Skrufipufi, Jako, Kamila, Zgredka, Prometa, Wileda, Dziumiego Jakoba, Onu44 i całą resztę.
97:  Witam stałych bywalców, istotę żyjącą, Michała.
100:  Witam Was wszystkich najserdeczniej.
104:  Mamy porozmawiać z lotarem, powiedział Krzysztof, udając, że pamięta, co robił w zeszłym tygodniu.
109:  Oczywiście, że nic nie pamiętam.
113:  Och, proszę, matka ligatorowa, błogosławienia od księdza Krokodyla, cóż za wspaniała informacja.
120:  Czasami, jak widać...
123:  Są tacy przedstawiciele Clare'u, którzy wnoszą radość do naszego życia.
127:  Są również kozy, które musimy ominąć.
129:  Słuchajcie, tutaj jest taki znacznik, do którego ja bym się bardzo chciał przedostać.
133:  Coś mi mówi, że nie będę w stanie.
135:  O, o, o, tu jest ten znacznik, bo tą dróżką nie mogliśmy niestety przejść.
140:  Coś strasznego.
143:  Witam, witam, witam was wszystkich.
145:  Widzę, że herbaciane grono się powiększa, bardzo mnie to cieszy.
149:  Ja oczywiście również sobie dzisiaj sączę herbatkę, jakżeby inaczej.
152:  Och, mniam.
156:  Wziął Krzysztof dla potwierdzenia popijając herbatkę.
158:  Dobrze, małem porozmawiać z Lutorem.
159:  Gdzie jest Lutor?
161:  To jest jakoś strasznie daleko.
165:  Oj nie, to jest za daleko.
167:  To wiecie co, wpierw ogarniemy pytajniczek.
169:  Na niespodzianka!
171:  O, witam Elgiona, Orie!
172:  Proszę, proszę, z wykładu prosto na stream!
176:  Widzicie, a gdyby właściwie był ten świat urządzony...
181:  Wykłady mogłyby być streamami, nie żebym się chwalił, ale właśnie tak ustaliłem z częścią ze swoich studentów, więc ha, da się.
191:  Będziemy mieć specjalne wykłady w postaci streamów z gier wideo, które będziemy na żywo analizować.
201:  O, tak jak dobrze jest cwałować znowu płotką.
205:  Tak, tak, słyszałem, Danielu, że Olga Tokarczuk dostała doktora Dishonoris Causa.
211:  Zastanawia mnie bardzo, czy to jest większy dyshonor dla Uniwersytetu Jagiellońskiego, czy dla Olgi Tokarczuk.
217:  Muszę powiedzieć, że to jest rzecz, nad którą debatuję od jakiegoś czasu.
221:  To jest taki ciekawy problem filozoficzny, prawda?
224:  Kto komu wyrządził większy dyshonor?
227:  Bo szczerze powiedziawszy, nie wiem.
230:  O, bandyci!
232:  Witamy Pawła!
235:  Wy tam samawita w gronie trybutariuszy w samooporę dołączacie, bo akurat walczymy z bandytami, jest szansa na pierwszą żenującą śmierć tego streamu.
245:  Jest absolutnie to możliwe.
252:  Dobrze, dobrze, dobrze.
254:  Popatrzcie, jak płoną pięknie.
256:  To jest interesujące, a nie powieściopisarstwo, które jest doceniane za poruszanie wybitnych problemów egzystencjalnych w ówczesnej kultury.
270:  Po tym zresztą się rozpoznaje twórczość mainstreamowo, to znaczy jak pytacie o czym jest książka, to nie odpowiada czytelnik taki albo krytyk literacki.
278:  No, to jest bardzo interesująca historia, na przykład młodego maga kwotego, rudowłosego, który postanawia pójść na uczelnię, ale ma z tym problem, ponieważ Uniwersytet Magiczny najbliższy wymaga czesnego, które jest zbyt wysokie.
293:  Są perypetie.
294:  Historia się rozwija.
296:  Nie, powieść mainstreamowo poznacie po tym, że ktoś powie...
300:  To jest o uchodźcach, noo!
302:  A, to panie!
303:  Jak jest o uchodźcach, to ja biorę!
305:  Znaczy, nieważne o czym, nieważne czy to jest jakiś, nie wiem, świat, który znamy, czy którego nie znamy, tak, wiem, trzeba w sposób ciągły używać Igniego, ale tego nie zrobię, z tego względu, że w przeciwnym wypadku zginiemy.
317:  Dlatego też zastosujemy wyśmienity północny wiatr.
319:  Widzę, że się na czatach zazieleniło i zaraz odpowiem na to, co się dzieje, ale wybaczcie, walkę trzeba skończyć.
325:  Witamy Palitkę w gronie Trybutariuszy i Matixora w gronie Trybutariuszy.
329:  Matixor jest już w kręgu magii wody, wielkie nieba.
335:  Co ja powinienem zrobić?
336:  Powinienem natychmiast odpocząć.
341:  Nawodnienie, bo Olga Tokarczuk, macie rację.
344:  Macie rację.
346:  Śmierć dla fanów, okej?
352:  Coś jest... Dlaczego?
353:  Co za oszustwo?
354:  Piłem wodę, dlaczego się coś odpaliło?
359:  Straszne.
360:  A jeżeli chodzi o tegoroczną Literacką Nagrodę Nobla, to nie mam szczerze powiedziawszy zdania, bo nie słyszałem o tym pisarzu.
370:  Albo możemy uznać, że o, Krzysztof nie jest erudytą, Krzysztof nie zna ważnych książek, albo możemy uznać, że ten pisarz stanie się znany dlatego, że dostał lub dostała lub dostanie lub dostało Nagrodę Nobla.
386:  Ciekawy jestem, która z opcji jest prawdziwa.
389:  I witamy Szargrina w gronie trybutariuszy.
391:  Wielkie nieba.
392:  Co biedna Olga Tokarczuk mi zrobiła?
394:  Niewiele.
395:  Wiecie, jak mnie można najbardziej skrzywdzić i każdego?
399:  Wystarczy napisać nudną książkę albo zrobić nudny serial.
403:  Albo nudny film.
404:  Albo nudną grę wideo.
406:  To wystarczy.
