Pół wieku eksploracji później — WITCHER 3 Livestream #12
🔗 https://www.youtube.com/watch?v=2a46pkxu55E

2:  Witajcie serdecznie
5:  Tak, to ten czas wieczorny w sobotę, kiedy wznawiamy nasze radosne streamy.
11:  Witam wszystkich na czacie, którzy się gromadzą, jak zawsze, tłumacząc dwie rzeczy.
18:  Po pierwsze, wczoraj była Noc Naukowców na AGH i jak to przystało na Noc Naukowców na AGH, skończyła się ona hucznie.
29:  W związku z powyższym macie rzadką okazję obserwować Krzysztofa na ciężkim kacmajerze.
34:  Druga informacja, tak, jest nowy jamnik, jamnik skaveński, reprezentujący XIV klan skawenów jamników, najstraszliwszy ze wszystkich.
43:  Dominika jeszcze pracuje nad małym ulepszeniem tej motki, żeby zawierała także ważny składnik skaveńskiego pożywienia i zarazem naszych gier warhammerowskich, to znaczy SER!
54:  Kontynuujemy.
60:  Znalezienie mnie nie było proste również wczoraj.
67:  O!
69:  Tak.
69:  To jest ten moment, gdy Krzysztof pije kawę.
75:  Jak tam ręce po wczorajszym pokazie, pyta Ania.
80:  Jeszcze, jeszcze dogorywają.
87:  Jeszcze dogorywają.
88:  Dla wszystkich, których nie było na nocy naukowców, fizycy z AGH rozwiązali problem, którym nie trafił przez lata.
95:  To znaczy problem braku żywioła magii.
99:  Więc oblali mnie jakimiś dziwnymi rzeczami i sprawili, że moje ręce zaczęły płonąć.
103:  Jak ktoś chce zobaczyć tego efekty, to jest zdjęcie na Insta, a w razie czego jest bardzo dużo również memów na naszym Discordzie.
110:  Na czym skończyliśmy ostatnio?
113:  Bardzo trafne pytanie od Erin.
117:  Nie umiem znaleźć odpowiedzi, bo wiecie, jak ze mną jest.
119:  Witam wszystkich wspierających na czatach tradycyjnie.
122:  Kluchenmuchen, Elezara, Jakuba, Jakoboli, Erina właśnie, Zgredka, Prometa, Darwieśni, Babę Jagę.
129:  Wszystkich witam serdecznie.
130:  Waniewskiego.
132:  Resztę będę wyczytywać w trakcie.
134:  Mam nadzieję, że się dobrze macie.
136:  On się zeszczał w gacie.
138:  Zrymowałem, tak jest.
140:  Co mamy do zrobienia?
144:  Jesteśmy na jakimś złym sejwie.
146:  A, wiem dlaczego jesteśmy na złym sejwie.
149:  Powinniśmy być na tym sejwie.
151:  Jesteśmy na złym sejwie dlatego, moi drodzy, że wykłady przygotowuję już, tak.
156:  ...do wniosku, że kluczem do znalezienia dziewczyny jest Uma.
160:  Najbrzydszy człowiek na świecie, na którym ciążyła tajemnicza klątwa.
170:  Co to za pytanie, jak tam kacyk?
172:  Jakie niedelikatne, moi drodzy.
175:  Wiecie, czego się nie robi na ciężkim kacmajerze?
179:  Nie wolno pod żadnym pozorem iść na trening.
184:  Ale to pod żadnym pozorem!
185:  I wiem to dlatego, że dzisiaj poszedłem.
188:  Co było ostatnio?
188:  Usiekliśmy, moi drodzy, Leszego.
192:  A teraz mamy powiedzieć sierżantowi, że chcemy zabrać umę, ale to jest główny quest, więc nas absolutnie on nie interesuje.
198:  Będziemy dzisiaj wykonywać questy poboczne.
201:  Przede wszystkim interesuje nas... O, na przykład to nas bardzo interesuje.
205:  To jeszcze raz naj... To... Bardzo... O!
208:  Wspania... Popatrzcie, ile rzeczy mamy do zrobienia.
211:  To się w głowie nie mieści wręcz.
213:  Zaczynamy od góry.
217:  Najlepszy sposób na kaca?
218:  Zamówić coś tłustego.
220:  Ja zamówiłem pizzę, następnie dużo kawy, jeszcze więcej wody i trochę snu.
235:  Tego ostatniego było niewiele.
237:  Waniewski pragnie się podzielić ogromną radością, która rozpala jego serduchu, bo jeszcze tylko dwa dni i przeprowadza się ze swojego rodzinnego miasta, którego ma już serdecznie, dojść do Krakowa.
247:  Wspaniale!
248:  Kolejne miasto przed tobą, które możesz znienawidzić.
250:  Żartuję, mam nadzieję, że będzie się tu mieszkało dobrze.
255:  Obawiam się, że gdybym poczytał Olgę Tokarczuk, to skończyłoby się to jeszcze gorzej.
261:  To nie jest dobry sposób na leczenie kaca.
264:  Wyobraź sobie 10 godzin pracy na bujającym się kontenerowcu w skwarze Zatoki Meksykańskiej.
269:  To nie byłoby... To byłoby jeszcze gorsze.
272:  Witamy Grabkę.
276:  Najlepszy sposób na kaca kroplówka.
277:  Są firmy, które przyjeżdżają i podłączają.
279:  Nie żartujcie nawet.
282:  Ależ się stęskniłem za Skeligę.
285:  Gdzie nas kieruje znacznik w drugą stronę?
291:  Ja uważam, że nie istnieje coś takiego jak prokrastynacja, wiecie?
294:  Czy tam jest coś ciekawego?
298:  To wygląda na coś ciekawego.
301:  Co to jest?
305:  Chcemy tam ruszyć?
307:  Chcemy, oczywiście, że tam idziemy.
310:  Zbyt mnie to interesuje.
311:  Co to jest?
315:  To jest biedne Mont Saint Michel.
318:  Geralt jak zwykle nie umie chodzić.
320:  Wcale mnie to nie dziwi.
325:  Tamara już nienawidził kawu i układania planu, który tak nie widzę, bo godziny zabiorą.
329:  No tak.
333:  Świetny dialog, moi mili.
335:  Cóż powiecie?
335:  To jest wyspa starców, moi drodzy.
341:  Czy naprawdę tu jest tylko tyle?
345:  Czy naprawdę?
346:  Naprawdę?
349:  Dobrze, jakby było mało alkoholu, to mamy jeszcze więcej.
354:  Czyli na Wyspie Starców jest alkohol i glicze.
368:  Basia, dziękuję za streama, pakuję się na studia, AGH, pozdrawia, Sławomir, to idzie.
373:  Też nie lubię pakowania, bardzo nie lubię pakowania, od tego powinni być niewolnicy, ale niestety zlikwidowaliśmy taki system.
382:  Jak jestem zmęczony albo na kacu, to uaktywnia mi się kaustyczny, czytaj, jadowity humor.
390:  Na szczęście być może muzyka, z której już się śmiejecie, że bez przerywania zwracam uwagę, ukoi moje nerwy.
396:  Witamy WHK.
398:  I Pana Karmazyna, i całą resztę.
401:  Gdzie jest... Gdzie jest nasz... Płotka!
405:  Wielkie nieba.
