Tańczący z wilkami — WITCHER 3 Livestream #8
🔗 https://www.youtube.com/watch?v=9gKMBfSbQ4s

4:  Witam Was wszystkich serdecznie.
6:  Witam serdecznie na kolejnym streamie wiedźmińskim, podczas którego dowiadujemy się, jak to jest być wiedźminem i równocześnie przegrywać z wilkami, z bandytami, z bójcami, raubritterami na szlaku.
20:  Witam tym goręcej, że dzięki staraniom Dominiki, zaprzyjaźnionej graficzki tego kanału, dysponują nasi trybutariusze wspierający vloga jeszcze większą liczbą jamników.
31:  W tym i bardzo ważnym, jak się niejeden raz dzisiaj przekonanym jamnikiem noszącym obruszkę z F-em.
38:  F jak fuck i F jak F to pay respects.
42:  Witam was wszystkich serdecznie.
44:  Kontynuujemy naszą podróż.
47:  Znaleźli na bagnach chłopi.
49:  Zaprowadzili ją do barona, samozwańczego władcy Velen.
53:  Och, ten temat barona.
55:  Wróciła do zdrowia, wyprawił ją do Nowigradu.
59:  Witajcie wszyscy, cieszę się, że was widzę tłumnie zgromadzonych i przybyłych.
64:  Co robiliśmy ostatnim razem?
66:  Wielkie nieba.
68:  Była schacka z Triss Merigold.
70:  Czyli już jest wszystko przesądzone, już wiadomo, że jak dotrzemy na Skellige, to mamy przerąbane u Yennefer, w związku z powyższym już dzisiaj zapowiadam, że jutro będziemy dostawać kosza od Yennefer, więc wszystkich fanów Yennefer na czacie, wszystkich trzech, przepraszam,
87:  Znajdź statek na Skellige, tak jest.
89:  Spoiler z jutra.
91:  Nie, dzisiaj... Dzisiaj musimy dorwać skurwiela juniora.
97:  Chodź, Płotko.
99:  Czy będziemy podróżować?
101:  Karolu Trederze, cóż za początek?
103:  Witam w gronie trybutariuszy.
104:  Możecie używać jamników.
106:  To wspaniała wiadomość.
108:  Czy bardzo się będziecie mnie gniewać, jak ja stwierdzę, że dobrze byłoby tutaj posprawdzać pytajniczki?
114:  Potem posprawdzamy pytajniczki, jak tutaj wyjdziemy.
116:  O!
117:  Bo tu widzę bardzo dużo pytajniczków na północy.
120:  Gdzie my się teleportujemy, żeby było najszybciej?
122:  Pod bramę oksfenfurcką, tak.
123:  A nie, nie będziemy się teleportować.
125:  Ma być imersja.
128:  Czy to przypadek, że F jest w jeneferowych kolorach?
132:  To jest pytanie Dominiki, ale jak ją znam, to nie jest przypadek.
136:  Dzień dobry, Jędrzeju.
137:  Tak, jest jutro.
137:  Też jest stream z Wiedźmina.
140:  Mamy Wiedźmiński weekend.
143:  Ten weekend.
147:  Bardzo dużo nowych jamników, Erinie.
148:  Mamy już całą kolekcję.
152:  Geralt prezentuje się nadal okazale.
155:  Słusznie zauważył Michał.
156:  Jego maska idealnie oddaje poważne podejście do wykonywanej pracy.
161:  Chyba nie liczyliście na to, że ja prędko się pozbędę tej maski.
165:  Ona będzie nam jeszcze bardzo długo towarzyszyć.
167:  Znaczy, do najbliższej skacki z Merigold.
172:  Tak, na tym streamie Triss, a nie jenefrsbomias.
176:  Witamy w gronie, Trybutariuszy, dziękuję.
182:  Dominika pisze, że interpretacja jest dowolna, a co kryło się w mojej głowie, jak tworzyła tego Jamiora, to zostało jej.
188:  O, co to jest, co to jest za miejsce?
190:  Myśmy tutaj byli, czy nie?
193:  Byliśmy.
194:  Nie no, ja chcę ten pytajniczek zobaczyć, nie, nie pogniewacie się na mnie.
197:  Tutaj, tu jest taki ładny znacznik, o, o, o. I zaraz dorwiemy skurwiela Juniora.
202:  Ale ja po prostu liczę na to, że zobaczymy wilki.
204:  Coś jest z moim okiem niedobrze.
206:  Paproch.
209:  Red Dead Redemption Wiedźmin, tak.
214:  Cieszę się, że się cieszycie, że będą dwa dni Wiedźmińskie.
218:  Pomyślałem sobie, że jeżeli w ogóle mamy w tym roku akademickim, bo nie kalendarzowy, skończyć Wiedźmina, trzeba zintensyfikować live'y Wiedźmińskie.
227:  Witamy Jakuba, witamy Zgredka, Janka, Sebastiana, Grumsa, Morenkę, wszystkich witam serdecznie.
235:  Jaki cudowny i wspaniały klimat, proszę bardzo.
238:  Ciemno, słoneczniki, od razu wiemy, że jest Polska, że jesteśmy w Ciemnogrodzie.
244:  Wszystko się zgadza.
251:  Nie, tym razem nie top czat, czat na żywo, więc wszystko widzę.
256:  Żadne wasze krotochwile na czacie nie umkną mojemu bystremu spojrzeniu.
259:  Mogę co najwyżej umknąć mojej pamięci, ale to nie jest coś, co by kogokolwiek już dziwiło.
264:  Uuu.
266:  Słuchajcie.
267:  Ha, dzień dobry!
270:  Boże, przypomnieliście mi kolejną traumę z lekcji, ale w sumie rachunki się wyrównały, bo ja wam przypomniałem na vlogu parę innych.
278:  Dziś sok pomarańczowy.
280:  Sensacja.
283:  Odkryłem sok pomarańczowy, który smakuje prawie tak, jak świeżo wyciskany.
289:  Michał pisze, w końcu mi się udało złapać na live, a trafiłem na kanał Porancin.fantastyki, tak spodobały mi się treści, dostałem na dłużej, świetny content, cieszę się, że się podoba.
298:  Właśnie, właśnie nie piwo, no to ja wiem, jesteście rozczarowani.
301:  O, tablica ogłoszeniowa.
303:  Nie pijcie ze studni.
305:  W studni żaby się zalęgły, wody nie pijcie, chyba że wam żabie gówno nie wadzi.
311:  Pierwszy raz, kiedy padło słowo gówno na czacie.
313:  A nie, w dwóch typów podcast prosili, żebym częściej mówił dupa.
317:  Dupa.
318:  Wróg nie śpi.
319:  Dobrzy ludzie, wróg nie śpi.
321:  To już wiemy.
321:  Czarni rozbili obozy po drugiej stronie rzeki.
323:  Nasi żołnierze będą bronić do ostatniej strzały i kropli krwi, ale wy musicie być gotowi służyć ojczyźnie.
328:  O Redanie!
329:  Można walczyć nie tylko żelazem, ale i czujnym okiem i uchem.
332:  Aaa!
333:  Donosiki!
334:  Też lubimy to w szkole.
336:  Prze to jeśli zobaczycie wedle wsi kogoś nieoznanego, kto w krzakach się skrywa albo usłyszycie, że ktoś z dziwnym akcentem mówi, zaraz posiedzicie umyślnego do najbliższego posterunku.
344:  To mi przypomina, miałem praktyki pedagogiczne w szkole podstawowej i przyszedł do mnie taki typowy skarżypyta.
350:  No i mówi... No wiadomo, skarga, tak, na kogoś.
357:  Ja odpowiedziałem, nawet nie myśląc wtedy, nie dziwi mnie to i poszedłem dalej i zobaczyłem, że ten wyraz szoku na twarzy tego dzieciaka, które pierwszy raz była taka sytuacja, żeby nauczyciel lub ktoś w takiej funkcji zlał skargę.
372:  Do Magniew sprzeda wóz.
374:  Cór, przygotowanie do beleteyn.
377:  Tego nie chcemy, bo się kojarzy z bulerbyn.
379:  Córa mi się urodziła.
380:  Dobrze, same wspaniałe wiadomości.
383:  Wracam do czatów.
384:  Arcymak nie zdradził zielonej herbaty, ona tutaj czeka.
387:  Czeka, będzie.
390:  Sok pomarańczowy jest tylko dla największych spryciarzy.
393:  Piękne.
394:  Fabuła i pytajniczki dzisiaj.
396:  Tak robimy, Promet.
399:  Ja ci dam z dzichu, panie profesorze.
401:  Przepraszam za spóźnienie.
403:  Oj, z dzichu, witamy w Dronie Trybutariuszy.
406:  Ale wciąż odradzam mówić, panie profesorze.
409:  Jezus, miałeś praktyki w podstawówce.
411:  Dziwi się Martyna, to musi być piękna historia.
412:  To była straszna historia.
415:  Po imprezie przy banie pojawia się zbudowane spotkanie z magiem przy jednej z bram z Nowigradu.
425:  Nie jest on widoczny na płonącym stosie.
428:  Ciekawe.
430:  Ciekawe.
