Wszystkie drogi prowadzą na Skellige — WITCHER 3 Livestream #10
🔗 https://www.youtube.com/watch?v=sIOwatSu__w

2:  Witajcie.
4:  Dziesiąty odcinek, wielkie nieba naszej wiedźmińskiej Odysei, naszego tańca z wilkami, bo nie ze smokami i perypetii Geraltowskich przerwanych brutalnie ostatnio, za co dozgonnie przepraszam.
19:  bo nie lubię robić cliffhangerów, witam wszystkich na czacie, witam również serdecznie wszystkich, nawet Nadię, która życzy mi, żebym spadł z krzesła i dziękuję przy okazji za 20 tysięcy subów, to jest niewiarygodna liczba, będziemy ją świętować, ale spokojnie, spokojnie, spokojnie, zrobimy live, będzie prawdopodobnie pod koniec września albo z początkiem października.
42:  Teraz Wiedźmin, teraz Wiedźmin.
46:  Jednak znalezienie mnie nie było proste, albowiem jak dowiedział się Wiedźmin, zadarłem z szefami nowych... Powódź na czacie, ta Raelu zgadza się, skumbrie w tomacie pstrąg.
56:  Geralt odkrył w końcu, że trafiłem do lochu w straży świątynnej.
60:  Wspólnie z przyjaciółmi, Geralt zdołał w końcu uwolnić mnie.
63:  Zobaczymy, ile razy zginiemy.
65:  Tak, może być z tym różnie, jak zawsze.
77:  Witam Dżimiego Jakuba, Zgredka, Erina, Orje, Stacha, Wileda, Zgredka, wszystkich trybutariuszy, wszystkich pozostałych gromadzących się.
85:  Pamiętacie, co się stało?
86:  Straszna rzecz się stała ostatnio, to znaczy Bryszczilla została zaatakowana i straciła
92:  zdolność śpiewu.
93:  Swoją drogą, nie jest to rzecz, która jest później wyjaśniona w jakikolwiek sposób, niestety, jak ustaliliśmy na czacie, więc pozostaje nam zemścić się na wszystkich tych, którzy jej to zrobili.
102:  Na razie musimy zbadać zaułówek, w którym Priscilla została okaleczona.
107:  Geralt ma przepiękne okulary, to prawda.
109:  Geralt teraz się zmienia w Mrocznego Magistra.
112:  Czy ja... czy ja dobrze idę?
115:  Jak wiadomo, największym wrogiem, oprócz wilków, jest geografia, topografia.
125:  Na Dzyce Południcy większość ciebie uchłaniasz niż ze mnie.
140:  Na Cyce Południcy.
142:  W innej powieści Andrzeja Sapkowskiego była wersja na Cyce Świętej Agaty.
147:  Witamy godzia w gronie trybutariuszy.
149:  Możesz użyć mrowia jamniczych emoji od teraz.
153:  Dawid pisze, że teraz nie będzie śmierci od wilków, tylko od wampirów, syren i drabin.
157:  Tak, to prawda.
158:  To prawda.
160:  Bo właśnie, plan jest taki, żeby dzisiaj, jak skończymy te questy, które mamy, dla wszystkich przybywających nowo,
167:  W zasadzie, jeżeli chodzi o główne questy, mamy je za obowiązku z powyższym.
171:  Kończymy drobne rzeczy w Nowigradzie, nie ma już tego tak wiele.
175:  I jak je skończymy, to przypuszczam, że do godzinki wyruszymy na Skellige.
179:  Zachowuj się przy błędu.
183:  Tak jest, mścimy się Taraelu.
186:  Dammas Kronweibs, absolutnie.
188:  Kazukan Kazakit!
190:  Nie ma takiej okazji, na której krzyczenie o krzyków bojowych Dawii z Warhammera nie byłoby dobre i fortunne.
198:  Czy my wreszcie dojdziemy do tego załuka, czy nigdy?
201:  Geralt nawet z tego wszystkiego zeskoczył, nie wiedząc, że to jest śmiertelne niebezpieczeństwo.
210:  Czy to jest ten załuek?
212:  Myślicie, że to jest ten załuek?
216:  To nie brzmi jak ten zaułek.
217:  To brzmi jak wnętrze murów obronnych, do których kiedyś wleźliśmy.
223:  Chyba, że tutaj jest jakaś drabina.
224:  Nie, nie ma drabiny.
227:  Zaułku.
228:  Chcecie.
230:  Zaułek brzmi jak coś, co powinno być tutaj.
238:  Szarlotka z lodami.
239:  Wielki nie ma.
240:  Witam Bartka.
241:  Witam Dada Dariusza.
243:  Już zgubiony!
244:  Dobry początek!
244:  To prawda!
245:  To prawda!
247:  Nie no, moi drodzy... Wszystkie drogi prowadzą do Mahakamu.
250:  Nieprawda, na Skellige.
251:  Pralnia Westpuli.
252:  Wypierzemy ci wszystko prócz kieszeni.
254:  Zostaw sobie pantalony dziś, a jutro odbierz czyste.
257:  Nie no, moi drodzy, to musi być tutaj.
262:  Kropki mnie okłamały, mówicie.
264:  No dlaczego mnie to kompletnie nie dziwi?
271:  Okej, czyli to będzie w jakichś wstrętnych i obrzydliwych podzi... Geralt, jak ty teraz zginiesz, to się to źle skończy.
281:  Wszystkie drogi prowadzą do karczmy, aby się nawalić.
283:  Bardzo mi się podoba ta korekta.
286:  Turniej Gwinta w Passiflorze?
288:  Co wy, musimy do tego mieć lepszą katalię.
290:  Stąd Skellige.
292:  Kiedy Geralt prał swoje pantalony.
297:  Poproszę o inny zestaw pytań.
304:  Proszę, jak klimatycznie.
306:  Podziemia.
307:  Nie wiadomo, co z nich znajdziemy.
309:  Nie wiadomo.
311:  Być może będą to utopcy, a być może będzie to po prostu Objective, do którego z trudem staramy się...
321:  Co?!
326:  Nie żartujcie nawet.
328:  Czy ja naprawdę przeszedłem przez podziemia po to, żeby z powrotem wrócić do Nowigradu?
335:  Minimapa Redów.
337:  Wspaniałości.
338:  Dzień dobry, Basiu.
339:  Dzień dobry, wszyscy przybywający.
342:  Co uważam o zespole muzycznym Fallout Boy?
344:  Jeżeli chodzi o muzykę, słucham głównie muzyki z gier wideo, więc nie wyciągniecie ze mnie wiele informacji.
354:  Dobra.
361:  Świszcząca Zocha?
364:  Zochot, a czym ty świszczysz?
366:  Aaa!
368:  Kazanie zatroskanego.
370:  Pomnijcie, dobrzy ludzie, że światło przeze ogień rzucane, każdy mrok rozproszy, każdy kłamstwo objawi, każdego niegodziwca wskaże.
379:  Nie umkną przed jego światłem nawet dopplery, co kształt zmieniają.
383:  Nie umkną wiedźmy i czarownice, które prostym ludziom w umysłach bełtać pragną.
388:  Nie umkną ladacznice, które wdziękami swymi oczy mydlą, minąć mamią.
393:  Porzućcie wtedy zgubna, niemoralne, magiczne arkana!
396:  Działo swe skromne!
397:  Mowy nie ma!
398:  Nie porzucamy żadnych magicznych arkanów!
403:  Zobaczymy, co zrobi?
404:  Hahaha!
405:  Bardzo dobre!
406:  Bardzo dobra supozycja!
408:  Cóż może zrobić Magus Ognia?
413:  Soundtrack z Bloodborne'a i Oblivion'a absolutnie popieram wspaniałości.
417:  Soundtrack z Souls'ów jest również cudowny.
419:  Myślisz, że i mnie oprawisz?
421:  Takiego zboczeńcu!
423:  Dziewki potrafią się bić, o!
425:  Spokojnie, nie zrobi ci krzywdy.
427:  Co tu robisz?
428:  Zemsty szukam.
430:  No co się gapisz?
431:  Nie słyszałeś, że zabójca zawsze wraca na miejsce z babami?
433:  O, cieszę się, Łukazu, że popijasz New York, ja też.
436:  To zapiliśmy się z braciszkami, żeby go powitać.
438:  Za pryszczirę.
440:  Prawie ją zamęczył, słuchaj, syn.
443:  Wiem, przyszedłem tu, bo szukam jego śladów i ludzi, którzy mogą coś wiedzieć.
447:  Ja tam niewiele wiem, ale co wiem, to powiem.
451:  Dziękuję, Krataku, za trybut.
454:  Szanowny Arcymagosie, co myślisz na temat poezji śpiewanej Pawła Mikołajówa, ponieważ ledwo umiem go przeczytać.
461:  To już znak, że go nie znam, ale spróbuję poznać, chociaż z poezją śpiewaną miałem niewiele wspólnego.
467:  Jej problem polega na tym, że zaczyna się od słowa poezja.
472:  Priscilla była twoją przyjaciółką?
473:  Przyjaciółką?
474:  Nie, ale widziała we mnie więcej niż tylko głupią kurwę, a to już coś.
493:  To jest ten moment, kiedy muzyka kompletnie nie pasuje do tematu rozmowy!
503:  Chciałam skończyć z burdelami.
507:  Nie, w ogóle to nie pasuje.
508:  Wiesz, inne aktory się bały, bo tam jakieś żarty z Wiecznego Ognia były.
513:  Świszcząca Zocha na scenie, wyobrażasz to sobie?
517:  No, ale koniec marzeń.
519:  Co sądzę o Sex Education Grabka?
521:  Oglądam z zachwytem.
522:  Można mieć gorszą robotę.
524:  Przynajmniej tak sobie mówię.
528:  Trzeci sezon, przepraszam, który wyszedł wczoraj, zaczyna się w taki sposób, że jeżeli specjaliści, edukatorzy z Ministerstwa Edukacji naszego zobaczą początkową scenę, w zasadzie zlepek scen wszystkich możliwych zachowań seksualnych, jakie są dostępne życiu człowieczemu, to prawdopodobnie dostaną palpitacji, następnie zaczną się modlić do wiecznego ognia.
