#229 Jak Nie Pozwolić Swojemu Wku*wowi Pójść Na Marne? Wiedźmin, Gra o Tron - dr Krzysztof M. Maj
🔗 https://www.youtube.com/watch?v=q4AycNpVEQg
PG (Przemysław Górczyk)
KMM (Krzysztof M. Maj)

0:  PG - Jak wybuchła wojna w Ukrainie, to ja nie mogłem oglądać filmów wojennych.
3:  PG - Miałem to samo, słuchaj.
4:  KMM - Ja nawet powiedziałem ludziom na streamach, słuchajcie, ja nie gram w gry, w których będę strzelał.
9:  KMM - Będziemy przechodzić pacyfistycznie.
12:  KMM - Ja nie mam imersji, nie jestem w stanie.
14:  KMM - I wiesz, masz takie badanie dotyczące agresji, ale równocześnie masz psychologa, który udzieli ci wywiadu dla Onetu i powie, że gry widowują agresję.
24:  KMM - To jest niesamowite osiągnięcie.
26:  KMM - Masz już publikację naukową.
27:  KMM - U nas studenci nie mają publikacji naukowej na doktoracie.
30:  KMM - Ja mam taki, nie no, na Oxfordzie nie mają na doktoracie.
32:  KMM - Jak to?
34:  KMM - I nagle, wiesz, odkrywasz przy okazji też, że w Polsce ten poziom nauki jest bardzo wysoki.
38:  KMM - Tylko co z tego, skoro nam nikt tego nie mówi?
41:  KMM - Początkowe recenzje Władcy Pierścieni dla tego, na które kiedyś natrafiłem w prasie starej, były strasznie negatywne.
47:  KMM - Ludzie mówili, że nie wiadomo dla kogo jest.
48:  KMM - To nie jest ani dla dzieci, ani dla dorosłych.
50:  KMM - Początkowe recenzje Władcy Pierścieni były negatywne?
53:  KMM - Tak, autentycznie.
54:  KMM - To jest niesamowite.
55:  KMM - Ludzie nie rozpoznali po prostu nowego gatunku, który Tolkien stworzył.
58:  KMM - On go opisał w latach trzydziestych, ale to, wiesz, to był wykład na Uniwersytecie Oksfordzkim, właśnie potem Drzewo i Liść.
63:  KMM - W ogóle myślę sobie, że my mamy mało czasu.
66:  KMM - Jest oczywiście grupa uprzywilejowanych ludzi, którzy zarabiają na tyle, że mogą sobie pozwolić woźnie na to, żeby myśleć o planie B, ale przeciętny Polak nie ma czasu, żeby myśleć o swoim planie B. On jest zakłótany w tej swojej pracy na etat,
79:  KMM - która wystarcza mu na spłatę kredytów i myśli sobie, boże, stracę tę pracę, to jest katastrofa, żona, dzieci, nie, szkoła, szkoła prywatna, przedszkole, to co się stanie wtedy i zgadza się na nadgodziny, na mobbing i całą resztę.
96:  PG - Siemanko, mam dla Was największy deal od Cambly w tym roku.
99:  PG - Jeśli dalej ktoś ma wątpliwości, czy uczyć się angielskiego, to polecam wpisać sobie kilka fraz w Google po polsku i po angielsku i porównać ilość wyników.
108:  PG - Różnica jest drastyczna.
109:  PG - Cambly to aplikacja do nauki angielskiego.
112:  PG - Możecie bukować lekcje 24 godziny na 7.
114:  PG - Rozmawiacie z native speakerami, czyli osobami, które od dziecka mówią w języku angielskim.
120:  PG - Możecie sobie wybrać jakiego akcentu chcecie się uczyć i z takim nauczycielem pracować.
125:  PG - W Cambly możecie korzystać z zajęć indywidualnych i zajęć w małych 2-3 osobowych grupach.
130:  PG - Z kodem PRZEMEK60 pierwsze 200 osób zgarnia minus 60 na plan roczny.
135:  PG - Z rabatem możecie zacząć od 49 zł miesięcznie dla lekcji grupowych.
140:  PG - Pełen dostęp do zajęć 1x1 i grupowych od 229 zł miesięcznie.
145:  PG - Dla osób słuchających www.cyamybyly.com Dobra, to tyle.
152:  PG - Uczcie się angielskiego.
153:  PG - Zarabiajcie w walutach lepiej stojących niż polski złoty.
156:  PG - Pozdro.
157:  KMM - Krzysztof M. Maj, cześć.
159:  KMM - Cześć, bardzo dziękuję za zaproszenie.
161:  PG - I zacznijmy od tego, że powiesz ludziom czym się zajmujesz.
164:  KMM - No więc na początku powiem może od tej strony, od której pewnie też mnie poznałeś, to znaczy naprowadzę kanał na YouTube pod własnym imieniem i nazwiskiem, czyli Krzysztof M. Maj, gdzie poruszam sprawy związane z grubsza, z edukacją, z kulturą, ale także sporo jest tam fantastyki i gier wideo.
180:  KMM - No i to mnie prowadzi do drugiej części i mojej głównej pracy, którą jest praca adiunkta, czyli równocześnie wykładowcy i naukowca na Wydziale Humanistycznym AGH, to jest Katedra Technologii Informacyjnych i Mediów.
