Co robić gdy szkoła nie uczy? | Krzysztof Maj
🔗 https://www.youtube.com/watch?v=7F60yx2Jv2s
KMM (Krzysztof M. Maj)
SP (Szymon Pękala, Szymon Mówi, Wojna Idei)

0:  SP - Hej!
1:  SP - Dziś ponownie rozmawiamy z Krzysztofem Majem o problemach polskiej edukacji.
5:  SP - Jeżeli ktoś Krzysztofa nie zna, to jest on wykładowcą oraz youtuberem, który na swoim kanale porusza m.in.
10:  SP - właśnie tematy związane ze szkolnictwem i edukacją.
12:  SP - Witaj Krzysztofie!
14:  KMM - Cześć, cześć, witajcie wszyscy.
16:  SP - I dzisiaj mamy trochę różnych tematów tak naprawdę, ale zaczniemy od czegoś, o czym oboje już nieco mówiliśmy na swoich kanałach, czyli od podręcznika do historii i teraźniejszości.
26:  SP - Miałem mówić podręcznika oficjalnego, ale chyba lepszym terminem byłby podręcznik rządowy, tak naprawdę to jest chyba lepsze określenie, bo okazuje się, że jest to, myślę, że nie przesadzę, jeśli powiem, że zaplanowany jako narzędzie indoktrynacji politycznej, a na pewno nie edukacji, prawda?
43:  SP - Więc jakie twoim zdaniem w ogóle będą skutki tego, że tak jawnie upolityczniony podręcznik na początku wprowadza się do tego nowego przedmiotu, on startuje tak naprawdę z takim podejściem już?
57:  KMM - Ja jestem mega zasmucony tym faktem, bo lata całe mówiłem, że to jest niesprawiedliwe, że historia i nauczanie historii się kończy jakoś tak, przynajmniej dla mojego pokolenia, na końcówce II wojny światowej potem się nie mówi o tym, co jest istotne w kontekście tego, co się dzieje dzisiaj, tu i teraz społecznie i politycznie, więc z jednej strony miałem gdzieś tam nadzieję, że to będzie dobre,
77:  KMM - ale potem jak przeczytałem fragmenty, które były w Białym Kruku prezentowane, potem jak zacząłem czytać recenzje, jak zobaczyłem, że zainteresował się wszystkim Artur Wójcik z Sigillium Authenticum, czyli gość, który baszował fantazmat Wielkiej Lechii, no to zaczęło się robić bardzo poważnie, bo tu się okazuje, że to nie tylko jest zły podręcznik,
94:  KMM - ale jeszcze jest to fatalna propaganda, bo też propaganda może być zrobiona inteligentnie, zwłaszcza w dzisiejszymi czasy, kiedy jesteśmy w stanie to robić znacznie skuteczniej i w bardziej perswazyjny sposób, wykorzystując multimedia itd.
109:  KMM - A tutaj, jak się okazuje, jest to taka tępa propaganda, która też
112:  KMM - to powiedzmy to robi strasznie złą robotę myśli konserwatywnej w Polsce.
117:  KMM - Więc wszyscy, którzy mogliby mieć jakiekolwiek nadzieję na to, że uda się krzewić jakieś tradycyjne czy uniwersalne wartości, mogą automatycznie te nadzieje pogrzebać, ponieważ ten podręcznik robi wszystko to, czego nie powinien zrobić absolutnie.
128:  KMM - Więc z mojej perspektywy jest to groźne po pierwsze z tego powodu, a po drugie z tego powodu, co każdy podręcznik, tzn.
134:  KMM - podręcznik zakłada, że wykładamy oficjalną, kanoniczną wiedzę, z którą ludzie się muszą zgodzić i muszą ją zaakceptować jako coś właśnie neutralnego, obiektywnego,
147:  KMM - niepodlegającego dyskusjom.
148:  KMM - W podręcznikach nie ma przypisów, nie ma bibliografii bardzo często, czyli nie ma takich typowych sposobów weryfikacji treści naukowych, popularnonaukowych, jak to się dzieje w naukach historycznych i w innych naukach humanistycznych.
160:  KMM - Więc w zasadzie nie ma sposobu nawet na to, żeby zweryfikować tę wiedzę.
164:  KMM - Jeżeli się próbuje nawet te cytaty, które są u Roszkowskiego przywołane, wpisać gdziekolwiek i znaleźć ich źródło, jest to ekstremalnie ciężkie.
171:  KMM - Właśnie dlatego, że miesza on bardzo często
173:  KMM - taką pop historię z własnymi przekonaniami, publicystyką i jakkolwiek w przypadku, nie wiem, Kodu Leonarda Da Vinci, Dana Browna możemy powiedzieć, okej, to jest proza, fikcja, możemy sobie na to pozwolić.
185:  KMM - Jeżeli to się dzieje w podręczniku, który właśnie ma być kanoniczną wykładnią,
189:  KMM - to się robi niebezpiecznie.
190:  KMM - I trzeci element, bardzo często, i to dużo recenzentów mówiło, profesor Rożkowski ma ambicje kaznodziejskie, a to sprawia, że jeszcze bardziej odchodzimy od tego bieguna naukowego, dydaktycznego, a przechodzimy do bieguna kaznodziejskiego i równocześnie takiego, który zakłada, że będziemy traktować autora podręcznika jako duchowego przewodnika, a to jest nadużycie roli, jaką ma profesor, nauczyciel,
219:  KMM - wykładowca akademicki czy badacz i uzurpowanie sobie roli takiej, jaką mieli przez lata całe w naszej cywilizacji kapłani.
227:  SP - Ja myślę, że ten ostatni punkt jest bardzo szczególnie istotny, bo cały podrecznik jest napisany właśnie bardziej jako esej, nie jako takie opowiadanie, że chodźcie dzieci, ja wam teraz opowiem bajkę, prawda, opowieść, czy jakkolwiek mówiąc.
