Co tam, panie, w Gilead? Recenzja 4. sezonu "Opowieści Podręcznej" || Gość: Krzysztof M. Maj
🔗 https://www.youtube.com/watch?v=YV3bciCrjR4
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  BFP - To co tam panie słychać w Gilead?
3:  BFP - Czyli będziemy gadali o czwartym sezonie Handmaid's Tale.
7:  BFP - Sezonie, który naszym zdaniem, bo już mamy co do tego zgodę, tchnął nowe życie w serial, na które wiele osób postawiło krzyżyk.
16:  BFP - Więc będziemy mówili trochę o tym świecie przedstawionym Gilead, który nas fascynuje od długiego czasu, bo to jest
23:  BFP - fenomenalnie skonstruowana najpierw przez Margaret Atwood, czyli pisarkę, autorkę książkowej wersji Handmaid's Tale dystopia, a później rozwinięta i poszerzona przez serial.
36:  KMM - A potem jeszcze przez samo Atwood w Testamentach, co nam tworzy takie ładne uniwersum rozwijające się.
43:  BFP - Które będzie także spin-offem serialowym, bo także powstaje niezależnie od Handmaid's Tale jako taki spin-off, niezależna historia
52:  BFP - Czy też nawet seria, bo to zobaczymy, czy będzie miała więcej niż jeden sezon.
57:  BFP - Będziemy trochę spoilowali, ale wszystkim tym z Was, którzy jeszcze nie widzieli czwartego sezonu Handmaid's Tale albo w ogóle nie oglądali Handmaid's Tale, damy znać, kiedy wejdziemy w sferę spoilerów.
68:  BFP - Także wtedy możecie przestać oglądać albo brnąć w to bagno na własną odpowiedzialność.
75:  KMM - I damy znać zanim zaczniemy spoilować, a nie po fakcie.
78:  BFP - Tak.
79:  BFP - Ale zanim zaczniemy, to ja chciałem poprosić o trzy minuty, żeby odnieść się do jednej dla mnie jakby orbity bez schematu pewnej sytuacji, która
94:  BFP - nie pozostawi mi nieobojętnym na długi czas.
97:  BFP - Mianowicie dwa dni temu dostałem powiadomienie z Patronite'a, że pojawiło się wsparcie, bo tak wciąż jestem na Patronite'cie, 1000 zł wsparcia miesięcznie i byłem przekonany, że to jest jakaś pomyłka.
114:  BFP - Napisałem do osoby, która mnie wsparła tą kwotą i ta osoba napisała, nie to nie jest pomyłka.
120:  BFP - To jest wsparcie, które chcę Ci udzielić.
124:  BFP - I sprawdziłem na Patronite, że ta osoba wpłaciła 12 tysięcy złotych na 12 miesięcy z góry.
134:  BFP - I tą osobą jest Dawid Nowakowski, który jest game developerem, game designerem, właściwie grafikiem 3D.
143:  BFP - Więc jakby operuje w branży, która mnie szczególnie interesuje i zadałem pytanie Dawidowi dlaczego.
149:  BFP - I odpowiedź, której udzielił mi była dla mnie bardzo poruszająca.
153:  BFP - Powiedział, bo uważam, że zasługujesz na wsparcie, bo podobają mi się twoje materiały i zawsze coś z nich wynoszę.
162:  BFP - Chcę tylko powiedzieć, że to wsparcie finansowe nie miałoby dla mnie znaczenia, gdyby nie te słowa.
168:  BFP - Gdyby nie słowa od człowieka, który siedzi w branży gier i który mówi, twoje materiały coś dla mnie znaczą.
175:  BFP - I gdyby nie wszyscy inni wspierający mnie od bardzo długiego czasu, włącznie z tobą Krzysztof.
183:  BFP - Masa osób, które, to naprawdę kwoty nie mają znaczenia, masa osób, które wierzą w to, co robię, czy teraz to, co robimy, kiedy mamy nawet wspólne materiały, osoby, które teraz nas oglądają, które coś wynoszą merytorycznie, intelektualnie, które
200:  BFP - Zabierają głos, które czasem są krytyczne wobec tego, co robię.
205:  BFP - Dziękuję wam wszystkim, bo to sprawia, że mi się chce.
207:  BFP - To sprawia, że pomimo, że mam niewielkie zasięgi i ilość wyświetleń w zasadzie nie zmieniła się od trzech lat, to takie pojedyncze głosy naprawdę mają dla mnie znaczenie.
220:  BFP - A taki czarny łabędź, jakby powiedział Nassim Taleb, który miał miejsce, czyli ta olbrzymia wpłata i słowa otuchy,
227:  BFP - Każą mi podziękować wszystkim tym białym łabędziom, czyli tym wszystkim osobom, które mnie oglądają, czy wspierają także mniejszymi kwotami niezależnie.
235:  BFP - Dziękuję Wam i obiecuję, że dam z siebie naprawdę wiele, żeby bez schematu
241:  BFP - było dobrym pretekstem do tego, żeby czasem poświęcić 15, a czasem 60 minut na wysłuchanie mnie, czy też nas w wolnej chwili.
250:  BFP - Dziękuję serdecznie i unoszę szklanki dla czarnego łabędzia Dawida Nowakowskiego i dla wszystkich białych łabędzi, czyli osób, które teraz nas słuchają, czy które wspierają bez schematu.
261:  KMM - Ja gratuluję i to astuję.
264:  BFP - Nie wiem, czy jest czego gratulować.
265:  BFP - To jest jakiś, powiedziałem, czarny łabędź.
268:  BFP - Sytuacja, której nie mogłeś się spodziewać.
271:  KMM - Ale może powinniśmy byli rzec praised be, bo przecież będziemy mówili o Gileadzie, będziemy mówili o okrutnej teokracji, która się tam rozgrywa.
281:  KMM - I o w gruncie rzeczy najbardziej przerażającym obrazie, które przyniosły kiedykolwiek dystopie feministyczne świata, który wydawałoby się, że jest futurystyczny, ale tak naprawdę jest na wskroś bliski rzeczywistości, która nas otacza.
295:  BFP - Tak, bo ty czasem używasz w kontekście Henmeisel takiego...
302:  BFP - pojęcia bez czas i bez miejsca.
307:  BFP - Nawiążę do tego mówiąc o tym sezonie Handmaid's Tale, czy w ogóle o Handmaid's Tale i to jak ten świat przedstawiony, czy jego projektanci, twórcy, a oryginalnie Margaret Atwood, ale jako że bardziej współczesiony jest ten świat 30 lat później po książce,
322:  BFP - To kilka pewnych zabiegów dotyczących tego bez miejsca i bez czasu jest niezwykle skutecznych.
329:  BFP - Ale żeby otworzyć nam drogę do tego czwartego sezonu, to ten serial był bardzo krytykowany od drugiego sezonu, a w szczególności przez trzeci sezon i na premierę trzech pierwszych odcinków czwartego sezonu został wdeptany w ziemię.
344:  BFP - Ja pamiętam, zanim zacząłem oglądać czwarty sezon, bo czekałem aż się zbierze komplet odcinków, dziesięciu, to zacząłem czytać pierwsze recenzje i byłem bardzo zaniepokojony.
357:  BFP - Od pewnego czasu recenzenci, czy nawet widzowie powtarzają, że jak to możliwe, że twórcom potrzeba było tyle odcinków, żeby powiedzieć tak mało.
366:  BFP - żeby w zasadzie stać w miejscu, czy też dreptać w miejscu, że to jest jakiś taki niekończący się cykl tortur i coraz bardziej wymyślnych sposobów znęcania się nad główną bohaterką i kobietami w tym świecie, które obserwujemy, ale które niewiele wnoszą z perspektywy rzeczywiście nie tylko przekazu, ale też pozunięcia akcji naprzód, jakby zmiany nowego rozdania.
388:  KMM - Też się trudno dziwić fanom, bo jest bardzo dużo teraz seriali, w których bohaterowie przywdziewają plot amo i w tej zbroi fabularnej są w stanie przetrwać absolutnie wszystko i po trzecim sezonie, w którym bohaterka podjęła tę nieracjonalną dla wielu decyzję zostania w opresywnym państwie, które ją torturowało,
406:  KMM - Fani mogli patrzeć na te pierwsze i recenzenci tak, że pierwsze odcinki czwartego sezonu na takie, no tak, znowu.
413:  KMM - Znowu jesteśmy w tym samym miejscu, znowu po raz kolejny przeżywamy te same przygody i znowu po raz kolejny będziemy doświadczać tych tortur, bo u głównej bohaterki, o których mówisz.
