Cyberpunk 2077: jest jak jest VS jak mogło być || Dyskusja Bez/Schematu
🔗 https://www.youtube.com/watch?v=XbH9VgGem-A
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)
MG (Marcin Giełzak)

0:  BFP - Znaczy panowie, no powiedzieć, że o Cyberpunk 2077 jest teraz głośno, to nie powiedzieć nic.
6:  BFP - I niekoniecznie w najlepszym świetle.
9:  BFP - I pomyślałem, z kim mogę pogadać o cyberpunku, jeżeli nie z ludźmi, którzy już ukończyli tę grę, a ja jeszcze nie, i którzy reprezentują dwa zupełnie różne nurty w podejściu do tej gry.
19:  BFP - Bo Krzysztof, którego witam po raz pierwszy na bez schematu, mój serdeczny kumpel,
23:  BFP - który zajmuje się fantastyką i światotwórstwem od strony teoretycznej, akademickiej, a powoli także praktycznej i którego książkę bardzo polecam.
32:  BFP - Bardzo Ci dziękuję, Światotwórstwo w fantastyce, ale nie dlatego zaprosiłem Cię do odcinka.
38:  BFP - Reprezentuje ten nurt, a bo Krzysztof też prowadzi swojego vloga.
42:  BFP - który jedzie po cyberpunku jak walec.
45:  BFP - Ja myślę, że Krzysztof nie będzie dzisiaj oszczędzał kompletnie cyberpunku.
49:  BFP - Natomiast Marcin, mój serdeczny przyjaciel, z którym zakładałem bez schematu, jest także tą osobą, która w ogóle wprowadziła mnie w świat cyberpunku.
56:  BFP - Marcin polecał mi książki mojego kochanego pisarza Williama Gibsona i Marcin jest zachwycony cyberpunkiem.
65:  BFP - I ja jestem gdzieś pomiędzy wami.
66:  BFP - To znaczy, wprost mówię, to jest gra, którą uważam za grę bardzo dobrą w porywach do świetnej.
73:  BFP - A co nie zmienia faktu, że nie spełniłem moich oczekiwań i że jest dużo do powiedzenia także na temat samej sytuacji, w której postawił się CD Projekt Red.
81:  BFP - I o tym też dzisiaj porozmawiamy.
82:  BFP - Porozmawiamy o designie mechaniki systemów w tej grze, czyli de facto samym gameplayu, o świecie przedstawionym.
91:  BFP - o scenariuszu, o zadaniach pobocznych i questach, o postaciach i wreszcie o technikaliach, wizualiach, muzyce, udźwiękowieniu i nie da się uniknąć także tematu bugów.
101:  BFP - Będziemy unikali spoilerów, to też jest ważne, szczególnie jak przejdziemy do kwestii scenariuszowych.
105:  BFP - Natomiast chciałem zacząć od tego, że jak ja zacząłem grać w tę grę, moje pierwsze wrażenie nie było pozytywne.
113:  BFP - Nie było skrajnie negatywne, ale trafiłem na ścianę czy na mur, który
120:  BFP - którego nie mogłem przejść.
122:  BFP - Dopiero do 12 godziny, a dokładnie do misji, która dzieje się w hotelu i która uruchamia konkretną sekwencję zdarzeń, to znaczy pojawia się Keanu Reeves, czyli Johnny Silverhand.
132:  BFP - Bohater zostaje postawiony w bardzo ciekawej sytuacji.
136:  BFP - Tak naprawdę taki incydent czy zdarzenie, które inicjuje właściwą fabułę, to wtedy zaczęło się robić dla mnie ciekawie.
143:  BFP - Ale to była dwunasta godzina.
144:  BFP - Ja dopiero w dwunastej godzinie zobaczyłem ekran główny, ekran tytułowy Cyberpunk 2077.
150:  BFP - Ale zanim to nastąpiło, to miałem poważny problem z tym, żeby przemóc się i grać dalej.
155:  BFP - I zastanawiałem się, co zawiodło.
157:  BFP - I powiedziałbym, że dwie rzeczy.
158:  BFP - Po pierwsze, brak czegoś, co bym nazwał huk.
162:  BFP - Brak jakiegoś lepu, który przyssałby mnie do tej gry.
166:  BFP - Dokładnie tak jak ta misja w hotelu czy Johnny Silverhand, bo ta gra próbowała mi powiedzieć wszystko naraz.
172:  BFP - Miałem takie wrażenie, że mówi tu jest miasto, tu są tacy bohaterowie, tu są takie gangi, tu możesz robić to, tu możesz się skradać, tu możesz strzelać, tu możesz walczyć kataną, tu masz takie wszczepy.
182:  BFP - Bardzo dużo próbowała powiedzieć naraz, nie koncentrując się de facto na niczym.
187:  BFP - I po prostu prześlizgiwała się po powierzchni, nie mówiąc niczego ciekawego o bohaterze, o świecie, o relacji między bohaterem a konkretnymi postaciami, o jakichś charakterystycznych wyróżnikach w rozgrywce tego, co będę robił.
200:  BFP - nie potrafiła przyciągnąć mojej uwagi, chociaż wiedziałem, że jest jakby ogrom możliwości, które będę przed sobą miał.
207:  BFP - I z tym się wiąże drugi problem, który miałem.
209:  BFP - To jest przeładowanie poznawcze.
211:  BFP - Jak pierwszy raz zobaczyłem mapę i wszystkie znaczniki, które na niej są, to wstałem i powiedziałem, nie, nie wiem czy ja chcę w to grać.
219:  BFP - Bo zobaczyłem, to nie chodzi o to, że ja nie lubię jak jest dużo contentu w grze, ale ja nie przyzwyczaiłem się w grach CD Projektu do tego, że jestem przeładowany dużą ilością contentu.
230:  BFP - Przyzwyczaiłem się do tego, że jest jakość nad ilość.
234:  BFP - I jak szybko się okazało, większość z tych znaczników to są na przykład znaczniki, gdzie ja mogę kurwa kupić samochód, które mają dokładnie ten sam kolor i to samo oznaczenie, co ciekawe questy.
244:  BFP - I teraz designerzy rozwiązują to zazwyczaj w ciekawy sposób.
247:  BFP - Na przykład dopiero po jakimś czasie wprowadzają postać, która otwiera przede mną szereg questów danego typu.
253:  BFP - Albo ja uzyskuję jakąś umiejętność, która pozwala mi wykonywać zadania pewnego typu.
258:  BFP - A CD Projekt Red postanowił zrzucić na mnie to wszystko.
261:  BFP - I w efekcie...
262:  BFP - Ani nie miałem ciekawego hook na początku, który by mnie wciągnął i wykonywałem te niepotrzebne aktywności oddalając się od tego, co faktycznie by mnie wciągnęło do gry, czyli misji w hotelu.
272:  BFP - Jestem w stanie sobie wyobrazić, że jest bardzo wielu graczy, którzy spędzą 20-30 godzin w tym świecie i będą mówili no jest takie, no fajne.
280:  BFP - Tylko dlatego, że nie wybrali misji fabularnej, która powinna się pojawić wcześniej.
283:  BFP - Gracz powinien zostać nawet, jeżeli nie zmuszony, to bardzo silnie zachęcony do tego, żeby się jej podjąć.
289:  BFP - I
290:  BFP - To było dla mnie bardzo dziwne rozwiązanie designerskie, a nawet reżyserskie.
294:  BFP - Bo wystarczyło, że przemogłem się, dotarłem do tej misji, uruchomiła się sekwencja zdarzeń, uruchomiły się nowe możliwości i gra zaczęła być bardzo dobra w porywach do świetnej.
304:  BFP - I ten okres takiej inercji i niezdecydowania minął bezpowrotnie, ale mogło to nastąpić szybciej.
311:  BFP - Takie było moje pierwsze wrażenie, kiedy sięgnąłem po grę, na którą czekałem 8 lat.
315:  BFP - Jakie było wasze pierwsze wrażenie, kiedy sięgnęliście po grę, na którą tak długo się czekało i mając przecież świetne wspomnienia po Wiedźminie 3?
322:  BFP - Marcin.
325:  MG - Ja podszedłem do tej gry wbrew pozorom bardzo po buddyjsku.
328:  MG - Przyszedłem bez oczekiwań, odszedłem bez oczekiwań i cieszyłem się tym, co było pomiędzy.
334:  MG - Mi ta gra dała bardzo dużo przyjemności i przez duży ten czas to było guilty pleasure.
340:  MG - Od samego początku miałem to wrażenie, że to nie będzie to, czego ludzie się spodziewali, kiedy zobaczyli ten zwiastun w 2018 roku.
350:  MG - To będzie dużo bardziej rozrywkowa gra, w której chodzi o to, żeby
354:  MG - zdobywać fajne ubrania, żeby kupować fajne samochody, żeby postrzelać, żeby pobiegać z elektryczną kataną w kuloodpornym garniturze, a nie będzie chodziło o to, że dostaniemy tutaj jakiś niesamowity świat przedstawiony, jakąś głębię fabularną.
369:  MG - I w związku z tym, że moje oczekiwania nie były w tej mierze bardzo wywindowane, toteż nie zostały bardzo zawiedzione.
