Cyberpunk: Edgerunners DOWIOZŁO! | Dyskusja ze spoilerami
🔗 https://www.youtube.com/watch?v=Yz8qP7bMYiU
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

1:  BFP - Dobra.
4:  BFP - No, ale tak jak mówię, Castlevania, Arkane, teraz Cyberpunk Adranis.
9:  BFP - O, już jesteśmy live!
10:  BFP - Zobacz, zrobiłem coś dziwnego, że teraz jak klikam, to jesteśmy od razu live.
15:  BFP - Szanowni, bardzo nam miło, że dzisiaj do nas dołączacie do tej bardzo spontanicznej dyskusji, którą skleciliśmy na prędce, ale chyba tak dużo w nas emocji i przemyśleń po kolejnej znakomitej adaptacji gry wideo, że musimy
31:  KMM - Tak.
33:  KMM - Od razu się wetnę w słowo, to znaczy dopowiem, że nie tylko adaptacji, ale historii oryginalnej osadzonej w świecie i pierwszy raz zobaczyłem, pierwszy autentycznie, na planszy otwierającej serial, nie tylko based on Cyberpunk 2077, bo to chodzi oczywiście o odniesienie do IP, czyli Intellectual Property, własności, marki, franczyzy CD Projektu Red, ale także osadzone w świecie wykreowanym przez Mike'a Pondsmitha.
61:  KMM - i ten gest jest istotny i znaczący.
64:  BFP - Tak, ja powiedziałem w swojej recenzji, która poszła dosłownie 30 minut temu, głównie po to, żeby napędzać wszystkich zainteresowanych pogłębioną dyskusją tutaj do nas, że to jest wspaniały amalgamat
81:  BFP - Właściwie wynik zderzenia ze sobą różnych wrażliwości, stylów, gatunków i światów.
87:  BFP - Światów dosłownie w rozumieniu worldbuildingu i fikcji.
90:  BFP - Mianowicie japońskie studio, anime i w tym się specjalizuje i robi to znakomicie.
98:  BFP - Mamy polskiego scenarzystę Bartosz Sztygar, dobrze mówię?
103:  BFP - Chyba tak, Bartosz Sztygar,
105:  BFP - który jest właśnie zjadł zęby na tym uniwersum.
109:  BFP - I to uniwersum stworzone przez Mike'a Pondsmitha.
112:  BFP - I to jest historia osadzona w uniwersum, które powstało jako gra papierowa RPG, ale de facto jest to odwzorowanie świata, który znamy z gry.
120:  BFP - Czyli mamy medium, które odwołuje się do medium, które odwołuje się do medium.
124:  BFP - Rekurencję.
126:  KMM - Rafał Jaki, to powiem, to był ten główny pisarz, który stał za tym.
131:  BFP - A Bartosz Sztybor, dziękuję Szymonie za poprawienie mnie.
135:  BFP - Bartosz Sztybor był współscenarzystą oraz producentem, ale to jest facet, który wydał kilka albumów, kilka komiksów i kilka książek osadzonych w świecie cyberpunka.
148:  BFP - Więc facet naprawdę ma pojęcie o tym uniwersum i dlatego...
152:  BFP - Tak dobrze zabezpieczono te tyły, tak bym powiedział, jeżeli chodzi o lore, jeżeli chodzi o przeniesienie tego świata.
159:  BFP - Kurczę, jest tyle do rozpakowania i oczywiście wszystkich z was, którzy tutaj teraz do nas dołączyli, przestrzegam, będziemy rozmawiali ze spoilerami, bo tylko wtedy ma to sens.
169:  KMM - Nie ma wyjścia.
170:  KMM - Nasze recenzje obydwie są bezspoilerowe i koncentrujemy się na zupełnie innych kwestiach, więc zachęcam Was serdecznie, żebyście obejrzeli recenzję Filipa na Bez Schematu.
179:  KMM - Jak chcecie też, to możecie moją u mnie.
182:  KMM - Ja mówię więcej na temat transminalności, światotwórstwa, no i na temat odniesień nieunikniennych u mnie do Rings of Power, które robi źle, dokładnie to, co Edge Runner robi świetnie.
193:  BFP - Tak, tak.
194:  BFP - Zacznę od tego, bo ja swoją recenzję podzieliłem na te trzy części.
199:  BFP - Świat, historia i styl.
202:  BFP - I zacznijmy od świata.
205:  BFP - Dla mnie nie ma usprawiedliwienia w sytuacji, w której zwracasz się do fanów i mówisz tak, to jest bezpośrednio wywiedzione z dzieła, które znacie w innym medium.
218:  BFP - czy to może być książka i adaptacja różnego rodzaju zapisków, które pozostały po autorze, czy jakichś porozrzucanych opowiadań, do których ma się dostęp, to musisz, jak to się mówi w języku angielskim, przepraszam, że to znowu zrobię, nuts and bolts się mówi, ale bym powiedział ładniej po polsku... Orzechy i kule.
242:  BFP - Węzły i tak.
245:  BFP - Masz jakiś poziom komórkowy.
247:  BFP - Masz jakąś tkankę i musisz naprawdę poznać ten organizm i odtworzyć go idealnie jako coś, na czym będziesz tworzyć swoją historię w innym medium.
257:  BFP - I to, co zrobili ludzie ze studia Trigger razem ze swoimi polskimi przyjaciółmi, którzy odpowiadali za grę również, to jest ewenement.
268:  BFP - Ja widziałem tam lokacje, które znam z gry.
271:  BFP - Ja widziałem elementy interfejsu, jak włączali komunikatory, które są wycięte po prostu z HUDu Cyberpunk 2077.
279:  BFP - Ja widziałem klub Afterlife, który był otworzony jeden do jednego, przestrzennie dokładnie tak, jak znam go z gry.
284:  KMM - Mapa, postaci, które się tam pojawiają, niektóre... Skrzyżowania.
288:  KMM - Co najmniej dwóch fikserów poznałem, tych, których kojarzyłem z gry.
292:  KMM - Skrzyżowania, absolutnie.
293:  KMM - Plac, przy którym jest...
296:  KMM - Night City Police Department i oczywiście też Metro, które w grze nie działa wprawdzie, ale tutaj zostało przedstawione i podobały mi się też mrugnięcia okiem liczne do fanów, w którymś momencie ktoś mi w komentarzach zwrócił uwagę, że ktoś skomentował w serialu i że policja się nagle pojawia za naszymi plecami, więc jest sporo takich rzeczy, które widać, że powstały
320:  KMM - ręką inteligentnego scenarzysty, który zdawał sobie sprawę z tego, czym był Cyberpunk 2077 i postanowili pokazać, hej, to my pokażemy wam talent nasz w serialu, który nie ma takiej ograniczeń jak gra.
334:  BFP - Nawet Mateusz napisał teraz na czatach, że pokój Davida jest pokojem V. Tak.
339:  KMM - Ale co więcej, to jest, wydaje mi się, ten sam mega blok, bo poznawałem też tam tę klatkę schodową i no rewelacja absolutnie, jeżeli chodzi o te elementy świata, które zostały przeszczepione, jest tego bardzo dużo.
351:  BFP - I jeszcze Juliusz napisał, albo gdy Lucy lub Kiwi hakują, to hakują tym samym systemem, jaki jest zaimplementowany w grze.
358:  BFP - I niech to wybrzmi, niech to wybrzmi.
362:  BFP - Nie chcę czynić za dużo dzisiaj analogii do Rings of Power, bo już nas ludzie za to krytykują, ale warto to robić, bo to jest benchmark.
370:  BFP - Benchmark może być negatywny, może być pozytywny.
373:  BFP - I trzeba jakkolwiek odnosić adaptację do adaptacji, żeby wiedzieć, czy są udane, czy nie.
378:  BFP - I o ile tam
380:  BFP - Dosłownie rozsierdzono fanów.
382:  BFP - Tak tutaj nie tylko nie rozsierdzono fanów, tylko dano im coś więcej.
388:  BFP - Sprawiono, że kiedy odpalili ten serial i znają grę, to poczuli się jak w domu.
393:  KMM - To jest kwestia umiejętnego fanservice'u.
395:  KMM - Umiejętny fanservice sprawi, że ktoś kto nie zna materiału źródłowego czy jakiegokolwiek innego dobrze osadzonego już w marce,
403:  KMM - będzie i tak czerpał przyjemność z dzieła zależnego, natomiast fan będzie czerpał tę przyjemność w dwójnasób albo w trójnasób, a jak wiadomo powszechnie na fanach wszystkim absolutnie zależy, bo fan najczęściej wyda dodatkowe pieniądze,
418:  KMM - kupi wersję kolekcjonerską, kupi koszulkę, zaangażuje się jakoś w tworzenie sam treści zależnych, będzie promował za darmo dany produkt i nie oszukujmy się, każdemu Amazonowi także zależy na tym, żeby mieć gigantyczny fanbase.
432:  KMM - W związku z powyższym, jeżeli ten fanbase się antagonizuje, zapewne też z uwagi na to, że ktoś poczytuje w tym konkretne zyski.
440:  KMM - Tutaj takiego antagonizmu nie widzę, a jest znacząca sytuacja, bo pamiętajmy, Cyberpunk 2077
447:  KMM - nie jest ukochanym produktem przez fanów studia CD Projektu Red.
451:  KMM - Wiedźmin jest.
452:  KMM - Więc jeżeli tutaj się fanservice udał, oznacza to, że to było zrobione bardzo dobrze i bardzo umiejętnie.
458:  BFP - Tak, a ja jeszcze zaznaczę, że nie widziałem do tej pory takiego dialogu między pierwowzorem a adaptacją.
467:  BFP - I wciąż nawiązuję do tych lokacji, do tych rekwizytów, do tych ubiorów, do tych, jak wyglądają przedstawiciele poszczególnych frakcji, jak na przykład Maelstrom, gdzie widzę dosłownie te modele, które znam z gry.
476:  BFP - Widzę te same kurtki, widzę te same wszczepy, obiekty, nawet cholerna wanna, która pojawia się bodajże w szóstym odcinku, jest identyczna jak wanna, do której dociera Trauma Team w jednym z kluczowych punktów napędzających fabułę w grze Cyberpunk.
493:  KMM - Ale są pewne znaczące różnice i one są dla mnie istotne z uwagi na to, że wskazywałem na te braki jak oceniałem Cyberpunka jako grę i wypowiadałem się na niej temat wiele razy i na vlogu i już naukowo też mi się zdarzyło.
508:  KMM - Mianowicie w Cyberpunku 2077 nie było frakcji, one były przeźroczyste, one były jako element tła.
514:  KMM - Natomiast tutaj te frakcje są i są co więcej umiejętnie wprowadzone, wiadomo kto jest kim.
521:  KMM - Jest to robione bardzo szybko, ale bardzo oszczędnie i zarazem skutecznie narracyjnie.
526:  KMM - I co więcej, widz nie gubi się w tym wszystkim, ale odnajduje właśnie te odniesienia, które są bardzo znaczące i bardzo istotne.
535:  KMM - Więc wydaje mi się, że to, że wiemy kim jest Maelstorm i wiemy kim są inne gangi, to jest zasługa właśnie tego.
541:  KMM - Ja tego kompletnie z gry nie pamiętałem, przyznaję wprost.
544:  KMM - Nie orientowałem się w tym.
546:  KMM - I tutaj również mamy o wiele lepiej zarysowane te szczeble zależności korporacyjnych, a także fakt, który był też podnoszony przez fanów, że jeżeli w Night City zaczniemy rozrabiać, jesteśmy cyberpsycholem, to przyjeżdża nie policja, Night City Police Department,
563:  KMM - tylko przyjeżdża MaxTag, czyli najbardziej litarna, augmentowana również w szczepkami cybernetycznymi jednostka, która przyjeżdża, no i oni zamiatają.
572:  KMM - Znaczy nawet najsilniejszy, najlepiej augmentowany cyberpsykul nie jest sobie w stanie z nimi poradzić.
578:  KMM - Tak samo Trauma Team.
579:  KMM - Przepięknie zarysowane to, że sorry, jeżeli nie masz najlepszego pakietu Medicoveru,
586:  KMM - no to będziesz w najgorszym szpitalu obskurnym i paskudnym.
589:  KMM - A jeżeli masz platynowy pakiet Medicoveru, a nie jakiś brudny NFZ, no to wtedy inna rozmowa, to wtedy jeszcze przyjedzie po ciebie oddział, który cię obroni.
599:  BFP - Piękne.
600:  BFP - Tak, i podejmuję ten wątek od ciebie, tylko jeszcze zrobię taki krótki off-top, bo właśnie zauważyłem, że zrobiłem taką notatkę.
608:  BFP - Zapisałem sobie, żeby powiedzieć, że ta gra, ta gra właśnie, ten serial, ten serial tak pięknie odwzorowuje to, co znamy z gry, że w zasadzie można było oszczędzić pieniądze i zrobić go w całości, opowiedzieć tę historię na silniku gry.
622:  BFP - Ale nie dałoby się, bo jest zepsuty.
623:  BFP - Badum!
624:  BFP - Ha!
626:  KMM - Ale może teraz, jak CDP wykupił prawa do Unreal Engine 5, to doczekamy się historii cyberpunkowych więcej, bo właśnie to jest ta magia dobrego osadzenia historii w świecie.
638:  KMM - Jeżeli jest dobrze opowiedziana historia, zobaczcie, ona się kończy, tak?
641:  KMM - I co mówi Krzysztof, co mówi Filip?
643:  KMM - Nie, o, dajcie drugi sezon, znaczy też byłoby fajnie, ale nie musimy, ponieważ ta historia jest kompletna, jest domknięta.
649:  KMM - Mówimy ze spoilerami, w związku z powyższym
651:  KMM - Stało się tam to, co się dzieje w każdej historii dobrej cyberpunkowej.
655:  KMM - To znaczy główny bohater poniósł klęskę, zszedł punkowo ze sceny w największy sposób.
660:  KMM - Ale poczekaj jeszcze z tym, bo do tego zaraz przyjdziemy.
663:  BFP - Nie, dla mnie to w ogóle była analogia wszystkiego, co się dzieje w grze cyberpunku, lepiej opowiedziane.
667:  KMM - Tak, i nie może być drugiej części, ale kto chce, chce więcej tego świata, chce wrócić do tej rzeczywistości, chce, żeby ten świat się dalej rozwijał.
675:  KMM - Wszystko mi jedno, w jakim medium.
677:  BFP - Pomimo tego przeniesienia jeden do jeden tego świata, to zgodzę się z tobą, to jest ten wątek, który dalej chciałem od ciebie przejąć, że są rzeczy, które wyszły im lepiej światotwórczo niż w grze.
687:  BFP - Ty powiedziałeś o frakcjach, których zastosowanie widzisz w większym stopniu.
692:  BFP - Ja bym powiedział co innego, ja bym powiedział, ja tu wreszcie czuję czym są megakorporacje.
697:  BFP - I bardzo mi się podoba ten cytat, nie pamiętam do końca, ktoś z drużyny jego wypowiada All roads lead to megacorps.
708:  BFP - Wszystkie drogi prowadzą do tych megakorporacji i tak rzeczywiście jest.
712:  BFP - Mamy Tanaka, Arasaka, Militech, wszystko oni rozgrywają bohaterów jak pionki na szachownicy.
719:  BFP - I to co powiedziałeś nawet o tej służbie zdrowia, o tym pakiecie, o tym...
725:  BFP - Trauma Team, który się pojawia, który jeszcze jest w stanie uratować tych najbogatszych, pomimo obrażeń, które nie ponoszą, póki nie zostaną tak zwani flatlined, to wszystko jest pięknie rozegrane tutaj przy jednoczesnym, i to współczuje wszystkim, którzy nie grali w Cyberpunka, ani nie mieli do czynienia z tym uniwersum, póki nie sięgnęli po serial.
745:  BFP - Przy jednoczesnym niezapewnieniu żadnego wyjaśnienia tym, którzy nie mają pojęcia, co to znaczy fixer, co to znaczą immunosupresanty, co to jest cyberpsychoza, która tutaj została.
758:  BFP - Tak, czym jest old net i tak dalej.
760:  KMM - Taki wdzięczny dialog się tam w którymś momencie pojawił, jak David razem z Lucy biegli i on zapytał, ale to Netrunner jest od tego, że my musimy biegać cały czas, prawda?
769:  KMM - Żartując, bo zdawał sobie sprawę z tego, czym jest Netrunning, bo siedzi w tym świecie, ale równocześnie był to pretekst w fabule do wytłumaczenia widzowi, o co chodzi.
779:  KMM - Przepiękne!
780:  KMM - Tak należy umiejętnie robić ekspozycje światotwórcze.
784:  KMM - Nie, że robimy sobie narrację pozakadrową przez 40 minut i infodump biednemu widzowi.
790:  KMM - Nie.
791:  KMM - W dialogach, przemycone, starannie.
794:  KMM - Pierwszy odcinek jest zbyt cenny, żeby go poświęcić na infodumping.
797:  BFP - Łukasz napisał jeszcze na czatach bardzo fajną rzecz.
800:  BFP - Night City to teatr, a Megacorp to reżyserowie.
802:  BFP - I to jest dokładnie to, co czuję się przez stałe te 10 odcinków.
806:  BFP - I a propos tego, co powiedziałeś, ja się całkowicie z tobą zgadzam.
808:  BFP - Powiedziałem to samo w swojej recenzji.
810:  BFP - Jak ja szanuję seriale,
812:  BFP - czy w ogóle adaptacje, które nie poświęcają niepotrzebnego czasu na ekspozycje i wytłumaczenie jak działa ten świat.
818:  BFP - A wiesz dlaczego?
819:  BFP - Nie dlatego, że zakładają, że w większości obejrzą to fani, tylko dlatego, że mają tak dobrą historię, że nie musisz rozumieć wszystkiego, co jest osadzone w świecie.
827:  KMM - Tak, tak.
828:  KMM - I szkoda czasu też na to, żeby wałkować rzeczy, które są niepotrzebne, lepiej zarysować, lepiej oddać się starej, dobrej zasadzie światotwórczej.
838:  KMM - Show, don't tell.
840:  KMM - Czytelnik, widz, gracz zrozumie.
843:  KMM - Ja czułem emocje, jak przyjeżdżał czy Troma Team, czy Max Tak Takie, jakie chciałem czuć w grze.
849:  KMM - A poczułem je na zwiastunie jednym z nich, kiedy...
853:  KMM - Pamiętacie pewnie te sytuacje, jak właśnie przyjeżdża trauma team i odsuwa naszego wimów i tutaj jest klient, którego musimy ewakuować.
860:  KMM - Ja się spodziewałem, że będę widział takie rzeczy częściej.
862:  KMM - Więc tutaj się faktycznie czułem, jakbym był na ulicach Night City.
866:  KMM - I co więcej, czułem tak, że być może dlatego, że bohater jest lepiej napisany główny, jak razem z nim poznaję tę rzeczywistość
876:  KMM - i zarazem poznaje jej wielowarstwowość.
879:  KMM - Od najniższej kasty, której na nic nie stać, nawet na pogrzeb, po najwyższe, które stać na nieśmiertelność.
