Czy Cyberpunk 2077 to cyberprank? Krzysztof Maj wyjaśnia, co poszło nie tak
🔗 https://www.youtube.com/watch?v=AwEdSEVnkzY
MH (Mirosław Haładyj, Głos24)
KMM (Krzysztof M. Maj)

0:  KMM - Muzyka Muzyka
9:  S00 - W Rozmowach Głosu gościmy pana Krzysztofa Maja, doktora i adiunkta w Katedrze Technologii Informacyjnych i Mediów Wydziału Humanistycznego Akademii Górniczo-Ochotniczej w Krakowie.
20:  S00 - Dzień dobry.
21:  S00 - Dzień dobry panie redaktorze, dzień dobry państwu.
24:  S00 - Panie Krzysztofie, dodam jeszcze, że jest pan teoretykiem literatury i narracji, a obszar pana badań to m.in.
30:  S00 - światotwórstwo, gry wideo, narratologia transmedialna i fantastyka.
36:  S00 - Ponadto jest pan youtuberem i komentatorem rzeczywistości oraz spraw bieżących.
41:  S00 - Jest pan też aktywnym graczem.
44:  S00 - No i jeżeli o czymś zapomniałem, to proszę mnie poprawić.
47:  KMM - Guilty as charged.
49:  KMM - Wszystko się zgadza.
50:  S00 - Panie Krzysztofie, spotykamy się, żeby odpowiedzieć na pytanie, czy Cyberpunk 2077 to nie przypadkiem cyberprank?
61:  S00 - Naszą rozmowę chciałbym jednak zacząć od troszkę innej strony, od refleksji nad zjawiskiem gier komputerowych, bo to nie jest chyba dla wszystkich jeszcze oczywiste, że gry komputerowe no właśnie stały się już autonomiczną dziedziną kultury wpisaną w
84:  S00 - coś, co właśnie nazywamy kulturą.
87:  S00 - Ten fakt trochę tak umyka, a jak się nad tym głębiej zastanowić, no to może to być nawet szokujące, prawda, bo
97:  S00 - Przecież gry wideo do tej pory były kojarzone raczej jakoś pejlatywnie, jako coś, co marnuje czas dzieci, jako w ogóle rozrywka dla dzieci, pusta, niekoniecznie w ogóle rozwijająca itd.
114:  S00 - Mało tego, jak teraz ktoś w wieku 30-40 lat mówi, że tak, jestem graczem, gram w gry komputerowe na konsoli, na komputerze, to jednak...
125:  S00 - Wywołuje to taki lekki uśmiech politowania, no ktoś jest chyba nie do końca dojrzały albo no właśnie to taki mimo wszystko infantylizm z tego przebija, ale to też się zmienia.
138:  S00 - I właśnie, czy te obserwacje są aktualne i jak to się stało, że gry komputerowe tylnymi drzwiami
147:  S00 - wypchnęły się chyba do kultury i nie możemy powiedzieć, że no nie, gry komputerowe to dzieci, dajcie spokój, przecież to jest coś, co nie umywa się do literatury, do filmu, do
161:  S00 - nie wiem, malarstwa i innych sztuk.
164:  KMM - Wie pan, lubię bardzo rozpoczynać rozmowę na ten temat od zastanowienia nad tym, czym jest rozrywka jako taka, bo nawet dziedzina, która zajmowała się grami wideo i nie tylko, bo też grami planszowymi, czy
176:  KMM - grami tzw.
178:  KMM - LARP czy RPG-er klasycznymi, to znaczy grami wyobraźni, w których gramy w społeczności jakiejś, wykorzystując albo jakąś planszę, jak w wypadku gier planszowych, albo po prostu naszą wyobraźnię, jak w wypadku gier Live Action RPG.
193:  KMM - One wszystkie kojarzyły się zasadniczo z tym obszarem rozrywki i ta dziedzina nazywała się ludologią w związku społecznym, czyli właśnie etymologicznie badaniem zabawy i obszarów zabawy.
205:  KMM - A prawda jest taka, że to co dzisiaj nazywamy grą wideo ma o wiele więcej wspólnego z wirtualnym światem niż z elektroniczną czy cyfrową wersją szachów lub Chińczyka.
217:  KMM - albo gier w klasy, albo jakiejkolwiek gry zespołowej.
220:  KMM - Tak samo gry RPG, w których wcielamy się w role, w których wyobrażamy sobie inny świat, w którym się spotykamy i opowiadamy sobie w nim historię, są czymś zupełnie innym niż gra zespołowa w postaci piłki nożnej.
234:  KMM - I ja osobiście jestem dlatego zwolennikiem mówienia o sobie właśnie, że nie jestem nie tyle ludologiem, ile groznawcą i zajmuję się właśnie grami wideo właśnie dlatego, żeby podkreślić, że nie interesuje mnie ten obszar rozrywki, ile bardziej mnie interesuje obszar rozgrywki.
249:  KMM - To w polszczyźnie jest nieznaczna różnica, ale ona jest absolutnie kluczowa.
254:  KMM - Bo jeśli właśnie ktoś pójdzie do muzeum i zacznie sobie oglądać płótna Rembrandta, albo zacznie czytać książkę, albo obejrzy sobie film na festiwalu Off Camera, to nie powiemy mu, że marnuje czas.
