Czy jesteśmy gotowi na PRZYSZŁOŚĆ? Monika Borycka i Krzysztof M. Maj | 51
🔗 https://www.youtube.com/watch?v=Tk0-NApCncU
MB (Monika Borycka)
KMM (Krzysztof M. Maj)

0:  MB - Staliśmy się takimi trochę badaczami przyszłości ze względu na to, że staramy się ją oswoić.
6:  MB - To jest trochę taki moment popandemiczny.
9:  MB - Mamy dzisiaj sprzęty takie jak Apple Vision Pro, które zabierają nas w kosmos i mamy uczelnię, w której nadal mamy tablicę z kredą.
16:  MB - My po to tą przyszłość badamy, żeby mieć wpływ na nią.
22:  MB - I jeśli widzimy, że któreś zjawiska zmierzają do miejsca, w którym my nie chcemy się znaleźć, no to należałoby zbudować narzędzia, które pomogą nam ograniczyć pewne trendy, jako zdefiniujemy już później jako negatywne.
36:  MB - Zresztą to William Gibson powiedział kiedyś, że przyszłość już tu jest, tylko ona jest nierówno rozdystrybuowana.
41:  MB - Byłam ostatnio w Stanach na konferencji South by Southwest i tam Europa była pokazywana jako wzór.
47:  MB - Tego, że jest to miejsce na świecie, gdzie sztuczna inteligencja próbuje się regulować.
54:  MB - Ja w ogóle jestem zdania, że trendy to pomagają tak naprawdę nam ogarnąć nawet nie przyszłość, ale skomplikowaność rzeczywistości, w której my jesteśmy.
67:  KMM - Witam serdecznie w kolejnym odcinku Bunkra Nauki.
70:  KMM - Jest z nami dzisiaj Monika Borycka, specjalistka od trendów, zajmująca się, opiekująca specjalnością Trend Watching and Future Studies na Wydziale Humanistycznym AGH.
79:  KMM - Cześć Moniko, witaj serdecznie.
81:  MB - Cześć, cześć.
82:  MB - Dziękuję za zaproszenie.
83:  MB - W końcu na uczelni udało się dotrzeć do waszego studia.
87:  KMM - Zacznijmy może od tego, czym są trendy na wypadek, gdybyśmy potrzebowali jakiejś albo z grubnej definicji, albo też opisu tego, czym się zajmujesz i na czym polega właśnie takie obserwowanie trendów i o co w tym chodzi.
99:  MB - Wiesz co, no to jest właśnie trudne słowo, dlatego że wielu ludziom kojarzy się z bardzo różnymi rzeczami.
106:  MB - Gdybyś zapytał na przykład kogoś na ulicy, to zapewne powiedział ci, że trend to jest, nie wiem, kolor spodni, tak?
113:  MB - Albo że dzisiaj są modne szerokie albo wąskie, no bo to jest na wystawach i to jest...
118:  MB - To trenduje.
119:  MB - Tak, to trenduje.
120:  MB - Z drugiej strony pewnie gdybyś zapytał trochę młodszych od nas użytkowników sieci, to by ci powiedzieli, że trend to jest to, co widzą na TikToku.
130:  KMM - Otóż to, tak.
131:  MB - Więc to jest generalnie dosyć trudne słowo.
133:  MB - My jako analitycy trendów nie zajmujemy się...
136:  MB - Ani jednym, ani drugim tak bardzo, chociaż też oczywiście na to w swojej pracy zerkamy i zwracamy uwagę, czyli na te trendy, takie powiedziałabym estetyczne, trendy już konsumenckie, które właśnie manifestują się w modzie, albo na te krótkie trendy, mikrotrendy, które gdzieś w przestrzeni na przykład internetu
157:  MB - królują jako takie wirale, tak by można było powiedzieć, więc na to też oczywiście zerkamy, ale w swojej pracy głównie analizujemy takie długoterminowe zmiany, a właściwie trend to jest trochę taki kierunek zmian, który zmierza, no właśnie, w określonym kierunku, czyli coś albo narasta, albo coś przybiera na sile, albo w drugą stronę, widzimy spadek czegoś, więc to są takie zjawiska, które rozwijają się w czasie i
186:  MB - które nie są właśnie takimi krótkimi trendami, choć tak jak już tutaj wspomniałam, często te duże, ważne trendy manifestują się właśnie w takich mikrotrendach, czy też sygnałach zmian.
199:  MB - Pewnie sobie o tym trochę za chwilę też opowiemy.
201:  MB - Więc my mapujemy zmiany w świecie, tak by można było powiedzieć.
205:  MB - Mapujemy przyszłość przy pomocy tego, co dzisiaj już tutaj dostrzegamy w takich zjawiskach, które można badać jakościowo i ilościowo, bo trendy też możemy badać.
216:  KMM - To jest ciekawe co mówisz, że science fiction, która jest jedną z moich ulubionych nurtów literatury, ma coś takiego jak ekstrapolacja, że rzeczywiście ekstrapolujemy to co jest tu i teraz i staramy się wymyślić jaka będzie przyszłość.
228:  KMM - Czy można by powiedzieć zatem, że trendwatching to jest coś w stylu tworzenia takich fikcji naukowych, to znaczy science fiction, zastanawiania się, krótko mówiąc, za pomocą mocy naszej wyobraźni, do czego doprowadzą zmiany, które już teraz obserwujemy?
240:  MB - To, o czym mówisz, to na pewno domena nauk o przyszłościach, czyli czegoś, w czym trendwatching pomaga, bo trendwatching to jest obserwacja tych trendów.
255:  MB - Kolejnym krokiem jest dokładnie to, co powiedziałeś, czyli próba wyobrażenia sobie możliwych przyszłości na podstawie być może takiego właśnie ekstrapolowania czy też predykcji, jak te trendy mogłyby się rozwijać.
268:  MB - I te przyszłości budujemy różnymi też metodami.
273:  MB - Taką najbardziej popularną jest metoda scenariuszowa, gdzie przygotowujemy kilka takich scenariuszy w oparciu o duże czynniki zmian, ale właśnie też w takich scenariuszach zawieramy tą przyszłość, którą gdzieś tam przez te trendy się manifestuje, prawda?
288:  S01 - Mhm.
289:  MB - To jest też ważne, że scenariusze przyszłości, czyli nie jedna przyszłość.
295:  MB - I to też zresztą jest ciekawe w kontekście chociażby science fiction, że sam ten gatunek narysował nam bardzo wiele różnych przyszłości.
304:  MB - I to jest też tak, że w naukach o przyszłości mówimy już od pewnego czasu, od dobrych kilkudziesięciu lat, że my nie mapujemy jednej przyszłości, tylko wiele przyszłości.
315:  MB - ponieważ każda z nich ma prawo się wydarzyć.
319:  MB - I my trochę antycypujemy też tą przyszłość, czyli nie tylko ją przewidujemy, ale staramy się też trochę wpływać na jej kształt ostateczny.
327:  KMM - Czyli te nauki o przyszłości to są oweż właśnie future studies.
330:  KMM - Dokładnie tak.
331:  KMM - A powiedz mi, jak to technicznie wygląda dla laika, który nigdy z tym nie miał do czynienia?
336:  KMM - Jak wygląda właśnie stworzenie takiego scenariusza?
338:  KMM - Na jakich danych bazujecie?
340:  KMM - I jak wygląda ten proces ekstrapolacji?
343:  MB - Tak jak już powiedziałam, są bardzo różne metody.
345:  MB - Myślę, że każdy specjalista, każda grupa osób, firm ma trochę swoją własną metodologię.
354:  MB - Oczywiście czerpię z bardzo wielu metod badawczych po prostu.
363:  MB - tak jak mówisz, budując te scenariusze, więc to może wyglądać trochę inaczej w różnych też branżach, więc nie ma takiego konsensusu co do tego, jak dokładnie to robić.
373:  MB - Chociaż pewne schematy się tutaj powtarzają, najczęściej no właśnie mapujemy trendy w takim procesie horizon scanning, czyli skanowania horyzontu, czyli takiego ciągłego poszukiwania przeobrażeń na przykład w danym obszarze, tego co widzimy na którymś z horyzontów, czy tym bliższym, czy tym bardzo dalekim,
393:  MB - I potem budujemy te scenariusze najczęściej przy pomocy takiej matrycy 2x2, czyli wykazujemy pewne dwie zmienne i w tych kwartałach tych zmiennych budujemy, jak ten świat mógłby wyglądać, gdyby te dwie zmienne się skrzyżowały, te czynniki bardzo różne.
413:  MB - Na przykład, gdyby skrzyżowało się to, że AI zastąpi człowieka i epidemia samotności będzie narastała.
421:  MB - I sprawdzamy, jak w takiej ćwiartce, taki scenariusz na przykład w jakimś określonym dystansie czasowym mógłby wyglądać.
430:  MB - Prawda jest taka, że scenariusze mają taką rolę pomocniczą w wyobrażeniu sobie tej przyszłości.
439:  MB - Bo często bazując na samych trendach albo na samych danych, ciężko nam jest tak jakby całościowo przemyśleć, jakie to by mogło mieć konsekwencje dla naszego świata albo dla nas samych.
452:  MB - Więc scenariusze stosuje się po to, żeby pewnego rodzaju technikami narracyjnymi opowiedzieć o tym świecie, tak żeby go trochę przybliżyć i żeby też wyciągnąć z niego takie wnioski, które możemy przenieść do dzisiaj.
468:  MB - Czy to będą wnioski dla biznesu, na przykład jakieś szanse, możliwości, które się pojawiają w takich światach?
476:  MB - Czy to będą wnioski dla organizacji publicznych, na przykład zagrożenia, które możemy przy tej pomocy mapować?
484:  MB - Temu służy chociażby foresight strategiczny, czyli właśnie długoterminowe badanie przyszłości w celu budowania jakiejś strategii, tak?
493:  MB - Więc ta metoda służy trochę takiemu opowiedzeniu o tej przyszłości.
497:  MB - I tutaj blisko temu do science fiction.
499:  MB - Z tym, że science fiction w dużej mierze jest oparte na wyobraźni.
503:  MB - To są jednak światy wyobrażone.
505:  MB - W budowaniu scenariuszy, w naukach o przyszłości staramy się jednak robić to na podstawie jakichś konkretnych danych, które posiadamy.
513:  MB - I jedną z tych danych są między innymi trendy, które zasilają nam te obrazy.
520:  KMM - Dwie ciekawe rzeczy widzę tutaj, to znaczy po pierwsze, czy nie wydaje ci się, że jak możesz spojrzeć w tak bardzo generalizujący sposób, w Polsce ciężko jest sprzedać myślenie o przyszłości, ponieważ jesteśmy narodem, który bardzo lubi myśleć o przeszłości i to nie jest jakby co moje zdanie, bo o tym mówił już Aleksander Świętokowski w Utopiach w Rozwoju Historycznym, gdzie mówi, że Polacy się trochę oporują, jeżeli chodzi o myślenie o przyszłości, bo lubią mit, lubią zagrzybywać się w przeszłości, wyciągać z niej wnioski.
549:  KMM - A druga rzecz, która przychodzi mi do głowy, to czy dostrzegasz jakieś zmiany w dynamice tych trendów na przestrzeni ostatnich lat?
556:  MB - To najpierw pierwsze.
557:  MB - Jeśli chodzi o myślenie o przyszłości, tak, to jest bardzo trudna kompetencja.
562:  MB - Trudna, bo my w ogóle, jako globalnie, jako ludzie, no...
569:  MB - Mamy różne stosunki do przyszłości.
572:  MB - W głównej mierze się jej boimy.
574:  MB - Że ona przyniesie coś złego, że jest nieznana itd.
577:  KMM - Lepiej się nie zastanawiać.
579:  MB - Dokładnie.
579:  MB - Z drugiej strony ona nas też fascynuje w pewien sposób.
582:  MB - I to, co powiedziałeś, że w Polsce to zainteresowanie jest trudne, ale ja widzę coraz bardziej rosnące zainteresowanie tym tematem.
590:  MB - Jeśli weźmiemy chociażby pod uwagę nawet...
592:  MB - kierunek studiów, o którym wspomniałeś i ilość chętnych, która z roku na rok jest coraz większa, ale to jest taki proces też globalny.
600:  MB - My po prostu staliśmy się takimi trochę badaczami przyszłości ze względu na to, że staramy się ją oswoić.
609:  MB - To jest trochę taki moment popandemiczny i tutaj myślę, że to jest jeden z takich dużych punktów milowych,
616:  MB - który wyzwolił w nas tą potrzebę zainteresowania przyszłością.
623:  MB - I jak się spojrzy na chociażby wydarzenia, książki, filmy, seriale, teksty kultury od tego czasu, które powstały, no to bardzo dużo z nich właśnie dotyczy przyszłości.
635:  MB - Jak już główna platforma streamingowa wprowadza tam serial dokumentalny, przyszłość i tam analizuje przyszłość różnych branż, no to to znaczy, że to jest po prostu temat w
646:  MB - który interesuje dużą ilość ludzi.
650:  MB - Więc widzę takie drobne przekierowanie, że rzeczywiście tą przyszłością zaczynamy się coraz częściej i chętniej interesować.
658:  MB - Stąd też zresztą myślę, że rosnąca popularność chociażby trendbooków albo raportów trendowych, których z roku na rok na całym świecie powstaje coraz więcej,
670:  MB - No i tutaj a propos tego rozwijania się tych trendów, o których mówiłeś, a propos tego pytania i tej dynamiki trendów, to też bardzo się zmienia i widzimy jako specjaliści w tej branży, że mamy do czynienia z takim zjawiskiem hipercyklu trendowych, że jednak one pojawiają się znacznie szybciej,
698:  MB - Znacznie szybciej do nich mamy od razu takie kontrtrendy.
704:  MB - Kiedyś rzeczywiście dane trendy rozwijały się dłużej w czasie.
