Czy powinniśmy się bać SZTUCZNEJ INTELIGENCJI? Artur Kurasiński i Krzysztof M. Maj  |🚀28
🔗 https://www.youtube.com/watch?v=jFHyKfb22qA
AK (Artur Kurasiński)
KMM (Krzysztof M. Maj)

0:  AK - Tak, za chwilę będziemy rozmawiali i ta komunikacja będzie dwubiegunowa z maszynami.
5:  AK - I to będzie najpiękniejszy moment w historii naszej ludzkości.
8:  AK - Więc, żeby w ogóle funkcjonować, a być może w ogóle przetrwać jako cywilizacja ludzka, to musimy wdrożyć system pod tytułem niech te roboty za nas wykonują pracę, niech one się nami opiekują, niech nam zamiatają ulice, tworzą produkty i tak dalej.
22:  AK - Halo, halo, wiesz co?
23:  AK - Nie bądźmy tacy...
24:  AK - optymistycznie nastawieni, czy hura optymistycznie, ile takich ludzi należy i sam się tytułuję mianem tech-realista.
30:  AK - Kiedyś byłem tech-optymistą, zawadzałem niebezpiecznie o tech-solucjonizm, a teraz powiedziałbym szczerze, że jestem osobą, która mówi, wiem jakie są negatywne strony technologii, być może jesteśmy właśnie pierwszym pokoleniem, które może powiedzieć, dobra, to jestem ja, możesz z mojej wiedzy, z doświadczeń, z emocji korzystać przez najbliższe tysiące lat.
53:  KMM - Witam w Bunkrze Nauki, gdzie jest z nami przedsiębiorca, inwestor Artur Kurasiński.
58:  KMM - Arturze, powiedz mi, czy też masz tak dość rozmowy na temat sztucznej inteligencji jak ja?
63:  AK - Tak, witaj Krzysztofie, witajcie wszyscy, którzy nas słyszą i oglądają.
66:  AK - Może skończymy w takim razie tę rozmowę i wyjdziemy na dwór, tak mówi się w Krakowie.
71:  AK - Na zewnątrz, po lwownie powiedzmy.
75:  AK - Może te tematy po prostu już są takie zaszłe.
77:  AK - Nie rozmawiajmy o tym, o czym wszyscy rozmawiają.
79:  AK - Bądźmy oryginalni.
80:  KMM - W czym jest problem zatem, jeżeli chodzi o tę dyskusję dla ciebie?
82:  KMM - Bo dla mnie przede wszystkim rozwodnienie tematu, sprowadzenie tego wszystkiego do takiego odgrzewania sporu luddystów z XIX wieku, że jest postęp technologiczny, w związku z powyższym odbiorą nam pracę i nie będziemy mogli zarabiać na swoje utrzymanie.
99:  AK - Ja przy takich rozważaniach zazwyczaj zakładam czapeczkę socjologa, bo dzięki Bogu udało mi się jakieś wykształcenie wyższe zdobyć.
106:  AK - Jestem z tego dumny, bo ciężko mi to szło, ale papier mam na to, jakby ktoś się pytał.
110:  AK - No i podchodzę do tego zgodnie z tym, co mnie nauczono na studiach, czyli staram się zobaczyć to od takiej strony raczej analitycznej.
