Czy serialowy SANDMAN dorównał komiksowi? | Dyskusja
🔗 https://www.youtube.com/watch?v=wl8JYeE5JbY
KMM (Krzysztof M. Maj)
RC (Ryszard Chojnowski, Rysław)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  GW - Pożyłem kawałek jądra tego Maca, co ty mi pierdolisz tutaj?
4:  BFP - Wchodzimy za moment live.
12:  BFP - Ojejku.
14:  RC - Kochani, drodzy, wszyscy, którzy się tutaj... Muszę wyciszyć dźwięk.
18:  BFP - którzy się zebrali tutaj dzisiaj z nami, pewnie fani Sandmana, ale też ci, którzy dopiero się nimi staną, a może też ci, którzy będą mieli pewne obiekcje, zarówno co do serialu, jak i może do komiksu, jeżeli sięgną później po komiks.
32:  BFP - Mam nadzieję, że jak najmniej takich osób będzie.
35:  BFP - Witajcie na pogłębionej dyskusji o serialu Sandman, w której będziemy rozmawiali o tym, co się udało, a co się udało mniej.
43:  BFP - Oczywiście w samym serialu, ale na tle komiksowego pierwowzoru.
48:  BFP - I byłoby zupełnie banalne, gdybyśmy na tym spotkaniu mówili, o Jezu, jakie to jest zachwycające, albo o Jezu, jak to bardzo się nie udało.
56:  BFP - Utrudnimy sobie trochę sprawę, więc weźmiemy na warsztat tematy trudne i polaryzujące.
62:  BFP - To znaczy wybory aktorów i aktorek versus ich komiksowe odpowiedniki, które stworzył Neil Gaiman.
69:  BFP - Wątki LGBT, które są silnie reprezentowane w tym serialu.
73:  BFP - Wątki i motywy fabularne rozbudowywane bądź zubożone względem komiksu, bo ja tu z pewnością mam kilka problemów, szczególnie z drugą częścią tego sezonu.
82:  BFP - No i tak spróbujemy generalnie zastanowić się, czy ten serial ma szansę przyciągnąć nowych ludzi, nowych fanów do świata Sandmana, czy może jednocześnie jest w stanie zniechęcić tym samym hardkorowych fanów, których tutaj mamy także w naszym gronie.
97:  BFP - I wreszcie, jak widzimy, kolejny sezon.
99:  BFP - I mam nadzieję, że będziecie uczestniczyli z nami w tej dyskusji i też będziecie mieli swoje zdanie.
104:  BFP - A ze mną jest...
106:  BFP - Rysław, Ryszard Chojnowski.
108:  BFP - Mam nadzieję, że śledzicie jego vloga.
110:  BFP - Często pojawia się teraz na łamach bez schematu, co mnie bardzo cieszy, bo on właśnie reprezentuje ten nurt hardkorowych fanów Sandmana.
117:  BFP - Ma najdłuższy staż w tym uniwersum.
119:  BFP - Grzegorz Wątroba.
121:  BFP - Grzegorz Wątroba.
123:  BFP - Okiem Deva polecam zarówno vloga, jak i podcast, jak i bloga na Medium.
127:  BFP - I Grzegorz również podobnie jak ja jest zaznajomiony ze światem Sandmana, na długo przed serialem, czytał serię komiksową.
135:  BFP - I Krzysztof, który będzie miał chyba najciekawsze, najświeższe spojrzenie na ten serial, ponieważ jest nowy w tym uniwersum, ale jednocześnie wnosi ze sobą cały ten bagaż światotwórczy i wiedzy o fantastyce, który gromadził przez ostatnie... Ile ty masz lat?
153:  KMM - To jest sekret.
154:  KMM - Witam się i Jamnik też się wita.
156:  BFP - A to jest bez schematu, jeżeli ktokolwiek z Was tutaj trafi po raz pierwszy podczas naszego spotkania, czy będzie oglądał to później, jako zapisany live, to to jest miejsce, w którym ja, a czasem także z moimi przyjaciółmi, analizujemy popkulturę, szukamy esencji w grach, wideo, wideo, grach, wideo, dobrze powiedziałem, tylko potraktowałem to jako osobną kategorię.
176:  BFP - Grach, serialach, filmach, a czasem, jak widać, także w komiksach.
181:  BFP - Kochani, chciałbym zacząć od tego, witając oczywiście wszystkich na czatach, przepraszam, że tak ruszamy jak pociąg, ale materiału jest sporo.
