Czy szkoła niszczy dzieci? | Krzysztof Maj
🔗 https://www.youtube.com/watch?v=amsrszmRhQY
KMM (Krzysztof M. Maj)
SP (Szymon Pękala, Szymon Mówi, Wojna Idei)

0:  SP - Hej!
1:  SP - Dziś rozmawiamy z Krzysztofem Majem, wykładowcą i youtuberem.
4:  SP - Hej Krzysztofie!
6:  KMM - Hej, hej!
7:  KMM - Witajcie!
8:  SP - I na swoim kanale YouTubowym, do którego link oczywiście będzie w opisie i który gorąco zachęcam obczaić, bardzo często i bardzo szeroko poruszasz taki problem jak patologie polskiego systemu edukacji.
19:  SP - I czy mógłbyś zacząć od takiego pokrótce nakreślenia, jakie widzisz największe problemy w obecnym procesie kształcenia młodych Polaków i skąd one się biorą i jakie mogą być tego skutki?
33:  KMM - To może skupiłbym się na tym słowie system, prawda?
36:  KMM - To znaczy nie mówimy o patologiach w ogóle edukacji jako takiej, czy dydaktyki, czy pedagogiki, bo polscy nauczyciele, zwłaszcza biorąc pod uwagę to, ile im się płaci, robią co mogą.
48:  KMM - Natomiast problemem jest system.
50:  KMM - To, że został narzucony centralny system z podstawami programowymi, z egzaminami, które wywierają presję zarówno na uczniach, jak i na nauczyciela, bo uczniowie chcą zdać egzaminy, ponieważ wmówiono im, że dzięki zdaniu egzaminów i matury dostaną się do lepszej pracy.
67:  KMM - Z drugiej strony nauczyciele chcą, żeby uczniowie mieli jak najlepsze oceny, ponieważ szkoły wtedy wypadają dobrze w statystykach i rankingach.
74:  KMM - Czyli mamy kolejny element patologii systemowych, to znaczy rankingi,
77:  KMM - które jest w kolei o drogą mają bardzo dyskusyjne metodologie, bo te metodologie najczęściej uwzględniają właśnie zwyżkujące słupki, a nie indywidualny talent.
87:  KMM - Nasz system nie jest generalnie rzecz biorąc zatem przystosowany do tego, żeby wyłuskiwać osoby, które są zdolne, tylko wmawia wszystkim, że kształcenie jest powszechne, równe i dostępne.
100:  KMM - Tak naprawdę nie jest i wymaga nasza edukacja, nakładów finansowych.
105:  KMM - Dobrze wiemy, że jeżeli ktoś chce być trochę poza systemem w szkołach demokratycznych, czy Montessori, czy prywatnych, no to trzeba troszeczkę posmarować, trzeba zapłacić i to jest patologiogenne.
119:  KMM - A oprócz tego problemem jest oczywiście to, że to jest system naczyń połączonych i w zasadzie nie dałoby się, tak myślę sobie w tym momencie szkicowo, zmienić jednego z tych elementów, na przykład wyrzucić ocen bez zmiany innych elementów tego systemu, bo one są bardzo zazębione.
134:  KMM - Do tego jeszcze dochodzi to, że są różne grupy lobbingowe, grupy naciskowe, autorzy podręczników, którzy zarabiają pieniądze na kolejnych reedycjach, rodzice, którzy cały czas pamiętają, że oceny są najważniejsze w świecie i jeszcze pamiętają stary kapitalizm powiedzmy lat 90. przełomu 2000, kiedy rzeczywiście można było dużo zrobić.
154:  KMM - A teraz, co zresztą mówiłeś ostatnio na kanale, dzieje się tak, że pierwszy raz dochodzi do tego, że nowe pokolenia będą zarabiać mniej niż dawne pokolenia.
163:  KMM - Zatem jest bardzo dużo nowych zjawisk, ale ten system ma, i to jest chyba jego największa wada, straszną inercję i nie chce się zmienić, nie chce się dostosować do tego wszystkiego.
173:  KMM - Bo też, i tak myślę, że to jest prawda, nie ma takiej potrzeby, to znaczy nie ma dużego zapotrzebowania ze strony tych wszystkich grup zaangażowanych w ten system, żeby doprowadzić do jakiejś zmiany.
184:  KMM - I w zasadzie w tym momencie jedyną grupą, która jest taka bardzo wokal mówiąc po polsku, to oprócz rewolucjonistów edukatorów, jak na przykład mojego ulubionego bodaj,
196:  KMM - specjalistę w temacie, czyli doktora Mikołaja Marcele z Uniwersytetu Śląskiego, autora selekcji książki o tym, jak szkoła niszczy ludzi, społeczeństwo i świat, no to taką grupą są uczniowie.
205:  KMM - Znaczy uczniowie najsilniej, najgłośniej i najpowszechniej krytykują w tym momencie to, co teraz jest, tylko problem polega na tym, że nie do końca mają platformę, więc ja staram się robić z moją mocy, żeby taką platformę zapewnić.
218:  KMM - Tak w skrócie, gdybym miał ująć te patologie i to, czym się zajmuję od niedawna, to tak, to byłoby to.
225:  SP - Okej, wiesz, ja się w ogóle tak przejrzałem całkiem sporo materiałów twoich na ten konkretny temat i o ile właśnie tak z bardzo dużą ilością obserwacji się zgadzam, które tam padają, to też mam taki jeden, że tak powiem, jedną przestrzeń tych obserwacji, które tam padają, które mi gdzieś tam mierdzi z tyłu, do której mam nadzieję, że się to skrystalizuje, że tak powiem stopniowo w dalszej tej rozmowie.
