Czy zadania domowe znikną ze szkoły? | Krzysztof M. Maj
🔗 https://www.youtube.com/watch?v=iEc46kOIsAg
KMM (Krzysztof M. Maj)
SP (Szymon Pękala, Szymon Mówi, Wojna Idei)

0:  SP - Hej, dziś ponownie rozmawiamy z Krzysztofem Majem na temat edukacji w Polsce.
4:  SP - Witaj Krzysztofie.
5:  S00 - Witam serdecznie, dzięki za zaproszenie.
8:  SP - Dziś chcieliśmy poruszyć temat zadań domowych.
10:  SP - Niedawno na szczeblu politycznym nawet pojawił się pomysł w ogóle likwidacji prac domowych w Polsce.
15:  SP - No i konsekwentnie siłą rzeczy ożywiona debata wokół tego tematu, czy ten pomysł jest zasadny, czy może jednak nie.
21:  SP - I Ty Krzysztofie jesteś wielkim orędownikiem takiej właśnie zmiany, żeby usunąć w miarę możliwości, czy zredukować zadania domowe.
29:  SP - Jakie zatem Twoim zdaniem korzyści płynęłyby ze zniesienia prac domowych?
33:  S00 - No więc trzeba od razu zacząć od tego, żeby sobie zdefiniować, co jest zadaniem domowym w Polsce, prawda?
38:  KMM - Bo zadanie domowe w Polsce zwykle wygląda w ten sposób, że zadajemy materiał, którego się nie udało skończyć na lekcji do domu po to tylko, żeby go następnie ocenić i jeszcze zmarnować kolejną lekcję na sprawdzanie zadań domowych i dokładnie tak samo niestety wygląda odpytywanie.
55:  KMM - I bardzo często ten cenny czas lekcyjny jest wtedy zagospodarowywany i jeszcze do tego wszystkiego kosztem czasu domowego.
61:  KMM - Więc coś takiego od razu możemy powiedzieć, gdybyśmy konsultowali z pedagogami.
66:  KMM - Większość pedagogów by powiedziała, że to nie jest najszczęśliwszy pomysł i zadania domowe, o których mówi się w odniesieniu do jakichś sensowniejszych promysłów, to są chociażby projekty długoterminowe.
77:  KMM - Masz na przykład projekt semestralny i ten projekt semestralny będzie wymagał od ciebie tego, żebyś wykorzystał wiedzę z geografii, z historii na przykład i powiedzmy zrobił mapę wojen napoleońskich.
89:  KMM - I jeszcze możesz sobie ją zrobić jakoś graficznie ładnie, możesz skorzystać ze sztucznej inteligencji, bo ona w tej chwili jest, może cię w tym pomóc.
96:  KMM - Wiesz, w ten sposób faktycznie coś tworzysz, co jest interesujące, więc zawsze wolę dopowiedzieć, jaki jest mój pogląd na to, jak może zadanie domowe wyglądać, żeby jaśniejsze było za likwidacją czego się opowiadam.
108:  KMM - Opowiadam się za likwidacją bezmyślnego marnowania czasu uczniów i pieniędzy rodziców, ponieważ niestety, i fajnie byłoby, gdyby ktoś to zbabał,
118:  KMM - Bardzo dużo nauczycieli, którzy są korepetytorami, pomaga uczniom przy odrabianiu prac domowych.
125:  KMM - W związku z powyższym trudno się dziwić, że sporo nauczycieli nie jest za likwidacją prac domowych, ponieważ to by ugodziło w ich drugi etat.
131:  KMM - Wszyscy zresztą korepetytorzy mówią o tym, praktycznie jak się z nimi porozmawia, że takie są realia, że ludzie są obciążani zadaniami, nie chce im się ich wykonywać, w związku z powyższym przerzucają je na korepetytora.
143:  KMM - Bardzo często to jest też zabawne w tajemnicy przed rodzicami albo w tajemnicy przed nauczycielami, no bo rodzicowi też nie zależy na tym, żeby ciężko wydawane, zarabiania przez niego pieniądze, wydawane na korepetytora, szły na to, żeby pozbawiać ucznia tej podobno indywidualności, która ma się wiązać z wykonywaniem zadań domowych.
162:  KMM - Więc to jest pierwsza kwestia.
163:  KMM - Tego typu zadania domowe są do likwidacji.
166:  KMM - Druga kwestia polityczna, dlaczego w ogóle mówimy o likwidacji zadań domowych?
171:  KMM - Złośliwi powiedzieliby, że nie ma takiego prawa w polskim prawie oświatowym, które nie byłoby w ten czy inny sposób łamane w różnych szkołach.
179:  KMM - Mamy bardzo długą dyskusję na temat statutów.
181:  KMM - Było ostatnio badanie w szkołach warszawskich i poznańskich i się okazuje, że wysoki procent ma po prostu statuty niezgodne z ustawą prawa oświatowe z lat 90.,
191:  KMM - a Stowarzyszenie Umarłych Statutów, które jest totalnie apolityczne, to zresztą trzeba im oddać, bardzo mi się to podoba, to znaczy to są ludzie, którzy rozmawiali absolutnie z wszystkimi, włącznie z niesławną kurator małopolską i dobrze, bo trzeba rozmawiać w takiej sytuacji ze wszystkimi stronnictwami politycznymi, nawet jeżeli się z nimi nie zgadzamy, no oni wykonali już pracę empiryczną u podstaw, pokazując, że rzeczywiście te problemy są, że to nie jest tak, że to są wymysły uczniów albo rodziców.
215:  KMM - Nie wiem, dlaczego tak się stało, że te statuty są tak, a nie inaczej pisane, ale musimy pamiętać, że statut to jest dokument, który reguluje życie szkolne, więc jeśli nauczyciele mówią o autonomii w odniesieniu do zadań domowych, no to ta autonomia jest regulowana przez statuty.
229:  KMM - Więc nie do końca jest tak, że nauczyciele mieliby pełną autonomię, jeżeli ministerstwo powiedział, nie wtrącamy się, bo ministerstwo powiedziało, nie wtrącamy się w latach 90-tych.
