DARK SOULS 2 to...? 🤔
🔗 https://www.youtube.com/watch?v=ygoqdolsYao
KMM (Krzysztof M. Maj)
RN (Rafał Nawrocki, Demonidias)
MD (Mateusz Drozd, Kiszak)
AS (Adam Szymański, Balmora House)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

17:  BFP - Czym jest do prawdy Dark Souls 2?
19:  BFP - To jest pytanie, nad którym głowy łamali sobie już starożytni filozofowie.
24:  BFP - Greckie polis wypowiadały sobie wojny, później schizma wschodnia i schizma zachodnia, cesarz pożarł się z papieżem.
33:  BFP - My dzisiaj mierzymy się z tym pytaniem, chociaż wciąż nie ma na nie jasnej odpowiedzi.
37:  BFP - Dzisiaj spróbujemy, spróbujemy się z nim zmierzyć, może z waszą pomocą dojdziemy do jakiegoś konsensusu, chociaż nie sądzę, ale przynajmniej spróbujemy i w tym celu zebrałem samych specjalistów, zebrałem strażnika lore gier From Software na polskim YouTubie, zebrałem człowieka, który przechodzi no-hity, przechodzi no-death, przechodzi wielu różnych bossów naraz,
62:  BFP - Zna gry From Software od Podszewki.
65:  BFP - Zaprosiłem człowieka, który dosłownie zna gry From Software od Podszewki, ponieważ grał w nie zanim my wiedzieliśmy czym są Soulslike'i.
72:  BFP - Na przykład grał w betę Bloodborne'a i wreszcie zaprosiłem Krzysztofa.
76:  BFP - Gawędziarza, który właśnie zniknął nam w tym momencie z ekranu, bo poczuł się chyba tak zbulwersowany tym co mówię.
85:  BFP - Z pasji maga, z powołania gawędziarza, więc przedstawię moich znamienitych gości.
91:  BFP - Krzysztof M. Majda, którego przejście Dark Souls 2 było jak masaż tajski w skierniewickim spa.
96:  BFP - Dzień dobry Krzysztofie.
98:  KMM - Witam serdecznie i witam również tych masażystów, którzy mi pomogli podczas rozgrywki.
104:  BFP - Ech, tobie to wyszło 30 razy zgonów mniej i 30 razy szybciej niż mnie.
110:  BFP - W każdym razie witam także człowieka o pięknym umyśle i czarnym sercu, czyli Kishaka.
116:  MD - Dzień dobry, małpy razem silne.
119:  BFP - Witam bardzo serdecznie Rafała, czyli Demonidiasa, który jeżeli gra w Soulslike'i to tylko truł w 30 klatkach.
127:  RN - A bo i w 15, dzień dobry, cześć.
129:  BFP - I witam Adama z Balmora House, który jak usłyszał swego czasu, że robimy materiał streszczeniowy Dark Souls 2, to powiedział pas i wyszedł z naszej wspólnej konwersacji.
140:  BFP - Pozdrawiam cię Adamie bardzo serdecznie i witam, cieszę się, że do nas dzisiaj dołączasz.
146:  AS - Kłaniam się nisko, cześć i po raz kolejny dzięki za zaproszenie.
150:  BFP - I witam wszystkich, którzy do nas dołączają, którzy są z nami na żywo, którzy będą mieli na pewno dużo do powiedzenia o Dark Souls 2.
156:  BFP - Panowie, chciałbym, żebyśmy zaczęli od tego, co w Dark Souls 2 jest dobre.
160:  BFP - I naprawdę nie zakładam, że to będzie krótki fragment naszej dyskusji.
166:  BFP - Myślę, że może z tego wyjść coś więcej.
169:  BFP - Może nawet na przekór.
171:  BFP - Krzysztofie, chciałbym, żebyś zaczął i opowiedział, jak to jest grać w Souls'y z perspektywy maga i czy wtedy gra jest jakkolwiek lepsza.
177:  KMM - No świetnie, czyli zadajesz pytanie to człowiekowi, który stwierdził w którymś momencie samobójczo, że będzie grał jedną, jedyną klasą przez wszystkie sosnaki, nawet wtedy, kiedy się nie da tego zrobić.
187:  KMM - Jak grałem w Sekiro, to też usiłowałem grać jako mag i do dzisiaj pamiętam, jak walczyłem z jesiennym Ashiną pod tym śmiesznym kapeluszem, za każdym razem wykonując ten sam, kosztujący zresztą te cholerne zasoby gest.
