Debata online: Średnia ważona — czy na jej podstawie można i należy ustalać oceny klasyfikacyjne?
🔗 https://www.youtube.com/watch?v=X-YBvc93g2s
GO (Gabriela Olszowska)
AKJ (Agnieszka Krokos-Janczyło)
KMM (Krzysztof M. Maj)
DS (Daniel Sjargi, Stowarzyszenie Umarłych Statutów)
JS (Jolanta Skrzypczyńska)

202:  S03 - Bardzo proszę.
334:  S03 - Już sobie z tym problemem radzimy.
341:  S07 - Jakiś problem zewnętrzny mamy.
345:  S07 - Dobrze.
351:  S03 - Dobra.
562:  S07 - Cały czas pracujemy nad tym problemem, ale to wiadomo, że niestety katastrofy następują wtedy, kiedy się ich nie spodziewamy.
573:  S07 - Tak, wczoraj wszystko jeszcze działało w porządku.
578:  S07 - Robiliśmy sobie... Mikrofon.
588:  S07 - Raz, dwa, trzy.
590:  S07 - Dobrze.
591:  S07 - Wygląda na to, że
608:  S07 - Wygląda na to, że możemy już wrócić.
672:  S03 - Co jest?
829:  S03 - Raz, dwa, raz, dwa.
986:  S03 - Na Facebooku nas słychać, mamy taką informację.
1037:  KMM - Jest to dość niekonsekwentne, to znaczy czasem słychać, a czasem nie słychać.
1044:  KMM - Łukasz pisze, na czacie czy słychać tylko reżyserkę, natomiast nie słychać nikogo z nas.
1049:  KMM - Nie.
1079:  AKJ - Może faktycznie skupić się na tym jednym kanale, to co pan Krzysztof tutaj podpowiada.
1083:  S05 - Krzysztof jest słyszalny.
1091:  AKJ - Już słyszeliśmy jakiś niebywały sprzęt.
1094:  KMM - Tylko dlatego.
1096:  KMM - On po prostu bypasuje wszystkie problemy techniczne.
1113:  DS - Wydaje się, że wszystko jest już w porządku, więc będziemy rozpoczynali doskonale.
1121:  DS - Proszę Państwa, przepraszamy za drobne problemy techniczne, które wyniknęły w trakcie przygotowania transmisji, jak to bywa z różnymi rzeczami internetowymi.
1129:  DS - Wszystko wcześniej działało, a jak się miało rozpocząć, to przestało.
1133:  DS - Więc po raz trzeci chciałbym Państwa bardzo serdecznie powitać na debacie online średnia ważona.
1139:  DS - Czy na jej podstawie można i należy ustalać,
1141:  DS - oceny klasyfikacyjne organizowanej przez Stowarzyszenie Umarłych Statutów, największą polską organizację pozarządową zajmującą się prawami uczniowskimi.
1150:  DS - Ja się nazywam Daniel Siargi i będę miał przyjemność prowadzić dzisiejsze spotkanie, które oczywiście stosownie też przedłużymy, żeby też tutaj nie byli Państwo odbiorcy stratni.
1160:  DS - Debata będzie podzielona na dwie części.
1163:  DS - W pierwszej z nich po krótkim wprowadzeniu do tematu debaty każdy z uczestników otrzyma 5 minut na zaprezentowanie stanowiska wstępnego.
1170:  DS - Następnie zaproszeni goście będą mogli zgłaszać się do głosu, ustosunkowując się do wypowiedzi przedmówców.
1175:  DS - Długość jednorazowej wypowiedzi nie może przekraczać 3 minut.
1179:  DS - O konieczności zakończenia wypowiedzi będzie przypominał sygnał dźwiękowy, który pojawi się 30 sekund przed końcem czasu.
1186:  DS - W drugiej części debaty wybiorę spośród komentarzy pod transmisją najciekawsze pytania do uczestników, na które nie pojawiła się dotychczas odpowiedź.
1194:  DS - Pytania można kierować do konkretnej osoby lub wszystkich gości.
1197:  DS - Debata odbędzie się w formule ograniczonej moderacji, aby zapewnić zaproszonym gościom jak najwięcej przestrzeni i czasu na podzielenie się swoimi spostrzeżeniami bez określania sztywnych ram.
1208:  DS - Skoro znamy już założenia debaty, czas na przedstawienie tematu oraz ekspertów.
1215:  DS - Ustalanie ocen rocznych z poszczególnych zajęć edukacyjnych w niektórych szkołach odbywa się przy wykorzystaniu średniej ważony.
1221:  DS - Mechanizm ten polega na tym, że poszczególne oceny stopnie
1225:  DS - które uczniowie otrzymują w ciągu roku szkolnego, mają przypisane różne wagi.
1229:  DS - Poszczególne oceny mają różną siłę wpływu na średnią ważoną, wyliczaną na podstawie wszystkich ocen.
1235:  DS - Najczęściej znaczący wpływ na ocenę klasyfikacyjną ucznia mają sprawdziany, zaś pozostałe formy sprawdzenia wiedzy odgrywają mniejszą rolę.
1243:  DS - Stowarzyszenie umarłych statutów stoi na stanowisku, że stosowanie średnich ważonych narusza artykuł 44b i 44c ustawy o systemie oświaty.
1252:  DS - Zdaniem stowarzyszenia obecne rozwiązanie de facto automatyzuje proces ustalania oceny, ograniczając rolę nauczyciela przedmiotu do podmiotu dopełniającego formalności.
1262:  DS - Nauczyciel traci możliwość sprawiedliwej ewaluacji postępów ucznia z powodu ograniczenia sztywnym kryterium wyznaczanym przez statut.
1270:  DS - Tym samym zanika istota oceny klasyfikacyjnej, to jest całościowe podsumowanie osiągnięć edukacyjnych ucznia.
1277:  DS - W konkursie na statutowy absurd roku 2023 nominowana została regulacja statutowa Zespołu Szkolno-Przedszkolnego nr 3 w Gdyni, która bezwzględnie zobowiązywała nauczycieli do ustalania ocen rocznych wyłącznie na podstawie średniej ważonych.
1292:  DS - Dyrektor szkoły, pan Krzysztof Jankowski, był zaproszony do uczestnictwa w dzisiejszej debacie, ale pozostawił zaproszenie bez odpowiedzi.
1300:  DS - Dlatego też wyświetlamy fragment stanowiska, którym bronił średniej ważonych.
1305:  DS - Wizytatorzy działający w imieniu pomorskiego kuratora oświaty, którzy przeprowadzili kontrolę w szkole, uznali bezwzględne stosowanie średniej ważonej za naruszenie przepisów prawa oświatowego.
1315:  DS - W protokole zaznaczono jednak, że możliwe jest częściowe zastosowanie średniej ważonej jako informacji pomocniczej.
1321:  DS - Jest to spójne z wcześniejszymi stanowiskami, które wychodziły z kuratorium oświaty w Gdańsku.
1327:  DS - Podobne stanowisko prezentował były już warmińsko-mazurski kurator oświaty,
1332:  DS - który pismem z lutego 2023 roku stwierdził, że średnia ważona może być jednym z elementów uwzględnianych przy wystawieniu oceny, ale nie jedynym.
1344:  DS - Zupełnie inaczej ustosunkował się do sprawy dyrektor Centrum Edukacji Artystycznej, sprawującej nadzór pedagogiczny nad szkołami artystycznymi, który decyzję administracyjną uchylił regulację statutową dotyczącą średniej ważonej zawartą w statucie zespołu szkół i placówek artystycznych w Nysie.
1362:  DS - O temacie tym będziemy rozmawiali z moimi i Państwa gośćmi.
1395:  DS - dr Krzysztof Maj, nauczyciel akademicki z Akademii Górniczo-Kutniczej w Krakowie, zajmuje się fantastyką i grami wideo, ale również aktywnie komentuje rzeczywistość obserwowaną w oświacie i szkolnictwie wyższym, m.in.
1407:  DS - na swoim kanale na YouTube, zwolennik oceny opisowej.
1411:  KMM - Witam wszystkich najserdeczniej.
1443:  S03 - bierze doktor Gabriela Olszowska.
1481:  GO - znaczy praktyka jest stara, ale pojawiła się w oświacie mniej więcej 15-20 lat temu i aż debata tam, gdzie proszę Państwa dla mnie działają przepisy, a za przepisami określone praktyki.
