ESKAPIZM - ucieczka od codzienności! Synestezje - panel dyskusyjny Krzysztof Maj, Bez/Schematu i JA!
🔗 https://www.youtube.com/watch?v=0zVqMH05SfU
KMM (Krzysztof M. Maj)
PW (Przemysław Wideł)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
DS (Dominika Skoczeń, Czerw Fantastyczny)

0:  BFP - Patrońszczyzna.
1:  BFP - To były największe moje załamania psychiczne w historii mojego vloga.
5:  BFP - Naprawdę jest mi wstyd, ale trudno.
7:  BFP - Nie ma wyjścia.
9:  BFP - Przepraszam, ale ja... To jest gra, która tak mnie nienawidzi, że kiedy poszedłem na moment po prostu siku, to podszedł przeciwnik i mnie zabił.
17:  BFP - Jak wszedłem, to pierwsze co zobaczyłem, to była taka ściana napisów XD, XD, XD, XD.
21:  BFP - Koleś po prostu podszedł i mi wbił sztylem pod żebra.
25:  BFP - To jest po prostu nieprawda.
26:  BFP - A jeszcze się okazało, że jak wpisywałem... Zawsze jest taka tradycja, że grałem albo Krzysztofem, albo Grzegorzem, albo Rysławem i tak dalej.
34:  BFP - Tym razem zagrałem innym kolegą DemoNidiasem.
37:  BFP - I okazało się, że moja postać cały czas biegała z blokiem.
39:  BFP - Cały czas blokowała.
41:  BFP - I cholera wie dlaczego.
42:  BFP - Okazało się, że pod przyciskiem M jest automatyczne blokowanie i powstało ono wtedy, kiedy wpisywałem imię swojej postaci.
49:  BFP - Jakby było DemoNidias, to bym wcisnął i wyłączył jednocześnie.
52:  BFP - Albo DemoNidias, więc...
54:  BFP - Tak.
54:  BFP - Mistrzowie UX-ów.
56:  S06 - Eskapizm.
58:  PW - Jednym z elementów eskapizmu jest jeszcze powrót do tych rzeczywistości, które już znamy, do światów, które już znamy.
66:  PW - Jeszcze raz czytamy książki nie po to, żeby odkryć historię, która już się wydarzyła, tylko po to, żeby być w jakimś domu.
73:  PW - To też jest element, który coraz częściej pojawia się w grach komputerowych.
77:  PW - Jakaś taka lokacja, która staje się naszym domem.
82:  PW - Na tym etapie naszej dyskusji już chyba udało nam się obalić to, że nie jest to tylko negatywne pojęcie.
87:  PW - Jest to masa pozytywnych emocji, które rozwijają nas.
93:  PW - Ten podział na świat prawdziwy i nieprawdziwy na tą chwilę pewnie jeszcze trochę będzie funkcjonował.
99:  PW - Tu chyba należałoby bardziej odczarować, tak wydaje mi się,
104:  PW - wagę i ważność tego, w co inwestujemy ten czas, prawda?
108:  DS - Bo nikt nie powie, że czytanie książki jest marnowaniem czasu, natomiast... Oj, niektórzy powiedzą, moja babcia zawsze mówiła, ty to czytasz jakieś takie książki z tymi takimi smokami, tam są jakieś takie, że oni się biją i magia jest, przeczytałbyś zamiast tego jakąś porządną książkę.
124:  DS - I oczywiście według... Olgę to karmię!
128:  DS - Moja babcia na szczęście nie była amatorką Olgi Tokarczuk, ale ona uważała, że powinna przeczytać porządną książkę obyczajową na przykład.
135:  DS - Albo historyczną obyczajową.
138:  DS - Albo może romans.
139:  S05 - Spiżąbi.
140:  S05 - Dokładnie tak.
140:  S05 - Porządnie.
141:  S05 - Przepraszam.
141:  S05 - Powiem wam słowo, jeśli mogę na chwilę.
