Jak OBALIĆ pruską SZKOŁĘ w POLSCE? | Krzysztof M Maj
🔗 https://www.youtube.com/watch?v=atqWePD2GeM
KMM (Krzysztof M. Maj)
GK (Grzegorz Klimarczyk)

0:  KMM - W dzisiejszym odcinku.
3:  KMM - Lista lektur, która funkcjonuje jako centralnie sterowana, tylko w krajach postsowieckich, ewentualnie niektórych rozwijających się.
10:  KMM - Natomiast we wszystkich krajach, gdzie są te najlepsze i najbardziej prestiżowe uczelnie, którymi się tak bardzo przejmujemy i z którymi się lubimy porównywać, to jakimś cudem listy lektur są robione oddolnie przez nauczycieli.
21:  KMM - A ja wtedy mówię, no dobrze, ale ci rodzice też się gdzieś kształcili, tak?
25:  KMM - Gdzieś zobaczyli te wzorce, gdzieś się nauczyli pytać o ocenę dzieciaka, który wraca ze szkoły.
31:  KMM - Gdzieś się nauczyli, że pasek na świadestwie.
34:  KMM - Gdzieś się nauczyli, że musi być 100%, a nie 99,7%.
38:  KMM - Gdzieś się nauczyli również, że musi być to przejście ze szkoły na studia, co jest
42:  KMM - absolutną nieprawdą.
43:  KMM - Taka piękna anegdota, powtarzana przez doktora Mikołaja Marcelle zresztą bardzo często.
49:  KMM - Co ma zrobić rodzic, jak usłyszy od dziecka, że opuściło się w matematyce, ponieważ chodzi na lekcje tenisa.
57:  KMM - Albo skomplikujemy rzecz jeszcze bardziej, żeby było kontrowersyjnie.
60:  KMM - Sporo generacji Z czy millenialsów zwalnia się z pracy, nie jest w stanie się zaklimatyzować w grupie, nie umie współpracować.
67:  KMM - A to jest właśnie ta rzecz, której się nie nauczą w mediach społecznościowych i w internecie.
72:  KMM - Ta jedna, że histeria środowiska nauczycielskiego w stosunku do obecnego ministra jest całkowicie bezpodstawna z bardzo prostego powodu.
82:  KMM - On nic nie zrobił.
84:  KMM - Sponsorem odcinka jest Open Nexus.
87:  KMM - Twórca fundacji Kreatywni dla przyszłości.
92:  GK - Witam serdecznie na kanale Świadomie Myśląc na playliście Kreatywniej dla przyszłości dotyczącej szkolnictwa.
99:  GK - Dziś moim gościem doktor nauk humanistycznych, wykładowca AGH w Krakowie, a także gościnie na Uniwersytecie Warszawskim.
109:  GK - Główne zainteresowania krążą wokół gier.
