Jak generować DOBRE pomysły? Seweryn Rudnicki i Krzysztof M. Maj |🚀26
🔗 https://www.youtube.com/watch?v=an6TNZtBUEE
KMM (Krzysztof M. Maj)
SR (Seweryn Rudnicki)

0:  SR - Pomysł to jest nic.
2:  SR - Pomysł jest takim powiedzeniem, że pomysł wart jest 1 zł plus VAT.
6:  SR - Moim zdaniem to jest dobre powiedzenie.
7:  SR - Generalnie pomysł jest bardzo mało warty.
10:  SR - Rozwinięcie tego pomysłu, dopracowanie, połączenie go z innymi pomysłami, przepiwotowanie go ileś razy w trakcie, dopracowanie go i wdrożenie to jest trudne.
19:  SR - Tam jest wartość.
21:  SR - O pomysły, wiesz, coś zapisanego na karteczce post-itowej na brainstormie.
25:  SR - Generalnie czasem te karteczki spadają, czasem się gubią.
29:  SR - To jest jeden złoty.
36:  KMM - Witam serdecznie w Bunkrze Nauki.
38:  KMM - Dzisiaj w naszych podziemiach gościmy Sewerynę Rudnickiego z Katedry Studiów nad Społeczeństwem i Technologią oraz z Hearts and Heads, zajmującego się tajemniczymi rzeczami, jako to kreatywność, design thinking i inne, bardzo często nieznane polskiej edukacji zjawiska.
54:  KMM - Sewerynie, witaj serdecznie.
56:  KMM - Dzięki Krzyśku.
57:  KMM - Dzień dobry wszystkim.
57:  KMM - Dzięki za zaproszenie do tego fajnego miejsca.
60:  KMM - Powiedz może na początek tajemnicze określenie design thinking, innowacja, jak to rozumiesz, jak należy to jeść i z czym to się je?
69:  SR - Generalnie jest tak, że innowacje są teraz potrzebne, to wszyscy wiemy, to jest takie hasło, słowo, które się pojawia w wielu kontekstach.
76:  SR - No, większą trudnością jest to, jak to rzeczywiście robić, jak doprowadzać te innowacje do tego, żeby się rzeczywiście wydarzały, jak projektować nowe produkty, usługi, usprawnienia w organizacjach i tak dalej.
86:  SR - No i są różne metody pracy, które mają nam pomagać w tym.
89:  SR - Design Thinking jest taką metodą pracy.
92:  SR - Nie wchodząc w szczegóły, jest tam kilka kroków, które trzeba wykonać w określonej kolejności, są różne techniki pracy, które możemy zastosować do tego, żeby na końcu tego procesu mieć takie dobrze zwalidowane, przetestowane pomysły na różne usprawnienia, produkty, usługi itd.
108:  KMM - Abyś miał podać taki przykład produktu albo usługi, który właśnie powstał taką metodą i mógłby zwizualizować, jak to wygląda.
114:  SR - Jest tego bardzo dużo, bo teraz praktycznie wszystkie gdzieś tam wiodące organizacje wdrażają albo tę metodę dosłownie, albo różne swoje adaptacje tej metody.
123:  SR - Jedną z takich organizacji, która na wielką skalę to wdrożyła jest na przykład IBM.
127:  SR - Ale wszystkie produkty, które jak masz Netflixa i masz tam przycisk pomiń czołówkę, który ci się pojawia w odpowiednim momencie, akurat wtedy, kiedy trzeba.
135:  SR - I to nie jest jakieś super skomplikowane od strony technologii rozwiązanie.
139:  SR - To nie jest w ogóle patentowane.
141:  SR - Nawet sprawdzałem to kiedyś, nie jest to zastrzeżone.
144:  SR - Nie jest to jakiś super estetyczny przycisk, to jest taki przycisk jak każdy inny, ale on się pojawia dokładnie w tym miejscu,
150:  SR - gdzie powinien być, dokładnie wtedy, kiedy go potrzebujemy i to wynika z dobrego rozpoznania potrzeb użytkowników tegoż serwisu.
159:  SR - Netflix ma zresztą kilka takich fajnych rozwiązań w swoim, jakby zaszytych od początku i zobacz HBO na przykład zaczęło to dużo, dużo później adaptować tego typu rozwiązania.
167:  KMM - Czyli to, że jest też taki ukryty algorytm w Netflixie, że on rozpoznaje, jakie są nasze upodobania i na przykład nie daje nam listy odgórnych gatunków filmów i seriali, tylko łączy je ze sobą tak, żeby lepiej odpowiadać naszym oczekiwaniom, to też jest przejaw tej metodyki.
181:  SR - To jest przejaw tego myślenia, które jest w tej metodyce.
183:  SR - Ja teraz oczywiście szczegółowo nie jestem w stanie rozpakować procesów Netflixowych, ale to jest dokładnie w duchu tej metody.
191:  SR - W duchu tej metody jest to, że technologia zawsze przychodzi na drugim miejscu.
194:  KMM - W pierwszym miejscu jest człowiek.
195:  KMM - Użytkownik.
196:  SR - Tak, no bo wiesz, my mamy to wydziałowe hasło za każdą technologią stoi człowiek i to jest jakby dobre rozwiązanie, dobrze tu pasuje, w tym sensie, że technologii jest bardzo dużo, technologii jest mnóstwo.
208:  SR - Świat jakby kipi technologią, ale zamiana technologii w produkt
212:  SR - Coś, co przyjmuje się na rynku, czego ludzie chcą używać, czego ludzie potrzebują, co rozwiązuje nasze problemy, co usprawnia życie w jakiejś mierze, to jest ogromna przepaść między tymi dwoma rzeczami.
224:  SR - Sama technologia, a produkt, który ma sens na rynku.
227:  SR - Design Thinking jest taką metodyką, która ma właśnie pomóc tę przepaść pokonać w miarę bezpieczny sposób.
233:  KMM - To teraz pomyślmy o tym Design Thinkingu i myśleniu projektowym w kontekście czegoś, gdzie teoretycznie też jest człowiek, ale teraz wydaje nam się, że jest to głównie maszyna.
243:  KMM - Wiesz, do czego zmierzam.
244:  KMM - Zmierzam oczywiście do sztucznej inteligencji, do AI produktu, jakim jest ChatGPT 3.5 czy ChatGPT 4.
249:  KMM - Teraz jeszcze wdrożony do Binga przez Microsoft.
253:  KMM - Google również mówi, że
254:  KMM - chce postawić z powrotem użytkownika, a nie reklamodawców w centrum, żeby to on mógł rozmawiać z wyszukiwarką.
261:  KMM - Czy myślisz, że tutaj też możemy się dopatrzyć tego rodzaju innowacji?
265:  KMM - Czy to jest o wiele szerszy problem?
266:  KMM - No i właśnie, drugie pytanie od razu doszyję do tego, jak to jest z tą kreatywnością i innowacją w dobie sztucznej inteligencji, która nas trochę zaczyna wyręczać?
274:  SR - No wiesz co, to ja też na dwa sposoby odpowiem.
278:  SR - Pierwsze jest takie, że mam wrażenie, że duże korporacje, big techy teraz jakby skręcają od użytkownika jednak mimo wszystko.
285:  KMM - Mimo wszystko.
285:  SR - Tak, jakby starają się kapitalizować to, co jest możliwe.
288:  SR - Weź na przykład wyszukiwanie produktów w Amazonie.
291:  SR - Jak strasznie zły jest to.
293:  SR - Mam nadzieję, że nie obrażam tutaj Amazona.
296:  SR - Od strony projektowej, od strony użytkownika jest to złe miejsce.
299:  KMM - Ale wiesz co, słyszałem kiedyś, że to jest celowe, że oni celowo nie zmieniali, bo zrobili sobie jakieś badania, które by pokazywały, że 30% użytkowników by wolało, żeby zostało po staremu.
308:  SR - Ale to zawsze jest tak, że użytkownicy wolą, żeby zostało po staremu.
311:  SR - No inny przykład ci podam, jesteś aktywny na Linkedinie, ja też tam bywam, jak bardzo złe to jest narzędzie od strony osoby, która chce publikować, albo coś znaleźć na Linkedinie.
320:  SR - O Jezu, zwłaszcza, tak.
321:  SR - Więc właśnie, a to jest Windowsowe chyba, nie?
324:  KMM - Tak, Windows wykupy Linkedinia, tak.
326:  SR - Tak to widzisz.
326:  SR - Natomiast co do czata.
328:  SR - No, to jest w ogóle bardzo, bardzo ciekawa sprawa.
330:  SR - Oczywiście też jestem podekscytowany tym wszystkim, co się dzieje.
333:  SR - Dokładnie w tym tygodniu zrobiliśmy eksperyment u mnie w firmie.
336:  SR - Taki warsztat webinarowy, na który ludzie się mogli zapisać i tam porównywaliśmy.
342:  SR - Daliśmy dwóm grupom to samo zadanie.
345:  SR - Chodziło o bardzo praktyczny problem biznesowy, jak usprawnić onboarding nowych ludzi do zespołu w organizacji.
352:  SR - Czyli coś, co wiele organizacji chciałoby szybko wdrożyć pracownika, ludzie też chcieliby być szybko i sprawnie wdrożeni.
358:  SR - No i daliśmy ten problem jednemu zespołowi kilkuosobowemu, który pracował z czatem GPT w wersji 4.0, także w tym najmocniejszym, jaki jest w tym momencie.
367:  SR - A drugi zespół pracował z moderatorem, ze mną w tym wypadku akurat, i generował pomysły jedną z takich podstawowych technik, tak zwanego creative problem solving, które nazywa się brain writing, czyli cicha burza mózgów, pisana burza mózgów.
382:  SR - No i daliśmy mniej więcej pół godziny na wymyślanie pomysłów i porównaliśmy te pomysły.
387:  SR - Bardzo ciekawe jest to porównanie.
389:  SR - Co wam wyszło z tego?
390:  SR - Czad wygenerował więcej pomysłów w tym czasie.
393:  SR - On może szybko wygenerować bardzo dużo, to jest prosta sprawa.
398:  SR - Miał trochę takich pomysłów technicznych typu, a zróbmy jakąś grę planszową o naszej organizacji dla onboardowanych osób.
406:  SR - Ale ludzie mieli dużo bardziej empatyczne pomysły.
409:  SR - Lepiej wczuwali się w perspektywę osoby onboardowanej, lepiej wczuwali się w potrzeby zespołu.
415:  SR - Mieli pomysły tego zespołu, który przyjmuje nowych ludzi.
419:  SR - Mieli takie pomysły, powiedziałbym takie proste pomysły out of the box, czyli ludzie często narzekają przy onboardingu, że przychodzą do pracy, a nie ma dla nich sprzętu, muszą czekać, wiesz, dwa tygodnie na komórkę.
430:  SR - I ludzie na przykład to zauważyli i mieli taki pomysł, żeby dwa laptopy zawsze były w zapasie, wiesz, żeby dla takich... Takie proste rzeczy, które jednak nie są oczywiste, więc... Bo te doświadczenia wynikają też, no.
444:  SR - No, no więc właśnie.
445:  SR - Więc generalnie mam wrażenie, że czat był dobry na ilość, ale te pomysły były bardzo, bardzo ogólne i takie wiesz, jeżeli on jest wyuczony na tym, co jest Harvard Business Review i innych tego typu źródła onboardingu, no to wiesz, jakby zrepliktował to po prostu.
459:  SR - Natomiast zespołowi, który pracował z czatem, bardzo trudno było go docisnąć,
