Jak gry wideo mogą uczyć o dezinformacji? Krzysztof Maj
🔗 https://www.youtube.com/watch?v=oxuy-Ogajxo
KMM (Krzysztof M. Maj)
MCH (Mateusz Cholewa)

0:  MCH - Wstajemy rano, otwieramy oczy, do porannej kawy scrollujemy internet.
4:  S00 - I nie ma pewności, że to co czytamy w sieci jest faktem.
8:  MCH - Fałszywe treści są elementem naszej codzienności.
18:  S00 - Jak rozpoznać dezinformację?
20:  MCH - Jakie są jej techniki?
21:  S00 - O tym będziemy rozmawiać w podcaście Demagoga.
25:  MCH - Zapraszamy!
26:  MCH - Mateusz Cholewa i Viola Marek.
32:  MCH - Cześć, witajcie w kolejnym odcinku Demagoga i po raz pierwszy możemy zobaczyć się na żywo.
35:  MCH - Specjalnie dla was ubrałem tę piękną koszulkę i jest ze mną dzisiaj wyjątkowy gość, z którym będziemy rozmawiać o wyjątkowym temacie i mam nawet nam ładnie zapisany wstęp.
44:  MCH - Zwykle tego nie widzicie, ponieważ wszystko ukryte jest za ścianą Spotify'a albo ładnej grafiki przygotowanej na YouTube, a dzisiaj zobaczycie też trochę jak wygląda to
53:  MCH - Dzień dobry.
82:  KMM - Dzień dobry, dziękuję wam za zaproszenie, witam wszystkich oglądających.
86:  KMM - Mam nadzieję, że będę mu w tym pomóc, bo temat jest obszerny bardzo.
89:  MCH - Tak jest i też o którym dużo opowiadasz na swoim kanale, ale też piszesz w swoich pracach naukowych.
96:  MCH - Zacznijmy sobie od takiego wstępnego wejścia, zanim się zagłębimy w dezinformację.
101:  MCH - Zróbmy sobie taki basic, dla których być może dla niektórych osób, które nas oglądają hasło gry wideo i edukacja może być czymś zaskakującym.
110:  MCH - Dla ciebie takie nie jest, ponieważ w wielu swoich produkcjach przekonuję, że to są rzeczy, które mogą mieć naturalnie ramię w ramię, to choć moglibyśmy o tym poświęcić 40 minut, godzinę i dużo rozmawiać, gdybyś mógł powiedzieć, czy da się użyć takich gier do edukacji i czy jest to potencjał, czy to rozpraszacz?
129:  KMM - Trzeba o tym myśleć problemowo, a nie tematycznie.
131:  KMM - I to już jest podstawowy problem, z którym będzie się borykać polskie szkolnictwo, bo jest lektura nadobowiązkowa od jakiegoś czasu w postaci gry This War of Mine.
141:  KMM - Wielka niespodzianka, to znaczy są tam tak nieznane polskiej edukacji tematy, jak wojna, powstania.
147:  KMM - Wspomniałem o Wojnie i Powstaniach, no więc właśnie.
151:  KMM - To jest gra, która po pierwsze niewiele nas jest w stanie rzeczywiście nauczyć problemowo, bo też nie jest reprezentatywną grą dla tych, które się produkuje dzisiaj.
