Jak nie błądzić w otwartym świecie (krótki poradnik dla designerów) / Krzysztof M. Maj / 18. SFI
🔗 https://www.youtube.com/watch?v=fb9QGVuAtcs

17:  Dzień dobry, witam wszystkich serdecznie.
20:  Czy teraz się odpali mój klatkaż?
22:  Odpalił się mój klatkaż, oczywiście.
23:  Będziemy mówić sobie o tym, jak nie błądzić w otwartym świecie, na jednym z najsłuszniejszych przykładów, jaki sobie można wyobrazić, przynajmniej na początku, to znaczy oczywiście, że z uniwersum Warhammera 40 tysięcy
33:  Kto jeszcze czeka na Space Marine 2?
35:  Mam nadzieję, że nie tylko ja.
37:  Dobrze, czekają ludzie na Space Marine 2, jeżeli ta gra nie będzie dobra, albo jeżeli będzie taka jak Diablo 4, co w tym miejscu oznacza nie będzie dobra, to wtedy będę bardzo zmartwionym człowiekiem.
47:  Moi drodzy, będę starał się, żeby to było jak najmniej teoretyczne, jak najbardziej praktyczne, dlatego też profit, to znaczy na samym końcu będę miał taki segment, w którym opowiadam o tym,
58:  jak ogarnąć robotę w gamedev'ie, przynajmniej na podstawie internetu i własnych pomysłów, więc oby to się udało.
65:  Widzę, że klatkaż jest po prostu absolutnie dramatyczny, ale jakoś sobie z tym poradzimy.
70:  No, więc jest powód praktyczny na sam koniec, który będzie totalnie niezwiązany z tematyką tego wystąpienia, ale pomyślałem, że jako bonus mogę to wstawić, z tego względu, że praca w gamedev'ie w tym momencie wydaje się zagrożona, to znaczy mamy straszne AI,
85:  sztuczną inteligencję, terminatora, który nas zniszczy z tego względu, że wyszukiwarka zaczęła do nas mówić ludzkim głosem.
91:  Oczywiście tak się nie stanie, każdy kto programował albo kto zna się na sztucznej inteligencji wie, że zagrożenia nie ma, co nie zmienia faktu, że mamy ciekawy wektor ataku, zauważcie, to znaczy nikt się nie spodziewał, że to artyści będą mieć problem, prawda?
105:  Że humaniści, hoho, będą mieć problem, ci którzy piszą, ci którzy rysują,
110:  Ale moja odpowiedź jest następująca, żeby się absolutnie nie martwić z tego względu, że projektowanie gier wideo, o czym się przekonał i Ubisoft i EA, którzy będą bohaterami tego wystąpienia, jest o wiele bardziej skomplikowane niż jest w stanie to ogarnąć jakikolwiek w tym momencie algorytm, zwłaszcza taki, który bazuje na zamkniętej grupie danych.
128:  A zatem możemy mieć nadzieję, że może wreszcie te FedExQuesty okropne, kiedy jakaś starowinka mówi, panie, podaj trochę ziółek, potrzebuję pięć ziółek do mojej mikstury.
139:  I ten pasjonujący quest później się rozwija, macie te emocje, które czujecie, jak docieracie do krzewu, zbieracie te listki dla starowinki i wiecie, wy wiecie już, że wrócicie do jej chatynki, dacie jej tej listki i dostaniecie...
152:  punkty doświadczenia, to jest, to są te emocje.
156:  Ja myślę, że AI może to projektować i w ten sposób możemy przekierować siły kreatywne ludzi na ciekawsze zadania, prawda?
163:  Na przykład wymyślenie tego, co zrobić z tym questem, żeby był interesujący.
168:  Nie wiem, dlaczego mówię wam o questach, chociaż będę mówić głównie o projektowaniu światów, ale skończmy z klatkarzem urochamerowskim.
174:  Przedstawiam się jeszcze raz, mimo że zostałem bardzo miło przedstawiony, za co dziękuję, to znaczy badam gry, dream job by się wydawało i rzeczywiście tak jest, więc jestem zadowolony w miejscu, w którym jestem, a to jest Obi-Wan Kenobi.
186:  Serial Obi-Wan Kenobi był kiepski.
188:  I pytanie, które chciałbym zadać i żeby ono tak zawisło tutaj, to to czy gry wideo z otwartym światem rzeczywiście powinny być tak złośliwie wyszydzane, jak są?
198:  Bo wszyscy wiemy, jak miały wyglądać otwarte światy.
201:  To miała być piękna rzeczywistość, w której się poruszamy, o mało bym stąd spadł, w której się poruszamy tak jak w naszym świecie, tak jak w naszej rzeczywistości, że jest wszystko realistyczne, że przydarzają się nam rzeczy, tak jak w Red Dead Redemption 2.
216:  Idziemy sobie pięknie, konna przejażdżka ku zachodzącemu słońcu i nagle w kajdanach pojawia się jakiś więzień.
224:  Co zrobimy?
224:  Może mu pomożemy, ale jeśli mu pomożemy, to może nam sprzeda kulkę w łeb,
228:  A może dostaniemy jakieś informacje?
230:  Interesująca rzecz, prawda?
233:  To się fachowo nazywa quest albo narracja emergentna, czyli coś, co wyłania się ze świata i chcielibyśmy tego więcej.
240:  No ale tutaj wchodzi Ubisoft, prawda?
242:  Albo tutaj wchodzi EA, prawda?
244:  Albo niestety, muszę teraz powiedzieć, współczesny Blizzard i firmy, które po prostu widzą okazję na rynku i myślą sobie, ludzie lubią otwarte światy, świetnie, sprzedamy im grę, ale sprzedamy grę niekompletną i jeszcze przebijemy w tym paradoks.
260:  I w ramach tego niekompletnego tytułu wydamy nie tylko 15 bombilionów DLCków i treści dodatkowych, ale równocześnie będziemy wypełniać ten pusty świat contentem.
271:  I teraz, parę dni temu ledwie oglądam streama Asmongolda z Diablo 4,
276:  I Diablo 4, które dla wszystkich, którzy nie wiedzą jakimś cudem jest hack and slashem, polega na tym, że się właśnie to robi z potworami, to znaczy ciacha się je i musi być możliwie dużo potworów, żeby było dużo do ciachania.
288:  Przyznacie, filozofia niezbyt skomplikowana.
290:  Przy czym co robi Blizzard?
292:  To znaczy jest jedno skupisko potworów w tym momencie i później jest...
301:  O, i drugie.
302:  Po 15 minutach.
303:  No i to nie wygląda zbyt dobrze, prawda?
305:  Wygląda to jak pusty świat, który musimy wypełnić contentem, wypełnić tą zawartością.
310:  I to zaczęło nam przeszkadzać w otwartych światach.
312:  Druga rzecz, która nam zaczęła przeszkadzać w otwartych światach i tak dlatego złośliwie w tle się wyświetla mapka z Assassin's Creed Odyssey, to było zapełnienie mapy treścią, a ściślej mówiąc indykatorami tego, że treść istnieje.
326:  Pytajniczek słynny, prawda?
328:  To, co niestety...
329:  zrobili Redzi także w Wiedźminie III, które jest grą doskonałą, ale to nie znaczy, że nie ma wady.
334:  Mianowicie Wiedźmin oto podchodzi sobie do słupa ogłoszeniowego i słup ogłoszeniowy działa w ten sposób, że Wiedźmin czyta sobie parę zleceń wiedźmińskich.
342:  Wydaje się, że to jest naturalna sytuacja, prawda?
345:  Nic bardziej mylnego.
346:  Mianowicie natychmiast mapka nam się zapełnia pytajniczkami.
350:  I zauważcie, co robią pytajniczki.
352:  Kto pomyślał, że pytanie, które zadam, będzie brzmiało, co robią pytajniczki?
356:  Otóż pytajniczki robią następującą rzecz.
358:  Zamiast żebyśmy zwiedzali sobie świat, zainteresowani tym, że ja na przykład się zastanawiam, co jest za tą ciemną szybą tam z tyłu sali.
365:  O, ciekawa rzecz, może tam pójdę i sprawdzę.
368:  Ta nasza ciekawość, zamiast by zostać wyzyskana przez projektantów, jest zamieniona na takie chodzenie od punktu do punktu, nie?
375:  To znaczy, aha, dostajemy w takim razie punktu.
378:  Quest, dostajemy zadanie.
379:  Musisz oto, Mistrzu Wiedźminie, przejść od jednego pytajniczka do drugiego pytajniczka.
384:  I zamiast tego błądzenia po otwartym świecie, robi nam się ekwiwalent gry linearnej, liniowej, bo idziemy od pytajnika do pytajnika.
395:  A zatem ta filozofia konstruowania i projektowania światów jest dziurawa, a w każdym razie jest in development, moglibyśmy rzec.
403:  Jest wiele do poprawy.
405:  Nie powiedziałbym jednak, że sam pomysł, że otwarty świat jest przyszłością gier wideo, jest wskazany na niepowodzenie.
415:  Bo jednak mogę się śmiać z mechanizmów gacza hazardowych Genshin Impact, ale nie mogę nie przyznać, że powodem, dla którego sam wracam z całą swoją świadomością tych hazardowych mechanik do Genshin brzmi, okej, jest nowy region.
429:  Nie, okej, jest nowa część fabuły, nie mogę się doczekać, co tam mi opowiedzą, tylko jest nowy region do wyeksplorowania i może tam coś odkryję interesującego.
439:  I to, wydaje mi się, jest intratny mechanizm marketingowy, bo zauważcie, że nie musimy wydać Genshin Impact 2, Genshin Impact 3, Genshin Impact 4, patrzy na ciebie Guild Wars i tak dalej,
451:  tylko wydajemy kolejne regiony w ramach jednego uniwersum i teraz powiedzmy sobie jeszcze więcej, żeby nie było, że odwołuje się do hazardowej gaczy, wróćmy do ukochanego Wiedźmina 3 i wyobraźmy sobie, okej, jest Andrzej Sapkowski, jest pomysł na multiwersum,
466:  Czyli możemy nieskończoną liczbę gier osadzić w tym multiwersum, możemy w nieskończoność to marketować, możemy w nieskończoność doić tę kurę znoszącą złote jajo, mimo że kury się nie da wydoić.
478:  Jest to mechanizm marketingowy moim zdaniem o wiele lepszy od idiotycznych skórek kupowanych za 40 tysięcy dolarów
486:  tudzież właśnie od mechanizmów gacza, tudzież innych sposobów monetyzacji, a już na pewno jest lepszy dla studiów niż wydawanie narracji seryjnej.
494:  Tak, mówiłem tak długo na jednym slajdzie z Ubisoftu, już Wam to daruję.
498:  W związku z powyższym teraz będziemy się wpatrywać w mordę Androida Wilsona z EA, który już zapowiedział, że
505:  będzie czyścił szeregi EA, swoją drogą wczoraj ledwie 800 osób zostało zwolnionych, no z uwagi na to, że jest AI.
512:  Teraz problem nasz polega na tym, że rzeczywiście gry z otwartym światem w tym stanie, w którym teraz są, są łatwe do zaprogramowania z użyciem AI, ponieważ niestety społeczność graczy przyzwyczaiła studia do tego, że mogą sobie pozwolić na to,
526:  niestety, żeby robić generyczne questy, takie, które są dokładnie takie same, bo staliśmy się takimi bezrefleksyjnymi pożeraczami growego contentu i każdy gracz powie, że brakuje mu czegoś więcej.
541:  Może więc jest szansa na to, żeby ten komunikat, który staram się tutaj formułować, trochę się przebił do was, mam nadzieję przyszłych projektantów gier,
549:  żeby spróbować powiedzieć coś więcej.
552:  Przypomnijcie sobie, jak Wiedźmin 2 zrobił chociażby quest Wór Pełen Piór, który był bardzo prostym Fedexem.
559:  Trzeba było o to pójść do Harpie, zabić Harpie, zebrać pióra i dać je człowiekowi, który o nas o to poprosił.
567:  Prosta sprawa.
568:  No ale później w toku rozwoju tego questu, przepraszam za paskudny spoiler, ale jest drobny,
572:  Okazuje się, że tenże człowiek uszył sobie piękny strój z tych wszystkich piór i wyglądało to jak kurak.
579:  I Geralt patrzy na niego i mówi, no ładna pogoda, prawda?
585:  No i jest pięknie, prawda?
586:  Więc jak widać, można taki element właśnie ludzki wprowadzić do tych questów, nawet jeżeli one są schematyczne i nieznośne.
592:  Za ten element ludzki, swoją drogą, w Wiedźminie II odpowiada Artur Ganszyniec.
596:  Swoją drogą Artur Ganszyniec również projektował tę rozwidlającą się ścieżkę i ten pomysł, z tego co pamiętam, również po jego stronie stał, żeby zachęcić graczy do replayability w najbardziej możliwy, radykalny sposób, to znaczy dać w zasadzie dwa różne możliwości.
611:  drugie rozdziały.
613:  Jasne, że każdy woli pójść do tej pięknej fortecy krasnoludów niż do dziwnego, bagnistego obozu, ale z drugiej strony Odrin, więc ciężki wybór.
622:  I po tym druga informacja, którą mam dla Was prasowa, jest czarno-biała, dlatego że jest ona smutna, dokładnie taka sama jak życie Androida Wilsona.
630:  Mianowicie Ubisoft mówi, że będzie wykorzystywał AI do projektowania questów.
635:  Tak wiem, to jest bardzo zaskakujące.
637:  Wszyscy myśleliśmy, że oni to już robią od dawna.
640:  ale tak naprawdę będą to robić od niedawna.
642:  I to możemy sobie wyobrazić, do czego to doprowadzi.
646:  Więc myślę sobie, że obydwa warianty są bardzo interesujące.
649:  To znaczy albo się okaże, że te questy są lepsze, tym gorzej dla Ubisoftu, albo się okaże, że będzie gorsze, tym gorzej dla graczy.
656:  Jeden i drugi wariant to będzie a spectacle to behold z pewnością i będziemy sprawę śledzić.
661:  Niemniej wydaje mi się, że nie byłoby tej zapowiedzi, gdyby właśnie nie przejście do tych otwartych światów.
666:  Dlatego właśnie dzisiaj chciałem Was zaprosić do refleksji nad tym, jak możemy wypełniać pudełko, jakim jest świat gry.
674:  I to celowo używam słowa pudełko, czy metafory pudełka, dlatego że przywykliśmy do tego, żeby myśleć o świecie jako o scenie, na przykład takiej nudnej scenie, na której ja stoję, powtarzalna scena.
685:  w nowoczesnym budynku zbudowanym po to, żeby był nowoczesny.
689:  Pamiętam, że zawsze śmiałem, jak przyjeżdżali z zagranicy do nas i się dziwili, dlaczego my budujemy takie nowoczesne kampusy, jak tam już się to dawno znudziło i ludzie wolą raczej być w historycznych miejscach.
699:  O, taka mała anegdotka.
700:  W każdym razie światotwórstwo ma znaczenie, moi mili.
703:  I to, czy projektujemy wokół siebie przestrzeń, która jest powtarzalna, czy też staramy się nadać jej charakter, ma niesamowite znaczenie w gamingu.
712:  I ten świat pojęty jako pudełko jest właśnie tym pudełkiem dlatego, że jest przez nas zamieszkiwany.
718:  Tak jak przez graczy, tak samo nasza rzeczywistość jest zamieszkiwana przez obywateli tego pięknego kraju.
724:  A zatem oznacza to, że meblujemy świat nie tylko
729:  lewelem jakimś, gdzie będzie architektura określona.
733:  Tam także musimy dać ludzi przestrzenie, które tym ludziom odpowiadają, bo musimy umieścić przedmioty, które będą interesujące i dopiero potem możemy się zabrać za treści fabularne, jak już będziemy mieli tę architekturę.
744:  Będę się starał to jakoś sensownie zwizualizować na najbliższych slajdach.
747:  Na początek standardowy mój wymiar
750:  Wybieg, który stosuję we wszystkich wykładach poświęconych grom wideo, mianowicie gra wideo nie jest grą wideo, nie jest tylko i wyłącznie zatem rozgrywką.
758:  Jest pewnego rodzaju światem, w którym możesz znaleźć się dokładnie tyle, o, będę tutaj machał laserem, dokładnie tyle mediów, ile w naszej rzeczywistości.
767:  Więc im więcej będziemy mieli mediów w naszym świecie, tym więcej mediów możemy wpakować do gry wideo i, co ciekawe, zwykle jest tak, że te gry, które są cenione przez graczy,
777:  Właśnie mają w sobie dużo mediów, możemy w nich dużo zrobić, możemy przeczytać w nich książkę, komiks, obejrzeć film, nawet i niekiedy serial, albo zagrać w grę w grze, co też ma znaczenie i nieprzypadkowo.
791:  Są takie gry jak chociażby Gwint, niepoprawnie wymawiany Gwent, który zyskał swoją osobną postać w postaci tytułu, który został normalnie wydany na rynku.
803:  A zatem jesteśmy w stanie, jeśli będziemy projektować światy, a nie gry, zaoferować graczom coś, przy czym oni będą chcieli zostać dłużej, a znowu odwołuję się do bardzo istotnego na wszystkich kierunkach informatycznych poczucia marketingowego, mianowicie im dłużej gracze będą w światach gier, tym więcej będziemy zarabiać pieniędzy na ich projektowaniu, więc ma to sens, prawda?
826:  Im dłużej będziemy też opiekować się danym tytułem, tym gracze mniej chętnie będą się chcieli z nim rozstać,
832:  No, kto gra w World of Warcraft dla questów?
837:  Bardzo interesujących questów, które są za każdym razem takie same.
840:  No oczywiście, że się nie gra w World of Warcraft dla questów, gra się już z przyzwyczajenia, woła o ile w ogóle, a z przyzwyczajenia gramy dlatego, że mamy tam znajomości, mamy tam jakąś gildię, mamy tam parę lat, które wtopiliśmy już albo pieniędzy i w związku z powyższym jesteśmy wciąż w tym świecie, właśnie z uwagi na tę jakąś emocjonalną więź, którą zbudowaliśmy.
861:  bez obaw zrobi się ściślej, już się robi ściślej.
863:  Pierwszy schemat straszliwy, to znaczy w GameDevie używa się dwóch określeń na nazwanie tego, czym wypełniamy nasz świat.
871:  Po pierwsze jest to story jakieś i dlatego jeżeli usłyszycie, że będziecie story designerem, to będziecie zajmować się projektowaniem questów, oby nie były to Fedexy, ponieważ wtedy was zastąpi AI.
882:  A po drugie content, czyli wszystko to, co nie jest questem, a jest mimo wszystko w grze.
888:  I tutaj jest bardzo ciekawa funkcja gier jako medium, szybko muszę to zaznaczyć, mianowicie w grach to my jesteśmy narratorami, to my tworzymy narrację.
896:  Prosty test.
897:  W dowolnie prostej grze może być, nie powiem, że to jest Dark Souls, bo to było bardzo złośliwe, ale powiedzmy w dowolnie prostej grze, gdzie jesteśmy w stanie eksplorować sobie rzeczywistość.
908:  Postarajmy się ostatnie 5 minut opowiedzieć,
911:  I natychmiast okaże się, że tworzymy narrację, że opowiadamy w czasie przeszłym o naszych losach w tym świecie.
917:  Ergo to gracz tworzy narrację, nie tylko studio.
921:  Idealna gra zatem to będzie taka, w której dostaniemy i jedno i drugie.
926:  I tutaj mamy odpowiedź na fenomen gier FromSoftu.
929:  W grach FromSoftu to my tworzymy opowieść historii.
932:  O tym naszym znękanym, biednym podróżniku, który został tak strasznie złojony po dupsku, że on już niczym innym nie marzy, tylko żeby uciec z tego świata, ale musi się wpierw zemścić na każdym jednym bosie.
946:  I to oczywiście...
947:  sprawia, że wypracowuje się taka więź emocjonalna między nami a światem gry, który praktycznie o sobie nie opowiada.
955:  No bo cóż te wszystkie rozproszone notatki by nam dały, gdyby nie kanał VATiVD, który wszystkie je gromadzi i wyjaśnia nam, o co tak naprawdę w tym wszystkim chodzi.
964:  Ale fakt faktem jest, że jesteśmy w stanie zbudować jakąś naszą egzystencję w tym świecie i poczucie, że mimo tych wszystkich trudności, zdołaliśmy opowiedzieć jakąś swoją historię, jest to piękne.
977:  No i potem wychodzi Elden Ring i tak będziemy dzisiaj mówić o Elden Ring'u.
981:  Ale ten content zatem to może być coś, co jest wypracowane przez gracza.
985:  I tutaj wracamy do moderów na przykład.
987:  Dlaczego moderzy za darmo tworzą treści do gry?
990:  Dlatego, że stworzył ktoś wcześniej piękny świat, który oni chcą zamieszkiwać, a w którymś momencie skończy nam się historia.
997:  Zawsze bawiło mnie, jak ktoś mi mówił, że w gry wideo gra się po to, żeby wygrać.
1001:  Znaczy to jest boomerskie przeświadczenie wszystkich tych, którzy uważają, że gry wideo kończą się na dynie blaster.
1007:  Natomiast prawda jest taka, że współczesnie nie da się w gry po to, żeby wygrać, no chyba, że to jest gra kompetytywna, wtedy raczej chcemy wygrać mecz, ale wciąż nie jesteśmy w stanie wygrać Fortnite'a, znaczy no nie da się tego zrobić.
1018:  Co nie zmienia faktu, że po coś gramy, prawda?
1021:  Ewidentnie jest coś takiego w grze, co sprawia, że chcemy przejść naprzód i chcemy zostać dłużej w tym świecie.
1028:  No i bardzo często jest to właśnie content, content sezonowy.
1030:  Dlatego też gry z długim wsparciem starają się o różnego rodzaju update'y.
1035:  To mogą być update'y związane z jakimiś świętami albo z czymś, co się po prostu przydarzyło w świecie gry.
1039:  Tworzy się, krótko mówiąc, jakaś rzeczywistość i zarazem ekosystem treści.
1045:  Dobrze, dużo gadam, w związku z powyższym szybki przykład z Hogwarts Legacy, który akurat teraz ogrywam.
1050:  Mianowicie gry wideo prezentowały już parę sposobów na to, jak komunikować treści narracyjne.
1056:  Pierwszy jest bardzo prosty, to znaczy dostajemy dwie gadające głowy, które wymieniają się liniami dialogowymi.
1062:  Ale zauważcie, że przeszliśmy bardzo daleką drogę od statycznych dialogów w Neverwinter Nights, które wyświetlały się w rogu ekranu, tak żeby nikt ich nie widział.
1070:  I nagle mamy filmowe dialogi, nagle kamera, tutaj już trzeci raz się zmienił kadr i trzeci raz kamera albo wykorzystała zbliżenie, albo plan dalszy, dynamizując rozmowę.
1081:  To jest, moi drodzy, story.
1083:  I to jest to, za co odpowiadają ludzie na samym końcu procesu projektowania fabuły.
1088:  I dlatego też to zwykle jest najdroższe, bo story jest czytane przez aktorów, dialogi są czytane przez aktorów.
1094:  Zatem, jeżeli myśleliście kiedykolwiek, że jak piszecie quest, to zaczynacie go od dialogów, paradoks polega na tym, że nie.
1101:  Powieść, możemy zacząć od dialogu opowiadanie, pewnie, świetny pomysł.
1104:  Natomiast quest, haha, z questem jest tak, że ten dialog bardzo często trzeba napisać na końcu, a wcześniej musicie stworzyć sytuację dialogową naturalną.
1112:  Więc gdybyśmy byli quest designerem w tym momencie, to byśmy opisali, że bohaterka gry rozmawia z Hekat, która jest byłą aurorką, byłą pracownicą Departamentu Magii, nie pamiętam dokładnie, i będzie o tym opowiadać.
1125:  Koniec, koniec opisu, przechodzimy dalej.
1127:  Ale później wchodzi ktoś, na przykład scenarzysta, który wykorzystując swoją wiedzę o pisaniu scenariuszy daje nam dialog, więc story.
1136:  Czy to jest też story?
1138:  Trochę tak, ponieważ to jest przecież Avada Kedavra rzucona w realiach świata, w którym to jest zaklęcie niewybaczalne.
1145:  A zatem wcielamy się w maga, czarodziejkę, wszystko jedno, która rzuca zaklęcie niewybaczalne.
1151:  Musimy znać lore Pottera, żeby wiedzieć, czym są zaklęcia niewybaczalne.
1155:  Jest to zatem jakiś narrative, powiedzielibyśmy już, nie story.
1160:  plot, nie story, nie dialog, tylko narracja, bo jesteśmy tu na trochę innym poziomie.
1165:  I teraz wracam trochę do przykładu z Dark Souls.
1167:  Wszystkie notatki, wszystkie elementy, które znajdujemy, miecze, artefakty, to też jest część narracji.
1174:  Co więcej, musicie to opisać jako narrative designerzy gdzieś, mieć jakąś encyklopedię, jakąś bazę danych, gdzie każdy z tych przedmiotów będzie mieć swój opis.
1184:  Natomiast jest jeszcze jeden element w ramach tego narratywu,
1187:  który jest tworzony i teraz dla spostrzegawczych, czym się będzie różniła ta scena, jeszcze sobie powtórzmy ją na wszelki wypadek, mianowicie ta scena, tak?
1197:  Czym ona będzie się różniła od następnej?
1204:  Otóż różni się ona tym, że moja postać ma maskę niuchacza.
1208:  Maska niuchacza sprawia, że już Czarodnioksiężnik nie wygląda tak potężnie, jakby się wydawało, tylko jest niuchaczem, czyli bardzo małym stworzonkiem poszukującym złota.
1219:  Nie wygląda to już tak nieprawdopodobnie dramatycznie, jakby mogło wyglądać w filmie.
1226:  Przypuszczam, że gdyby, nie wiem, Yates, który reżyserował Pottery, chciał
1230:  sportretować Lorda Voldemorta, to nie dałbym mu maski niuchacza, podczas gdy krzyczy na cmentarzu w bardzo zabawny sposób, wciskając czoło podtera, to jest najbardziej żenująca scena w historii kinematografii.
1242:  W każdym razie, gdybym Voldemort miał maskę niuchacza, byłaby jeszcze bardziej żenująca.
1246:  Dlaczego nie przeszkadza mi to, że mam maskę niuchacza?
1249:  Z bardzo prostego powodu, to znaczy w grze jest jeszcze roleplay, niezależnie od tego co mamy, to jest ten element, który jest najbardziej osobisty, ten, który jesteście w stanie zagospodarować jako gracze, jeżeli studio dało wam możliwość kustomizacji postaci, dlatego tak wredne jest, jeżeli kustomizacja jest płatna, bo to nie jest prawda, że...
1267:  no to najwyżej nie będziemy kupować tych skóry.
1271:  No nie musisz, żeby ukończyć.
1273:  Ja kocham taką argumentację, przecież właśnie o to chodzi w grze, żeby wyrazić siebie, żeby pośmiać się czasem z gry albo z samego siebie, żeby stworzyć coś, co będzie interesujące w obrębie tego świata.
