Jak rozpoznać KOSMITĘ? 👽 – Krzysztof M. Maj i Piotr Kosek @Astrofaza  | pop!cast naukowy 🚀7
🔗 https://www.youtube.com/watch?v=j17u-wdVvKs
KMM (Krzysztof M. Maj)
PK (Piotr Kosek, Astrofaza)

0:  PK - Jakkolwiek na przykład, jeżeli chodzi o kosmitów i jego podejście do obcych, to ja jestem wielkim zwolennikiem tego, że obce formy życia mogą być tak obce, że dla nas niezrozumiałe, ile bym pokazywał je z tej strony.
9:  PK - Nie wiem, ocean będący obcą formą życia, czy obcy, którzy totalnie nie chcą kontaktu z nami, bo po co?
16:  PK - Tak jak, nie wiem, nie nawiązujesz kontaktu z mrówkami za bardzo.
20:  PK - Może niektóre osoby fascynują, ale większość ludzi mija mrowisko i nie za bardzo się tym interesuje.
25:  PK - Więc on pokazywał to inne podejście.
28:  PK - Kosmici, którzy z dziwnego powodu przylatują i nagle chcą nam pomagać.
31:  PK - Oddać swoją technologię i w ogóle kumbaja.
35:  PK - Razem wszyscy.
43:  KMM - Dzisiaj w Bunkrze Nauki gościmy Piotra Koska z kanału Astrofaza.
47:  KMM - Piotrze, czy myślisz, że twój kanał stanie się takim pierwszym źródłem wiedzy w Polsce dotyczącym astrofizyki, kosmonautyki i wszystkiego co interesujące w kosmosie i przestrzeni kosmicznej?
60:  PK - No i od razu do konkretu, ciężkie pytanie, w końcu jesteśmy w bunkrze.
66:  PK - Słuchaj, wiesz co, no nie, jakby na początku to był jakiś tam projekt, oczywiście zawsze warto wyjść z marzeniami, jak to się mówi, więc tak sobie gdzieś tam zakładałem, że mogłoby to być coś fajnego, mogłoby to się udać, mogłoby to być jakimś jedynym zajęciem i to się udało wypracować po jakimś tam czasie.
84:  PK - Natomiast
87:  PK - Wiesz, nie myślałem w takich kategoriach, też nie było takich kanałów, teraz jest ich więcej.
91:  PK - Są chłopaki, którzy fajnie robią różne aspekty, to też jest fajne, bo się tak pokrywamy całość tematu teraz dzięki temu.
98:  PK - Jest kanał np.
98:  PK - Astrolife, który pokazuje obserwacje, czego ja nie robię, nie mam na to już nawet czasu itd., a u niego można sobie live'y obejrzeć, jak obserwują jakieś obiekty głębokiego nieba, księżyc, planety, różne zjawiska, które zachodzą i to się fajnie gdzieś tam w tym momencie wszystko uzupełnia za zębia.
116:  PK - Natomiast jak ja zaczynałem, to nie było kompletnie nic o kosmosie, więc ciężko było mieć też jakiekolwiek oczekiwania.
123:  PK - Nie było na przykład konkurencji, do której mógłbym się porównywać i mówić, okej, to przeskoczmy ich, zróbmy coś większego.
129:  PK - Nie było tak naprawdę, wiesz, to był początek YouTuba jako takiego, więc...
133:  PK - Ciężko było sobie też wyobrazić, co z tym można zrobić.
136:  PK - Więc to była czysta taka radość tworzenia, zróbmy film, chcę opowiedzieć o tym, czego sam się dowiedziałem na przestrzeni lat, czy co się właśnie wydarzyło, więc powstawały różne serie i gdzieś ten kanał ewoluował.
148:  PK - Także takiego założenia nie było, ale od początku było założenie, żeby robić to porządnie, żeby ewentualnie było to coś stałego, a nie tylko jakaś tam przygoda, która po miesiącu, dwóch zakończy się.
160:  KMM - Myślę też, że dużo ludzi doceniło to ze względu na to, że miałeś zawsze takie połączenie pięknej muzyki, która też się dobrze kojarzy z przestrzenią kosmiczną i wizualiów.
170:  KMM - I stworzyło się z tego takie widowisko, jak ludzie kochają w Interstellarze czy innych filmach science fiction.
176:  KMM - No i właśnie pytanie związane z tym troszeczkę.
179:  KMM - To znaczy każdy się za młodego interesuje kosmosem.
183:  KMM - Właśnie dlatego.
184:  KMM - Albo dinozaurami.
184:  KMM - Albo dinozaurami.
185:  KMM - To są dwie opcje.
187:  KMM - I w jednym i w drugim przypadku dlatego, że są jakieś materiały wizualne, które nas podjarają.
