Jak wygląda dojenie znanych marek - gościnnie Krzysztof M. Maj i Bez/SchematuBez/Schematu
🔗 https://www.youtube.com/watch?v=z2luWI23esY
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
RP (Radosław Pisula, Full Frontal Pisula, Napisy Końcowe)
OR (Oskar Rogowski, Napisy Końcowe)

0:  OR - Hej, witajcie na Napisach Końcowych.
1:  OR - Mamy dzisiaj fantastyczną dyskusję.
4:  OR - Po raz kolejny możemy tutaj gościć Filipa z Bez Schematu i Krzysztofem Maja.
10:  OR - Linki jak zawsze do ich twórczości będą w opisie.
15:  OR - Wiemy, że bardzo duża część naszych widzów była niesamowicie zadowolona z ostatniej dyskusji na temat adaptacji.
22:  OR - Tu mogę wam powiedzieć, chłopaki, że dostaliśmy masę komentarzy, że była to jedna z najlepszych dyskusji w ogóle w historii naszego kanału.
29:  OR - Więc bardzo miło.
30:  OR - Mam nadzieję, że dzisiaj również dostaniecie nasi widzowie piękną i merytoryczną dyskusję.
37:  OR - A dzisiaj trochę pociągniemy ten temat, bo gadaliśmy sobie o adaptacjach i o tym, czym one powinny się rządzić.
42:  OR - Dzisiaj porozmawiamy o innych elementach rozszerzania marek, ale zamiast adaptacjach pogadamy bardziej o sequelach, spin-offach, generalnie przedłużaniu marek, o tak nazwijmy to.
57:  OR - Ja zacznę od takiej mojej drobnej tezy i powiecie co o niej sądzicie i porozmawiamy o innych tematach.
64:  OR - Mam wrażenie, że w dzisiejszych czasach mamy trochę taką chorobę społeczną, którą ja nazywam osobiście sequeloza, która polega na tym i nie mówię tutaj o samych wytwórniach, bo wiadomo, że wytwórnie to te zwierzęta, które jak tylko zobaczą, że gdzieś tutaj pieniążki są, gdzieś tutaj widownia może potencjalnie polecieć, to zrobią.
83:  OR - Ale bardziej mam wrażenie, że w ludziach jest taka dziwna potrzeba, którą dosyć mocno kultywowało MCU, tutaj trzeba być szczerym, do tego, że żadna historia nie ma prawa mieć kropki.
95:  OR - Żadna historia nie ma prawa się skończyć.
98:  OR - Każda historia ma być tylko i wyłącznie...
102:  OR - etapem do kolejnej historii.
104:  OR - Tak jak mówię, niestety MCU bardzo, bardzo to podbudziło, robiąc to dobrze stosunkowo przez długi czas, ale mam wrażenie, że ludzie dzisiaj tak bardzo oczekują kontynuacji każdego wątku, każdego motywu i oczywiście studia na to natychmiast skaczą jak drapieżne koty na ofiary, że po prostu...
126:  OR - Nie da się, nie da się.
127:  OR - Masz wrażenie, że w dyskusji jest bardzo często temat tego, czy nie tyle, czy ten film był dobry, czy ta historia fajnie się zakończyła, czy ona fajnie coś dopowiedziała, tylko ciekawe co dalej, jak dalej, jak dalej, jak dalej, jak dalej.
139:  OR - I moje pytanie już byli do was, czy po pierwsze też to zauważyliście, jeśli tak, to z czym to się wiąże, z czego to się bierze?
146:  OR - Bo mam wrażenie, że reszta naszej dzisiejszej dyskusji, czyli jak studia na to reagują i co się dalej z tym wiąże, zaczyna się właśnie w tym miejscu.
156:  BFP - Czy mogę przejąć piłeczkę od razu?
158:  BFP - Bo na usta mi się ciśnie drugie słowo.
160:  BFP - Ty powiedziałeś sequeloza.
164:  BFP - Nad tym słowem jest większe, czy może jakbyśmy budowali piramidę, to fundamentem sequelozy jest tak zwana korporacjoza.
170:  BFP - I nigdy wcześniej tak bardzo filmy, seriale, marki
178:  BFP - postaci, które się w nich pojawiają, nie były traktowane jako aktywa korporacyjne, jak w tym momencie.
185:  BFP - I nie pamiętam, czy to był Marcin Scorsese, czy ktoś inny w bardziej zniuansowanej swojej krytyce Marvela, którego oczywiście lubię, wy też lubicie chłopaki, ale też lubimy pokrytykować całkiem trzeźwo, powiedział, problem z Marvelem jest przede wszystkim taki, że aktorzy, którzy tam występują, oni dla Marvela nie są aktorami, oni są wizerunkami, które kupili.
205:  BFP - i którymi dysponują swobodnie tak jak chcą i mogą z nimi zrobić to co chcą mogą równie dobrze ich w jakiś sposób zduplikować w formie cyfrowej i w przyszłości kiedy Jeremy Renner na przykład nie będzie mógł grać ze względu na swój wypadek to oni mają prawo wykorzystać jego podobiznę, bo to nie jest Jeremy Renner, to jest Hawkeye który ma podobiznę Jeremy'ego Rennera
225:  BFP - I wydaje mi się, że Marvel jest oczywiście takim skrajnym przykładem.
229:  BFP - Pewnie pojawi się dzisiaj jeszcze The Walking Dead, które można dojść w nieskończoność, póki nie zacznie dawać aż zsiadłego mleka, a to już się stało jakieś 7 lat temu.
237:  BFP - Ale to jest poważny problem, że sequeloza jest tylko i wyłącznie...
245:  BFP - pochodną, czy symptomem poważniejszego problemu, jakim jest próba wyciskania ile tylko się da z tych aktywów, które są najbardziej, chciałbym użyć słowa wartościowe, ale dają po prostu największy zwrot z inwestycji całkowicie niezależnie od tego, czy to jest artystyczne, czy nie.
262:  RP - Także mówię, że te rzeczy, o których będziemy mówić, one mają swój termin przydatności do użycia.
270:  RP - To nie są takie seriale i one nie są przygotowywane w taki sposób, żeby były po latach wspominane w jakiś wielki sposób.
280:  RP - tak jak The Walking Dead, nie?
281:  RP - To ma być produkt, który ma się sprzedawać tu i teraz i musimy w tym momencie wyciągnąć z niego jak najwięcej się da.
286:  RP - Czyli jak widzimy, że widzowie kogoś lubią, ktoś jest popularny i mamy tych aktorów na podorędziu i oni też mają termin przydatności, bo wiadomo, że nie będą tutaj grali wiecznie, że w końcu się z tym znudzą, tak jak było z Andrew Lincolnem, nie?
297:  RP - Który w którymś momencie powiedział, że już dość,
299:  RP - No nie da się, nie da się przez tyle lat ciągnąć jednego projektu.
303:  RP - I oni wiedzą, że muszą jak najwięcej z tego wyciągnąć.
