Kiedy BOJKOT ma sens, a kiedy zmienia się w ABSURD?
🔗 https://www.youtube.com/watch?v=95VZBqBvPNQ
KMM (Krzysztof M. Maj)
OR (Oskar Rogowski, Napisy Końcowe)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

20:  BFP - Szanowni, witajcie na, mam nadzieję, jednej z najciekawszych dyskusji w historii tego kanału.
27:  BFP - Będziemy dzisiaj rozmawiać o bojkocie i przygotowując się do tego spotkania myślałem, czy nie powinienem użyć terminu, który się przyjął przez dekady.
39:  BFP - czyli bojkotu konsumenckiego, ale pomyślałem wtedy, że bojkot konsumencki to jest wtedy, kiedy ktoś mówi, nie, nie będę kupował tego produktu albo nie będę oglądał tego filmu, żeby nie wspierać danej wytwórni czy jakiejś marki.
52:  BFP - Może jeszcze podzielę się tą informacją na Facebooku.
54:  BFP - Nie wspieram, ponieważ nie popieram i nie kupuję, ponieważ nie jest to zgodne z moimi wartościami.
61:  BFP - Tylko mam wrażenie, że to o czym dzisiaj będziemy rozmawiali nie mieści się już w tym terminie bojkotu konsumenckiego, a będziemy rozmawiali o tym, czy warto bojkotować, czy bojkot przynosi skutek.
74:  BFP - kogo bojkotować, czy my powinniśmy decydować o tym, za was kogo powinniście bojkotować i co bojkotować i czy powinniśmy bojkotować tych, którzy nie bojkotują.
85:  BFP - Wiem, że było bardzo dużo tego słowa na B, ale zanim wy nas skancelujecie i zbojkotujecie ten odcinek i ten kanał, to proszę dajcie nam spróbować przedstawić naszą perspektywę
96:  BFP - możliwie najbardziej merytorycznie i rzetelnie, jak jesteśmy w stanie to zrobić.
100:  BFP - A przez my mam na myśli Oskar Rogowski z kanału... Dobrze włączyłem dźwięk.
108:  BFP - Oskar Rogowski z kanału Spalmy To, tym razem w innej kolejności podaję i napisy końcowe.
113:  BFP - Dzień dobry.
115:  BFP - Krzysztof M. Maj.
118:  BFP - To ja.
119:  BFP - I Grzegorz Wątroba z kanału Okiem Deva.
121:  S02 - Tadeu.
123:  BFP - Nie ma dzisiaj z nami Radka Pisuli, to zaznaczę, to ważne, ponieważ zapowiadałem, że będzie niestety przez zupełnie nieprzewidziane okoliczności.
130:  BFP - Radek nie mógł z nami dołączyć, ale mam nadzieję będzie z nami duchem i jeszcze będzie okazja być może razem z nim zabrać głos w tej sprawie.
137:  BFP - Panowie...
139:  BFP - Dlaczego podejmujemy ten temat?
140:  BFP - Tapeta w tle może zdradzić wiele.
142:  BFP - Tak, Hogwarts Legacy i nazwisko J.K.
145:  BFP - Rowling wróciło na usta bardzo wielu osób i na konta bardzo wielu profili na Twitterze.
151:  BFP - I to jest jeden z tematów, który na pewno będzie dzisiaj poruszony, ale nie jedyny.
156:  BFP - Mamy również Atomic Heart, o którym...
159:  BFP - o którym jest ciszej, ale też o którego bojkocie jest również ciszej.
163:  BFP - I warto zadać sobie pytanie, czy to dobrze, czy źle?
167:  BFP - Mamy nadchodzący film The Flash, w którym główną rolę tytułowego Flesha zagra osoba Ezry Millera, która jest wyjątkowo kontrowersyjna.
176:  BFP - Czy będzie bojkot, czy nie?
178:  BFP - Później tego roku ukaże się film Aquaman,
181:  BFP - w którym będzie grała Amber Heard.
183:  BFP - Czy będzie bojkot, czy nie?
184:  BFP - Jeżeli będzie bojkot, jakie przyjmie wymiary, jaką przyjmie skalę?
188:  BFP - Więc chciałbym oddać na sam początek tobie głos, Krzysztofie, ponieważ wypowiadałeś się już kilkukrotnie w tych tematach, ale wychodząc od Hogwarts Legacy, nagrałeś bardzo ważny short i zmieściłeś w tych kilkudziesięciu sekundach kilka ważnych myśli.
204:  BFP - Chciałbym, żebyś zaczął, żebyś powiedział o tym, jak ty rozumiesz bojkot
208:  BFP - I jak widzisz ten bojkot i czy to ma coś wspólnego z bojkotem i czy jakkolwiek go popierasz?
215:  KMM - Znaczy może zacznę od paru disclaimerów, bo to jest dość istotne i jest to bardzo dla mnie smutne i przykre, że wiele razy, mimo że zajmowałem stanowisko bardzo czytelnie po stronie całego spektrum LGBTQ+, ponieważ to jest moja etyka zawodowa,
233:  KMM - To znaczy, jeżeli ktoś przychodzi do mnie na zajęcia, mnie nie interesuje jego seksualność, nie interesują mnie jego poglądy, mnie interesuje jako człowiek, jestem otwarty na innego człowieka.
242:  KMM - Równocześnie wykładam Gender and Queer Studies na uniwersytecie i jestem dość na bieżąco z wszelkimi dyskursami równościowymi od lat 80. w górę.
253:  KMM - Na naszym serwerze na Discordzie w Holistycznej Agencji Eskapistycznej od samego początku w regulaminie jest zakaz transfobii, zakaz seksizmu i jakiegokolwiek dyskryminowania jakichkolwiek mniejszości z jakichkolwiek powodów.
266:  KMM - Równocześnie parę moich znajomych, zrobię się z tego expose, ale przepraszam, muszę to powiedzieć, paru moich znajomych walczących o prawa osób trans zostało wyzwanych od transfobów w momencie, w którym grali w Hogwarts Legacy.
279:  KMM - I stwierdziłem, w związku z powyższym, że trzeba powiedzieć przynajmniej jedną zasadniczą rzecz.
284:  KMM - Fandom Potterowski odciął się od J.K.
286:  KMM - Rowling lata temu, wtedy kiedy zaczęła uprawiać coś, co się nazywa właśnie w queer studies pinkwashing, czyli wykorzystywanie tematów ważnych dla osób stygmatyzowanych, queer, LGBTQ+, itd., niebinarnych, trans, po to, żeby się wybielić.
300:  KMM - Przypominam, że J.K.
301:  KMM - Rowling wtedy mówił, a tak na propos Dumbledore to jest gejem.
304:  KMM - Nie ma w książce ani słowa na ten temat.
307:  KMM - I mówi, a tak w ogóle to Hermiona jest czarna.
309:  KMM - Nie, nie ma słowa w książce na ten temat, za to jest opis piegowatej skóry, która troszeczkę kłóci się z tezą o tym, że J.K.
316:  KMM - Rowling mówiła, że Hermiona jest czarna.
319:  KMM - I fandom rozpoznał bardzo wcześnie tę tendencję i powiedział, okej, my z tego rodzaju politykowaniem nie chcemy mieć nic wspólnego.
326:  KMM - Odciął się i skanselował J.K.
328:  KMM - Rowling lata temu.
331:  KMM - W związku z powyższym, jeżeli zobaczyłem, że teraz nagle, w momencie, w którym wychodzi gra wideo,
337:  KMM - osadzona w uniwersum, które zostało stworzone przez pisarkę, nie będąca adaptacją żadnej z jej powieści, to jest kluczowe, jest utożsamiana z wspieraniem jej światopoglądu, to musiałem zaprotestować.
350:  KMM - Ponieważ jest różnica między sytuacją, w której macie 25 miliardów dolarów przychodu całej franczyzy Warner Brothers, 25 miliardów,
361:  KMM - I grę AAA, która w momencie, w którym Grzegorz pewnie będzie mógł więcej o tym powiedzieć, wykupuje licencję, wtedy kuźwa płaci J.K.
368:  KMM - Rowling.
369:  KMM - Więc jeżeli chcieliście protestować przeciwko Hogwarts Legacy, to trzeba było protestować wtedy, kiedy zaczęła się cała informacja o tym, że powstaje taka gra w uniwersum.
376:  KMM - Co więcej, Warner Brothers proper jest...
380:  KMM - operatorem całej franczyzy.
382:  KMM - Wydawcą Hogwarts Legacy jest Warner Bros.
384:  KMM - Entertainment.
385:  KMM - W związku z powyższym oznacza to, że protestujemy przeciwko grze wydanej przez wydawcę, której operatorem jest inna instytucja, która dopiero się rozlicza z J.K.
394:  KMM - Rowling.
394:  KMM - Nie mamy żadnych dowodów na to, ile ona dostanie.
396:  BFP - I jeszcze zatrudnia studio, które jeszcze produkuje tę grę.
398:  KMM - Nie mamy żadnych dowodów ile ona dostała, nie ma żadnych dokumentów na ten temat, poza oczywiście dokumentacją dotyczącą 25 miliardów dolarów przechodu z parków rozrywki, filmów, muzyki, seriali i całej reszty, która bojkotowana nie jest.
411:  KMM - Byłem w Empiku ostatnio, widziałem filmy, widziałem gry, widziałem zestawy LEGO za 1000 złotych.
416:  KMM - Gra wideo kosztuje 300.
418:  KMM - I wszystkie te strumienie finansowania powinny być obłożone dokładnie takim samym moratorium etycznym ze strony wszystkich ha-ha-aktywistów, w odróżnieniu od prawdziwych aktywistów walczących na ulicach o prawa i powinni równocześnie ludzie się wtedy...
433:  KMM - solidarnie opowiedzieć przeciwko finansowaniu działalności transfobki Rowling.
439:  KMM - Natomiast w momencie, w którym bojkotują studio, to jedną rzecz mogło zagwarantować.
443:  KMM - To studio będzie miało trudność z wypuszczeniem gry AAA, jeżeli nie zarobi kolejnej, ponieważ zarobki studia
450:  KMM - z gry AAA muszą wystarczyć na pokrycie kolejnych projektów, pensji itd.
454:  KMM - Potem się rozliczają z wydawcą, potem się wydawca rozlicza z Warner Brothers Proper, a potem Warner Brothers Proper oddaje J.K.
460:  KMM - Rowling.
460:  KMM - Więc powiedziałbym, że jeżeli ktoś chce bojkotować J.K.
462:  KMM - Rowling i robi to w ten sposób, to robi to w najmniej skutecznej perspektywy racjonalnej, naukowej, ekonomicznej i również etycznej, ponieważ cierpią przy tym twórcy gry, w której możemy grać osobą trans, co nie jest regułą,
478:  KMM - bo umożliwia kreator postaci stworzenia osoby trans i w której jest reprezentacja osób trans.
483:  KMM - Więc każdy, kto powiedział, że gra Hogwarts Legacy jest transfobiczna, kłamał.
487:  KMM - Każdy, kto powiedział również, że ktoś, kto gra w Hogwarts Legacy i automatycznie jest transfobem, kłamał.
493:  KMM - To tyle w kwestii etycznej.
495:  BFP - Lukasze napisał na czatach, że gdzie tak naprawdę bojkot dał rozgłos grze i zwiększył dochody, to tak, zaraz będziemy o tym mówili, ta gra już się sprzedała lepiej niż Elden Ring i ma ponad 12 milionów sprzedanych kopii.
