Krzysztof M. Maj vs. Dwie Lewe Ręce: Czy polską szkołę da się naprawić? (I uniwersytet też)
🔗 https://www.youtube.com/watch?v=UuqZSq7wIaw
JD (Jakub Dymek, Dwie Lewe Ręce)
KMM (Krzysztof M. Maj)
MG (Marcin Giełzak, Dwie Lewe Ręce)

5:  MG - Dzień dobry, przy mikrofonie Jakub Dymek i Marcin Giełzak, a to jest podcast Dwie Lewe Ręce.
11:  MG - A to, szanowni Państwo, w Wysokim Sądzie jest dr Krzysztof M. Maj, wykładowca akademicki, twórca internetowy, specjalista od teorii światotwórstwa i myślę, że mogę powiedzieć bez żadnych znamion, przenośni czy przesady,
26:  MG - Przyjaciel tego podcastu, człowiek, który na niejednym live zapytany o politykę mówił, kieruję was prosto do podcastu, dwie lewe ręce, ponieważ on zazwyczaj oddaje to, co ja myślę na zagadnienia polityczne.
39:  MG - No to my dzisiaj odbijamy piłkę, bo będziemy rozmawiali o edukacji i szkolnictwie, więc teraz to my ciebie poprosimy o to, żebyś powiedział, co mamy myśleć.
49:  MG - I pozwól, że zacznę od razu od pytania rozprowadzającego.
53:  MG - Jesteś znany jako niekryty krytyk naszego systemu oświatowego, ale my lubimy tutaj zadawać pytanie Reymonda Arona.
62:  MG - No dobra, ale co byś zrobił, gdybyś był ministrem?
65:  MG - Jaki jest twój program pozytywny?
66:  MG - Więc gdybyś kiedykolwiek miał decydować, co byś w pierwszej kolejności zmienił w naszym systemie edukacyjnym?
73:  KMM - Po pierwsze dziękuję bardzo za zaproszenie, nie sądziłem, że usłyszę siebie tuż po tej kultowej muzyce, która rozpoczyna wasz podcast i odpowiem następująco, to znaczy musimy sobie zadać pytanie zawsze, czy pytamy o to, co bym chciał zrobić potencjalnie jako minister, czy też co mógłbym zrobić jako minister, bo
92:  KMM - Mój pesymizm, jeżeli chodzi o edukację, sięga bardzo głęboko, w tym znaczeniu, że obserwowałem już kilku ministrów, a jeżeli policzymy doświadczenia mojej rodziny dwupokoleniowej, narzekającej na edukację bardziej niż ja kiedykolwiek w internecie, jeśli w to można uwierzyć, to będzie to kilkunastu ministrów, bo też pamiętajmy, że ministerstwa były rozdzielone, a problemy są te same.
114:  KMM - Nawet ostatnio zrobiłem w jednym z filmów na YouTubie eksperyment i przeczytałem ludziom program pozytywny, właśnie taki program zmiany, po czym zaznaczyłem, że to było w latach dwudziestych.
125:  KMM - I ludzie byli zasmuceni wręcz z jednej strony, a z drugiej strony rozbawieni, jak to jest w ogóle możliwe, że się nic nie zmieniło, więc myślę, że gdyby minister miał władzę taką, jak miałby w społeczeństwie autokratycznym albo w jakiejś monarchii absolutnej oświeconia i to może, rzeczywiście można byłoby coś zmienić, ale tak,
145:  KMM - Cóż minister może zrobić?
147:  KMM - Minister na przykład mógłby zarządzić edykt kanoniczny, zgodnie z tą powiedzmy frazeologią, która się teraz ukonstytuowała za obecnego ministra, lubiącego te tematy.
157:  KMM - No i ten dekret na prawach kanonicznych mógłby zarządzić, że od teraz wystawiamy wyłącznie oceny opisowe, a nie cyfrowe.
164:  KMM - Tylko wiecie, taki dekret był w odniesieniu do edukacji wczesnoszkolnej.
168:  KMM - I riposta środowiska nauczycielskiego w dużej części brzmiała, o Boże, to teraz jak ja wystawię tę ocenę opisową na podstawie ocen cyfrowych, skoro nie mogę wydzielić średniej.
179:  KMM - I wiecie, tutaj jest myślę problem, znaczy problem jest w mentalności środowiska i to nie jest moja próba ucieczki od odpowiedzi na to pytanie.
187:  KMM - tylko raczej bolesne uświadomienie, że ja nie widzę, szczerze powiedziawszy, w strukturach władzy możliwości zero-jedynkowej szybkiej zmiany czy reformy.
195:  KMM - Kierunki tej reformy, myślę, już zostały wytyczone dawno temu przez pedagogów od Marii Montessori w górę.
202:  KMM - Kierunki tej reformy też zostały wytyczone na poziomie ekonomicznym i praktyki politycznej w Skandynawii, w krajach skandynawskich, które są odmieniane przez przypadki, ale nie dlatego, że tam jest silne Ministerstwo Edukacji, tylko dlatego, że tam jest...
216:  KMM - w stosowny sposób wykształcone środowisko nauczycielskie, któremu nie przeszkadza Ministerstwo Edukacji, o tak powiem,
224:  KMM - Ale Ministerstwo Edukacji równocześnie ma określony program pozytywny rozwoju, który mówi, że przede wszystkim trzeba stawiać na to, żeby ludzie byli kreatywni, żeby szkoła była taką przestrzenią komunalną, przestrzenią dla wszystkich i żeby inwestycja w edukację była równocześnie inwestycją w gospodarkę.
243:  KMM - I taki wzorzec pozytywny, który widzę ze szkoły skandynawskiej to chociażby następujący.
248:  KMM - Robimy pracownię techniki, nałóżmy w szkole.
251:  KMM - I ona do godziny 15-16 jest wykorzystywana przez uczniów, a od godziny 16 przez lokalną społeczność.
257:  KMM - Więc z tego widać, że to nie jest kwestia, wiecie, nakładów finansowych, tylko zmiany mentalności i uczynienia ze szkoły takiego miejsca, który będzie miał sens w XXI wieku, bo obecnie nie ma to sensu.
268:  KMM - To znaczy szkoła jako budynek była wymyślona po to, żeby nauczyciel nie musiał chodzić od gminy do gminy, więc jeżeli powołujemy taką instytucję, to niech ona służy czemuś więcej.
276:  KMM - Dlaczego mamy równocześnie domy kultury i szkoły?
280:  KMM - skoro mógłby być to jeden budynek, w którym wszyscy się spotykamy, który byłby rzeczywiście sednem bijącego serca demokratycznej społeczności, ale jak wypowiadam to zdanie, to już pojawia mi się złośliwy chochlik w głowie, że wypowiadam je w Polsce, gdzie lokalna społeczność i budowanie jej jest dla wielu ludzi, zwłaszcza młodych ludzi, kompletną abstrakcją, zwłaszcza w takim wymiarze samorządowym.
