Kulturalny roast RINGS OF POWER | Co nie wyszło i dlaczego?
🔗 https://www.youtube.com/watch?v=mik_Its55To
DS (Dominika Skoczeń, Czerw Fantastyczny)
KMM (Krzysztof M. Maj)
WB (Wojciech Bryk, RuBryka Popkulturalna)
MK (Marcin Kończewski, Koń Movie)
ML (Michał Lipiński, Ponarzekajmy o Filmach)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  Dziękuję.
36:  BFP - No dobrze, szanowni, jesteśmy wszyscy live.
39:  BFP - O, już widzę, że tam jakaś bardzo rozgorzała dyskusja była.
44:  BFP - Witajcie na epickiej dyskusji na temat Rings of Power, tudzież Pierścieni Władzy.
49:  BFP - Witam wszystkich, którzy do nas dzisiaj dołączają, ale przede wszystkim witam wspaniałe towarzystwo, które dołącza tutaj do mnie online.
57:  BFP - Zanim wszystkich przedstawię, mała uwaga nim rozpoczniemy, bo wiem, że są dość duże oczekiwania względem tej rozmowy.
66:  BFP - I na długo zanim się jeszcze tutaj spotkaliśmy, czytałem różne komentarze.
71:  BFP - Jedne z nich brzmiały, tylko muszę dokupić węgla, chociaż to trudne, żeby dorzucić do tego roasta, wiemy co się będzie działo.
78:  BFP - Inne osoby mówiły, kurczę, wiemy co się będzie działo, szkoda, że tak się dobraliście, żeby tylko roastować i nie powiedzieć dobrego słowa o tym serialu.
85:  BFP - I to jest bez schematu, a nas jest szóstka, dajcie nam szansę.
90:  BFP - Dajcie nam szansę, żeby was zaskoczyć.
92:  BFP - Ja nie mówię, że będziemy teraz wychwalali ten serial tylko po to, żeby was trollować, chociaż przyznam szczerze, że mnie cholernie kusi.
100:  BFP - Ale przynajmniej pozwólcie nam zaprezentować odmienne perspektywy.
104:  BFP - Więc mam nadzieję, że was nie zawiedziemy, a przez my, chciałem powiedzieć przez was, przez my mam na myśli i Krzysztofa i siebie nie będę przedstawiał, bo parę razy może nas widzieliście na łamach bez schematu, ale...
119:  BFP - W pierwszej kolejności chciałem powitać debiutantów i debiutantki na łamach bez schematu.
124:  BFP - Chciałem powitać Dominikę z kanału Czerw Fantastyczny.
127:  BFP - To jest naprawdę fantastyczny, merytoryczny kanał.
130:  BFP - Tak, głównie fantastyka, ale nie tylko.
133:  BFP - Naprawdę gorąco Was zachęcam do tego, żebyście śledzili.
135:  BFP - Zresztą wszystkie linki do profili, do fanpage'ów, do kanałów moich szanownych gości i gości znajdziecie w opisie pod filmem już po zakończeniu naszej rozmowy.
146:  BFP - Dominiko, witaj.
148:  DS - Cześć, bardzo dziękuję za zaproszenie, no i oczywiście za takie bardzo miłe przedstawienie mojej skromnej osoby.
155:  BFP - Wojciech Bryk, Wojciech Bryk, który prowadzi fanpage Rubryka Popkulturalna, autentycznie jeden z moich ulubionych fanpage'ów o popkulturze obok Koń Mówi i Full Frontal Pisula.
164:  BFP - Witaj Wojtek.
166:  WB - Witam bardzo serdecznie, dziękuję za miłe słowa i wcale się nie denerwuję.
173:  BFP - Marcin Kończewski, którego nie widzieliście już trochę na kanale, wreszcie dołącza do nas ponownie.
179:  BFP - Autor fanpage'a Koń Movie i fantastycznej grupy również Stajenka.
184:  BFP - Możecie połączyć Koń Movie i Stajenkę.
187:  BFP - Czy chcesz coś powiedzieć Marcin?
189:  MK - Dzień dobry kochanie, dzień dobry.
192:  BFP - Tak, właśnie wiedziałem, że jak zaczniesz od głosu Harfutów, to zaczniemy z dobrej stopy.
198:  BFP - Włochatej stopy.
199:  BFP - No właśnie, włochatej stopy.
200:  BFP - I jest z nami Michał Lipiński z kanału Ponarzekajmy o Filmach.
204:  BFP - I nie będę ukrywał, że jedno z najczęściej pojawiających się komentarzy na Bez Schematu, a propos gości, którzy byli na Bez Schematu, ale chciałoby się, żeby wrócili, to jesteś właśnie ty, Michale, największy luzaku na tym kanale.
218:  ML - Chciałbym podziękować z tego miejsca swoim rodzicom.
222:  ML - Witam wszystkich.
224:  BFP - Miło mi poznać nowe osoby szczególnie.
226:  BFP - Wiedziałem, że zaczniemy bez schematu.
228:  BFP - No i witam wszystkich, którzy teraz nas dołączają.
230:  BFP - To jest 550 osób, 560 już osób.
233:  BFP - Dziękuję, że do nas dołączyliście, żeby nas posłuchać.
236:  BFP - Słuchajcie, kochani, ja będę starał się moderować tę rozmowę, żeby nam się nie rozlazła w szwach i...
243:  BFP - Chciałbym na sam początek poprosić Was o takie mowy oskarżycielskie albo mowy obronne, bo zostawiam też przestrzeń na to, że może być jakaś mowa obronna tego serialu.
252:  BFP - I chciałbym poprosić Was o proste powiedzenie Rings of Power.
257:  BFP - Tak, bądź nie, bądź może trzecia opcja, której nie przewidziałem i dlaczego.
261:  BFP - Uzasadnić to w kilku zdaniach.
263:  BFP - Dominiko, oddaję Tobie głos.
265:  DS - Dobrze, to w takim razie zacznę.
268:  DS - Moim zdaniem Rings of Power niestety na nie.
272:  DS - To jest bardzo zły serial i ten serial musi umrzeć, tak jak umierają Harfuty.
278:  BFP - Wow, to nie poszło tak, jak to zaplanowałem.
