LOKI oczarował. Recenzja serialu i rozkmina nad przyszłością filmowego Marvela (z Krzysztofem Majem)
🔗 https://www.youtube.com/watch?v=TzMwu9poJVM
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  BFP - Loki.
1:  BFP - Ja tylko chcę powiedzieć, zanim oddam Ci głos, bo tak w dobrym tonie jest oddawać gościowi głos na początek, szczególnie jak ludzie słuchają podcastów, myślą, znowu ten gościu gada sam ze sobą, że Loki jest najlepszą rzeczą, jaką dostałem od Marvel Studios od czasu Avengers Endgame.
23:  BFP - I zaraz powiem dlaczego, ale chciałbym usłyszeć twoją opinię o tym serialu tak pokrótce.
31:  KMM - Loki jest tym serialem, który przekonał mnie do niefilmowej części Marvel Cinematic Universe, bo ilekroć zabierałem się za którykolwiek z seriali dotychczas wypuszczonych, doceniałem pewną formułę, natomiast nie miałem tego magicznego zjawiska, które przyciąga mnie do każdej produkcji, a którym jest imersja.
49:  KMM - Ja się nie byłem w stanie zanurzyć, nie czułem atmosfery, nie czułem tej stawki, no i przede wszystkim
56:  KMM - Fakt faktem jest, że przyciągnął mnie ten serial dlatego, że gra w nim Tom Hiddleston.
61:  KMM - I jego kreacja Lockiego jest czymś, co sprawiało, że zarówno filmy z cyklu Thor, które są jednymi z lepszych w MCU, jak i Avengersi były niesamowicie niejednoznaczne i miały wreszcie jakiegoś porządnego antybohatera.
76:  KMM - Więc ja wiedziałem, że jeżeli się pojawia tutaj antybohater, jest nim Lockie.
80:  KMM - I ten serial jest zrobiony w taki, a nie inny sposób, bo od pierwszych sekund mnie urzeka kinematograficznie, to widziałem, że będzie dobrze.
87:  BFP - A to, żeby set the record straight, znowu będę dostawał po głowie za to, że mówię cały czas nie po polsku, to żeby wyjaśnić pewne kwestie.
99:  BFP - Czy widziałeś WandaVision?
102:  BFP - Pierwszy odcinek.
103:  KMM - Nie widziałem reszty.
104:  KMM - Nie zdążyłem.
105:  KMM - Miałem przed naszą rozmową obejrzeć całość WandaVision, ale nie obejrzałem.
109:  KMM - Natomiast wiem, na czym polega eksperyment w pierwszych odcinkach WandaVision i go doceniam bardzo.
114:  KMM - Natomiast tak jak ci mówię, mój problem polegał zawsze na tym, że nie byłem w stanie się zanurzyć w to serialowe uniwersum.
121:  KMM - Nie wiem, może to jest kwestia właśnie, teraz ja użyję angielskiego słowa, pacingu narracji, tempa duktu jej, a może to jest kwestia właśnie światotworzenia i może to była też kwestia tego, że jednak odstawały te produkcje mocno od tego, co był mi w stanie pod względem światotwórczym zaoferować główny MCU.
138:  KMM - Postrzegałem te produkcje trochę jak fanfiction osadzone w uniwersum, taki na bocznym torze niejako się odbywające.
149:  KMM - Natomiast przeszkadzało mi to, że nie były one z mojej perspektywy, podkreślę jeszcze raz, taką integralną częścią uniwersum.
155:  KMM - Miałem wrażenie, że nic się nie zmieni w tym uniwersum wraz z nastaniem tych seriali lub odejściem tej grze.
164:  BFP - A wam wrażliwe, że Loki zmienił bardzo dużo.
166:  BFP - Ale mi podałeś piłeczkę, bo w takim razie ja zaznaczę, że jestem dystygowanym konsumentem zarówno WandaVision, jak i Falcon and the Winter Soldier, czyli dwóch produkcji serialowych Marvel Studios, bo nie wliczamy takich produkcji jak Daredevil, jak Jessica Jones, Iron Fist, które gdzieś tam jednak...
188:  BFP - nie wliczają się do tego obecnego kanonu seriali Marvela.
192:  BFP - One były gdzieś na bocznym torze.
195:  BFP - Te seriale, jakimi są One Division czy Falcon and the Winter Soldier bardzo szczodrze czerpią z dorobku Marvela i z tego, jakie postacie się pojawiały ze wszystkich wydarzeń, które miały miejsce przede wszystkim w Avengersach.
213:  BFP - I na tym tle Loki wypada dla mnie najlepiej, a przez najlepiej mam na myśli WandaVision to jest dla mnie serial, który miał 7 na 10, Falcon and the Winter Soldier mocne 8 na 10, byłem zaskoczony tym jak bardzo podobał mi się ten serial, ale Loki to jest spokojnie takie 9,5 na 10.
229:  BFP - To jest znakomity serial, znakomita produkcja i fantastyczna historia.
232:  BFP - I teraz...
234:  KMM - Co więcej bym powiedział, że to jest znakomity serial on its own, na swoich prawach.
240:  BFP - Otóż to.
241:  KMM - Nie tylko jako część większej całości i większego świata.
244:  BFP - Otóż to, bo to co mnie najbardziej zachwyca i to co sprawia, że mogę powiedzieć, że Loki jest najlepszą rzeczą jaką dostałem od Marvel Studios od czasu Avengers Endgame,
256:  BFP - pominąwszy fakt, że mieliśmy COVID i jakieś dobre półtora roku posłuchy, jeżeli chodzi o filmy Marvela, to to, że ta produkcja jest rzeczywiście wyrazista i odrębna.
268:  BFP - To znaczy, ona potrafi zaoferować wiele, nie musząc, tak jak WandaVision i Falcon and the Winter Soldier, cały czas sięgać po jakieś trzecioligowe postaci, które pojawiały się wcześniej w uniwersum Marvela kinowym.
283:  BFP - I zanim dokończę tę myśl, to dokończę poprzednią.
287:  BFP - Czyli jest odrębna i wyrazista ta produkcja, a przy tym wnosi coś bardzo znaczącego do tej całej układanki, jaką widzimy, która się ponownie składa po zakończeniu poprzedniej fazy, czyli po pokonaniu Thanosa w tym Marvel Cinematic Universe.
307:  BFP - I mam na myśli konsekwencje działań głównego bohatera
312:  BFP - i protagonistki, która staje się wspierającą bohaterką, czy główną bohaterką razem z Loki'im.
320:  BFP - I to, jak ukształtuje to w przyszłości całe to kinowe uniwersum.
324:  BFP - Więc znacznie więcej jest tutaj do powiedzenia od strony historii w kontekście szerszego obrazu Marvel Cinematic Universe, niż było w przypadku One Division i niż było w przypadku Falcon and the Winter Soldier.
338:  BFP - A mimo to, serię zachowuje tę odrębność i
342:  BFP - Przez odrębność mam na myśli, One Division potrzebowało, no wziąć tą bohaterkę, która się tam pojawiała w Thorze, wziąć tą bohaterkę, która już dorosła, a wcześniej była w Captain Marvel, wziąć tutaj bohatera, który się pojawił w Wuntmanie.
354:  BFP - Falcon and the Winter Soldier musiał też uprawiać właśnie takie trochę fanfiction, czy może fanservice.
360:  BFP - Czyli wziąć tu Barona Zemo, tutaj wziąć tą bohaterkę, która się pojawiła w Kapitanie Ameryce i tak dalej.
366:  BFP - Rzeczywiście jest takie poczucie, że to jest Captain America 3,5.
369:  BFP - Po Civil War, bo Civil War był tym trzecim Kapitanem Ameryką, to jest taki 3,5 zanim pojawi się część czwarta.
376:  BFP - Ale...
378:  BFP - To nadmierne poleganie na postaciach, na wątkach, które pojawiały się wcześniej w filmach z uniwersum Marvela było dla mnie mankamentem.
390:  BFP - WandaVision była fascynująca przez trzy, cztery pierwsze odcinki, a potem musiało wpaść bardzo na szyny, na tory, które są tak bardzo Marvelowe.
399:  BFP - Loki nie ma tego problemu.
401:  BFP - Loki wprowadza masę nowych, intrygujących postaci i tylko raz pojawia się postać Sif,
407:  BFP - postaci, która pojawiała się w pierwszych dwóch częściach Thora, ale poprzestaje tylko na anegdotycznej scenie, która coś mówi bardziej o bohaterze niż o postaci, którą wprowadza na chwilę.
420:  BFP - I więc pojawia się bardzo wiele nowych postaci i każda z nich jest dobrze poprowadzona i każda z nich jest wystarczająco barwna i ciekawa, żeby mogła pozostać w tym uniwersum na dłużej i myślę, że część z nich pozostanie.
432:  KMM - I Loki jest przy tym jeszcze nienachalnie osadzony w MCU przez to, że na samym początku, w pierwszym odcinku pojawiają się te sceny filmowe, to jest bodajże z pierwszej części Endgame, jeśli mnie pamięć nie myli, gdzie Loki znika w trakcie tej podróży w czasie.
448:  KMM - I nie wiadomo, co się z nim dzieje wtedy i teraz dowiadujemy się, gdzie.
451:  KMM - Natomiast jest to nakręcone w taki sposób i podane w takiej skondensowanej postaci, że ktoś, kto na przykład jakimś cudem siedział pod kamieniem przez ostatnie 15 lat i nie widział Avengersów, nie będzie mu to przesadnie przeszkadzać.
464:  KMM - I mam wrażenie, że to też może być dobry sposób na to, żeby wejść do tego świata i zainteresować się nim znowu dla ludzi, którzy nie śledzili całego rozwoju MCU, bo to jest też paradoks, że zakładamy siedząc w temacie, że każdy oglądał każdą część Marvel Cinematic Universe, bo myśmy to robili.
480:  KMM - Tak naprawdę tak nie jest.
481:  KMM - Bardzo często jest, że ludzie obejrzeli na przykład, nie wiem, Avengersów i obejrzeli któregoś z Thorów albo Iron Manów, natomiast całej reszty nie.
486:  KMM - Więc ta subtelność, z jaką ten serial to robi, bardzo mi się spodobała i praktycznie już od tej sceny w górę jesteśmy już zupełnie w innej fabule, w innym świecie i przenosimy się do tej Time Variance Authority, czyli agencji, nie pamiętam jak ona została przetłumaczona, która zajmuje się tropieniem wariantów na linii czasowej.
506:  BFP - Tą, która strzeże...
509:  BFP - świętej linii czasu, podajże, Sacred Timeline, która ma... Sacred Engine i Sacred Timeline, tak.
517:  BFP - Cały czas mi się to przypominało ze Snowpiercera.
520:  BFP - Ma wszelkie odstępstwa od tej linii czasu zapijać w zarodku,
527:  BFP - I to też bardzo fajnie tłumaczy problemy, które pojawiły się w Endgame, czy jakby takie obszary do dyskusji, a co jeżeli wprowadzamy podróż w czasie, to czy idziemy drogą tak zwanego Terminator 2 Judgment Day i paradoksu dziadka, czyli poruszamy się, ale są pewne paradoksy i pewne rzeczy, które sprawiają, że i tak jest jakiś los, jest jakiś kismet, które sprawi, że to się wszystko musi naprostować, bo musi być tak, jak musi być, tak?
552:  BFP - Czy może...
554:  BFP - Możemy dokonywać ostens, ale wtedy wchodzimy w obszar multiwersum, wtedy wchodzimy w obszar tworzenia alternatywnej rzeczywistości i o tym pomówimy dzisiaj też, czyli na razie rozmawiamy raczej bez spoilerów, ale zaznaczymy w pewnym momencie, jak wejdziemy w obszar spoilerów, kiedy będziemy rozmawiali tak naprawdę o reperkusjach, o wszystkich konsekwencjach zdarzeń przedstawionych w Lokiem, w szczególności w zakończeniu tego sezonu Lokiego i tego, jaki to będzie miało wpływ prawdopodobnie
581:  BFP - Dobra, z bardzo dużym prawdopodobieństwem na przyszłość Marvel Cinematic Universe.
586:  BFP - Chciałeś coś powiedzieć?
588:  KMM - Tak, że powiedziałaś kismet i przypomniało mi się od razu to skojarzenie, które miałem, jak zacząłem oglądać Lokiego.
595:  KMM - W pierwszym już odcinku jest w ramach ekspozycji przepięknie zrobiona jedna rzecz, to znaczy o tym świecie agencji zajmującej się kontrolą wariantów czasowych.
606:  KMM - Opowiadają nam plakaty propagandowe, które wiszą tu i ówdzie na ścianach, ale także filmik propagandowy animowany, przepiękny absolutnie.
613:  KMM - który natychmiast mi przypomniał właśnie z tym przepięknie rozrysowaną właśnie linią czasu, od której rozgałęziają się, tak jak na mapie rozgałęzień fabularnych w grze wideo, różne odnogi czasowe.
625:  KMM - Przypomniał mi się film Predestination, który jest moim zdaniem jednym z najlepszych filmów o paradoksach czasowych i tego typu rozgałęzieniach.
635:  KMM - I to jest najlepsze skojarzenie, jakie mogłem mieć na początku tego stylu.
638:  BFP - To znaczy, że to jest film, który wyznaje tę zasadę, czy tę filozofię Terminatora, czyli paradoksu dziadka i tego, że nie można tworzyć alternatywnych rzeczywistości.
647:  BFP - Tak jest, tak jest.
649:  KMM - Loki później zaczyna iść w tym alternatywnym kierunku, jest to zbyt rewelacyjnie.
654:  BFP - Ale ja chcę tylko powiedzieć, żeby to zostało zapisane w unknowach, że ja oglądałem Predestination i jest to fabularnie tak popieprzony film, że ja do dzisiaj nie wiem, czy ja go lubię, czy nie.
666:  BFP - W sensie, on ma w sobie tyle paradoksów, jeżeli wiesz, co mam na myśli, że coś może być i nie być, albo jest i nie jest czymś, albo kimś jednocześnie, że ja sam nie wiem, czy do końca lubię, czy nie lubię tego filmu.
679:  BFP - Znaczy, on był dla mnie takim obciążeniem,
682:  BFP - poznawczym, intelektualnym, że nie mogę się do końca jeszcze wypowiedzieć na jego temat, ale bo zacząłeś mówić właśnie o tym fajnym ukazaniu postaci Lokiego na początku, która sprawia, że postać i trochę jakby sytuacja, w której ta postać się znajduje zostaje nam
701:  BFP - wyjaśniona dość klarownie na początku, a ciekawie, bo z perspektywy fabuły i tego świata przedstawionego to też jest ciekawie zrobione, ale od razu przyszedłeś trochę do samego tego świata przedstawionego i zacząłeś opowiadać o tym biurze Time Variance Authority i w takim razie zrobię tutaj w trend.
718:  BFP - Ja jestem absolutnie zachwycony production designem i scenografią i generalnie wizją i plastycznością tej wizji, tych wizualiów, jakie stworzono na potrzeby tego serialu.
732:  BFP - Chyba najbardziej od czasu kiedy pierwszy raz zobaczyłem Thora i zobaczyłem jak wygląda Asgard.
737:  BFP - Jeżeli mówimy o Marvel Cinematic Universe.
739:  BFP - Przepraszam, jeszcze bym powiedział Ant-Man, a potem Ant-Man and the Wasp i to jak został przedstawiony ten świat kwantowy.
747:  BFP - To bardzo mnie zachwycało, ale tutaj jeżeli chodzi o te biura Time Variance Authority, mam tutaj notatki więc sobie sprawdzam.
757:  BFP - Ten nieprawdopodobny retrofuturyzm, który od razu kojarzy się z Bioshockiem i z Falloutem, o którym tak często mówimy.
763:  KMM - I z serialem Counterpart.
765:  KMM - To też było moje skojarzenie momentalne.
767:  BFP - Tak, oczywiście.
