MOBBING TO SMUTNY STANDARD? *Krzysztof M.Maj*
🔗 https://www.youtube.com/watch?v=ZYhuh4pJjvA
KMM (Krzysztof M. Maj)
MM (Mateusz Macierakowski, BEZ ŻARTÓW)

4:  MM - Bez żartów.
7:  MM - Zaprasza Mateusz Macierakowski.
10:  MM - Dzień dobry, kłaniam się serdecznie.
12:  MM - Ja nazywam się Mateusz Macierakowski.
13:  MM - Wy słuchacie podcast Bez Żartów.
16:  MM - Zachęcam do subskrybowania kanału i oczywiście komentowania tejże rozmowy i sprawdzania wcześniejszych odcinków i proponowania w komentarzach, kto mógłby się pojawić następny w podcaście.
27:  MM - A propos dzisiejszego podcastu.
28:  MM - Moim rozmówcą dzisiaj jest wykładowca akademicki, teoretyk fantastyki, popularyzator gier wideo w kontekście edukacji i wydaje mi się, że każdy student chciałby mieć takiego wykładowcę.
41:  MM - Czy ta rozmowa będzie należała do kultury wyższej, czy może niższej?
45:  MM - Tego nie wiem, ale to wie na pewno pan Krzysztof Maj.
48:  MM - Dzień dobry panie Krzysztofie.
49:  KMM - Witam serdecznie i witam wszystkich słuchających.
52:  MM - Dziękuję bardzo za przyjęcie zaproszenia.
55:  MM - Czy w ogóle te rozróżnienie kultura wyższa i niższa ma jeszcze jakikolwiek sens?
60:  MM - Czy to już jest snobizm i lekki anachronizm?
65:  KMM - Powiem tak, ostatnio uzyskałem taki złośliwy sztichwort, że jeżeli ktoś, kto ceni sobie twórczość, sztukę wysokoartystyczną, musi do jej oceny i rekomendacji użyć słów kultura wysoka i nie potrafi tego zarekomendować w inny sposób,
80:  KMM - to nie jest adekwatnym odbiorcą tego typu treści, bo rzeczywiście odbiorca fachowy, który jest erudytą, jest w stanie przybliżyć coś, co ceni mega, w sposób niesamowicie przystępny.
92:  KMM - To jest to, co mówią wszyscy wybitni naukowcy.
95:  KMM - Nie jest sztuką napisać artykułu na 20 stron, który będzie ekstremalnie skomplikowany.
100:  KMM - Sztuką jest zrobić tego syntezę w 50 sekund.
102:  KMM - I to jest zresztą ta sama rzecz, której się trenuje w korporacjach.
105:  KMM - Jeżeli nie potrafisz powiedzieć o swoim projekcie,
