Matrix vs Spider-Man, czyli o szacunku do fanów i dobrej i złej nostalgii
🔗 https://www.youtube.com/watch?v=2FvsVRidyhk
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Dzisiejszy odcinek ulicy Zamkowej będzie sponsorowało słówko nostalgia i fraza fanservice.
6:  BFP - Bo będziemy rozmawiali o Spider- No Way Home kontra Matrix Resurrections, ale tak naprawdę w kontekście tego jak można zaspokajać albo rozsierdzić fanów jakiejś marki, która jest częścią większej franczyzy i świata wykreowanego, od którego oczekujemy więcej niż przeciętny zjadacz popcornu w kinie.
26:  BFP - Ale, przedstawiając naszych gości, Artur Kurasiński, człowiek, który nie tylko konsumuje popkulturę, ale także ją tworzy, Grzegorz Wątroba, nasz podwójny agent i wtyka w polskim gamedevie, i Krzysztofem Maj, mój współprowadzący bez schematu, który prowadzi też vloga, Krzysztofem Maj, malutki, powoli rozwijający się vlog, wszyscy ci kibicujemy, wiemy, że 2022 będzie twój.
52:  BFP - Będziemy rozmawiać o Spider-Man No Way Home, będziemy rozmawiać o Matrixie,
56:  BFP - Ale jeden mały, ważny disclaimer.
58:  BFP - Tak przed naszą rozmową jeszcze umówiliśmy się, że powiemy to wprost.
63:  BFP - Biorąc pod uwagę komentarze, które czytałem ostatnio pod recenzją bez spoilerów Matrix Resurrections i biorąc pod uwagę komentarze, które pojawiły się pod naszym ostatnim wspólnym materiałem, czyli recenzja czy też roast drugiego sezonu Wiedźmina, zauważyliśmy, że jest sporo komentarzy, z którymi głęboko się ideowo i na poziomie wartości nie zgadzamy.
82:  BFP - Mianowicie, kiedy my coś krytykujemy...
85:  BFP - To jest to krytyka dzieła, a nie krytyka twórcy.
88:  BFP - I w przypadku Wiedźmina oczywiście mówiliśmy o tym, że idea inkluzywności, idea diversity została w jakiś sposób strawestowana w tym serialu, ale nie krytykowaliśmy idei równości, otwartości, inkluzywności, różnorodności, które i wydaje mi się, że mówię tu w imieniu całej naszej czwórki, bardzo wspieramy.
108:  BFP - Była to po prostu krytyka dzieła.
110:  BFP - I podobnież w przypadku Matrix Resurrections nie krytykowałem Lany Łaczowskiej jako osoby, krytykowałem jej dzieło, jakim jest Matrix Resurrections.
120:  BFP - I bardzo by nam zależało na tym, aby dyskusja, która będzie się toczyła w komentarzach dotyczyła krytyki dzieła, a nie twórcy czy twórczyni.
128:  BFP - Dla nas Lana Łaczowski jest kobietą, czuje się dobrze w tej roli i to dla nas naturalne.
136:  BFP - że ten temat, ten wątek jej płci kompletnie nie ma znaczenia z poziomu naszej rozmowy.
142:  BFP - I tego byśmy oczekiwali też od Was.
145:  BFP - Ale wracając do naszych tematów.
148:  BFP - Ja rzucę Wam tylko taki smaczny kąsek, kawał mięsa, wygłodniałem raptorom.
153:  BFP - Jak poszedłem do kina na Spider-Man No Way Home,
158:  BFP - to miałem takie przyjemne wrażenie przez większość seansu, że ktoś znowu zmienił mnie w dziecko.
