Matura: Krytyczna analiza | Co w zamian? (@KrzysztofMMaj)
🔗 https://www.youtube.com/watch?v=SYSQgtHDJzo
RM (Rafał Masny)
KMM (Krzysztof M. Maj)

0:  RM - Dzień dobry, witam.
1:  RM - Witam bardzo serdecznie.
3:  RM - Witam to też jest metafora, bo przecież nie witamy w przestrzeni wirtualnej.
7:  RM - Ktoś by nam wypełniał błąd pewnie.
9:  KMM - Michał Rusiniak na pewno.
10:  RM - Dokładnie, dokładnie.
11:  RM - To on chyba rozpoczął właśnie to, żebyśmy wiedzieli jak się wita.
13:  RM - Zatem dzień dobry, albo dobry wieczór, żeby znowu nie popełnić jakiegoś błędu.
17:  RM - Ze mną jest Krzysztof Maj, wykładowca AGH.
20:  RM - Czy można powiedzieć, że znany krytyk edukacji w Polsce?
24:  KMM - Nie wiem, czy znany.
25:  KMM - Znany to chyba powyżej 100 tysięcy subskrypcji.
26:  KMM - Myślę,
28:  RM - Pamiętajmy, że wyświetlenia są ważniejsze niż subskrypcje, a wyświetlenia, jak na content uważam taki nawet nie tyle edukacyjny, co właśnie o edukacji, czyli analityczny gdzieś w sposób do edukacji uważam, że bardzo przyzwoite.
42:  KMM - Dziękuję, ale to zasługa widzów, jak zawsze.
45:  RM - Wszystko dzięki nim zawsze.
46:  RM - Ale czy czujesz się, bo przeszliśmy na ty?
50:  RM - Tak, absolutnie.
51:  RM - Czy czujesz się, że poza twoją rolą taką faktycznie stricte edukacyjną, krytyka edukacji jest gdzieś ważnym aspektem twojej działalności?
63:  KMM - To jest o tyle ważne, że myślę, że sporo ludzi, którzy poszło na przykład na uniwersytet i zaczęło uczyć, albo ludzi, którzy w ogóle pokończyli szkoły, traktują ten rozdział życia jako zamknięty.
73:  KMM - I przez to jest bardzo mało, paradoksalnie, mimo że teraz ten temat trenduje, refleksji na temat tego, w jaki sposób edukacja działa.
83:  KMM - z czym zostajemy po maturze, z czym zostajemy na studiach także i przede wszystkim, czy czasem nie wpływa to na nasz dobrostan psychofizyczny, czy nie wpływa to na naszą jakość uczenia się, to jest bardzo ważne, samodzielnego, czy nie wpływa to na nasz sposób pracowania, na nasze relacje w pracy, podatność na mobbing, budowanie poczucia własnej wartości, to jest, wiesz, bardzo dużo różnych elementów, o których by powiedział przeciętny coach, trener biznesu,
111:  KMM - a bardzo mało elementów, które poruszają ludzie wypowiadający się na temat edukacji, którzy koncentrują się na takim bardzo tradycyjnym podejściu do procesu uczenia się, że uczysz się po to, żeby zdać egzaminy, albo uczyć się po to, żeby mieć awans społeczny, albo uczysz się po to, żeby zarabiać większe pieniądze.
128:  RM - Okej, to po co się uczymy?
129:  RM - Jaka jest funkcja edukacji w takim wypadku?
132:  RM - Żeby być wolnym.
133:  RM - Żeby być wolnym, okej, czyli...
136:  RM - Do takiej samoemancypacji można powiedzieć.
138:  KMM - Tak, oczywiście.
140:  KMM - Zawsze moja mama powtarzała, która była profesorką na uczelni, że uczy się całe życie człowiek, ale jest strasznie dużo ludzi, którzy skończywszy egzaminy stwierdzają, ok, spokój.
150:  KMM - Zwłaszcza jeżeli idą do pracy, która wymaga jakiejś certyfikacji, to potem wchodzą w ten kierat, a my jako Polacy strasznie dużo i ciężko pracujemy.
159:  KMM - Więc bardzo często nie ma już czasu na to wszystko i równocześnie dobieramy sobie potem taką rozrywkę, która będzie najbardziej odmurzająca i niestety też nie wybieramy tego, z czym nie zostaliśmy wcześniej zapoznani, bo z perspektywy państwa praktyczne byłoby, żeby obywatel
175:  KMM - miał przegląd wszystkiego, wszystkich opcji, które może mieć.
181:  KMM - Opcji rozrywki, opcji pracy, opcji zainteresowań.
184:  KMM - Najczęstsze pytanie, jakie dostaję, czy odpowiedź na pytanie od studentów, jak rozmawiamy o zainteresowaniach, to jest, ja nie mam żadnych zainteresowań.
191:  KMM - Ale wiesz, a mówimy o studentach, którzy idą na najlepsze uczelnie w kraju, którzy odpowiadają, że nie mają żadnych zainteresowań.
198:  KMM - Jak pociągniesz ich za język, to się okazuje, że mają mnóstwo zainteresowań, tylko że uznają, że te zainteresowania nie są godne tego, by wybrzmieć w przestrzeni akademickiej.
206:  RM - Okej, bo na przykład, jeżeli ktoś ogląda seriale, to nie powie, że interesuje się serialami, tylko po prostu uznaje to za jakąś taką rozrywkę.
213:  RM - Otóż to.
213:  KMM - Otóż to, a potem jeszcze masz anime, mangi, gry wideo i wszystkie inne obszary, które jeszcze mniej są obecne w przestrzeni medialnej tej nie-youtube'owej, tej głównonurtowej wciąż i tej nadającej bieg dyskusji na temat kultury w Polsce chociażby.
229:  KMM - ale równocześnie tej, która wiąże się z nakładami państwowymi, na instytucje kultury, na edukację, na wszelakiego rodzaju eventy, wydarzenia.
239:  KMM - Tego jest bardzo dużo wbrew pozorom i niektórzy mogą mieć takie wrażenie, że ich zainteresowania nie są właśnie częścią tego, co jest związane z takim etosem człowieka erudyty, poligloty, polihistora.
251:  RM - Okej, ale czy to nie jest tak na przykład, że do tego i tak ludzie by dotarli, bo zakładam, w sensie myślę, że nie trzeba ludziom pokazywać Netflixa, czy pokazywać anime, bo gdzieś sami do tego dotrą, a szkoła właśnie pokazuje nam to.
266:  RM - co może jest przydatne na przykład dla pobudzenia naszej polskości, czy do zrozumienia tego, skąd jesteśmy.
272:  RM - Naród bez historii jest jak drzewo bez korzeni.
275:  RM - Oczywiście.
276:  RM - Właśnie możemy założyć, że nie bójmy się na przykład o mangi, czy o Netflixa, czy o muzykę rozrywkową, bo z tym się ludzie zdetkną, ale właśnie troszczmy się o to, czego mogliby nie złapać, z czym mogliby nie mieć styczności.
292:  KMM - No to powiem Ci tak, jest na to dobry kontrargument, mianowicie wykluczenie ekonomiczne.
297:  KMM - Media, o których wspominamy są najdroższe.
300:  KMM - Koncerty, wiesz, Taylor Swift, nie muszę mówić jakie ceny biletów, gry komputerowe 450 zł średnio.
308:  KMM - Komiksy, uu, droga impreza również, to nie jest to samo co kupione książki, a tymczasem biblioteki, wszystkie miejsca użyteczności publicznej są właśnie bibliotekami.
319:  KMM - Mediateki należą do rzadkości, są w większych miastach, Łódź, Kraków.
323:  KMM - Warszawa, ale wiesz, to jest mniejszość oferty edukacyjnej i kulturalnej, dlatego też, jeżeli dajesz ludziom dostęp do medium, które jest najtańsze, które masz zdigitalizowane w internecie bez żadnego problemu, możesz dotrzeć do większości książek, z czego całej klasyki, serwis wolnej lektury chociażby,
339:  KMM - a nie dajesz dostępu do tego, co właśnie wydaje się bardzo przystępne i dostępne dla wszystkich, to wtedy zaczyna być problem.
346:  KMM - Jeszcze jest drugi element, to znaczy, no tak, oczywiście możesz ludzi wypuścić na wolny wypas, tak, żeby sobie poznawali te media we własnym zakresie, ale jest jeden kłopot, wtedy będą to robić bardzo powierzchownie.
360:  KMM - Więc będzie się nam wydawało zawsze, to będzie taka samosprawdzająca się przepowiednia, że komiks czy gra wideo jest gorsza i mniej rozwija wyobraźnię od literatury, bo to tej drugiej poświęciliśmy bardzo dużo czasu, to literaturę umiemy interpretować, analizować na najróżniejsze sposoby i to z niej poznajemy taki korpus najważniejszych dzieł.
378:  KMM - Jak zaczynałem pracę na AGH-u, to pytałem ludzi, czy znają Deus Extreme Revolution albo Bioshock Infinite, gry, które dla mnie były formacyjne, zapamiętałem je bardzo dobrze.
388:  KMM - Na początku był Las Rąg,
390:  KMM - drugi, trzeci rok pracy, połowa osób.
392:  KMM - Dzisiaj nie zgłasza się nikt.
394:  KMM - Pojedyncze osoby.
395:  KMM - I wiesz, nagle ktoś mógłby powiedzieć, nie no, potrzebujemy Canon Gear Video, bo coś zaczyna przepadać.
401:  KMM - I tak jest ze wszystkimi rzeczami, czy z muzyką, czy z malarstwem, czy z grafiką komputerową.
407:  KMM - We wszystkich tych obszarach działalności artystycznej tworzy się w pewnym momencie jakiś korpus i jest duża wiedza z tym związana, którą także można dobrze sprzedać.
415:  KMM - No a nie wszyscy będą pisarzami, nie?
417:  KMM - Nie wszyscy będą krytykami literackimi.
418:  KMM - Dużo ludzi idzie w
419:  KMM - inne rejony i musi strasznie dużo nadrobić we własnym zakresie, podczas gdy mogliby dostać przynajmniej podstawy, bo to ma zapewniać edukację, ma nam dawać właśnie te podstawy i przegląd.
429:  KMM - I ostatni argument, kultura jako taka, prawda, to jest powiedzmy tort.
434:  KMM - I my z tego tortu poznajemy jeden trójkącik.
437:  KMM - Powiedzmy dwa trójkąciki, bo literatura jest starym i nobliwym medium, choć nie jest najstarszym, najstarszym jest komiks.
443:  KMM - Komiks?
443:  KMM - Przepraszam, ale... Jaskinia w Laskonie.
446:  KMM - Tak opowiadaliśmy historię.
448:  RM - Okej, no dobra.
450:  RM - Na początku.
451:  KMM - Biblia Pauperu, tego typu rzeczy, freski, obrazy.
454:  KMM - To jest zabawne, ale jak spojrzymy na to... Można powiedzieć też pejzaż.
458:  KMM - Otóż to.
458:  KMM - Ludzie opowiadali historię w prostszy sposób, nim się te wszystkie techniki wykształciły.
463:  KMM - Jeszcze pieśń była starsza od literatury, a o idowie chociażby, a jeszcze wcześniej oczywiście najstarsze ze wszystkich mediów, no to będzie przekaz ustny, to wiadoma sprawa, który nawiasem mówiąc nie jest trenowany też w szkole tak jak powinien być.
475:  KMM - Anywho, we wszystkich tych przypadkach dobrze byłoby wiedzieć coś, troszeczkę.
481:  KMM - W tym momencie szkoła kształci kiepskich historyków literatury.
484:  KMM - Taka jest brutalna prawda, bo nie jesteś w stanie wyjść na poziom akademicki w toku tych 12 lat edukacji, dlatego też ludzie korzystają z rozmaitych protest, opracowań lektur, bryków.
496:  KMM - Prawda jest taka, że większość ludzi, którzy byśmy chcieli, żeby czytali w wyniku tego procesu edukacji, albo się odbije od literatury, albo nie będzie jej czytać, albo będzie po prostu robić rzecz pragmatyczną, to znaczy przyswajać sobie te treści, których się od nich wymaga.
510:  KMM - A równocześnie tracimy dyskusję na przykład na podyskutowania na temat kina Quentina Tarantino.
516:  KMM - Z czego, wiesz, są proste konsekwencje.
518:  KMM - Przeciętny użytkownik polskiego internetu, jak usłyszy postmodernizm, to zawrzaśnie lewactwo, bo nie wie, że to jest kino Quentina Tarantino i prowieściopisarstwo Andrzeja Sapkowskiego.
527:  S00 - Dobrze, żeby w ogóle zmienił jakąś reakcję, prawdę powiedziawszy.
530:  S00 - To też prawda.
531:  KMM - Ale wiesz, to, że mamy takie terminy, które sobie krążą w obiegu i nie są kojarzone z czymś, co ludzie równocześnie bardzo dobrze jeszcze znają, bo za moment Quentin Tarantino nie będzie znany,
542:  KMM - to szkoda wielka, że nie tracimy możliwość użycia jakiegoś pojęcia albo zrozumienia, o co tam tak naprawdę chodzi.
548:  KMM - Wejścia, wiesz, tak troszeczkę głębiej pod samostreszczenie.
553:  RM - Kurde, tak.
554:  RM - To by była piękna rzecz.
555:  RM - Zastanawiam się w tym kontekście nad tym, jak jest z tym kształceniem, powiedzmy, Polaka, z tym patriotyzmem w szkole.
564:  RM - Czy to jest...
568:  RM - właśnie sama nauka historii w ten sposób, właśnie przez historię literatury, czy to jest dobra droga i czy na przykład widzisz jakieś inne, bo parę razy w twoich filmach wiem, że odnosiłeś się właśnie do tego, że polska szkoła kształci takiego patriotę romantycznego po prostu z czasów, kiedy Polski nie było.
586:  RM - I zastanawiam się, ale z drugiej strony jest też moment gąbrowiczowski, kiedy jeżeli dojdziemy, jeżeli zdążymy, omówimy też to, że on krytykował tą szlachecką i też
597:  RM - swoją drogą szkołę, a czy widzisz lepsze drogi, czy uważasz, że należy, bo uważam, że to, do czego reformy edukacji, takie większe, myślę, że w którymś momencie jakby dojdą do tak zwanego tabu wieszcza, czyli no jak to mniej Mickiewicza, no jak to mniej Słowackiego, przecież to jest esencja polskości i właśnie wydaje mi się, jak to tabu wieszcza gdzieś przekroczyć.
626:  KMM - Czy ja wiem, czy to jest esencja polskości?
627:  KMM - Strasznie bym nie chciał, żeby to była esencja polskości.
629:  RM - Ja też nie, ale przysięgam, że tak to wyniosłem ze szkoły i myślę, że jak Polacy mówią Polska, no to zaraz się pojawia Mickiewicz i Litwo ojczyzną.
639:  KMM - Wiesz no, metody są różne.
640:  KMM - We Włoszech na przykład czyta się przez większą część roku boską komedię, bo ludzie uznają, że to jest arcydzieło literatury włoskiej, ale wiesz, mają na to bardzo dużo różnych argumentów, językowo i tak dalej, więc rzeczywiście można absolutnie wybrać sobie taki jeden utwór, który poznamy dobrze, ale
656:  KMM - Przypuszczam, że przeciętny polonista, którego byś spytał, nie mówię o takim, który by się zgadzał z moim radykalniejszym poglądem.
663:  KMM - Przeciętny polonista, któremu jest nawet dobrze, uważa, że powinny być większe zarobki, mniejszy nacisk ze strony ministerstwa i mniej godzin w szkole.
672:  KMM - Przeciętny.
