Miłość, grzmocenie i kozy | Recenzja THOR 4 (Bez Spoilerów!)
🔗 https://www.youtube.com/watch?v=IR9d4f2EYUE
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

1:  BFP - Chcemy zacząć.
2:  BFP - Chcemy zacząć, oczywiście.
6:  BFP - Ile było, Krzysztofie, twoim zdaniem, miłości, a ile grzmocenia w Nowym Torze i czy w odpowiedniej proporcji?
13:  KMM - Było więcej grzmocenia, ponieważ Taika Waititi stwierdził, że on musi jak zawsze pokazać, że jest najdowcipniejszym reżyserem wśród wszystkich reżyserów z całego Marvel Cinematic Universe i Taika Waititi ma jeden problem.
25:  KMM - mianowicie nie jest Terrym Pratchettem i nie potrafi równocześnie ciągnąć dobrego humoru i świetnego światotwórstwa, w związku z powyższym wykłada się na elementarzu fantastycznym, więc dla mnie było więcej grzmocenia.
35:  BFP - Znaczy na pewno ten film bardzo sprawia wrażenie próby połączenia na siłę z jednej strony glam rocka,
46:  BFP - Stone Guns and Roses.
47:  BFP - Krzysztof, który nie wie czym jest glam rock.
49:  BFP - I black metalu.
51:  BFP - I ten tonalny rozjazd, który jest w filmie, naprawdę daje się odczuć.
57:  BFP - Jest zszywany z niewłaściwej nici, niewłaściwej igły, z kawałków, które i tak do siebie nie pasują i nie zrosną się ze sobą.
66:  KMM - I żeby nie było, to nie jest zły film, to znaczy człowiek bawi się na nim przednio, ponieważ to jest jednak Taika Waititi, potrafi opowiadać angażującą historię, natomiast w momencie, w którym się pojawiają bzdury fabularne, w którym pojawia się pancerz fabularny, który zaczyna być już dominującą cechą wszystkich filmów, nie tylko superbohaterskich, ale w ogóle fantastycznych, to odczuwa się pewien niesmak i czuje się również, że
89:  KMM - Taika stawia na tanie chwyty komediowe, które zaczynają mnie naprawdę męczyć.
94:  KMM - To znaczy, czułem, że ten dowcip jest wstawiony po to, żeby Taika Waititi poczuł się fajnie.
99:  KMM - I żeby widzowie, którzy lubią jego humor, poczuli się równie fajnie.
102:  KMM - I w którymś momencie, czasem, przekracza to granice dobrego smaku dla mnie.
113:  BFP - Znaczy, ja jestem w ogóle zaskoczony, bo ja byłem przekonany, jak wychodziliśmy z kina,
118:  BFP - że to ja będę tym, który będzie krytyczny wobec Thora, a to ty będziesz tym, który będzie, no może nie hurre optymistyczny, ale na pewno będziesz mówił o nim cieplej.
128:  BFP - I to, co dla mnie wyciągnęło tę ocenę może nawet o półtora punkta wyżej, to jest zakończenie.
135:  BFP - To jest jedno z najlepszych, najciekawszych,
138:  BFP - emocjonalnie rozłożonych na właściwych akcentach zakończeń, jakie widziałem w filmach Marvela.
143:  BFP - To znaczy robi kilka rzeczy niekonwencjonalnie, a jednocześnie rymuje się z wcześniejszą częścią filmu w sposób znakomity.
150:  BFP - I moment, w którym pierwszy raz pojawia się napis Thor, Love and Thunder, to nie jest początek, to jest koniec.
157:  BFP - I to był przepiękny, przewspaniały moment, który był trochę taką...
163:  BFP - kodą emocjonalną dla całego filmu.
165:  KMM - Aha, aha.
166:  KMM - Tak, zdecydowanie.
166:  KMM - Emocjonalne nuty wygrywa on bardzo dobrze, komediowe troszeczkę gorzej, ale dramatyczne moim zdaniem najgorzej.
173:  KMM - To znaczy ta intryga, która została poprowadzona, ona jest oparta na bardzo wątłych podstawach i nie wierzę, że to mówię, ponieważ to są podstawy, które dał Christian Bale.
181:  KMM - I spodziewałem się, że to będzie wybitny antagonista,
184:  KMM - który będzie zagrany świetnie, ale nie jest zagrany świetnie, znaczy inaczej, jest zagrany dobrze z tego materiału, który dostał od scenarzystów, ponieważ ta postać ma za mało czasu ekranowego, żeby się rozwinąć i przedstawia sobą zbyt duży i złożony problem, żeby na obszarze tego półtoragodzinnego slapstickowego filmu wypełnionego gagami, ten dramat człowieka miał szansę wybrzmieć.
207:  BFP - Całkowita zgoda, znaczy skoro już przechodzimy do Gora Bogojebcy,
212:  BFP - to musimy sobie powiedzieć coś o Christianie Bale'u i o samej postaci, która w komiksach... To jest postać antagonisty, która jest uwielbiana przez fanów.
220:  BFP - Pomimo, że ona istnieje w komiksach wcale niedługo.
