🔴 Odpalamy live'a i Krzysztofa jednocześnie || Q&A Bez/Schematu #1
🔗 https://www.youtube.com/watch?v=4VFsqqQ8tk4
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

1:  KMM - Chyba trzeba dwa razy dać też na YouTubie.
5:  KMM - Powinniśmy być na żywo już.
6:  KMM - Witajcie czaty.
7:  KMM - Jesteśmy z opóźnieniem.
10:  KMM - Cześć Filip, to ja, Krzysztof, odpowiedzialny za wszystkie problemy techniczne dzisiaj.
15:  KMM - Wchodzimy jak Guns N' Roses.
16:  KMM - Co prawda dalej nas nie widzę, ale chyba... Tak, jesteśmy.
21:  KMM - Tak.
23:  KMM - Z dużym opóźnieniem, ale dziękujemy czatom za cierpliwość, dziękujemy za tłumne zgromadzenie się i dziękujemy za nienarzekanie ani razu na czatach, że na czatach nie ma najamników, przez co ja musiałem przynieść własnego.
36:  BFP - Oficjalna wersja jest taka, że mieliśmy problem z kodekiem i Krzysztof miał problem z wciśnięciem jednego przycisku dwa razy pod rząd.
46:  BFP - Dlatego mieliśmy tak zwany fake start i fake launch, kiedy... A już zaczynam znowu z angielskim.
52:  BFP - Kiedy wydawało nam się, że jesteśmy live i gadaliśmy do siebie tak, jakbyście byli po drugiej stronie, ale niestety okazało się, że nie.
58:  BFP - A nieoficjalna wersja jest taka, że naszą wielką inspiracją zawsze była i zawsze będzie...
65:  BFP - Dobra rada od Guns N' Roses wchodzi trzy godziny po starcie koncertu.
70:  KMM - Więc cieszcie się, że to było tylko pięć minut, ale dziękujemy wszystkim za tłumne zgromadzenie się już teraz i od razu adresujemy najbardziej pilne i ważne pytanie, które się pojawia zawsze na kanale bez schematu.
84:  BFP - Ale nie wśród pytań, które nam zadaliście, tych czterdziestu, które pojawiły się na karcie społeczności, ale...
90:  BFP - Pytanie, które wisi nad bez schematu zawsze.
93:  BFP - A właściwie to nie jest pytanie.
95:  BFP - Ono bardziej brzmi jak forma pretensji albo zaznaczania swojego terenu.
101:  S07 - To jest, dlaczego wy używacie tyle angielskich słów?
105:  S07 - Czemu mówicie z tylu anglicyzmami?
108:  S07 - Język polski jest taki piękny.
111:  S07 - Krzysztof, dlaczego?
113:  KMM - That was Philip's best impression of me.
116:  KMM - Powiedział Krzysztof używając zwrotu angielskiego.
118:  S04 - Twoje głosy nazywam 1, 2, 3, 4 i to był Krzysztof 3.
122:  KMM - Jest bardzo dobre wyjaśnienie tego, to jest wyjaśnienie naukowe, które należy przywołać, mianowicie to wszystko dlatego, że nauczyciele, szkolni, wykładowcy, uniwersytetcy, ludzie kultury dbali przez lata o to, żeby nie znajdywać polskich odpowiedników na zajmowanie się wszystkimi zjawiskami z kultury popularnej, z fantastyki.
142:  BFP - Więc prosi, bo chcemy, możemy.
145:  KMM - Tak, właśnie tak jest wyjaśnienie.
147:  BFP - Prawda jest taka, że jak ładnie mi to kiedyś Krzysztof wyjaśnił, w polskim języku nie ma naprawdę czysto słowiańskich słów.
155:  BFP - Każdy jest zapożyczony.
