Oto jak YouTube GNIJE i DOBIJA TWÓRCÓW
🔗 https://www.youtube.com/watch?v=9fyeOwIhQ8g
LC (Leszek Cibor, Przeciętny Człowiek)
KMM (Krzysztof M. Maj)
OR (Oskar Rogowski, Napisy Końcowe)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

18:  BFP - Kiedy ktoś czyta tytuł Oto jak YouTube gnije i dobija twórców...
24:  BFP - to może sobie pomyśleć, o Boże, to będzie kolejne spotkanie czterech YouTuberów, którzy przyjdą, zgodzą się ze sobą, będą trochę narzekali, będą trochę jej ojczyli, trochę pokrzyczą, ale ostatecznie rozejdą się każdy w swoim kierunku i dalej będą robili te swoje YouTuby.
42:  BFP - Nic się nie zmieni, świat będzie się dalej kręcił.
45:  BFP - Może w końcu do nich dotrze, że są tylko i wyłącznie YouTuberami i nic więcej.
50:  BFP - I powinni robić to, co robią z czystej pasji.
54:  BFP - Tak można pomyśleć.
56:  BFP - Dlatego chciałbym poprosić was bardzo serdecznie, żebyście dali nam dzisiaj szansę przedstawić perspektywę nie youtuberów, nie twórców, tylko właśnie ludzi, którzy mają pasję.
68:  BFP - Ludzi, którzy bardzo kochają robić to, co robią i mają dużo szczęścia, że mogą dzielić się tym z innymi.
76:  BFP - A mają jeszcze więcej szczęścia, że często są w stanie...
79:  BFP - jakkolwiek na tym zarabiać i częściowo się nawet utrzymywać.
83:  BFP - I że są ludzie, którzy chcą przychodzić i nas słuchać, bądź oglądać.
90:  BFP - Ale faktycznie działamy na jakiejś platformie i działamy w jakichś warunkach, w jakimś środowisku.
95:  BFP - I tak się składa, że tą domyślną, docelową naszą platformą jest YouTube.
99:  BFP - I za każdym razem, kiedy YouTube zmienia swoją politykę, daje nam jakieś narzędzie albo je odbiera, to to wpływa na naszą twórczość.
107:  BFP - To znaczy, że będzie jej więcej albo będzie jej mniej.
111:  BFP - Będzie lepsza albo będzie gorsza.
114:  BFP - I to też wpływa na tych, którzy przychodzą do nas po tę treść i wynoszą z tego jakąś wartość bądź nie.
121:  BFP - I dlatego naprawdę, tak jak zawsze prosimy o waszą uwagę, bo zajmujemy tę uwagę i zajmujemy ten czas, próbując dać coś w zamian, tak nie inaczej proszę o to samo tym razem.
133:  BFP - A zrobiłem ten cały wstęp dlatego, że kiedy zapowiedziałem naszą dyskusję, to pojawiły się komentarze.
140:  BFP - I nie jestem zawiedziony.
141:  BFP - Pojawiły się takie komentarze, jakie spodziewałem się, że się pojawią, ale nie sądziłem, że będzie ich tak wiele.
146:  BFP - Przykładowo, wyłączyć monetyzację i będzie spokój.
151:  BFP - Albo inny.
152:  BFP - No, w McDonaldzie cały czas są wolne etaty.
155:  BFP - No, muszę powiedzieć, to prawda.
157:  BFP - Można wyłączyć monetyzację.
159:  BFP - I możecie mieć pewność, że wielu twórców, których śledzicie, może nie nas, ale takich, których na pewno śledzicie, faktycznie pójdzie wtedy pracować na wolny etat do McDonalda.
169:  BFP - Big Maci nie będą od tego smakowały lepiej.
172:  BFP - A burger drwala, jak co roku, będzie smakował coraz gorzej.
177:  BFP - Ale na YouTubie będzie coraz mniej filmów.
179:  BFP - I nie będziecie tam znajdowali rzeczy, których normalnie szukacie, za to będziecie mieli w nadmiarze rzeczy, których i tak jest w nadmiarze w karcie na czasie.
188:  BFP - Dlatego chciałbym, żebyście dali nam dzisiaj szansę, wysłuchali naszej rzeczowej perspektywy, bo nasze losy są ze sobą splecione.
195:  BFP - Dobry wieczór wam i dobry wieczór moim fantastycznym gościom.
199:  BFP - Oskarowi Rogowskiemu z kanałów Napisy Końcowe i Spalmy to.
203:  BFP - Dobry wieczór.
204:  BFP - Krzysztofowi M. Majowi.
206:  BFP - Dobry wieczór.
208:  BFP - I Leszkowi Ciborowi z kanału Przeciętny Człowiek.
212:  LC - Dobry wieczór, cześć.
213:  BFP - I wszystkim, którzy dzisiaj do nas dołączają i którzy zechcą nas wysłuchać i wziąć udział w dyskusji razem z nami.
220:  BFP - Panowie, chciałbym zacząć od tego, że YouTube wprowadza zmiany i każdy z nas je odczuwa.
227:  BFP - YouTube od pewnego czasu i nie przypadkiem ten tytuł brzmi tak, a nie inaczej, wprowadza zmiany, które są, nie chcę powiedzieć przeciw twórcom, ale niekoniecznie za twórcami.
237:  BFP - I w ostatnim czasie YouTube walczy z adblockiem.
240:  BFP - To rzutuje na nasze zasięgi, to sprawia, że streamy takie jak te często mają lagi w przypadku niektórych widzów, bufurują się dodatkowo, automatycznie obniżają jakość, czasem nawet same się urywają.
253:  BFP - Pojawia się problem ze znikającymi komentarzami, na które niedawno zwrócił uwagę Leszek w konwersacji ze mną, gdzie dosłownie zniknął cały jego komentarz pod moim esejem o niezwyciężonym.
263:  BFP - Poza tym mamy takie pieprzone bugi, jak chociażby to, że od pół roku albo nawet roku YouTube nie poprawił tego, że jak piszecie sobie wiadomość na czacie, na live'ie i dodajecie emotkę na końcu smiley face, to kasuje wam całą wiadomość, a zostaje sam smiley face.
279:  BFP - Musicie zrobić po prostu spację pomiędzy dwoma znakami.
282:  BFP - Albo na przykład to, że jest problem z oznaczaniem innych kanałów, gości, którzy przychodzą tutaj do mnie na kanał ze mną dyskutować i nie zawsze to oznaczanie działa.
291:  BFP - Takich rzeczy YouTube nie jest w stanie poprawić przez pół roku, ale jest w stanie wprowadzać rzeczy, które zabijają wasze doświadczenia użytkownika, a nasze jako twórców i podkopują naszą twórczość.
302:  BFP - Zatem pierwsze pytanie, które do was mam.
304:  BFP - Jakie są wasze lęki na podstawie trajektorii YouTube'a, którą właśnie obserwujecie?
309:  BFP - I chciałbym zacząć od ciebie, Leszku.
313:  LC - Okej, nie jestem pewien, czy nie mam od Was chyba najdłuższego stażu na YouTubie, nie jestem pewien, w 100% 8 lat nagrywam.
320:  LC - Myślę, że na pewno.
322:  LC - Natomiast obserwowałem te zmiany na YouTubie i były takie trzy lata, w których będąc w programie partnerskim YouTube'a, dostawałem oficjalne informacje w ramach tego programu partnerskiego, że YouTube przynosi zyski, że jest korporacją, która przynosi zyski i tymi zyskami dzielą się z twórcami w formie takiej, że program partnerski teraz będzie
342:  LC - bogatszy, bogatszy w eventy, bogatszy w szkolenia dla youtuberów.
347:  LC - I gdzieś w okolicy pandemii skończyło się mówienie o tym, że YouTube zarabia jakoś tak w tych okolicach, a wręcz obecnie w YouTubie już formalnie wiemy, to Google pozwalnia olbrzymią ilość pracowników, co w jakiś tam sposób też dotknęło Polski.
365:  LC - Polski oddział, no ale to świadczy o czym?
368:  LC - O tym, że ta wielka bezwładność korporacji, że korporacja wymyśliła, walczymy z TikTokiem, shortsami, a nagle robi to przez rok, czy przez dwa lata, to pcha, a trend się zmienia, trend u ludzi zmienia się bardzo szybko, się trendy zmieniają obecnie.
384:  LC - a bezwładność korporacji dalej pcha algorytm w stronę shortsów.
388:  LC - Już powinniśmy zrobić krok dalej, choćby w tych głównych tematach, bo to, co wspomniałeś o tych małych błędach, to są teoretycznie rzeczy poboczne, ale mnie najbardziej obawia właśnie to, że mamy taką wielką korporację, która zrobiła naprawdę świetne miejsce, bo poza marudzeniem trzeba przyznać, że dla twórcy obecnie nie ma lepszego miejsca niż YouTube,
413:  LC - wdzięczniejszego pod kątem tych prostych relacji, zarobek, wyświetlenia, film i tak dalej, czystości tych relacji.
421:  LC - Tutaj nie ma jakiegoś wielkiego kombinowania czy jakichś dziwnych systemów monetyzacji tych treści.
429:  LC - Natomiast moją największą obawą jest to, że ta bezwładność nas po prostu zabija to raz i duży poziom niejasności.
437:  LC - To jest pewnego rodzaju
440:  LC - Magia, wróżenie, ostatnio były Andrzejki, no to niektórzy lali wosk przez klucz, niektórzy z kawy tam coś sobie wysypywali, czy tam obierki z jałek rzucali, prawda, wróżyli literkę swojego partnera, można to samo powiedzieć o algorytmie YouTube'a, po prostu, że to jest taka wróżba andrzejkowa, którą ja przynajmniej od 8 lat próbuję gdzieś zrozumieć.
460:  LC - rozgryźć, zobaczyć pewne wzorce.
462:  LC - Umysł ludzki jest na tyle głupi i specyficzny, że doszukuje się tych wzorców, czasem widząc pewne wykresy, mówi, a no to na pewno mamy, tak działa algorytm.
474:  LC - A potem przychodzi ktoś inny i pokazuje, że działa zupełnie inaczej.
478:  LC - I te mechanizmy są bardzo trudne do rozgryzienia, zrozumienia.
482:  LC - tych mechanizmów nie rozumieją też ludzie, którzy pracują w Google przy YouTubie.
486:  LC - Też ich nie rozumieją, co szalenie utrudnia optymalizację i do tego stopnia, że tak jak rozmawialiśmy przy okazji materiałów związanych z Dawidem Myśliwcem i tym, że on czuje wypalenie na YouTubie, to jednym z tych elementów, o których on mówił, to był ten clickbait.
511:  LC - On akurat użył takiego przykładu w swoim filmie, który nie jest może takim clickbaitem z mojego punktu widzenia.
516:  LC - Ja wymyślam dużo gorsze clickbaity, ty dobrze o tym wiesz.
519:  BFP - Potwierdzam.
520:  LC - Że jak ty byś używał moich tytułów, to pewnie byłbyś na kartce.
524:  BFP - Mam księgę tysiąca jedyn nieużytych clickbaitów, które podsunął mi Leszek, tak.
529:  LC - Natomiast chodzi o to, że wiesz, to zawsze masz tą walkę, jestem twórcą, chcę tworzyć,
537:  LC - to co ja lubię, to o czym mnie pasjonuje i fajnie, że na tym zarabiam, fajnie, że mogę się na tym rozwijać, versus tworzę pod widza i ciągle muszę tworzyć pod widza, pod algorytm, pod miniaturkę, pod coś tam.
553:  LC - To zabija chęć tworzenia.
559:  LC - Jak jest dobrze, to jest dobrze.
561:  LC - Gorzej, jak jest właśnie źle, jak te wyświetlenia spadają.
564:  LC - Zaczynasz się zastanawiać, co zrobić, żeby następnym razem widz kliknął chętniej.
569:  LC - Jak bardzo sexy są obecne trendy, w które mogę się wpisać.
574:  LC - Co mogę powiedzieć teraz o marszałku Hołowni czy o Sejmie, który jest trending w przeciągu ostatniego miesiąca.
580:  LC - No i te filmy się pojawiły i te filmy faktycznie... No ale czy ja chcę?
