POBITY, POŁAMANY, PONIŻONY. Roast 3. Sezonu Wiedźmina
🔗 https://www.youtube.com/watch?v=MxmMzmDBX6I
KMM (Krzysztof M. Maj)
DS (Dominika Skoczeń, Czerw Fantastyczny)
JM (Jaga Moder, Legendystka)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

14:  BFP - Wiecie, ja nie jestem fanem rantów ani roastów na YouTubie, to jest zmora YouTube'a.
23:  BFP - Ale, ale...
26:  BFP - Ten przypadek jest trochę inny.
28:  BFP - Przepraszam, bo jestem u kogoś u was na pogłosie i prosiłbym, żeby ściszyć dźwięk.
34:  BFP - Ten przypadek jest trochę inny, dlatego że to jest, tak czuję, święta wojna i do tego obronna w obronie rozumu i godności człowieka.
45:  BFP - A moi paladyni, paladynki, którzy dołączają dzisiaj do mojej krucjaty, to Jaga Moder z profilu Legendystka, profilu zarówno na TikToku, jak i na Instagramie, ale nie tylko, bo również autorka... Przepraszam, że tak przerywam.
61:  BFP - Ktoś z was ma włączony podgląd i ma włączony dźwięk i ja w rezultacie się słyszę, więc prosiłbym, żebyście w razie czego upewnili się, czy nie ma gdzieś tam pogłosu, dobra?
73:  BFP - Tak na wszelki wypadek.
74:  BFP - Jago, czy ja mogę powiedzieć na głos, że również jesteś autorką nadchodzącej powieści fantasy, która czerpie z Klecht i która czerpie z legend słowiańskich?
87:  JM - Możesz, już powiedziałeś.
88:  BFP - No to poszło w cały świat, ale mam nadzieję, że niebawem też będziesz mogła powiedzieć o tym znacznie, znacznie więcej.
94:  BFP - Witam także Paladynkę Dominikę Skoczeń z kanału Czerw Fantastyczny.
101:  DS - Cześć, miło mi znowu tutaj u ciebie być.
103:  DS - Mam nadzieję, że to będzie owocny roast dzisiaj.
106:  BFP - I jeżeli mogę skorzystać z okazji, bardzo polecam wam serię materiałów, bo to już są bodajże trzy materiały na kanale Dominiki, czyli na Czerwiu Fantastycznym.
116:  BFP - Rozmowy z pisarzem fantazy Pawłem Kopiarem.
126:  BFP - I są naprawdę interesujące.
127:  BFP - Między innymi drugi wasz materiał to jest bodajże rozmowa o tym, czy w ogóle z pisania w Polsce można wyżyć.
134:  DS - Tak jest, też uważam, że są bardzo ciekawe i bardzo zachęcam was do oglądania, zwłaszcza, że w przeciwieństwie do Wiedźmina YouTube z jakiegoś powodu nie uznaje takich materiałów za ciekawe, więc no, wiadomo jak jest.
145:  BFP - Właśnie dlatego prosiłbym, żeby dać im trochę miłości, bo to jest naprawdę wartościowa treść i dużo z niej można wynieść, więc link do kanału Dominiki znajdziecie w opisie pod filmem.
157:  BFP - Witam również Paladynów Grzegorza Wątroby z kanału Okiem Dewa.
161:  BFP - Witam wszystkich.
163:  BFP - I też, jeżeli mogę polecić jakiś jeden konkretny materiał z kanału Grzegorza, to jest taki, który się nie starzeje i jest przypięty tam na kanale, a wydaje mi się interesujący dla wszystkich, bez względu na to, czy interesują Was gry, czy nie, czyli ile kosztuje stworzenie gry wideo.
177:  BFP - Bardzo gorąco polecam.
179:  BFP - I witam także Krzysztofa M. Maja.
182:  BFP - To będę ja.
184:  BFP - Witam wszystkich.
186:  BFP - Drodzy i witam oczywiście wszystkich, którzy w tym momencie do nas dołączają, a i wszystkich, którzy już są z nami na żywo.
194:  BFP - Chciałbym, żebyśmy zaczęli od końca.
197:  BFP - Wszyscy... Musimy?
200:  BFP - Nic nie musimy w zasadzie, jeżeli chodzi o tę serię.
203:  KMM - Jest takie bardzo dobre powiedzenie, które świetnie znamionuje końcówkę trzeciego sezonu Netflixa, mianowicie to już koniec rzekł Soliter wyglądając z czterech liter.
217:  KMM - Soliter to tasiemiec, nawiasem mówiąc, więc to też pasuje, zobaczcie, seria, ale to jak dynastia, taka telenovela wspaniała.
224:  KMM - Możemy dzięki temu też porównać z TVP, gdzie słynęło z telenovel, zanim zaczęło robić propagandę polityczną.
229:  KMM - Ciekawostka historyczna od Krzysztofa na początek.
233:  BFP - Wiecie, jak mówię o tym, żeby zacząć od końca, to bardziej chodzi mi o rzecz, która wzbudza, albo inaczej, polaryzuje.
242:  BFP - Chodzi mi o zmianę aktora i chodzi mi o sytuację, w jaki sposób obeszli się z tym twórcy.
248:  BFP - Ja w swojej takiej rantorecenzji powiedziałem, że nie podoba mi się to dwojako.
253:  BFP - Nie podoba mi się dlatego, że ani nie dostaliśmy tego, co Lauren History, czyli showrunnerka, nazwała heroics and off,
259:  BFP - Bo jeżeli Geralt tnący dziesięciu Nilfgaardzkich żołnierzy jest oznaką heroizmu Geralta, którą znamy z książek, to coś tu się mocno rozminęło nie po raz pierwszy.
269:  BFP - Ani nie miałem takiego poczucia, że jest to pożegnanie, które będzie dla nas bezbolesne, w sensie, że jest jakaś kładka, jest jakiś pomoc, który będzie prowadził do nagle innej twarzy aktora w kolejnym sezonie.
281:  BFP - Ale pojawiło się kilka interesujących głosów polemicznych, a nawet więcej niż kilka w komentarzach o tym, że twórcy nigdy nie powinni się tłumaczyć fabularnie z recastingu.
291:  BFP - To znaczy, co to jest, żeby podmienić aktora i mówić, no to teraz wam wytłumaczymy przez jakieś multiwersum czy coś.
297:  BFP - Ja rozumiem ten argument, ja go przyjmuję, ale chciałbym wysłuchać waszej opinii.
301:  BFP - Jak wy do tego podchodzicie, czy dla was to jest jakiś zgrzyt, czy nie jest zgrzyt, sposób w jaki pożegnano Henry'ego Cavilla, zarówno dając mu te ostatnie kilka godzin w serialu, jak i przygotowując grunt, bądź nie przygotowując właśnie gruntu do zmiany na innego aktora w kolejnym sezonie, chciałbym poznać waszą opinię i ja go, gdybyś ty mogła wyrazić najpierw swoją.
323:  JM - Ja słuchajcie, miałam takie podejście, że naczytałam się oczywiście różnych teorii na temat tego, jak Henryk Kawiel zostanie podmieniony przez Lyama i gdzieś tam, wiecie, w umyśle miałam taką koncepcję, że gdzieś tam w trakcie tej, nie wiem, walki z Vilgefortzem z morskiej piany się wyłoni Lyam Hemsworth albo gdzieś tam z tego Torlara wyleci.
343:  JM - No i oczywiście nie stało się tak, co jakoś tam...
347:  JM - Wiecie, z jednej strony wiedziałam, że to będzie głupie, jeżeli się pojawi ten Liam Hemsworth w jakiś taki dziwny sposób, no to nie będę usatysfakcjonowana, raczej będę kręcić z tego bekę.
356:  JM - A z drugiej byłam jednak właśnie rozczarowana tym, że no nic, no zero komentarza, w ogóle zero jakiegoś takiego mrugnięcia okiem do fanów, że no wiemy, że się tego wało, ale no jest jak jest.
371:  JM - Więc nie było tego.
373:  JM - Nie wiem, no nie jestem pewna, nie potrafię odpowiedzieć na pytanie, czy to dobrze, czy źle, że w żaden sposób nie zakomunikowano, że będzie jakaś zmiana.
382:  JM - Może dobrze, może niedobrze.
384:  JM - W sumie ten serial jest na takim poziomie, że trochę mi wszystko jedno, tak naprawdę.
389:  JM - Natomiast jeśli chodzi o samą postać Henry'ego Cavilla, no to ja przez cały ten sezon miałam takie poczucie, że cały czas spychają go na dalszą półkę, że Ciri po prostu tutaj jest robiona na taką bedesuwę.
402:  JM - że Geralt jej podaje miecz, kiedy ona zabija Żagnicę, której w książce oczywiście na oczy nie widziała, no bo nie było jej w tej scenie w ogóle, więc dziwne to było oglądać, jak z Geralta robią taką
417:  JM - odchodzącą na dalszy plan kukiełkę, która leży w szpitalu Driadzim, tam męczy się i ciężko jej ze sobą i w końcu wychodzi za ogrodzenie do Nilfgaardu, czy gdzie to tam oni poszli ostatecznie i koniec.
432:  JM - Także nie wiem, nie wiem.
435:  JM - Nie podobało mi się, sorry.
437:  BFP - To już oddając głos Dominice, ja odniosę się do jednej rzeczy, która pojawia się na czacie.
443:  BFP - Pedro napisał, w ogóle Bagiński mówił, że zmiana będzie uzasadniona fabularnie, ale jednak chyba im nie wyszło, albo znowu kłamali w żywe oczy.
450:  BFP - No właśnie, w sensie ja miałem pewne oczekiwanie, które we mnie wzbudzono.
454:  BFP - Przeczytam może słowa Tomasza Bagińskiego, które pojawiły się w wywiadzie z magazynem Metro.
459:  BFP - Czuję, że ważne jest, aby podkreślić, że to, co zbudował Henry, było bardzo, bardzo ważne dla serialu.
463:  BFP - On był niesamowitym Geraltem, myślę, że wszyscy będziemy za nim tęsknić, ale jednocześnie serial trwa.
467:  BFP - Uwaga, teraz kluczowe.
469:  BFP - A właściwie pomysł wprowadzenia Liyama nie chce wchodzić zbyt głęboko w spoilery, ale jest to bardzo, bardzo trafne ze światem Wiedźmina.
477:  BFP - Ludzie, którzy znają wszystkie książki, przede wszystkim tom piąty, a także pomysł, że istnieje wiele wersji tej samej historii, myślę, że może im się to bardzo spodobać.
485:  BFP - Jasne, wciąż mają przestrzeń zrobić coś na początku czwartego sezonu.
488:  BFP - No właśnie.
489:  BFP - Ale to już teraz wzbudzono pewne nasze oczekiwania względem tego, jak rozstaną się z tą wersją Geralta i z tym aktorem i to nie my sami sobie to wmówiliśmy.
497:  BFP - W każdym razie, Dominiko.
500:  DS - Ja mam bardzo mieszane odczucia, jeśli chodzi o to właśnie zamienianie jednego aktora na drugiego w takiej sytuacji, że właśnie jeden aktor odchodzi, już po prostu nie chce grać.
511:  DS - Wiem, że Krzysztof jest gorącym zwolennikiem tego, żeby to było uzasadnione fabularnie, co wielokrotnie tłumaczył przy okazji Grindelwalda z Fantastycznych Zwierząt.
521:  DS - Ja nie wiem, mi nie przeszkadza udawanie, w sensie
526:  DS - Może tak, jeśli mamy robić jakieś dziwaczne twisty i gimnastykować się nie wiadomo jak i robić sztucznie wręcz dziwną fabułę po to, żeby to wyjaśnić, to ja wolę taką umowę społeczną, że okej, pojawia się nowa twarz, my milczymy i po prostu przechodzimy nad tym do porządku dziennego.
543:  DS - Bo dla mnie właśnie to, że w Wiedźminie ma się pojawić taki multiwers jak w jakimś Spidermanie czy czymś takim jest strasznie dziwny.
552:  DS - Ale przede wszystkim najbardziej jest mi żal tego, że tam było wiele możliwości, żeby...
558:  DS - zgrabnie rozwiązać ten problem, więc można to było wytłumaczyć.
562:  DS - Ja naprawdę liczyłam na to, jak pojawiła się taka teoria, że tam Wiedźmin zostanie poturbowany, będzie musiał być leczony u tych dryad w Brokilonie, no to pomyślałam sobie, no to faktycznie ma sens, no nie?
574:  DS - On będzie taki strasznie chory, no to one będą musiały użyć jakiejś super mocnej druidzkiej magii, no i ona tam jakoś wpłynie na jego wygląd, on będzie wyglądał trochę inaczej, no ale dalej będzie Wiedźminem, którego wszyscy kochają, Geraltem z Rivi.
587:  DS - Dalej będzie miał białe włosy, żółte oczy, więc okej, no nie?
590:  DS - To już w połowie na Vilgefortza użyli z tą zmianą twarzy.
596:  DS - Dało się w ogóle wymyślić mnóstwo innych rzeczy, nie wiem, na przykład choćby Yennefer mogłaby stwierdzić, że okej, sytuacja robi się zbyt niebezpieczna, więc ona nałoży na Geralta iluzję, żeby wyglądał trochę inaczej.
607:  DS - Jedno zdanie i problem jest w głowie, to nie, to pewnie wymyślą znowu jakiś koszmar po prostu fabularny, nad którym będziemy potem musieli płakać w internecie.
616:  DS - Czyli jesteś zwolenniczką tego, jak zrobiono z Dario Naharisem w grze o tron, gdzie sprawy nie było, jakby wszyscy nie mają problemu z tym... Znaczy, jeśli da się to zrobić dobrze i gładko, to lepiej, jak to jest uzasadnione, ale jeśli mamy wymyślać jakieś kretyństwo za przeproszeniem, to lepiej, jak udajemy, że po prostu ta zmiana się nie odbyła.
635:  BFP - Wydaje mi się, że trzymając się tej miary, to twórcom by poszło całkiem nieźle w takim razie wytłumaczenie tej zmiany, jeżeli kretyńskie rozwiązania mają być jakąkolwiek miarą sukcesu.
645:  BFP - Grzegorzu, twoje zdanie w tym temacie?
649:  GW - Hmm, tutaj myślę, że się zgodzę z przedmówczynią, iż lepiej dla twórców scenariusza, żeby nie próbowali tego uzasadniać, bo patrząc na to, jak sobie radzą z gotowym materiałem, to już jest źle, a jak z nowo wymyślanym jest jeszcze gorzej.
667:  GW - Ja naprawdę liczyłem na to, że wtedy, kiedy Will Geffords powiedział do Wiedźmina, jak lubisz mój kij, to on powie całkiem niezłe, a ten powie, no to teraz się nie obieraj, guzio muś.
676:  GW - I w tym momencie po prostu go tak zmasakruje, że będzie miał przywiązaną twarz do końca sezonu i święto i po prostu wejdziemy w nowy sezon z nowym aktorem.
688:  GW - Natomiast
